buySellRatio,sellVol,buyVol,time
0.9509,773.9100,735.8880,2026-07-28 19:00:00
1.0929,437.6670,478.3270,2026-07-28 20:00:00
1.5915,249.7120,397.4090,2026-07-28 21:00:00
1.0172,313.3380,318.7300,2026-07-28 22:00:00
1.1847,749.5440,887.9480,2026-07-28 23:00:00
1.2406,785.5650,974.5330,2026-07-29 00:00:00
0.8589,806.6220,692.7940,2026-07-29 01:00:00
1.2473,808.9320,1009.0130,2026-07-29 02:00:00
0.8432,596.5060,502.9890,2026-07-29 03:00:00
1.0504,522.5030,548.8410,2026-07-29 04:00:00
1.2768,505.4900,645.4150,2026-07-29 05:00:00
1.1804,1187.0530,1401.2280,2026-07-29 06:00:00
1.1177,673.6240,752.9200,2026-07-29 07:00:00
1.0361,623.3140,645.8120,2026-07-29 08:00:00
1.2072,694.0640,837.8640,2026-07-29 09:00:00
1.0022,589.2420,590.5580,2026-07-29 10:00:00
0.9580,504.3430,483.1530,2026-07-29 11:00:00
0.9413,689.8150,649.2990,2026-07-29 12:00:00
1.0385,1616.0380,1678.1990,2026-07-29 13:00:00
0.8896,2079.9300,1850.3880,2026-07-29 14:00:00
0.9502,1214.5150,1154.0350,2026-07-29 15:00:00
0.9566,1231.8420,1178.3610,2026-07-29 16:00:00
1.3712,729.9860,1000.9520,2026-07-29 17:00:00
1.0494,3106.5060,3259.8550,2026-07-29 18:00:00
0.9919,2292.5940,2273.9960,2026-07-29 19:00:00
0.9699,1536.7020,1490.4890,2026-07-29 20:00:00
1.1926,727.1480,867.2260,2026-07-29 21:00:00
1.1306,872.0780,985.9320,2026-07-29 22:00:00
1.0738,502.8160,539.9010,2026-07-29 23:00:00
0.7876,920.0370,724.6570,2026-07-30 00:00:00
1.1815,807.5510,954.1280,2026-07-30 01:00:00
0.9013,637.2560,574.3530,2026-07-30 02:00:00
1.0063,389.2430,391.7040,2026-07-30 03:00:00
0.7846,439.1510,344.5700,2026-07-30 04:00:00
0.9532,504.0770,480.4900,2026-07-30 05:00:00
0.9531,284.0070,270.6800,2026-07-30 06:00:00
1.1177,430.6580,481.3570,2026-07-30 07:00:00
1.0609,731.0340,775.5770,2026-07-30 08:00:00
1.2770,1045.1630,1334.6740,2026-07-30 09:00:00
0.8959,467.6390,418.9800,2026-07-30 10:00:00
1.3780,656.9990,905.3660,2026-07-30 11:00:00
1.2332,831.7700,1025.7130,2026-07-30 12:00:00
0.9014,1772.0520,1597.3840,2026-07-30 13:00:00
0.9719,1399.7680,1360.4950,2026-07-30 14:00:00
1.2063,765.4740,923.4250,2026-07-30 15:00:00
1.1334,499.1090,565.6950,2026-07-30 16:00:00
1.0780,450.1070,485.2020,2026-07-30 17:00:00
1.1306,448.3500,506.9130,2026-07-30 18:00:00
0.9535,850.2170,810.7110,2026-07-30 19:00:00
1.0785,607.8820,655.5950,2026-07-30 20:00:00
0.9762,235.0080,229.4240,2026-07-30 21:00:00
1.1238,686.2960,771.2690,2026-07-30 22:00:00
0.8903,742.2220,660.7990,2026-07-30 23:00:00
0.9319,542.6080,505.6740,2026-07-31 00:00:00
1.0572,1654.0790,1748.6420,2026-07-31 01:00:00
1.0362,1236.6640,1281.4310,2026-07-31 02:00:00
0.7632,977.4630,745.9660,2026-07-31 03:00:00
0.9562,466.2450,445.8260,2026-07-31 04:00:00
0.9395,556.5480,522.8680,2026-07-31 05:00:00
0.9117,501.4860,457.2110,2026-07-31 06:00:00
0.7124,1607.0860,1144.9560,2026-07-31 07:00:00
0.7233,968.4910,700.5050,2026-07-31 08:00:00
1.0373,791.1860,820.6930,2026-07-31 09:00:00
1.0172,551.7510,561.2270,2026-07-31 10:00:00
0.9066,469.6710,425.8060,2026-07-31 11:00:00
1.0381,638.3620,662.7000,2026-07-31 12:00:00
0.8621,2081.2690,1794.3530,2026-07-31 13:00:00
0.9177,4258.6940,3908.1240,2026-07-31 14:00:00
0.9664,1498.0920,1447.7600,2026-07-31 15:00:00
0.8606,1175.1420,1011.3710,2026-07-31 16:00:00
1.1586,880.4870,1020.1350,2026-07-31 17:00:00
0.9257,917.5730,849.3750,2026-07-31 18:00:00
0.8758,742.0700,649.9290,2026-07-31 19:00:00
1.1313,343.6280,388.7340,2026-07-31 20:00:00
1.3401,419.3800,562.0130,2026-07-31 21:00:00
0.8191,324.1280,265.5000,2026-07-31 22:00:00
1.0892,223.9930,243.9790,2026-07-31 23:00:00
1.0608,280.5370,297.5900,2026-08-01 00:00:00
0.8047,260.5010,209.6180,2026-08-01 01:00:00
1.2325,246.9320,304.3390,2026-08-01 02:00:00
0.7041,272.4630,191.8540,2026-08-01 03:00:00
1.4213,94.6220,134.4850,2026-08-01 04:00:00
0.6851,264.5780,181.2730,2026-08-01 05:00:00
0.8636,185.0300,159.7880,2026-08-01 06:00:00
0.8635,188.9540,163.1620,2026-08-01 07:00:00
0.9411,128.6380,121.0620,2026-08-01 08:00:00
0.8996,161.2590,145.0720,2026-08-01 09:00:00
1.1618,217.5030,252.6850,2026-08-01 10:00:00
0.7998,92.5210,74.0000,2026-08-01 11:00:00
1.2774,101.7100,129.9200,2026-08-01 12:00:00
1.1000,113.8650,125.2540,2026-08-01 13:00:00
0.9511,232.4620,221.0940,2026-08-01 14:00:00
0.9520,192.1160,182.8900,2026-08-01 15:00:00
0.8253,499.2520,412.0220,2026-08-01 16:00:00
0.7931,629.4860,499.2760,2026-08-01 17:00:00
1.0168,1451.9680,1476.3180,2026-08-01 18:00:00
1.1223,533.4270,598.6400,2026-08-01 19:00:00
1.0901,282.6100,308.0710,2026-08-01 20:00:00
1.0826,407.9260,441.6060,2026-08-01 21:00:00
1.0865,154.1460,167.4860,2026-08-01 22:00:00
1.2670,211.3850,267.8160,2026-08-01 23:00:00
1.0717,416.9540,446.8660,2026-08-02 00:00:00
1.1632,317.4510,369.2600,2026-08-02 01:00:00
1.2568,1447.1830,1818.8470,2026-08-02 02:00:00
0.7450,607.1450,452.3520,2026-08-02 03:00:00
1.2815,268.0110,343.4460,2026-08-02 04:00:00
0.9823,536.7620,527.2480,2026-08-02 05:00:00
0.8831,208.8810,184.4570,2026-08-02 06:00:00
0.9307,174.4760,162.3820,2026-08-02 07:00:00
