buySellRatio,sellVol,buyVol,time
0.9215,10284623.0000,9477702.0000,2026-07-28 19:00:00
0.8605,9643933.0000,8298280.0000,2026-07-28 20:00:00
0.9103,7730898.0000,7037334.0000,2026-07-28 21:00:00
1.0328,12720521.0000,13137732.0000,2026-07-28 22:00:00
0.8435,18232185.0000,15378756.0000,2026-07-28 23:00:00
0.9970,11278332.0000,11244838.0000,2026-07-29 00:00:00
0.8931,22432846.0000,20034372.0000,2026-07-29 01:00:00
1.0546,21079925.0000,22230438.0000,2026-07-29 02:00:00
0.9849,52355898.0000,51563437.0000,2026-07-29 03:00:00
1.0015,33371436.0000,33420779.0000,2026-07-29 04:00:00
0.9623,26220977.0000,25231665.0000,2026-07-29 05:00:00
0.9370,17254889.0000,16167666.0000,2026-07-29 06:00:00
0.9017,53954443.0000,48652455.0000,2026-07-29 07:00:00
0.9040,31184052.0000,28190380.0000,2026-07-29 08:00:00
0.9734,41079637.0000,39985035.0000,2026-07-29 09:00:00
0.8771,24346489.0000,21354150.0000,2026-07-29 10:00:00
1.0625,16295088.0000,17313685.0000,2026-07-29 11:00:00
0.8820,12866919.0000,11348205.0000,2026-07-29 12:00:00
1.0805,12981291.0000,14026421.0000,2026-07-29 13:00:00
0.7448,11824900.0000,8806833.0000,2026-07-29 14:00:00
0.9484,40342722.0000,38259972.0000,2026-07-29 15:00:00
0.8982,34762457.0000,31222155.0000,2026-07-29 16:00:00
0.8366,12026572.0000,10060852.0000,2026-07-29 17:00:00
0.8245,9512228.0000,7843078.0000,2026-07-29 18:00:00
0.9832,8027811.0000,7892603.0000,2026-07-29 19:00:00
1.0943,8059216.0000,8818938.0000,2026-07-29 20:00:00
1.0546,5527185.0000,5828951.0000,2026-07-29 21:00:00
1.2431,4780871.0000,5943299.0000,2026-07-29 22:00:00
0.8222,6311363.0000,5188972.0000,2026-07-29 23:00:00
0.8097,8975521.0000,7267050.0000,2026-07-30 00:00:00
0.6974,7679407.0000,5355657.0000,2026-07-30 01:00:00
1.1087,6776442.0000,7512983.0000,2026-07-30 02:00:00
0.9204,4390284.0000,4040712.0000,2026-07-30 03:00:00
0.7556,3514687.0000,2655727.0000,2026-07-30 04:00:00
0.9486,15032129.0000,14258908.0000,2026-07-30 05:00:00
0.9266,10527059.0000,9754313.0000,2026-07-30 06:00:00
0.8689,13617183.0000,11832353.0000,2026-07-30 07:00:00
0.9576,6663188.0000,6380338.0000,2026-07-30 08:00:00
0.6306,11836913.0000,7464470.0000,2026-07-30 09:00:00
0.9001,14419043.0000,12979135.0000,2026-07-30 10:00:00
1.1319,5757142.0000,6516601.0000,2026-07-30 11:00:00
0.9246,5555883.0000,5137087.0000,2026-07-30 12:00:00
0.9214,5121977.0000,4719569.0000,2026-07-30 13:00:00
0.8119,6737342.0000,5469942.0000,2026-07-30 14:00:00
1.0762,3736482.0000,4021068.0000,2026-07-30 15:00:00
0.7638,5622152.0000,4294478.0000,2026-07-30 16:00:00
1.3268,2690644.0000,3569843.0000,2026-07-30 17:00:00
1.0039,3662647.0000,3677048.0000,2026-07-30 18:00:00
1.0158,3325113.0000,3377602.0000,2026-07-30 19:00:00
1.0017,2504874.0000,2509235.0000,2026-07-30 20:00:00
0.8443,2249760.0000,1899480.0000,2026-07-30 21:00:00
1.0344,3537144.0000,3658952.0000,2026-07-30 22:00:00
1.0699,1705800.0000,1825114.0000,2026-07-30 23:00:00
0.9703,3356399.0000,3256695.0000,2026-07-31 00:00:00
1.0292,2715907.0000,2795242.0000,2026-07-31 01:00:00
0.9547,2635173.0000,2515780.0000,2026-07-31 02:00:00
0.6742,2628364.0000,1772007.0000,2026-07-31 03:00:00
0.8351,2051687.0000,1713289.0000,2026-07-31 04:00:00
0.8056,2286044.0000,1841631.0000,2026-07-31 05:00:00
0.6718,4278864.0000,2874472.0000,2026-07-31 06:00:00
0.8955,2616151.0000,2342893.0000,2026-07-31 07:00:00
1.0821,2473304.0000,2676477.0000,2026-07-31 08:00:00
0.9964,5943237.0000,5921589.0000,2026-07-31 09:00:00
0.9901,3313290.0000,3280387.0000,2026-07-31 10:00:00
0.7782,3399944.0000,2645983.0000,2026-07-31 11:00:00
1.2989,2788553.0000,3622053.0000,2026-07-31 12:00:00
0.8488,4185520.0000,3552614.0000,2026-07-31 13:00:00
0.9090,4644750.0000,4222119.0000,2026-07-31 14:00:00
0.8276,3607156.0000,2985371.0000,2026-07-31 15:00:00
0.8363,7722163.0000,6458120.0000,2026-07-31 16:00:00
1.0158,6222115.0000,6320268.0000,2026-07-31 17:00:00
0.9770,2788708.0000,2724644.0000,2026-07-31 18:00:00
0.9238,2754469.0000,2544640.0000,2026-07-31 19:00:00
1.4192,3034876.0000,4307204.0000,2026-07-31 20:00:00
1.0584,3398700.0000,3597201.0000,2026-07-31 21:00:00
1.3114,4289031.0000,5624781.0000,2026-07-31 22:00:00
1.2050,4563769.0000,5499543.0000,2026-07-31 23:00:00
0.9414,6994348.0000,6584366.0000,2026-08-01 00:00:00
0.9427,9012607.0000,8495995.0000,2026-08-01 01:00:00
0.9295,31904137.0000,29655232.0000,2026-08-01 02:00:00
0.9565,18295486.0000,17499776.0000,2026-08-01 03:00:00
0.8762,15161872.0000,13284715.0000,2026-08-01 04:00:00
0.9585,16369755.0000,15690634.0000,2026-08-01 05:00:00
1.0196,29231525.0000,29804409.0000,2026-08-01 06:00:00
0.8689,30857474.0000,26811925.0000,2026-08-01 07:00:00
0.9918,22976818.0000,22789182.0000,2026-08-01 08:00:00
1.0897,32321737.0000,35220759.0000,2026-08-01 09:00:00
0.9465,31723678.0000,30025997.0000,2026-08-01 10:00:00
0.9769,74544684.0000,72820501.0000,2026-08-01 11:00:00
0.9782,46377295.0000,45364172.0000,2026-08-01 12:00:00
1.0917,24404587.0000,26642123.0000,2026-08-01 13:00:00
0.9815,22708228.0000,22288955.0000,2026-08-01 14:00:00
1.0217,27394391.0000,27988621.0000,2026-08-01 15:00:00
0.9864,27860573.0000,27482193.0000,2026-08-01 16:00:00
0.9169,24284969.0000,22266034.0000,2026-08-01 17:00:00
1.0890,19866985.0000,21636072.0000,2026-08-01 18:00:00
0.8775,13811182.0000,12119913.0000,2026-08-01 19:00:00
0.9442,11957840.0000,11290758.0000,2026-08-01 20:00:00
0.9213,18154272.0000,16725214.0000,2026-08-01 21:00:00
0.9783,14483362.0000,14168774.0000,2026-08-01 22:00:00
1.0072,12491622.0000,12581632.0000,2026-08-01 23:00:00
0.8653,14668331.0000,12692134.0000,2026-08-02 00:00:00
1.1339,19175885.0000,21744204.0000,2026-08-02 01:00:00
1.2666,7504951.0000,9505637.0000,2026-08-02 02:00:00
0.8560,14829283.0000,12693926.0000,2026-08-02 03:00:00
1.0089,9806479.0000,9894081.0000,2026-08-02 04:00:00
0.7710,7220221.0000,5566951.0000,2026-08-02 05:00:00
1.0688,5542786.0000,5924219.0000,2026-08-02 06:00:00
0.9745,9035691.0000,8804996.0000,2026-08-02 07:00:00
0.9068,13828863.0000,12539813.0000,2026-08-02 08:00:00
0.9148,9002863.0000,8235971.0000,2026-08-02 09:00:00
0.9106,9652463.0000,8789671.0000,2026-08-02 10:00:00
0.7436,11440247.0000,8507309.0000,2026-08-02 11:00:00
0.9790,39762932.0000,38926215.0000,2026-08-02 12:00:00
0.9500,20830141.0000,19788956.0000,2026-08-02 13:00:00
0.9045,24804722.0000,22434875.0000,2026-08-02 14:00:00
1.0249,26216845.0000,26868619.0000,2026-08-02 15:00:00
0.9918,13569609.0000,13458985.0000,2026-08-02 16:00:00
0.9675,11080079.0000,10719637.0000,2026-08-02 17:00:00
0.8888,7549769.0000,6710150.0000,2026-08-02 18:00:00
1.0043,4464112.0000,4483217.0000,2026-08-02 19:00:00
0.9330,4860935.0000,4535029.0000,2026-08-02 20:00:00
0.8166,2988224.0000,2440220.0000,2026-08-02 21:00:00
0.7864,3141851.0000,2470807.0000,2026-08-02 22:00:00
0.9726,2797527.0000,2720907.0000,2026-08-02 23:00:00
0.8822,5992475.0000,5286460.0000,2026-08-03 00:00:00
0.8536,4032555.0000,3442027.0000,2026-08-03 01:00:00
1.0859,15267233.0000,16578290.0000,2026-08-03 02:00:00
0.9029,12640695.0000,11412892.0000,2026-08-03 03:00:00
0.8606,6947394.0000,5978870.0000,2026-08-03 04:00:00
1.0821,4883782.0000,5284633.0000,2026-08-03 05:00:00
1.0404,9325246.0000,9702339.0000,2026-08-03 06:00:00
0.9690,7461219.0000,7229665.0000,2026-08-03 07:00:00
0.9507,12006478.0000,11414730.0000,2026-08-03 08:00:00
0.9399,7017735.0000,6596045.0000,2026-08-03 09:00:00
1.0413,9349625.0000,9735553.0000,2026-08-03 10:00:00
0.9981,13003783.0000,12979203.0000,2026-08-03 11:00:00
1.0877,12065630.0000,13123351.0000,2026-08-03 12:00:00
1.0262,7523908.0000,7720939.0000,2026-08-03 13:00:00
1.1500,11324577.0000,13023242.0000,2026-08-03 14:00:00
0.9850,11176681.0000,11009242.0000,2026-08-03 15:00:00
1.0331,11795986.0000,12186023.0000,2026-08-03 16:00:00
1.0585,17253940.0000,18262692.0000,2026-08-03 17:00:00
1.0477,28321860.0000,29671989.0000,2026-08-03 18:00:00
0.9507,35300869.0000,33559363.0000,2026-08-03 19:00:00
0.9991,31863061.0000,31833194.0000,2026-08-03 20:00:00
1.2861,9965950.0000,12817151.0000,2026-08-03 21:00:00
1.0882,8921498.0000,9708373.0000,2026-08-03 22:00:00
0.9778,13665964.0000,13362326.0000,2026-08-03 23:00:00
1.1126,14078372.0000,15663448.0000,2026-08-04 00:00:00
1.0511,10962313.0000,11522840.0000,2026-08-04 01:00:00
1.0050,10041775.0000,10091647.0000,2026-08-04 02:00:00
1.2112,22951802.0000,27799638.0000,2026-08-04 03:00:00
0.9795,20592822.0000,20170908.0000,2026-08-04 04:00:00
1.0722,14892088.0000,15967861.0000,2026-08-04 05:00:00
0.9963,15005576.0000,14949348.0000,2026-08-04 06:00:00
0.9389,27731348.0000,26035632.0000,2026-08-04 07:00:00
1.0014,29187398.0000,29226861.0000,2026-08-04 08:00:00
1.0983,12591206.0000,13828644.0000,2026-08-04 09:00:00
1.0155,10731121.0000,10897854.0000,2026-08-04 10:00:00
1.0879,8633118.0000,9392079.0000,2026-08-04 11:00:00
1.0731,7554674.0000,8106673.0000,2026-08-04 12:00:00
1.1238,37611790.0000,42268142.0000,2026-08-04 13:00:00
1.0545,23530758.0000,24813387.0000,2026-08-04 14:00:00
1.0553,15091045.0000,15926192.0000,2026-08-04 15:00:00
1.0363,24781141.0000,25680902.0000,2026-08-04 16:00:00
1.1215,24561327.0000,27546050.0000,2026-08-04 17:00:00
1.0764,9773778.0000,10520495.0000,2026-08-04 18:00:00
1.1469,7238771.0000,8302061.0000,2026-08-04 19:00:00
1.0408,9257722.0000,9635789.0000,2026-08-04 20:00:00
1.0778,6951963.0000,7493080.0000,2026-08-04 21:00:00
1.3368,9748505.0000,13031451.0000,2026-08-04 22:00:00
1.1320,9834415.0000,11132981.0000,2026-08-04 23:00:00
0.9783,12243853.0000,11978565.0000,2026-08-05 00:00:00
1.0109,16530526.0000,16710718.0000,2026-08-05 01:00:00
0.8903,15020972.0000,13373771.0000,2026-08-05 02:00:00
1.0615,22396885.0000,23773193.0000,2026-08-05 03:00:00
0.8992,9750171.0000,8767290.0000,2026-08-05 04:00:00
1.0401,9234405.0000,9604999.0000,2026-08-05 05:00:00
0.8682,9003561.0000,7816913.0000,2026-08-05 06:00:00
0.9110,6777876.0000,6174741.0000,2026-08-05 07:00:00
1.0407,14234546.0000,14813863.0000,2026-08-05 08:00:00
0.9673,11277932.0000,10909613.0000,2026-08-05 09:00:00
1.2716,21110797.0000,26844563.0000,2026-08-05 10:00:00
1.1404,20685331.0000,23589009.0000,2026-08-05 11:00:00
1.0321,14337670.0000,14798160.0000,2026-08-05 12:00:00
1.0370,14781915.0000,15329417.0000,2026-08-05 13:00:00
1.0064,6537826.0000,6579922.0000,2026-08-05 14:00:00
1.1299,6999136.0000,7908376.0000,2026-08-05 15:00:00
1.1664,7160842.0000,8352756.0000,2026-08-05 16:00:00
1.2439,7295306.0000,9074435.0000,2026-08-05 17:00:00
1.1789,9036445.0000,10652737.0000,2026-08-05 18:00:00
1.4313,8697784.0000,12449422.0000,2026-08-05 19:00:00
0.9624,8439312.0000,8122045.0000,2026-08-05 20:00:00
1.1938,10005634.0000,11944366.0000,2026-08-05 21:00:00
1.1386,18732819.0000,21329033.0000,2026-08-05 22:00:00
0.9746,7649169.0000,7454936.0000,2026-08-05 23:00:00
1.0045,5929232.0000,5956126.0000,2026-08-06 00:00:00
1.1971,4480523.0000,5363749.0000,2026-08-06 01:00:00
0.9885,7384951.0000,7300255.0000,2026-08-06 02:00:00
0.9645,5821369.0000,5614559.0000,2026-08-06 03:00:00
1.0321,8371628.0000,8639992.0000,2026-08-06 04:00:00
1.1846,8790497.0000,10413270.0000,2026-08-06 05:00:00
1.1513,10140123.0000,11673978.0000,2026-08-06 06:00:00
0.9074,32105145.0000,29131940.0000,2026-08-06 07:00:00
0.9663,24975357.0000,24134786.0000,2026-08-06 08:00:00
1.0269,13544016.0000,13908360.0000,2026-08-06 09:00:00
1.0554,9561258.0000,10091364.0000,2026-08-06 10:00:00
1.0544,8705900.0000,9179295.0000,2026-08-06 11:00:00
1.1144,12845420.0000,14314905.0000,2026-08-06 12:00:00
0.9480,14652660.0000,13891369.0000,2026-08-06 13:00:00
1.0114,8394475.0000,8490377.0000,2026-08-06 14:00:00
0.9480,8450968.0000,8011126.0000,2026-08-06 15:00:00
1.1083,7522585.0000,8337466.0000,2026-08-06 16:00:00
1.1056,7778339.0000,8599741.0000,2026-08-06 17:00:00
1.1363,6817721.0000,7747206.0000,2026-08-06 18:00:00
0.9492,6305298.0000,5984998.0000,2026-08-06 19:00:00
1.0707,4315285.0000,4620538.0000,2026-08-06 20:00:00
1.4174,3171590.0000,4495358.0000,2026-08-06 21:00:00
1.1638,6711599.0000,7810943.0000,2026-08-06 22:00:00
1.1256,8621800.0000,9704718.0000,2026-08-06 23:00:00
0.8706,11769162.0000,10245958.0000,2026-08-07 00:00:00
0.9892,13691475.0000,13544024.0000,2026-08-07 01:00:00
1.1181,11689127.0000,13069928.0000,2026-08-07 02:00:00
0.9937,17280289.0000,17171068.0000,2026-08-07 03:00:00
0.9767,9791396.0000,9563642.0000,2026-08-07 04:00:00
1.0746,5542388.0000,5955821.0000,2026-08-07 05:00:00
1.1249,10827476.0000,12179863.0000,2026-08-07 06:00:00
1.1065,6763031.0000,7483269.0000,2026-08-07 07:00:00
1.0118,4336053.0000,4387421.0000,2026-08-07 08:00:00
1.2292,3641607.0000,4476308.0000,2026-08-07 09:00:00
1.1931,4847359.0000,5783316.0000,2026-08-07 10:00:00
1.0289,5568732.0000,5729621.0000,2026-08-07 11:00:00
1.2303,6951745.0000,8552989.0000,2026-08-07 12:00:00
0.9508,5911732.0000,5620893.0000,2026-08-07 13:00:00
1.2982,5442017.0000,7064565.0000,2026-08-07 14:00:00
1.0551,6371952.0000,6722764.0000,2026-08-07 15:00:00
1.0437,8015357.0000,8365465.0000,2026-08-07 16:00:00
1.2004,3375849.0000,4052391.0000,2026-08-07 17:00:00
1.0163,3459586.0000,3515883.0000,2026-08-07 18:00:00
0.9970,3575450.0000,3564589.0000,2026-08-07 19:00:00
1.3943,6251428.0000,8716093.0000,2026-08-07 20:00:00
1.1594,5245361.0000,6081665.0000,2026-08-07 21:00:00
1.3027,10119887.0000,13183076.0000,2026-08-07 22:00:00
1.1615,9786471.0000,11367186.0000,2026-08-07 23:00:00
1.1928,9958668.0000,11878848.0000,2026-08-08 00:00:00
1.1076,9602230.0000,10635488.0000,2026-08-08 01:00:00
1.0520,13704518.0000,14417411.0000,2026-08-08 02:00:00
0.9768,30778701.0000,30065223.0000,2026-08-08 03:00:00
0.9726,50104084.0000,48733415.0000,2026-08-08 04:00:00
0.9261,61835668.0000,57265040.0000,2026-08-08 05:00:00
0.9974,91772819.0000,91531405.0000,2026-08-08 06:00:00
1.0640,33950095.0000,36123349.0000,2026-08-08 07:00:00
0.9742,54677116.0000,53267083.0000,2026-08-08 08:00:00
0.9047,25787355.0000,23328583.0000,2026-08-08 09:00:00
1.0755,20612231.0000,22169219.0000,2026-08-08 10:00:00
0.9534,33447468.0000,31887577.0000,2026-08-08 11:00:00
0.9577,23310824.0000,22325912.0000,2026-08-08 12:00:00
0.9403,15659870.0000,14724664.0000,2026-08-08 13:00:00
0.9709,11105520.0000,10782571.0000,2026-08-08 14:00:00
0.9288,10870975.0000,10096647.0000,2026-08-08 15:00:00
0.9628,13900076.0000,13383410.0000,2026-08-08 16:00:00
1.2341,9541827.0000,11775324.0000,2026-08-08 17:00:00
0.9338,29742454.0000,27772674.0000,2026-08-08 18:00:00
0.9918,14959338.0000,14836055.0000,2026-08-08 19:00:00
1.0092,7542221.0000,7611335.0000,2026-08-08 20:00:00
1.2162,5221682.0000,6350349.0000,2026-08-08 21:00:00
1.0221,5450497.0000,5571021.0000,2026-08-08 22:00:00
0.9924,4046784.0000,4015990.0000,2026-08-08 23:00:00
1.0456,5115306.0000,5348445.0000,2026-08-09 00:00:00
0.9315,7698821.0000,7171181.0000,2026-08-09 01:00:00
1.1422,10379805.0000,11855621.0000,2026-08-09 02:00:00
0.9569,6307422.0000,6035774.0000,2026-08-09 03:00:00
0.9508,5814572.0000,5528683.0000,2026-08-09 04:00:00
1.1637,6435158.0000,7488323.0000,2026-08-09 05:00:00
1.0139,33874311.0000,34346052.0000,2026-08-09 06:00:00
1.0353,48019558.0000,49716382.0000,2026-08-09 07:00:00
0.9188,29635400.0000,27229844.0000,2026-08-09 08:00:00
1.0291,16673505.0000,17158704.0000,2026-08-09 09:00:00
1.1245,9534552.0000,10721621.0000,2026-08-09 10:00:00
0.9579,11389933.0000,10910250.0000,2026-08-09 11:00:00
0.8851,10202133.0000,9030253.0000,2026-08-09 12:00:00
1.2015,7425614.0000,8921666.0000,2026-08-09 13:00:00
1.0754,8377713.0000,9009156.0000,2026-08-09 14:00:00
1.1659,8008431.0000,9337172.0000,2026-08-09 15:00:00
1.0620,9015195.0000,9574584.0000,2026-08-09 16:00:00
1.0976,3701251.0000,4062622.0000,2026-08-09 17:00:00
1.1450,3475251.0000,3979000.0000,2026-08-09 18:00:00
1.1882,3997765.0000,4749956.0000,2026-08-09 19:00:00
1.2363,3472958.0000,4293446.0000,2026-08-09 20:00:00
1.0934,2977926.0000,3255922.0000,2026-08-09 21:00:00
1.0126,3017910.0000,3055953.0000,2026-08-09 22:00:00
1.0538,7557768.0000,7964636.0000,2026-08-09 23:00:00
1.1079,5002734.0000,5542384.0000,2026-08-10 00:00:00
1.0349,3078678.0000,3186200.0000,2026-08-10 01:00:00
0.9540,2828947.0000,2698839.0000,2026-08-10 02:00:00
1.1601,2699095.0000,3131347.0000,2026-08-10 03:00:00
1.0707,4445360.0000,4759667.0000,2026-08-10 04:00:00
0.9408,4931252.0000,4639265.0000,2026-08-10 05:00:00
1.0278,14446051.0000,14847454.0000,2026-08-10 06:00:00
1.0955,9126901.0000,9998152.0000,2026-08-10 07:00:00
1.0034,8188967.0000,8216906.0000,2026-08-10 08:00:00
1.0147,15176778.0000,15399685.0000,2026-08-10 09:00:00
0.9359,19889446.0000,18613944.0000,2026-08-10 10:00:00
0.9794,9493775.0000,9297818.0000,2026-08-10 11:00:00
0.8978,5792003.0000,5200325.0000,2026-08-10 12:00:00
0.9569,6680385.0000,6392520.0000,2026-08-10 13:00:00
0.9447,13011855.0000,12292344.0000,2026-08-10 14:00:00
0.8345,5579299.0000,4655907.0000,2026-08-10 15:00:00
1.2369,7325522.0000,9061128.0000,2026-08-10 16:00:00
0.9664,7645362.0000,7388445.0000,2026-08-10 17:00:00
0.9084,3046233.0000,2767219.0000,2026-08-10 18:00:00
1.1964,2461499.0000,2945048.0000,2026-08-10 19:00:00
0.9995,4848150.0000,4845701.0000,2026-08-10 20:00:00
1.0028,2414113.0000,2420806.0000,2026-08-10 21:00:00
1.0250,2056734.0000,2108090.0000,2026-08-10 22:00:00
0.9577,2616044.0000,2505316.0000,2026-08-10 23:00:00
1.1360,2639219.0000,2998219.0000,2026-08-11 00:00:00
0.9459,4033775.0000,3815597.0000,2026-08-11 01:00:00
0.9200,11653296.0000,10720968.0000,2026-08-11 02:00:00
0.9614,15169619.0000,14583946.0000,2026-08-11 03:00:00
0.9109,9829343.0000,8953589.0000,2026-08-11 04:00:00
0.9421,4170119.0000,3928736.0000,2026-08-11 05:00:00
0.7640,5860818.0000,4477426.0000,2026-08-11 06:00:00
1.0633,4417040.0000,4696787.0000,2026-08-11 07:00:00
1.3958,2543268.0000,3549931.0000,2026-08-11 08:00:00
0.9822,5075215.0000,4984696.0000,2026-08-11 09:00:00
0.9359,3198070.0000,2993110.0000,2026-08-11 10:00:00
0.9195,3565927.0000,3278904.0000,2026-08-11 11:00:00
0.9388,3861208.0000,3624886.0000,2026-08-11 12:00:00
1.0266,2348696.0000,2411103.0000,2026-08-11 13:00:00
0.8239,3026792.0000,2493806.0000,2026-08-11 14:00:00
0.9436,3517278.0000,3318900.0000,2026-08-11 15:00:00
1.2170,3607892.0000,4390977.0000,2026-08-11 16:00:00
1.0225,2534140.0000,2591146.0000,2026-08-11 17:00:00
1.0818,2210329.0000,2391128.0000,2026-08-11 18:00:00
1.3598,1031282.0000,1402326.0000,2026-08-11 19:00:00
0.9694,3339418.0000,3237228.0000,2026-08-11 20:00:00
1.4171,764808.0000,1083786.0000,2026-08-11 21:00:00
1.1369,2977916.0000,3385728.0000,2026-08-11 22:00:00
0.9805,2187863.0000,2145177.0000,2026-08-11 23:00:00
1.2888,3982509.0000,5132680.0000,2026-08-12 00:00:00
1.0551,2387571.0000,2519010.0000,2026-08-12 01:00:00
0.9883,5446415.0000,5382883.0000,2026-08-12 02:00:00
0.7640,9067785.0000,6927531.0000,2026-08-12 03:00:00
0.8305,5097129.0000,4232947.0000,2026-08-12 04:00:00
1.4011,3838170.0000,5377730.0000,2026-08-12 05:00:00
1.2363,5437445.0000,6722101.0000,2026-08-12 06:00:00
1.2583,6424914.0000,8084742.0000,2026-08-12 07:00:00
1.1067,27471392.0000,30401423.0000,2026-08-12 08:00:00
0.9717,39962484.0000,38831962.0000,2026-08-12 09:00:00
0.9620,25673427.0000,24697911.0000,2026-08-12 10:00:00
0.9635,24220760.0000,23337306.0000,2026-08-12 11:00:00
1.0450,13943836.0000,14571825.0000,2026-08-12 12:00:00
0.9678,19969294.0000,19326663.0000,2026-08-12 13:00:00
0.8878,18579935.0000,16494370.0000,2026-08-12 14:00:00
0.6277,9906471.0000,6218484.0000,2026-08-12 15:00:00
0.9295,10457912.0000,9720434.0000,2026-08-12 16:00:00
1.1155,10841382.0000,12093614.0000,2026-08-12 17:00:00
1.2144,12516395.0000,15199522.0000,2026-08-12 18:00:00
1.0827,15008365.0000,16249630.0000,2026-08-12 19:00:00
1.0496,6411955.0000,6730100.0000,2026-08-12 20:00:00
1.1386,7529763.0000,8573448.0000,2026-08-12 21:00:00
1.0670,6939200.0000,7404232.0000,2026-08-12 22:00:00
1.0513,5220705.0000,5488367.0000,2026-08-12 23:00:00
0.9622,8609796.0000,8284549.0000,2026-08-13 00:00:00
1.1530,5043212.0000,5815005.0000,2026-08-13 01:00:00
1.3619,4654501.0000,6339117.0000,2026-08-13 02:00:00
0.9069,18681780.0000,16941949.0000,2026-08-13 03:00:00
0.9557,33336372.0000,31859006.0000,2026-08-13 04:00:00
0.8740,10607303.0000,9270577.0000,2026-08-13 05:00:00
0.9270,13972707.0000,12952638.0000,2026-08-13 06:00:00
0.9322,15523022.0000,14470887.0000,2026-08-13 07:00:00
0.9487,6184067.0000,5866630.0000,2026-08-13 08:00:00
1.0505,12318008.0000,12939483.0000,2026-08-13 09:00:00
1.0472,9019369.0000,9444671.0000,2026-08-13 10:00:00
0.9193,5678814.0000,5220810.0000,2026-08-13 11:00:00
0.8386,7584846.0000,6360969.0000,2026-08-13 12:00:00
0.9635,7975722.0000,7684686.0000,2026-08-13 13:00:00
1.0005,9508466.0000,9513450.0000,2026-08-13 14:00:00
1.0134,15191514.0000,15395778.0000,2026-08-13 15:00:00
0.9819,7906279.0000,7762963.0000,2026-08-13 16:00:00
1.0254,5310238.0000,5445134.0000,2026-08-13 17:00:00
1.0897,2723898.0000,2968261.0000,2026-08-13 18:00:00
1.4640,11441744.0000,16751271.0000,2026-08-13 19:00:00
1.0787,8816947.0000,9510474.0000,2026-08-13 20:00:00
1.0973,3066431.0000,3364849.0000,2026-08-13 21:00:00
0.9489,4271727.0000,4053568.0000,2026-08-13 22:00:00
0.9777,3389381.0000,3313849.0000,2026-08-13 23:00:00
0.9733,2698950.0000,2626991.0000,2026-08-14 00:00:00
0.9490,4082077.0000,3873961.0000,2026-08-14 01:00:00
1.0492,2955036.0000,3100523.0000,2026-08-14 02:00:00
1.0648,4999602.0000,5323377.0000,2026-08-14 03:00:00
1.1617,6844009.0000,7950864.0000,2026-08-14 04:00:00
1.5141,7343973.0000,11119155.0000,2026-08-14 05:00:00
1.6289,3846370.0000,6265300.0000,2026-08-14 06:00:00
1.3810,3480372.0000,4806304.0000,2026-08-14 07:00:00
1.0127,16366288.0000,16574278.0000,2026-08-14 08:00:00
1.0564,17043406.0000,18004814.0000,2026-08-14 09:00:00
0.9782,24706817.0000,24168524.0000,2026-08-14 10:00:00
0.9765,11650928.0000,11377182.0000,2026-08-14 11:00:00
0.9243,6534225.0000,6039641.0000,2026-08-14 12:00:00
0.8008,5492833.0000,4398574.0000,2026-08-14 13:00:00
0.9569,7795819.0000,7459508.0000,2026-08-14 14:00:00
0.9766,7006374.0000,6842190.0000,2026-08-14 15:00:00
0.9123,7930537.0000,7234948.0000,2026-08-14 16:00:00
0.9967,4125316.0000,4111498.0000,2026-08-14 17:00:00
1.1294,9566432.0000,10804372.0000,2026-08-14 18:00:00
1.0755,4192431.0000,4509062.0000,2026-08-14 19:00:00
1.0978,3451027.0000,3788444.0000,2026-08-14 20:00:00
0.9982,2484708.0000,2480134.0000,2026-08-14 21:00:00
1.2641,4047680.0000,5116660.0000,2026-08-14 22:00:00
1.0050,5944390.0000,5974153.0000,2026-08-14 23:00:00
1.2863,3898340.0000,5014353.0000,2026-08-15 00:00:00
0.9299,4832407.0000,4493725.0000,2026-08-15 01:00:00
0.9274,3539148.0000,3282211.0000,2026-08-15 02:00:00
0.9226,4828411.0000,4454558.0000,2026-08-15 03:00:00
1.0629,4458119.0000,4738595.0000,2026-08-15 04:00:00
1.0343,4254255.0000,4400060.0000,2026-08-15 05:00:00
