longAccount,longShortRatio,shortAccount,time
0.6276,1.6854,0.3724,2026-07-28 20:00:00
0.6254,1.6692,0.3746,2026-07-28 21:00:00
0.6227,1.6504,0.3773,2026-07-28 22:00:00
0.6190,1.6248,0.3810,2026-07-28 23:00:00
0.6164,1.6070,0.3836,2026-07-29 00:00:00
0.6129,1.5834,0.3871,2026-07-29 01:00:00
0.6149,1.5967,0.3851,2026-07-29 02:00:00
0.6170,1.6110,0.3830,2026-07-29 03:00:00
0.6154,1.6000,0.3846,2026-07-29 04:00:00
0.6119,1.5763,0.3881,2026-07-29 05:00:00
0.6139,1.5898,0.3861,2026-07-29 06:00:00
0.6114,1.5732,0.3886,2026-07-29 07:00:00
0.6102,1.5655,0.3898,2026-07-29 08:00:00
0.6134,1.5866,0.3866,2026-07-29 09:00:00
0.6170,1.6107,0.3830,2026-07-29 10:00:00
0.6217,1.6436,0.3783,2026-07-29 11:00:00
0.6271,1.6815,0.3729,2026-07-29 12:00:00
0.6265,1.6776,0.3735,2026-07-29 13:00:00
0.6262,1.6749,0.3738,2026-07-29 14:00:00
0.6270,1.6810,0.3730,2026-07-29 15:00:00
0.6329,1.7244,0.3671,2026-07-29 16:00:00
0.6328,1.7230,0.3672,2026-07-29 17:00:00
0.6350,1.7396,0.3650,2026-07-29 18:00:00
0.6331,1.7256,0.3669,2026-07-29 19:00:00
0.6332,1.7262,0.3668,2026-07-29 20:00:00
0.6318,1.7159,0.3682,2026-07-29 21:00:00
0.6340,1.7322,0.3660,2026-07-29 22:00:00
0.6346,1.7366,0.3654,2026-07-29 23:00:00
0.6360,1.7472,0.3640,2026-07-30 00:00:00
0.6364,1.7502,0.3636,2026-07-30 01:00:00
0.6336,1.7291,0.3664,2026-07-30 02:00:00
0.6280,1.6884,0.3720,2026-07-30 03:00:00
0.6290,1.6956,0.3710,2026-07-30 04:00:00
0.6261,1.6745,0.3739,2026-07-30 05:00:00
0.6172,1.6124,0.3828,2026-07-30 06:00:00
0.6154,1.6001,0.3846,2026-07-30 07:00:00
0.6142,1.5922,0.3858,2026-07-30 08:00:00
0.6171,1.6119,0.3829,2026-07-30 09:00:00
0.6122,1.5788,0.3878,2026-07-30 10:00:00
0.6125,1.5809,0.3875,2026-07-30 11:00:00
0.6041,1.5262,0.3959,2026-07-30 12:00:00
0.5989,1.4934,0.4011,2026-07-30 13:00:00
0.5836,1.4017,0.4164,2026-07-30 14:00:00
0.5755,1.3557,0.4245,2026-07-30 15:00:00
0.5721,1.3369,0.4279,2026-07-30 16:00:00
0.5710,1.3309,0.4290,2026-07-30 17:00:00
0.5692,1.3214,0.4308,2026-07-30 18:00:00
0.5793,1.3770,0.4207,2026-07-30 19:00:00
0.5735,1.3446,0.4265,2026-07-30 20:00:00
0.5642,1.2944,0.4358,2026-07-30 21:00:00
0.5591,1.2680,0.4409,2026-07-30 22:00:00
0.5552,1.2484,0.4448,2026-07-30 23:00:00
0.5543,1.2436,0.4457,2026-07-31 00:00:00
0.5558,1.2510,0.4442,2026-07-31 01:00:00
0.5571,1.2580,0.4429,2026-07-31 02:00:00
0.5602,1.2737,0.4398,2026-07-31 03:00:00
0.5638,1.2926,0.4362,2026-07-31 04:00:00
0.5648,1.2976,0.4352,2026-07-31 05:00:00
0.5603,1.2743,0.4397,2026-07-31 06:00:00
0.5615,1.2807,0.4385,2026-07-31 07:00:00
0.5573,1.2589,0.4427,2026-07-31 08:00:00
0.5507,1.2256,0.4493,2026-07-31 09:00:00
0.5554,1.2492,0.4446,2026-07-31 10:00:00
0.5655,1.3015,0.4345,2026-07-31 11:00:00
0.5698,1.3248,0.4302,2026-07-31 12:00:00
0.5660,1.3039,0.4340,2026-07-31 13:00:00
0.5631,1.2890,0.4369,2026-07-31 14:00:00
0.5635,1.2912,0.4365,2026-07-31 15:00:00
0.5644,1.2955,0.4356,2026-07-31 16:00:00
0.5585,1.2649,0.4415,2026-07-31 17:00:00
0.5565,1.2550,0.4435,2026-07-31 18:00:00
0.5546,1.2450,0.4454,2026-07-31 19:00:00
0.5528,1.2362,0.4472,2026-07-31 20:00:00
0.5519,1.2318,0.4481,2026-07-31 21:00:00
0.5510,1.2272,0.4490,2026-07-31 22:00:00
0.5525,1.2345,0.4475,2026-07-31 23:00:00
0.5499,1.2216,0.4501,2026-08-01 00:00:00
0.5494,1.2194,0.4506,2026-08-01 01:00:00
0.5426,1.1861,0.4574,2026-08-01 02:00:00
0.5429,1.1876,0.4571,2026-08-01 03:00:00
0.5408,1.1777,0.4592,2026-08-01 04:00:00
0.5404,1.1759,0.4596,2026-08-01 05:00:00
0.5403,1.1754,0.4597,2026-08-01 06:00:00
0.5391,1.1698,0.4609,2026-08-01 07:00:00
0.5386,1.1673,0.4614,2026-08-01 08:00:00
0.5389,1.1686,0.4611,2026-08-01 09:00:00
0.5416,1.1816,0.4584,2026-08-01 10:00:00
0.5451,1.1985,0.4549,2026-08-01 11:00:00
0.5474,1.2095,0.4526,2026-08-01 12:00:00
0.5505,1.2247,0.4495,2026-08-01 13:00:00
0.5498,1.2212,0.4502,2026-08-01 14:00:00
0.5505,1.2249,0.4495,2026-08-01 15:00:00
0.5528,1.2363,0.4472,2026-08-01 16:00:00
0.5554,1.2491,0.4446,2026-08-01 17:00:00
0.5577,1.2610,0.4423,2026-08-01 18:00:00
0.5599,1.2724,0.4401,2026-08-01 19:00:00
0.5605,1.2752,0.4395,2026-08-01 20:00:00
0.5638,1.2924,0.4362,2026-08-01 21:00:00
0.5660,1.3040,0.4340,2026-08-01 22:00:00
0.5680,1.3149,0.4320,2026-08-01 23:00:00
0.5707,1.3296,0.4293,2026-08-02 00:00:00
0.5696,1.3232,0.4304,2026-08-02 01:00:00
0.5698,1.3243,0.4302,2026-08-02 02:00:00
0.5707,1.3292,0.4293,2026-08-02 03:00:00
0.5776,1.3675,0.4224,2026-08-02 04:00:00
0.5797,1.3795,0.4203,2026-08-02 05:00:00
0.5792,1.3765,0.4208,2026-08-02 06:00:00
0.5813,1.3883,0.4187,2026-08-02 07:00:00
0.5879,1.4267,0.4121,2026-08-02 08:00:00
0.5901,1.4398,0.4099,2026-08-02 09:00:00
0.5901,1.4399,0.4099,2026-08-02 10:00:00
0.5882,1.4284,0.4118,2026-08-02 11:00:00
0.5862,1.4164,0.4138,2026-08-02 12:00:00
0.5868,1.4199,0.4132,2026-08-02 13:00:00
0.5870,1.4215,0.4130,2026-08-02 14:00:00
0.5888,1.4321,0.4112,2026-08-02 15:00:00
0.5895,1.4359,0.4105,2026-08-02 16:00:00
0.5908,1.4438,0.4092,2026-08-02 17:00:00
0.5917,1.4494,0.4083,2026-08-02 18:00:00
0.5916,1.4487,0.4084,2026-08-02 19:00:00
0.5914,1.4474,0.4086,2026-08-02 20:00:00
0.5933,1.4591,0.4067,2026-08-02 21:00:00
0.5920,1.4510,0.4080,2026-08-02 22:00:00
0.5919,1.4501,0.4081,2026-08-02 23:00:00
0.5930,1.4572,0.4070,2026-08-03 00:00:00
0.5953,1.4710,0.4047,2026-08-03 01:00:00
0.5960,1.4751,0.4040,2026-08-03 02:00:00
0.5951,1.4696,0.4049,2026-08-03 03:00:00
0.5958,1.4740,0.4042,2026-08-03 04:00:00
0.5958,1.4742,0.4042,2026-08-03 05:00:00
0.5972,1.4824,0.4028,2026-08-03 06:00:00
0.5969,1.4805,0.4031,2026-08-03 07:00:00
0.5963,1.4771,0.4037,2026-08-03 08:00:00
0.5957,1.4733,0.4043,2026-08-03 09:00:00
0.5955,1.4724,0.4045,2026-08-03 10:00:00
0.5941,1.4634,0.4059,2026-08-03 11:00:00
0.5939,1.4624,0.4061,2026-08-03 12:00:00
0.5938,1.4617,0.4062,2026-08-03 13:00:00
0.5938,1.4617,0.4062,2026-08-03 14:00:00
0.5953,1.4708,0.4047,2026-08-03 15:00:00
0.5965,1.4781,0.4035,2026-08-03 16:00:00
0.5966,1.4790,0.4034,2026-08-03 17:00:00
0.5960,1.4753,0.4040,2026-08-03 18:00:00
0.5953,1.4712,0.4047,2026-08-03 19:00:00
0.5936,1.4604,0.4064,2026-08-03 20:00:00
0.5909,1.4446,0.4091,2026-08-03 21:00:00
0.5876,1.4251,0.4124,2026-08-03 22:00:00
0.5888,1.4320,0.4112,2026-08-03 23:00:00
0.5857,1.4136,0.4143,2026-08-04 00:00:00
0.5827,1.3963,0.4173,2026-08-04 01:00:00
0.5812,1.3879,0.4188,2026-08-04 02:00:00
0.5823,1.3943,0.4177,2026-08-04 03:00:00
0.5831,1.3988,0.4169,2026-08-04 04:00:00
0.5830,1.3982,0.4170,2026-08-04 05:00:00
0.5835,1.4009,0.4165,2026-08-04 06:00:00
0.5841,1.4047,0.4159,2026-08-04 07:00:00
0.5843,1.4058,0.4157,2026-08-04 08:00:00
0.5880,1.4274,0.4120,2026-08-04 09:00:00
0.5901,1.4394,0.4099,2026-08-04 10:00:00
0.5901,1.4399,0.4099,2026-08-04 11:00:00
0.5924,1.4532,0.4076,2026-08-04 12:00:00
0.5912,1.4461,0.4088,2026-08-04 13:00:00
0.5939,1.4622,0.4061,2026-08-04 14:00:00
0.5943,1.4646,0.4057,2026-08-04 15:00:00
0.5866,1.4190,0.4134,2026-08-04 16:00:00
0.5907,1.4433,0.4093,2026-08-04 17:00:00
0.5888,1.4319,0.4112,2026-08-04 18:00:00
0.5879,1.4267,0.4121,2026-08-04 19:00:00
0.5875,1.4241,0.4125,2026-08-04 20:00:00
0.5881,1.4278,0.4119,2026-08-04 21:00:00
0.5881,1.4276,0.4119,2026-08-04 22:00:00
0.5836,1.4016,0.4164,2026-08-04 23:00:00
0.5842,1.4052,0.4158,2026-08-05 00:00:00
0.5857,1.4136,0.4143,2026-08-05 01:00:00
0.5856,1.4129,0.4144,2026-08-05 02:00:00
0.5863,1.4174,0.4137,2026-08-05 03:00:00
0.5874,1.4236,0.4126,2026-08-05 04:00:00
0.5889,1.4326,0.4111,2026-08-05 05:00:00
0.5889,1.4324,0.4111,2026-08-05 06:00:00
0.5913,1.4471,0.4087,2026-08-05 07:00:00
0.5927,1.4552,0.4073,2026-08-05 08:00:00
0.5932,1.4581,0.4068,2026-08-05 09:00:00
0.5930,1.4572,0.4070,2026-08-05 10:00:00
0.5924,1.4532,0.4076,2026-08-05 11:00:00
0.5929,1.4566,0.4071,2026-08-05 12:00:00
0.5971,1.4818,0.4029,2026-08-05 13:00:00
0.5940,1.4630,0.4060,2026-08-05 14:00:00
0.5933,1.4586,0.4067,2026-08-05 15:00:00
0.5951,1.4699,0.4049,2026-08-05 16:00:00
0.5956,1.4731,0.4044,2026-08-05 17:00:00
0.5965,1.4784,0.4035,2026-08-05 18:00:00
0.5955,1.4719,0.4045,2026-08-05 19:00:00
0.5941,1.4636,0.4059,2026-08-05 20:00:00
0.5928,1.4560,0.4072,2026-08-05 21:00:00
0.5938,1.4620,0.4062,2026-08-05 22:00:00
0.5923,1.4529,0.4077,2026-08-05 23:00:00
0.5941,1.4634,0.4059,2026-08-06 00:00:00
0.5963,1.4773,0.4037,2026-08-06 01:00:00
0.5846,1.4073,0.4154,2026-08-06 02:00:00
0.5501,1.2228,0.4499,2026-08-06 03:00:00
0.5475,1.2098,0.4525,2026-08-06 04:00:00
0.5362,1.1559,0.4638,2026-08-06 05:00:00
0.5551,1.2475,0.4449,2026-08-06 06:00:00
0.5606,1.2758,0.4394,2026-08-06 07:00:00
0.5567,1.2560,0.4433,2026-08-06 08:00:00
0.5544,1.2443,0.4456,2026-08-06 09:00:00
0.5502,1.2235,0.4498,2026-08-06 10:00:00
0.5504,1.2242,0.4496,2026-08-06 11:00:00
0.5453,1.1992,0.4547,2026-08-06 12:00:00
0.5414,1.1803,0.4586,2026-08-06 13:00:00
0.5431,1.1887,0.4569,2026-08-06 14:00:00
0.5381,1.1650,0.4619,2026-08-06 15:00:00
0.5337,1.1445,0.4663,2026-08-06 16:00:00
0.5316,1.1349,0.4684,2026-08-06 17:00:00
0.5323,1.1379,0.4677,2026-08-06 18:00:00
0.5317,1.1353,0.4683,2026-08-06 19:00:00
0.5335,1.1434,0.4665,2026-08-06 20:00:00
0.5334,1.1430,0.4666,2026-08-06 21:00:00
0.5382,1.1652,0.4618,2026-08-06 22:00:00
0.5375,1.1620,0.4625,2026-08-06 23:00:00
0.5372,1.1605,0.4628,2026-08-07 00:00:00
0.5395,1.1714,0.4605,2026-08-07 01:00:00
0.5380,1.1645,0.4620,2026-08-07 02:00:00
0.5552,1.2483,0.4448,2026-08-07 03:00:00
0.5575,1.2601,0.4425,2026-08-07 04:00:00
0.5603,1.2743,0.4397,2026-08-07 05:00:00
0.5642,1.2947,0.4358,2026-08-07 06:00:00
0.5659,1.3034,0.4341,2026-08-07 07:00:00
0.5674,1.3114,0.4326,2026-08-07 08:00:00
