longAccount,longShortRatio,shortAccount,time
0.5937,1.4612,0.4063,2026-07-28 16:00:00
0.5703,1.3272,0.4297,2026-07-28 17:00:00
0.5849,1.4091,0.4151,2026-07-28 18:00:00
0.5915,1.4480,0.4085,2026-07-28 19:00:00
0.5950,1.4691,0.4050,2026-07-28 20:00:00
0.5886,1.4307,0.4114,2026-07-28 21:00:00
0.5912,1.4462,0.4088,2026-07-28 22:00:00
0.5862,1.4166,0.4138,2026-07-28 23:00:00
0.5908,1.4438,0.4092,2026-07-29 00:00:00
0.5833,1.3998,0.4167,2026-07-29 01:00:00
0.5812,1.3878,0.4188,2026-07-29 02:00:00
0.5846,1.4073,0.4154,2026-07-29 03:00:00
0.5894,1.4355,0.4106,2026-07-29 04:00:00
0.5826,1.3958,0.4174,2026-07-29 05:00:00
0.5976,1.4851,0.4024,2026-07-29 06:00:00
0.5900,1.4390,0.4100,2026-07-29 07:00:00
0.6060,1.5381,0.3940,2026-07-29 08:00:00
0.6020,1.5126,0.3980,2026-07-29 09:00:00
0.5789,1.3747,0.4211,2026-07-29 10:00:00
0.5920,1.4510,0.4080,2026-07-29 11:00:00
0.6110,1.5707,0.3890,2026-07-29 12:00:00
0.6054,1.5342,0.3946,2026-07-29 13:00:00
0.6257,1.6717,0.3743,2026-07-29 14:00:00
0.6150,1.5974,0.3850,2026-07-29 15:00:00
0.6198,1.6302,0.3802,2026-07-29 16:00:00
0.6173,1.6130,0.3827,2026-07-29 17:00:00
0.6064,1.5407,0.3936,2026-07-29 18:00:00
0.6092,1.5589,0.3908,2026-07-29 19:00:00
0.6259,1.6731,0.3741,2026-07-29 20:00:00
0.6093,1.5595,0.3907,2026-07-29 21:00:00
0.6262,1.6752,0.3738,2026-07-29 22:00:00
0.6084,1.5536,0.3916,2026-07-29 23:00:00
0.5973,1.4832,0.4027,2026-07-30 00:00:00
0.6089,1.5569,0.3911,2026-07-30 01:00:00
0.6108,1.5694,0.3892,2026-07-30 02:00:00
0.6119,1.5767,0.3881,2026-07-30 03:00:00
0.6230,1.6525,0.3770,2026-07-30 04:00:00
0.6074,1.5471,0.3926,2026-07-30 05:00:00
0.6056,1.5355,0.3944,2026-07-30 06:00:00
0.6087,1.5556,0.3913,2026-07-30 07:00:00
0.6257,1.6717,0.3743,2026-07-30 08:00:00
0.6100,1.5641,0.3900,2026-07-30 09:00:00
0.5980,1.4876,0.4020,2026-07-30 10:00:00
0.6221,1.6462,0.3779,2026-07-30 11:00:00
0.6169,1.6103,0.3831,2026-07-30 12:00:00
0.6206,1.6357,0.3794,2026-07-30 13:00:00
0.5988,1.4925,0.4012,2026-07-30 14:00:00
0.5350,1.1505,0.4650,2026-07-30 15:00:00
0.5692,1.3213,0.4308,2026-07-30 16:00:00
0.5465,1.2051,0.4535,2026-07-30 17:00:00
0.5428,1.1872,0.4572,2026-07-30 18:00:00
0.5321,1.1372,0.4679,2026-07-30 19:00:00
0.5312,1.1331,0.4688,2026-07-30 20:00:00
0.5366,1.1580,0.4634,2026-07-30 21:00:00
0.5418,1.1825,0.4582,2026-07-30 22:00:00
0.5425,1.1858,0.4575,2026-07-30 23:00:00
0.5418,1.1825,0.4582,2026-07-31 00:00:00
0.5380,1.1645,0.4620,2026-07-31 01:00:00
0.5412,1.1796,0.4588,2026-07-31 02:00:00
0.5306,1.1304,0.4694,2026-07-31 03:00:00
0.5482,1.2134,0.4518,2026-07-31 04:00:00
0.5438,1.1920,0.4562,2026-07-31 05:00:00
0.5441,1.1935,0.4559,2026-07-31 06:00:00
0.5363,1.1566,0.4637,2026-07-31 07:00:00
0.5333,1.1427,0.4667,2026-07-31 08:00:00
0.5416,1.1815,0.4584,2026-07-31 09:00:00
0.5514,1.2292,0.4486,2026-07-31 10:00:00
0.5449,1.1973,0.4551,2026-07-31 11:00:00
0.5320,1.1368,0.4680,2026-07-31 12:00:00
0.5459,1.2022,0.4541,2026-07-31 13:00:00
0.5272,1.1151,0.4728,2026-07-31 14:00:00
0.5437,1.1915,0.4563,2026-07-31 15:00:00
0.5494,1.2193,0.4506,2026-07-31 16:00:00
0.5375,1.1622,0.4625,2026-07-31 17:00:00
0.5363,1.1566,0.4637,2026-07-31 18:00:00
0.5320,1.1368,0.4680,2026-07-31 19:00:00
0.5220,1.0921,0.4780,2026-07-31 20:00:00
0.5274,1.1160,0.4726,2026-07-31 21:00:00
0.5079,1.0321,0.4921,2026-07-31 22:00:00
0.5227,1.0951,0.4773,2026-07-31 23:00:00
0.5140,1.0576,0.4860,2026-08-01 00:00:00
0.5144,1.0593,0.4856,2026-08-01 01:00:00
0.5181,1.0751,0.4819,2026-08-01 02:00:00
0.5292,1.1240,0.4708,2026-08-01 03:00:00
0.5262,1.1106,0.4738,2026-08-01 04:00:00
0.5210,1.0877,0.4790,2026-08-01 05:00:00
0.5279,1.1182,0.4721,2026-08-01 06:00:00
0.5487,1.2158,0.4513,2026-08-01 07:00:00
0.5553,1.2487,0.4447,2026-08-01 08:00:00
0.5393,1.1706,0.4607,2026-08-01 09:00:00
0.5419,1.1829,0.4581,2026-08-01 10:00:00
0.5491,1.2178,0.4509,2026-08-01 11:00:00
0.5548,1.2462,0.4452,2026-08-01 12:00:00
0.5463,1.2041,0.4537,2026-08-01 13:00:00
0.5548,1.2462,0.4452,2026-08-01 14:00:00
0.5561,1.2528,0.4439,2026-08-01 15:00:00
0.5535,1.2396,0.4465,2026-08-01 16:00:00
0.5485,1.2148,0.4515,2026-08-01 17:00:00
0.5472,1.2085,0.4528,2026-08-01 18:00:00
0.5557,1.2507,0.4443,2026-08-01 19:00:00
0.5491,1.2178,0.4509,2026-08-01 20:00:00
0.5563,1.2538,0.4437,2026-08-01 21:00:00
0.5597,1.2712,0.4403,2026-08-01 22:00:00
0.5572,1.2584,0.4428,2026-08-01 23:00:00
0.5525,1.2346,0.4475,2026-08-02 00:00:00
0.5491,1.2178,0.4509,2026-08-02 01:00:00
0.5649,1.2983,0.4351,2026-08-02 02:00:00
0.5448,1.1968,0.4552,2026-08-02 03:00:00
0.5645,1.2962,0.4355,2026-08-02 04:00:00
0.5590,1.2676,0.4410,2026-08-02 05:00:00
0.5518,1.2311,0.4482,2026-08-02 06:00:00
0.5620,1.2831,0.4380,2026-08-02 07:00:00
0.5605,1.2753,0.4395,2026-08-02 08:00:00
0.5468,1.2065,0.4532,2026-08-02 09:00:00
0.5315,1.1345,0.4685,2026-08-02 10:00:00
0.5366,1.1580,0.4634,2026-08-02 11:00:00
0.5363,1.1566,0.4637,2026-08-02 12:00:00
0.5426,1.1863,0.4574,2026-08-02 13:00:00
0.5382,1.1654,0.4618,2026-08-02 14:00:00
0.5399,1.1734,0.4601,2026-08-02 15:00:00
0.5369,1.1594,0.4631,2026-08-02 16:00:00
0.5461,1.2031,0.4539,2026-08-02 17:00:00
0.5456,1.2007,0.4544,2026-08-02 18:00:00
0.5521,1.2326,0.4479,2026-08-02 19:00:00
0.5321,1.1372,0.4679,2026-08-02 20:00:00
0.5321,1.1372,0.4679,2026-08-02 21:00:00
0.5310,1.1322,0.4690,2026-08-02 22:00:00
0.5267,1.1128,0.4733,2026-08-02 23:00:00
0.5177,1.0734,0.4823,2026-08-03 00:00:00
0.5218,1.0912,0.4782,2026-08-03 01:00:00
0.5059,1.0239,0.4941,2026-08-03 02:00:00
0.5063,1.0255,0.4937,2026-08-03 03:00:00
0.5012,1.0048,0.4988,2026-08-03 04:00:00
0.5016,1.0064,0.4984,2026-08-03 05:00:00
0.5067,1.0272,0.4933,2026-08-03 06:00:00
0.5108,1.0442,0.4892,2026-08-03 07:00:00
0.5100,1.0408,0.4900,2026-08-03 08:00:00
0.5280,1.1186,0.4720,2026-08-03 09:00:00
0.5162,1.0670,0.4838,2026-08-03 10:00:00
0.5275,1.1164,0.4725,2026-08-03 11:00:00
0.5641,1.2941,0.4359,2026-08-03 12:00:00
0.5478,1.2114,0.4522,2026-08-03 13:00:00
0.5222,1.0929,0.4778,2026-08-03 14:00:00
0.5068,1.0276,0.4932,2026-08-03 15:00:00
0.4843,0.9391,0.5157,2026-08-03 16:00:00
0.5060,1.0243,0.4940,2026-08-03 17:00:00
0.5105,1.0429,0.4895,2026-08-03 18:00:00
0.4825,0.9324,0.5175,2026-08-03 19:00:00
0.4668,0.8755,0.5332,2026-08-03 20:00:00
0.4929,0.9720,0.5071,2026-08-03 21:00:00
0.4894,0.9585,0.5106,2026-08-03 22:00:00
0.4880,0.9531,0.5120,2026-08-03 23:00:00
0.4891,0.9573,0.5109,2026-08-04 00:00:00
0.4869,0.9489,0.5131,2026-08-04 01:00:00
0.4989,0.9956,0.5011,2026-08-04 02:00:00
0.4891,0.9573,0.5109,2026-08-04 03:00:00
0.4875,0.9512,0.5125,2026-08-04 04:00:00
0.4896,0.9592,0.5104,2026-08-04 05:00:00
0.4899,0.9604,0.5101,2026-08-04 06:00:00
0.4848,0.9410,0.5152,2026-08-04 07:00:00
0.4900,0.9608,0.5100,2026-08-04 08:00:00
0.4889,0.9566,0.5111,2026-08-04 09:00:00
0.4952,0.9810,0.5048,2026-08-04 10:00:00
0.5189,1.0786,0.4811,2026-08-04 11:00:00
0.5108,1.0442,0.4892,2026-08-04 12:00:00
0.5264,1.1115,0.4736,2026-08-04 13:00:00
0.4793,0.9205,0.5207,2026-08-04 14:00:00
0.4794,0.9209,0.5206,2026-08-04 15:00:00
0.4793,0.9205,0.5207,2026-08-04 16:00:00
0.4763,0.9095,0.5237,2026-08-04 17:00:00
0.4816,0.9290,0.5184,2026-08-04 18:00:00
0.4724,0.8954,0.5276,2026-08-04 19:00:00
0.4577,0.8440,0.5423,2026-08-04 20:00:00
0.4908,0.9639,0.5092,2026-08-04 21:00:00
0.5011,1.0044,0.4989,2026-08-04 22:00:00
0.4928,0.9716,0.5072,2026-08-04 23:00:00
0.4896,0.9592,0.5104,2026-08-05 00:00:00
0.4957,0.9829,0.5043,2026-08-05 01:00:00
0.5028,1.0113,0.4972,2026-08-05 02:00:00
0.5061,1.0247,0.4939,2026-08-05 03:00:00
0.4982,0.9928,0.5018,2026-08-05 04:00:00
0.4867,0.9482,0.5133,2026-08-05 05:00:00
