sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,time
33326.74000000,6254096.02840000,0.00000000,2026-07-28 16:00:00
33247.11000000,6377052.94751363,0.00000000,2026-07-28 17:00:00
33550.52000000,6406807.29920000,0.00000000,2026-07-28 18:00:00
33595.79000000,6350276.22580000,0.00000000,2026-07-28 19:00:00
33760.69000000,6501989.29876572,0.00000000,2026-07-28 20:00:00
33494.91000000,6420303.04082376,0.00000000,2026-07-28 21:00:00
33159.02000000,6340999.39460000,0.00000000,2026-07-28 22:00:00
32834.55000000,6137538.14788262,0.00000000,2026-07-28 23:00:00
33221.75000000,6366304.37723190,0.00000000,2026-07-29 00:00:00
34065.31000000,6534863.73757198,0.00000000,2026-07-29 01:00:00
34133.68000000,6411647.71851046,0.00000000,2026-07-29 02:00:00
34151.71000000,6397981.35140000,0.00000000,2026-07-29 03:00:00
34088.44000000,6326758.19250767,0.00000000,2026-07-29 04:00:00
35001.35000000,6527051.74800000,0.00000000,2026-07-29 05:00:00
34482.11000000,6460474.09412746,0.00000000,2026-07-29 06:00:00
34370.63000000,6509781.32934586,0.00000000,2026-07-29 07:00:00
34427.02000000,6485550.81057406,0.00000000,2026-07-29 08:00:00
34573.92000000,6574654.22386883,0.00000000,2026-07-29 09:00:00
35229.54000000,6820174.89225638,0.00000000,2026-07-29 10:00:00
35166.46000000,6742407.90817773,0.00000000,2026-07-29 11:00:00
35155.15000000,6741351.56400000,0.00000000,2026-07-29 12:00:00
35210.95000000,6673191.71078896,0.00000000,2026-07-29 13:00:00
36093.14000000,6583860.12720659,0.00000000,2026-07-29 14:00:00
37301.61000000,6669450.61561966,0.00000000,2026-07-29 15:00:00
37770.02000000,6607864.99900000,0.00000000,2026-07-29 16:00:00
39102.45000000,6858476.80068143,0.00000000,2026-07-29 17:00:00
38989.56000000,6957052.02648822,0.00000000,2026-07-29 18:00:00
38540.88000000,7053510.57087913,0.00000000,2026-07-29 19:00:00
39011.68000000,6612334.34981455,0.00000000,2026-07-29 20:00:00
40317.34000000,6830563.74280000,0.00000000,2026-07-29 21:00:00
40338.66000000,6810506.27619372,0.00000000,2026-07-29 22:00:00
40401.05000000,6975396.66453429,0.00000000,2026-07-29 23:00:00
40304.23000000,6981846.24342013,0.00000000,2026-07-30 00:00:00
40504.25000000,7013645.13748194,0.00000000,2026-07-30 01:00:00
40906.69000000,7176058.55583274,0.00000000,2026-07-30 02:00:00
40734.95000000,7017363.48053425,0.00000000,2026-07-30 03:00:00
40699.47000000,7023100.54320000,0.00000000,2026-07-30 04:00:00
40618.17000000,6924561.16011948,0.00000000,2026-07-30 05:00:00
40419.12000000,6947640.71713122,0.00000000,2026-07-30 06:00:00
40473.38000000,6917305.37580000,0.00000000,2026-07-30 07:00:00
40847.97000000,6973973.91810000,0.00000000,2026-07-30 08:00:00
