buySellRatio,sellVol,buyVol,time
1.1996,2773586.0000,3327210.0000,2026-07-28 19:00:00
1.5724,2265767.0000,3562661.0000,2026-07-28 20:00:00
1.2977,1685072.0000,2186652.0000,2026-07-28 21:00:00
0.8849,2820481.0000,2495949.0000,2026-07-28 22:00:00
0.6824,3882807.0000,2649785.0000,2026-07-28 23:00:00
1.2205,5319442.0000,6492227.0000,2026-07-29 00:00:00
0.5391,10826121.0000,5836597.0000,2026-07-29 01:00:00
0.7930,8625504.0000,6839840.0000,2026-07-29 02:00:00
0.5731,5140101.0000,2945976.0000,2026-07-29 03:00:00
0.8020,7196221.0000,5771420.0000,2026-07-29 04:00:00
1.4051,6873951.0000,9658811.0000,2026-07-29 05:00:00
1.2119,6371524.0000,7721711.0000,2026-07-29 06:00:00
1.3032,7179224.0000,9355709.0000,2026-07-29 07:00:00
1.0111,14706835.0000,14870013.0000,2026-07-29 08:00:00
0.7252,12422177.0000,9008097.0000,2026-07-29 09:00:00
0.9268,12032381.0000,11151764.0000,2026-07-29 10:00:00
1.3034,4702924.0000,6129749.0000,2026-07-29 11:00:00
0.9106,5936618.0000,5405803.0000,2026-07-29 12:00:00
1.2198,4408677.0000,5377649.0000,2026-07-29 13:00:00
0.6917,6100745.0000,4220045.0000,2026-07-29 14:00:00
1.5535,2602365.0000,4042759.0000,2026-07-29 15:00:00
0.8639,4002193.0000,3457549.0000,2026-07-29 16:00:00
1.7394,2594795.0000,4513282.0000,2026-07-29 17:00:00
1.0194,6314494.0000,6436823.0000,2026-07-29 18:00:00
0.7032,6029815.0000,4240225.0000,2026-07-29 19:00:00
1.0762,6355918.0000,6840534.0000,2026-07-29 20:00:00
1.4575,3198714.0000,4662082.0000,2026-07-29 21:00:00
1.0773,2501847.0000,2695237.0000,2026-07-29 22:00:00
0.9612,2235958.0000,2149105.0000,2026-07-29 23:00:00
0.9216,4727311.0000,4356897.0000,2026-07-30 00:00:00
1.1029,4352863.0000,4800741.0000,2026-07-30 01:00:00
1.4996,2049627.0000,3073689.0000,2026-07-30 02:00:00
0.8033,3548466.0000,2850598.0000,2026-07-30 03:00:00
0.2619,6696845.0000,1753855.0000,2026-07-30 04:00:00
0.6149,4943814.0000,3039779.0000,2026-07-30 05:00:00
1.2690,5706730.0000,7241680.0000,2026-07-30 06:00:00
0.9499,3748610.0000,3560817.0000,2026-07-30 07:00:00
0.7659,2876422.0000,2203058.0000,2026-07-30 08:00:00
1.1740,3560196.0000,4179531.0000,2026-07-30 09:00:00
1.0976,6047318.0000,6637379.0000,2026-07-30 10:00:00
0.6100,4456990.0000,2718635.0000,2026-07-30 11:00:00
0.6679,4676766.0000,3123510.0000,2026-07-30 12:00:00
1.1420,3384160.0000,3864549.0000,2026-07-30 13:00:00
1.2640,2924064.0000,3696101.0000,2026-07-30 14:00:00
0.6010,2806407.0000,1686568.0000,2026-07-30 15:00:00
0.5924,1916703.0000,1135503.0000,2026-07-30 16:00:00
0.6752,2117795.0000,1429874.0000,2026-07-30 17:00:00
0.7956,3553688.0000,2827405.0000,2026-07-30 18:00:00
1.1605,1637403.0000,1900198.0000,2026-07-30 19:00:00
0.2903,4117972.0000,1195517.0000,2026-07-30 20:00:00
0.7144,2188764.0000,1563762.0000,2026-07-30 21:00:00
2.2568,2584432.0000,5832478.0000,2026-07-30 22:00:00
0.6399,3077635.0000,1969364.0000,2026-07-30 23:00:00
0.9685,3344869.0000,3239621.0000,2026-07-31 00:00:00
1.0848,3819338.0000,4143398.0000,2026-07-31 01:00:00
0.4230,4652226.0000,1967969.0000,2026-07-31 02:00:00
1.2237,2367231.0000,2896801.0000,2026-07-31 03:00:00
0.9995,2342049.0000,2340965.0000,2026-07-31 04:00:00
1.0113,2001102.0000,2023664.0000,2026-07-31 05:00:00
0.9719,1754550.0000,1705174.0000,2026-07-31 06:00:00
1.2815,2831855.0000,3629051.0000,2026-07-31 07:00:00
0.7881,2730760.0000,2152036.0000,2026-07-31 08:00:00
1.3634,1929476.0000,2630579.0000,2026-07-31 09:00:00
1.6711,2316331.0000,3870799.0000,2026-07-31 10:00:00
0.9984,2326137.0000,2322459.0000,2026-07-31 11:00:00
1.3438,2438324.0000,3276583.0000,2026-07-31 12:00:00
0.9681,2662133.0000,2577170.0000,2026-07-31 13:00:00
0.9107,12207809.0000,11117531.0000,2026-07-31 14:00:00
1.6489,8138282.0000,13419559.0000,2026-07-31 15:00:00
0.5162,9057342.0000,4675096.0000,2026-07-31 16:00:00
1.1068,5383742.0000,5958658.0000,2026-07-31 17:00:00
1.2787,3494431.0000,4468294.0000,2026-07-31 18:00:00
0.9353,3674698.0000,3436785.0000,2026-07-31 19:00:00
1.0732,2941162.0000,3156391.0000,2026-07-31 20:00:00
1.0166,5324647.0000,5412808.0000,2026-07-31 21:00:00
0.5494,4452860.0000,2446418.0000,2026-07-31 22:00:00
0.7569,4371336.0000,3308711.0000,2026-07-31 23:00:00
1.0056,2392840.0000,2406276.0000,2026-08-01 00:00:00
1.1828,2432553.0000,2877220.0000,2026-08-01 01:00:00
1.4293,2657709.0000,3798558.0000,2026-08-01 02:00:00
1.1851,3204412.0000,3797524.0000,2026-08-01 03:00:00
2.8442,975866.0000,2775525.0000,2026-08-01 04:00:00
1.0956,3877331.0000,4248181.0000,2026-08-01 05:00:00
0.8505,1908382.0000,1623083.0000,2026-08-01 06:00:00
1.8055,1365964.0000,2466266.0000,2026-08-01 07:00:00
1.0754,1034315.0000,1112294.0000,2026-08-01 08:00:00
1.6507,1252189.0000,2066995.0000,2026-08-01 09:00:00
0.7454,2832301.0000,2111247.0000,2026-08-01 10:00:00
0.7055,3013560.0000,2125945.0000,2026-08-01 11:00:00
1.3946,1094420.0000,1526264.0000,2026-08-01 12:00:00
0.5482,6644203.0000,3642282.0000,2026-08-01 13:00:00
0.8205,2314871.0000,1899467.0000,2026-08-01 14:00:00
0.5023,4156186.0000,2087852.0000,2026-08-01 15:00:00
0.7481,2938436.0000,2198247.0000,2026-08-01 16:00:00
0.5769,1675027.0000,966297.0000,2026-08-01 17:00:00
