longAccount,longShortRatio,shortAccount,time
0.5368,1.1589,0.4632,2026-07-28 20:00:00
0.5389,1.1687,0.4611,2026-07-28 21:00:00
0.5387,1.1678,0.4613,2026-07-28 22:00:00
0.5356,1.1533,0.4644,2026-07-28 23:00:00
0.5318,1.1358,0.4682,2026-07-29 00:00:00
0.5358,1.1542,0.4642,2026-07-29 01:00:00
0.5396,1.1720,0.4604,2026-07-29 02:00:00
0.5437,1.1915,0.4563,2026-07-29 03:00:00
0.5464,1.2046,0.4536,2026-07-29 04:00:00
0.5450,1.1978,0.4550,2026-07-29 05:00:00
0.5442,1.1939,0.4558,2026-07-29 06:00:00
0.5390,1.1692,0.4610,2026-07-29 07:00:00
0.5404,1.1758,0.4596,2026-07-29 08:00:00
0.5439,1.1925,0.4561,2026-07-29 09:00:00
0.5400,1.1739,0.4600,2026-07-29 10:00:00
0.5399,1.1734,0.4601,2026-07-29 11:00:00
0.5465,1.2051,0.4535,2026-07-29 12:00:00
0.5446,1.1959,0.4554,2026-07-29 13:00:00
0.5409,1.1782,0.4591,2026-07-29 14:00:00
0.5355,1.1529,0.4645,2026-07-29 15:00:00
0.5230,1.0964,0.4770,2026-07-29 16:00:00
0.5178,1.0738,0.4822,2026-07-29 17:00:00
0.5175,1.0725,0.4825,2026-07-29 18:00:00
0.5402,1.1749,0.4598,2026-07-29 19:00:00
0.5367,1.1584,0.4633,2026-07-29 20:00:00
0.5420,1.1834,0.4580,2026-07-29 21:00:00
0.5449,1.1973,0.4551,2026-07-29 22:00:00
0.5447,1.1964,0.4553,2026-07-29 23:00:00
0.5447,1.1964,0.4553,2026-07-30 00:00:00
0.5478,1.2114,0.4522,2026-07-30 01:00:00
0.5445,1.1954,0.4555,2026-07-30 02:00:00
0.5586,1.2655,0.4414,2026-07-30 03:00:00
0.5624,1.2852,0.4376,2026-07-30 04:00:00
0.5626,1.2862,0.4374,2026-07-30 05:00:00
0.5556,1.2502,0.4444,2026-07-30 06:00:00
0.5173,1.0717,0.4827,2026-07-30 07:00:00
0.5155,1.0640,0.4845,2026-07-30 08:00:00
0.5171,1.0708,0.4829,2026-07-30 09:00:00
0.5218,1.0912,0.4782,2026-07-30 10:00:00
0.5278,1.1177,0.4722,2026-07-30 11:00:00
0.5306,1.1304,0.4694,2026-07-30 12:00:00
0.5283,1.1200,0.4717,2026-07-30 13:00:00
0.5211,1.0881,0.4789,2026-07-30 14:00:00
0.5070,1.0284,0.4930,2026-07-30 15:00:00
0.5067,1.0272,0.4933,2026-07-30 16:00:00
0.5044,1.0178,0.4956,2026-07-30 17:00:00
0.5045,1.0182,0.4955,2026-07-30 18:00:00
0.5392,1.1701,0.4608,2026-07-30 19:00:00
0.4829,0.9339,0.5171,2026-07-30 20:00:00
0.4833,0.9354,0.5167,2026-07-30 21:00:00
0.4840,0.9380,0.5160,2026-07-30 22:00:00
0.4805,0.9249,0.5195,2026-07-30 23:00:00
0.4796,0.9216,0.5204,2026-07-31 00:00:00
0.4799,0.9227,0.5201,2026-07-31 01:00:00
0.5427,1.1867,0.4573,2026-07-31 02:00:00
0.5526,1.2351,0.4474,2026-07-31 03:00:00
0.5528,1.2361,0.4472,2026-07-31 04:00:00
0.5549,1.2467,0.4451,2026-07-31 05:00:00
0.5550,1.2472,0.4450,2026-07-31 06:00:00
0.5553,1.2487,0.4447,2026-07-31 07:00:00
0.5605,1.2753,0.4395,2026-07-31 08:00:00
0.5574,1.2594,0.4426,2026-07-31 09:00:00
0.5513,1.2287,0.4487,2026-07-31 10:00:00
0.5455,1.2002,0.4545,2026-07-31 11:00:00
0.5022,1.0088,0.4978,2026-07-31 12:00:00
0.4808,0.9260,0.5192,2026-07-31 13:00:00
0.4770,0.9120,0.5230,2026-07-31 14:00:00
0.4675,0.8779,0.5325,2026-07-31 15:00:00
0.4775,0.9139,0.5225,2026-07-31 16:00:00
0.4236,0.7349,0.5764,2026-07-31 17:00:00
0.4205,0.7256,0.5795,2026-07-31 18:00:00
0.4179,0.7179,0.5821,2026-07-31 19:00:00
0.4185,0.7197,0.5815,2026-07-31 20:00:00
0.4590,0.8484,0.5410,2026-07-31 21:00:00
0.4425,0.7937,0.5575,2026-07-31 22:00:00
0.4464,0.8064,0.5536,2026-07-31 23:00:00
0.4383,0.7803,0.5617,2026-08-01 00:00:00
0.4394,0.7838,0.5606,2026-08-01 01:00:00
0.4339,0.7665,0.5661,2026-08-01 02:00:00
0.4313,0.7584,0.5687,2026-08-01 03:00:00
0.4300,0.7544,0.5700,2026-08-01 04:00:00
0.4300,0.7544,0.5700,2026-08-01 05:00:00
0.4327,0.7627,0.5673,2026-08-01 06:00:00
0.4362,0.7737,0.5638,2026-08-01 07:00:00
0.4363,0.7740,0.5637,2026-08-01 08:00:00
0.4371,0.7765,0.5629,2026-08-01 09:00:00
0.4380,0.7794,0.5620,2026-08-01 10:00:00
0.4377,0.7784,0.5623,2026-08-01 11:00:00
0.4408,0.7883,0.5592,2026-08-01 12:00:00
0.4409,0.7886,0.5591,2026-08-01 13:00:00
0.4405,0.7873,0.5595,2026-08-01 14:00:00
0.4384,0.7806,0.5616,2026-08-01 15:00:00
0.4378,0.7787,0.5622,2026-08-01 16:00:00
0.4186,0.7200,0.5814,2026-08-01 17:00:00
0.4205,0.7256,0.5795,2026-08-01 18:00:00
0.4199,0.7238,0.5801,2026-08-01 19:00:00
0.4171,0.7156,0.5829,2026-08-01 20:00:00
0.4177,0.7173,0.5823,2026-08-01 21:00:00
0.4211,0.7274,0.5789,2026-08-01 22:00:00
0.4254,0.7403,0.5746,2026-08-01 23:00:00
0.4246,0.7379,0.5754,2026-08-02 00:00:00
0.4283,0.7492,0.5717,2026-08-02 01:00:00
0.4295,0.7528,0.5705,2026-08-02 02:00:00
0.5058,1.0235,0.4942,2026-08-02 03:00:00
0.5481,1.2129,0.4519,2026-08-02 04:00:00
0.5649,1.2983,0.4351,2026-08-02 05:00:00
0.5719,1.3359,0.4281,2026-08-02 06:00:00
0.5764,1.3607,0.4236,2026-08-02 07:00:00
0.5847,1.4079,0.4153,2026-08-02 08:00:00
0.5918,1.4498,0.4082,2026-08-02 09:00:00
0.5968,1.4802,0.4032,2026-08-02 10:00:00
0.5794,1.3776,0.4206,2026-08-02 11:00:00
0.5829,1.3975,0.4171,2026-08-02 12:00:00
0.5823,1.3941,0.4177,2026-08-02 13:00:00
0.5847,1.4079,0.4153,2026-08-02 14:00:00
0.5886,1.4307,0.4114,2026-08-02 15:00:00
0.5919,1.4504,0.4081,2026-08-02 16:00:00
0.5979,1.4869,0.4021,2026-08-02 17:00:00
0.5967,1.4795,0.4033,2026-08-02 18:00:00
0.5984,1.4900,0.4016,2026-08-02 19:00:00
