longAccount,longShortRatio,shortAccount,time
0.7482,2.9714,0.2518,2026-07-28 05:00:00
0.7446,2.9154,0.2554,2026-07-28 06:00:00
0.7518,3.0290,0.2482,2026-07-28 07:00:00
0.7532,3.0519,0.2468,2026-07-28 08:00:00
0.7238,2.6206,0.2762,2026-07-28 09:00:00
0.7260,2.6496,0.2740,2026-07-28 10:00:00
0.7432,2.8941,0.2568,2026-07-28 11:00:00
0.7482,2.9714,0.2518,2026-07-28 12:00:00
0.7633,3.2248,0.2367,2026-07-28 13:00:00
0.7687,3.3234,0.2313,2026-07-28 14:00:00
0.7419,2.8745,0.2581,2026-07-28 15:00:00
0.7598,3.1632,0.2402,2026-07-28 16:00:00
0.7566,3.1085,0.2434,2026-07-28 17:00:00
0.7575,3.1237,0.2425,2026-07-28 18:00:00
0.7612,3.1876,0.2388,2026-07-28 19:00:00
0.7612,3.1876,0.2388,2026-07-28 20:00:00
0.7708,3.3630,0.2292,2026-07-28 21:00:00
0.7828,3.6041,0.2172,2026-07-28 22:00:00
0.7393,2.8358,0.2607,2026-07-28 23:00:00
0.7538,3.0617,0.2462,2026-07-29 00:00:00
0.7654,3.2626,0.2346,2026-07-29 01:00:00
0.7697,3.3422,0.2303,2026-07-29 02:00:00
0.7583,3.1374,0.2417,2026-07-29 03:00:00
0.7765,3.4743,0.2235,2026-07-29 04:00:00
0.7383,2.8212,0.2617,2026-07-29 05:00:00
0.7450,2.9216,0.2550,2026-07-29 06:00:00
0.7255,2.6430,0.2745,2026-07-29 07:00:00
0.7268,2.6603,0.2732,2026-07-29 08:00:00
0.7414,2.8670,0.2586,2026-07-29 09:00:00
0.7228,2.6075,0.2772,2026-07-29 10:00:00
0.7315,2.7244,0.2685,2026-07-29 11:00:00
0.7297,2.6996,0.2703,2026-07-29 12:00:00
0.7358,2.7850,0.2642,2026-07-29 13:00:00
0.7504,3.0064,0.2496,2026-07-29 14:00:00
0.7581,3.1339,0.2419,2026-07-29 15:00:00
0.7582,3.1356,0.2418,2026-07-29 16:00:00
0.7541,3.0667,0.2459,2026-07-29 17:00:00
0.7418,2.8730,0.2582,2026-07-29 18:00:00
0.7561,3.1000,0.2439,2026-07-29 19:00:00
0.7479,2.9667,0.2521,2026-07-29 20:00:00
0.7308,2.7147,0.2692,2026-07-29 21:00:00
0.7447,2.9170,0.2553,2026-07-29 22:00:00
0.7414,2.8670,0.2586,2026-07-29 23:00:00
0.7311,2.7189,0.2689,2026-07-30 00:00:00
0.7438,2.9032,0.2562,2026-07-30 01:00:00
0.7421,2.8775,0.2579,2026-07-30 02:00:00
0.7349,2.7722,0.2651,2026-07-30 03:00:00
0.7420,2.8760,0.2580,2026-07-30 04:00:00
0.7033,2.3704,0.2967,2026-07-30 05:00:00
0.7162,2.5236,0.2838,2026-07-30 06:00:00
0.7229,2.6088,0.2771,2026-07-30 07:00:00
0.7190,2.5587,0.2810,2026-07-30 08:00:00
0.7223,2.6010,0.2777,2026-07-30 09:00:00
0.7143,2.5002,0.2857,2026-07-30 10:00:00
0.7008,2.3422,0.2992,2026-07-30 11:00:00
0.7045,2.3841,0.2955,2026-07-30 12:00:00
0.6926,2.2531,0.3074,2026-07-30 13:00:00
0.6937,2.2648,0.3063,2026-07-30 14:00:00
0.6944,2.2723,0.3056,2026-07-30 15:00:00
0.7012,2.3467,0.2988,2026-07-30 16:00:00
0.7015,2.3501,0.2985,2026-07-30 17:00:00
0.6927,2.2541,0.3073,2026-07-30 18:00:00
0.6846,2.1706,0.3154,2026-07-30 19:00:00
0.6781,2.1066,0.3219,2026-07-30 20:00:00
