buySellRatio,sellVol,buyVol,time
0.7937,66305.0000,52625.0000,2026-07-28 19:00:00
0.8945,74963.0000,67051.0000,2026-07-28 20:00:00
1.6356,57881.0000,94669.0000,2026-07-28 21:00:00
0.7983,94373.0000,75339.0000,2026-07-28 22:00:00
1.2500,57551.0000,71938.0000,2026-07-28 23:00:00
0.5556,307895.0000,171070.0000,2026-07-29 00:00:00
0.3251,801235.0000,260516.0000,2026-07-29 01:00:00
0.7452,190208.0000,141752.0000,2026-07-29 02:00:00
0.7326,156981.0000,114999.0000,2026-07-29 03:00:00
1.6522,125502.0000,207352.0000,2026-07-29 04:00:00
2.4688,59514.0000,146931.0000,2026-07-29 05:00:00
1.8841,98938.0000,186406.0000,2026-07-29 06:00:00
0.7887,632477.0000,498816.0000,2026-07-29 07:00:00
0.4910,390440.0000,191724.0000,2026-07-29 08:00:00
1.0421,151255.0000,157627.0000,2026-07-29 09:00:00
0.5502,100968.0000,55555.0000,2026-07-29 10:00:00
0.6737,73400.0000,49447.0000,2026-07-29 11:00:00
0.5433,720087.0000,391246.0000,2026-07-29 12:00:00
1.3495,188149.0000,253904.0000,2026-07-29 13:00:00
0.6673,142333.0000,94984.0000,2026-07-29 14:00:00
0.9820,129239.0000,126908.0000,2026-07-29 15:00:00
1.0395,129863.0000,134989.0000,2026-07-29 16:00:00
0.8183,105844.0000,86608.0000,2026-07-29 17:00:00
1.2103,213191.0000,258016.0000,2026-07-29 18:00:00
0.4889,366054.0000,178980.0000,2026-07-29 19:00:00
0.8606,243478.0000,209537.0000,2026-07-29 20:00:00
0.8613,145959.0000,125712.0000,2026-07-29 21:00:00
1.1740,95498.0000,112119.0000,2026-07-29 22:00:00
1.1765,61909.0000,72833.0000,2026-07-29 23:00:00
1.1909,98264.0000,117024.0000,2026-07-30 00:00:00
1.6499,106123.0000,175096.0000,2026-07-30 01:00:00
1.9020,84817.0000,161319.0000,2026-07-30 02:00:00
0.6913,146987.0000,101605.0000,2026-07-30 03:00:00
0.8340,116445.0000,97113.0000,2026-07-30 04:00:00
0.9381,73574.0000,69021.0000,2026-07-30 05:00:00
0.8139,122370.0000,99597.0000,2026-07-30 06:00:00
1.3077,93438.0000,122190.0000,2026-07-30 07:00:00
1.3336,126943.0000,169297.0000,2026-07-30 08:00:00
1.6607,66900.0000,111100.0000,2026-07-30 09:00:00
0.6682,83116.0000,55540.0000,2026-07-30 10:00:00
0.8497,98675.0000,83845.0000,2026-07-30 11:00:00
0.5608,197269.0000,110633.0000,2026-07-30 12:00:00
1.4023,109164.0000,153085.0000,2026-07-30 13:00:00
1.5912,82377.0000,131082.0000,2026-07-30 14:00:00
2.8777,45537.0000,131041.0000,2026-07-30 15:00:00
0.8195,136102.0000,111531.0000,2026-07-30 16:00:00
1.5705,83992.0000,131909.0000,2026-07-30 17:00:00
2.0662,54350.0000,112297.0000,2026-07-30 18:00:00
1.2164,43354.0000,52737.0000,2026-07-30 19:00:00
1.3196,116220.0000,153368.0000,2026-07-30 20:00:00
0.6574,79823.0000,52479.0000,2026-07-30 21:00:00
1.2980,104165.0000,135208.0000,2026-07-30 22:00:00
0.3871,198946.0000,77006.0000,2026-07-30 23:00:00
0.9247,67436.0000,62357.0000,2026-07-31 00:00:00
0.9214,205425.0000,189279.0000,2026-07-31 01:00:00
0.5987,123717.0000,74071.0000,2026-07-31 02:00:00
1.5036,41623.0000,62585.0000,2026-07-31 03:00:00
1.0265,66029.0000,67782.0000,2026-07-31 04:00:00
2.2268,20370.0000,45359.0000,2026-07-31 05:00:00
1.8625,138497.0000,257950.0000,2026-07-31 06:00:00
1.0814,115931.0000,125368.0000,2026-07-31 07:00:00
1.1818,43304.0000,51176.0000,2026-07-31 08:00:00
0.9447,66445.0000,62772.0000,2026-07-31 09:00:00
0.5570,334511.0000,186325.0000,2026-07-31 10:00:00
2.3630,36106.0000,85320.0000,2026-07-31 11:00:00
1.4634,152919.0000,223784.0000,2026-07-31 12:00:00
0.9837,132503.0000,130340.0000,2026-07-31 13:00:00
0.5246,884299.0000,463919.0000,2026-07-31 14:00:00
1.6357,87138.0000,142535.0000,2026-07-31 15:00:00
2.6304,44632.0000,117398.0000,2026-07-31 16:00:00
3.3106,28832.0000,95452.0000,2026-07-31 17:00:00
0.7235,2400564.0000,1736717.0000,2026-07-31 18:00:00
0.7683,773864.0000,594529.0000,2026-07-31 19:00:00
1.5200,810761.0000,1232344.0000,2026-07-31 20:00:00
0.4979,231008.0000,115008.0000,2026-07-31 21:00:00
1.3983,52980.0000,74082.0000,2026-07-31 22:00:00
2.0015,51889.0000,103858.0000,2026-07-31 23:00:00
1.6284,41917.0000,68258.0000,2026-08-01 00:00:00
0.7955,68819.0000,54747.0000,2026-08-01 01:00:00
0.8904,112313.0000,100007.0000,2026-08-01 02:00:00
0.8458,59461.0000,50293.0000,2026-08-01 03:00:00
2.6164,24095.0000,63042.0000,2026-08-01 04:00:00
0.8270,96184.0000,79544.0000,2026-08-01 05:00:00
1.3362,31903.0000,42629.0000,2026-08-01 06:00:00
0.4704,136299.0000,64117.0000,2026-08-01 07:00:00
2.9651,35804.0000,106164.0000,2026-08-01 08:00:00
0.6518,104678.0000,68233.0000,2026-08-01 09:00:00
0.7670,116229.0000,89152.0000,2026-08-01 10:00:00
1.5782,28655.0000,45222.0000,2026-08-01 11:00:00
0.8907,129340.0000,115202.0000,2026-08-01 12:00:00
0.9730,45036.0000,43821.0000,2026-08-01 13:00:00
0.3906,156749.0000,61219.0000,2026-08-01 14:00:00
0.8616,61968.0000,53391.0000,2026-08-01 15:00:00
4.4482,31209.0000,138824.0000,2026-08-01 16:00:00
0.8871,149009.0000,132180.0000,2026-08-01 17:00:00
0.8923,564742.0000,503934.0000,2026-08-01 18:00:00
0.8751,218786.0000,191467.0000,2026-08-01 19:00:00
1.1731,81692.0000,95829.0000,2026-08-01 20:00:00
2.3481,56437.0000,132520.0000,2026-08-01 21:00:00
2.0381,56728.0000,115618.0000,2026-08-01 22:00:00
1.1334,103579.0000,117395.0000,2026-08-01 23:00:00
2.5930,31703.0000,82205.0000,2026-08-02 00:00:00
1.2547,91307.0000,114567.0000,2026-08-02 01:00:00
2.0169,117525.0000,237032.0000,2026-08-02 02:00:00
0.5921,67881.0000,40194.0000,2026-08-02 03:00:00
3.3851,45238.0000,153135.0000,2026-08-02 04:00:00
3.4937,19881.0000,69458.0000,2026-08-02 05:00:00
0.4488,251915.0000,113072.0000,2026-08-02 06:00:00
1.6765,29227.0000,48998.0000,2026-08-02 07:00:00
0.8817,66170.0000,58343.0000,2026-08-02 08:00:00
1.2816,149459.0000,191549.0000,2026-08-02 09:00:00
1.1275,53340.0000,60140.0000,2026-08-02 10:00:00
1.3623,76571.0000,104315.0000,2026-08-02 11:00:00
0.9647,37825.0000,36489.0000,2026-08-02 12:00:00
0.7392,90342.0000,66777.0000,2026-08-02 13:00:00
1.2517,59756.0000,74797.0000,2026-08-02 14:00:00
1.0842,49496.0000,53662.0000,2026-08-02 15:00:00
1.0774,75613.0000,81464.0000,2026-08-02 16:00:00
2.2358,27706.0000,61946.0000,2026-08-02 17:00:00
1.6188,63925.0000,103481.0000,2026-08-02 18:00:00
1.1938,41440.0000,49470.0000,2026-08-02 19:00:00
1.2049,52180.0000,62871.0000,2026-08-02 20:00:00
1.3316,53015.0000,70593.0000,2026-08-02 21:00:00
0.7129,90679.0000,64648.0000,2026-08-02 22:00:00
0.5733,55226.0000,31663.0000,2026-08-02 23:00:00
0.7929,73117.0000,57971.0000,2026-08-03 00:00:00
0.7578,220233.0000,166899.0000,2026-08-03 01:00:00
1.7897,143696.0000,257177.0000,2026-08-03 02:00:00
1.2609,128604.0000,162159.0000,2026-08-03 03:00:00
1.0230,80938.0000,82801.0000,2026-08-03 04:00:00
1.6328,33733.0000,55079.0000,2026-08-03 05:00:00
0.4943,256010.0000,126535.0000,2026-08-03 06:00:00
0.8736,283722.0000,247847.0000,2026-08-03 07:00:00
0.5289,308798.0000,163313.0000,2026-08-03 08:00:00
1.5084,52138.0000,78645.0000,2026-08-03 09:00:00
1.1986,103186.0000,123676.0000,2026-08-03 10:00:00
1.0737,72187.0000,77510.0000,2026-08-03 11:00:00
1.4768,28757.0000,42467.0000,2026-08-03 12:00:00
1.2401,241683.0000,299700.0000,2026-08-03 13:00:00
0.7592,141794.0000,107652.0000,2026-08-03 14:00:00
1.3606,161338.0000,219522.0000,2026-08-03 15:00:00
1.6642,133892.0000,222819.0000,2026-08-03 16:00:00
1.1655,46304.0000,53965.0000,2026-08-03 17:00:00
0.4975,164073.0000,81622.0000,2026-08-03 18:00:00
1.3685,205062.0000,280625.0000,2026-08-03 19:00:00
0.6781,81991.0000,55595.0000,2026-08-03 20:00:00
0.4945,74312.0000,36744.0000,2026-08-03 21:00:00
0.6365,87016.0000,55387.0000,2026-08-03 22:00:00
1.1711,40284.0000,47177.0000,2026-08-03 23:00:00
0.7971,192824.0000,153700.0000,2026-08-04 00:00:00
1.4092,98199.0000,138384.0000,2026-08-04 01:00:00
1.1649,208920.0000,243366.0000,2026-08-04 02:00:00
0.7645,73134.0000,55909.0000,2026-08-04 03:00:00
1.0921,78097.0000,85293.0000,2026-08-04 04:00:00
0.7953,69652.0000,55397.0000,2026-08-04 05:00:00
0.7220,112421.0000,81173.0000,2026-08-04 06:00:00
0.7544,156665.0000,118189.0000,2026-08-04 07:00:00
0.5055,149457.0000,75544.0000,2026-08-04 08:00:00
1.3027,80174.0000,104442.0000,2026-08-04 09:00:00
0.9799,105563.0000,103437.0000,2026-08-04 10:00:00
0.9201,48137.0000,44291.0000,2026-08-04 11:00:00
0.7751,102017.0000,79075.0000,2026-08-04 12:00:00
1.3094,154090.0000,201773.0000,2026-08-04 13:00:00
0.7393,428536.0000,316814.0000,2026-08-04 14:00:00
0.9981,212133.0000,211735.0000,2026-08-04 15:00:00
1.7545,85800.0000,150535.0000,2026-08-04 16:00:00
0.6981,94273.0000,65808.0000,2026-08-04 17:00:00
1.6076,199061.0000,320010.0000,2026-08-04 18:00:00
0.8488,82934.0000,70397.0000,2026-08-04 19:00:00
0.8427,146075.0000,123096.0000,2026-08-04 20:00:00
1.7505,111753.0000,195625.0000,2026-08-04 21:00:00
1.9215,184077.0000,353711.0000,2026-08-04 22:00:00
0.5733,131195.0000,75210.0000,2026-08-04 23:00:00
0.2001,402034.0000,80459.0000,2026-08-05 00:00:00
0.9863,131512.0000,129715.0000,2026-08-05 01:00:00
1.3059,243441.0000,317909.0000,2026-08-05 02:00:00
0.8403,165394.0000,138987.0000,2026-08-05 03:00:00
1.8693,57934.0000,108296.0000,2026-08-05 04:00:00
1.1231,130106.0000,146126.0000,2026-08-05 05:00:00
1.5341,60707.0000,93131.0000,2026-08-05 06:00:00
0.6569,130044.0000,85426.0000,2026-08-05 07:00:00
0.9360,95214.0000,89118.0000,2026-08-05 08:00:00
1.3760,84510.0000,116288.0000,2026-08-05 09:00:00
0.6972,192245.0000,134039.0000,2026-08-05 10:00:00
0.6177,651264.0000,402300.0000,2026-08-05 11:00:00
0.7621,271320.0000,206774.0000,2026-08-05 12:00:00
0.9657,312145.0000,301431.0000,2026-08-05 13:00:00
0.9542,264012.0000,251930.0000,2026-08-05 14:00:00
0.9975,249066.0000,248435.0000,2026-08-05 15:00:00
0.6476,375491.0000,243182.0000,2026-08-05 16:00:00
1.7619,103862.0000,182991.0000,2026-08-05 17:00:00
0.9541,149496.0000,142636.0000,2026-08-05 18:00:00
0.9269,89048.0000,82541.0000,2026-08-05 19:00:00
1.2848,54433.0000,69937.0000,2026-08-05 20:00:00
0.5037,616161.0000,310335.0000,2026-08-05 21:00:00
1.5440,144788.0000,223549.0000,2026-08-05 22:00:00
1.0088,407518.0000,411101.0000,2026-08-05 23:00:00
1.3612,282951.0000,385163.0000,2026-08-06 00:00:00
0.6021,569072.0000,342625.0000,2026-08-06 01:00:00
0.7183,746394.0000,536113.0000,2026-08-06 02:00:00
1.3594,418735.0000,569247.0000,2026-08-06 03:00:00
1.8918,474560.0000,897762.0000,2026-08-06 04:00:00
1.1747,247239.0000,290441.0000,2026-08-06 05:00:00
2.5189,239706.0000,603799.0000,2026-08-06 06:00:00
0.5861,642279.0000,376442.0000,2026-08-06 07:00:00
0.3029,532546.0000,161303.0000,2026-08-06 08:00:00
1.0407,430759.0000,448280.0000,2026-08-06 09:00:00
1.0173,128822.0000,131057.0000,2026-08-06 10:00:00
1.7622,114358.0000,201520.0000,2026-08-06 11:00:00
1.0582,146064.0000,154567.0000,2026-08-06 12:00:00
1.6722,116857.0000,195411.0000,2026-08-06 13:00:00
0.7619,354861.0000,270359.0000,2026-08-06 14:00:00
1.1541,129336.0000,149263.0000,2026-08-06 15:00:00
1.6494,121445.0000,200308.0000,2026-08-06 16:00:00
0.7682,87721.0000,67391.0000,2026-08-06 17:00:00
0.6085,238382.0000,145044.0000,2026-08-06 18:00:00
1.4972,173008.0000,259021.0000,2026-08-06 19:00:00
0.8969,144440.0000,129543.0000,2026-08-06 20:00:00
1.2988,75438.0000,97982.0000,2026-08-06 21:00:00
0.5148,475962.0000,245042.0000,2026-08-06 22:00:00
1.1805,192149.0000,226823.0000,2026-08-06 23:00:00
0.7020,95067.0000,66733.0000,2026-08-07 00:00:00
1.8116,110388.0000,199977.0000,2026-08-07 01:00:00
1.2294,142612.0000,175334.0000,2026-08-07 02:00:00
1.0812,108898.0000,117744.0000,2026-08-07 03:00:00
2.0524,234763.0000,481821.0000,2026-08-07 04:00:00
1.1871,257306.0000,305448.0000,2026-08-07 05:00:00
0.5258,309224.0000,162605.0000,2026-08-07 06:00:00
0.9725,226495.0000,220269.0000,2026-08-07 07:00:00
1.0418,131159.0000,136636.0000,2026-08-07 08:00:00
0.8465,290300.0000,245747.0000,2026-08-07 09:00:00
0.5871,188947.0000,110930.0000,2026-08-07 10:00:00
1.6517,91696.0000,151451.0000,2026-08-07 11:00:00
1.1535,222255.0000,256364.0000,2026-08-07 12:00:00
0.9659,118421.0000,114383.0000,2026-08-07 13:00:00
0.6875,153228.0000,105344.0000,2026-08-07 14:00:00
0.7023,146151.0000,102640.0000,2026-08-07 15:00:00
0.8399,145355.0000,122080.0000,2026-08-07 16:00:00
0.8513,172611.0000,146952.0000,2026-08-07 17:00:00
1.1229,169021.0000,189786.0000,2026-08-07 18:00:00
1.2225,67226.0000,82183.0000,2026-08-07 19:00:00
1.0107,61009.0000,61664.0000,2026-08-07 20:00:00
0.8494,60455.0000,51351.0000,2026-08-07 21:00:00
1.3152,40647.0000,53459.0000,2026-08-07 22:00:00
0.8663,74743.0000,64750.0000,2026-08-07 23:00:00
1.0080,91658.0000,92390.0000,2026-08-08 00:00:00
0.3488,46700.0000,16289.0000,2026-08-08 01:00:00
1.2347,95135.0000,117460.0000,2026-08-08 02:00:00
2.4547,80392.0000,197337.0000,2026-08-08 03:00:00
0.5068,127273.0000,64508.0000,2026-08-08 04:00:00
1.0421,34312.0000,35756.0000,2026-08-08 05:00:00
0.7985,132825.0000,106066.0000,2026-08-08 06:00:00
1.0469,120746.0000,126412.0000,2026-08-08 07:00:00
0.8442,207814.0000,175436.0000,2026-08-08 08:00:00
1.6181,93499.0000,151295.0000,2026-08-08 09:00:00
0.5793,59148.0000,34263.0000,2026-08-08 10:00:00
0.7887,169699.0000,133848.0000,2026-08-08 11:00:00
3.0989,36732.0000,113829.0000,2026-08-08 12:00:00
0.2402,123483.0000,29660.0000,2026-08-08 13:00:00
1.8605,143118.0000,266265.0000,2026-08-08 14:00:00
0.5675,156861.0000,89020.0000,2026-08-08 15:00:00
0.6019,44625.0000,26860.0000,2026-08-08 16:00:00
0.4848,133721.0000,64834.0000,2026-08-08 17:00:00
0.7193,51382.0000,36960.0000,2026-08-08 18:00:00
0.9239,92904.0000,85837.0000,2026-08-08 19:00:00
1.1337,27086.0000,30708.0000,2026-08-08 20:00:00
1.0265,35891.0000,36842.0000,2026-08-08 21:00:00
1.5205,77274.0000,117498.0000,2026-08-08 22:00:00
1.5814,26352.0000,41672.0000,2026-08-08 23:00:00
1.0475,41193.0000,43150.0000,2026-08-09 00:00:00
1.7132,153559.0000,263080.0000,2026-08-09 01:00:00
0.5348,220690.0000,118030.0000,2026-08-09 02:00:00
0.8128,179529.0000,145925.0000,2026-08-09 03:00:00
1.4650,70461.0000,103223.0000,2026-08-09 04:00:00
0.6898,217156.0000,149800.0000,2026-08-09 05:00:00
1.4485,107700.0000,156008.0000,2026-08-09 06:00:00
0.8149,122697.0000,99991.0000,2026-08-09 07:00:00
0.9464,101432.0000,95993.0000,2026-08-09 08:00:00
0.7585,90836.0000,68900.0000,2026-08-09 09:00:00
2.5040,178733.0000,447554.0000,2026-08-09 10:00:00
0.8479,65681.0000,55694.0000,2026-08-09 11:00:00
0.6728,63740.0000,42886.0000,2026-08-09 12:00:00
1.4628,45355.0000,66345.0000,2026-08-09 13:00:00
0.7219,46075.0000,33260.0000,2026-08-09 14:00:00
1.0305,41619.0000,42888.0000,2026-08-09 15:00:00
1.4564,118985.0000,173286.0000,2026-08-09 16:00:00
0.6627,87189.0000,57778.0000,2026-08-09 17:00:00
0.6887,137589.0000,94763.0000,2026-08-09 18:00:00
0.7549,48111.0000,36319.0000,2026-08-09 19:00:00
2.4273,21730.0000,52745.0000,2026-08-09 20:00:00
0.8345,54911.0000,45823.0000,2026-08-09 21:00:00
0.5526,235999.0000,130419.0000,2026-08-09 22:00:00
0.9106,307847.0000,280313.0000,2026-08-09 23:00:00
1.7246,238809.0000,411849.0000,2026-08-10 00:00:00
1.1565,146271.0000,169162.0000,2026-08-10 01:00:00
1.1475,117909.0000,135303.0000,2026-08-10 02:00:00
1.0762,82216.0000,88478.0000,2026-08-10 03:00:00
1.1053,99181.0000,109624.0000,2026-08-10 04:00:00
0.8615,120627.0000,103924.0000,2026-08-10 05:00:00
0.9881,70087.0000,69253.0000,2026-08-10 06:00:00
0.9831,76177.0000,74889.0000,2026-08-10 07:00:00
1.1813,55424.0000,65473.0000,2026-08-10 08:00:00
0.9643,135907.0000,131057.0000,2026-08-10 09:00:00
0.9293,105276.0000,97838.0000,2026-08-10 10:00:00
0.6775,149135.0000,101035.0000,2026-08-10 11:00:00
0.6244,260944.0000,162926.0000,2026-08-10 12:00:00
0.9286,280977.0000,260925.0000,2026-08-10 13:00:00
