longAccount,longShortRatio,shortAccount,time
0.6942,2.2701,0.3058,2026-07-28 20:00:00
0.6968,2.2982,0.3032,2026-07-28 21:00:00
0.6942,2.2701,0.3058,2026-07-28 22:00:00
0.6899,2.2248,0.3101,2026-07-28 23:00:00
0.6982,2.3135,0.3018,2026-07-29 00:00:00
0.6934,2.2616,0.3066,2026-07-29 01:00:00
0.6936,2.2637,0.3064,2026-07-29 02:00:00
0.6923,2.2499,0.3077,2026-07-29 03:00:00
0.6906,2.2321,0.3094,2026-07-29 04:00:00
0.6902,2.2279,0.3098,2026-07-29 05:00:00
0.6927,2.2541,0.3073,2026-07-29 06:00:00
0.6874,2.1990,0.3126,2026-07-29 07:00:00
0.6878,2.2031,0.3122,2026-07-29 08:00:00
0.6888,2.2134,0.3112,2026-07-29 09:00:00
0.6919,2.2457,0.3081,2026-07-29 10:00:00
0.6930,2.2573,0.3070,2026-07-29 11:00:00
0.7034,2.3715,0.2966,2026-07-29 12:00:00
0.7014,2.3490,0.2986,2026-07-29 13:00:00
0.7060,2.4014,0.2940,2026-07-29 14:00:00
0.7062,2.4037,0.2938,2026-07-29 15:00:00
0.7051,2.3910,0.2949,2026-07-29 16:00:00
0.7010,2.3445,0.2990,2026-07-29 17:00:00
0.6952,2.2808,0.3048,2026-07-29 18:00:00
0.6942,2.2701,0.3058,2026-07-29 19:00:00
0.6940,2.2680,0.3060,2026-07-29 20:00:00
0.6905,2.2310,0.3095,2026-07-29 21:00:00
0.6892,2.2175,0.3108,2026-07-29 22:00:00
0.6917,2.2436,0.3083,2026-07-29 23:00:00
0.6919,2.2457,0.3081,2026-07-30 00:00:00
0.6849,2.1736,0.3151,2026-07-30 01:00:00
0.6992,2.3245,0.3008,2026-07-30 02:00:00
0.6940,2.2680,0.3060,2026-07-30 03:00:00
0.6997,2.3300,0.3003,2026-07-30 04:00:00
0.6981,2.3124,0.3019,2026-07-30 05:00:00
0.6977,2.3080,0.3023,2026-07-30 06:00:00
0.6995,2.3278,0.3005,2026-07-30 07:00:00
0.7013,2.3478,0.2987,2026-07-30 08:00:00
0.6996,2.3289,0.3004,2026-07-30 09:00:00
0.6984,2.3156,0.3016,2026-07-30 10:00:00
0.6941,2.2690,0.3059,2026-07-30 11:00:00
0.6974,2.3047,0.3026,2026-07-30 12:00:00
0.6959,2.2884,0.3041,2026-07-30 13:00:00
0.6896,2.2216,0.3104,2026-07-30 14:00:00
0.6839,2.1636,0.3161,2026-07-30 15:00:00
0.6850,2.1746,0.3150,2026-07-30 16:00:00
0.6843,2.1676,0.3157,2026-07-30 17:00:00
0.6864,2.1888,0.3136,2026-07-30 18:00:00
0.6884,2.2092,0.3116,2026-07-30 19:00:00
0.6890,2.2154,0.3110,2026-07-30 20:00:00
0.6838,2.1626,0.3162,2026-07-30 21:00:00
0.6834,2.1586,0.3166,2026-07-30 22:00:00
0.6842,2.1666,0.3158,2026-07-30 23:00:00
0.6871,2.1959,0.3129,2026-07-31 00:00:00
0.6864,2.1888,0.3136,2026-07-31 01:00:00
0.6856,2.1807,0.3144,2026-07-31 02:00:00
0.6869,2.1939,0.3131,2026-07-31 03:00:00
0.6901,2.2268,0.3099,2026-07-31 04:00:00
0.6875,2.2000,0.3125,2026-07-31 05:00:00
0.6898,2.2237,0.3102,2026-07-31 06:00:00
0.6879,2.2041,0.3121,2026-07-31 07:00:00
0.6895,2.2206,0.3105,2026-07-31 08:00:00
0.6915,2.2415,0.3085,2026-07-31 09:00:00
0.6891,2.2165,0.3109,2026-07-31 10:00:00
0.6948,2.2765,0.3052,2026-07-31 11:00:00
0.6942,2.2701,0.3058,2026-07-31 12:00:00
0.6951,2.2798,0.3049,2026-07-31 13:00:00
0.6978,2.3091,0.3022,2026-07-31 14:00:00
0.6944,2.2723,0.3056,2026-07-31 15:00:00
0.6940,2.2680,0.3060,2026-07-31 16:00:00
0.6938,2.2658,0.3062,2026-07-31 17:00:00
0.6926,2.2531,0.3074,2026-07-31 18:00:00
0.6819,2.1437,0.3181,2026-07-31 19:00:00
0.6824,2.1486,0.3176,2026-07-31 20:00:00
0.6942,2.2701,0.3058,2026-07-31 21:00:00
0.6913,2.2394,0.3087,2026-07-31 22:00:00
0.6919,2.2457,0.3081,2026-07-31 23:00:00
0.6939,2.2669,0.3061,2026-08-01 00:00:00
0.6962,2.2916,0.3038,2026-08-01 01:00:00
0.6963,2.2927,0.3037,2026-08-01 02:00:00
0.6939,2.2669,0.3061,2026-08-01 03:00:00
0.6927,2.2541,0.3073,2026-08-01 04:00:00
0.6933,2.2605,0.3067,2026-08-01 05:00:00
0.6928,2.2552,0.3072,2026-08-01 06:00:00
0.6918,2.2446,0.3082,2026-08-01 07:00:00
0.6935,2.2626,0.3065,2026-08-01 08:00:00
0.6929,2.2563,0.3071,2026-08-01 09:00:00
0.6938,2.2658,0.3062,2026-08-01 10:00:00
0.6942,2.2701,0.3058,2026-08-01 11:00:00
0.6935,2.2626,0.3065,2026-08-01 12:00:00
0.6918,2.2446,0.3082,2026-08-01 13:00:00
0.6936,2.2637,0.3064,2026-08-01 14:00:00
0.6967,2.2971,0.3033,2026-08-01 15:00:00
0.6958,2.2873,0.3042,2026-08-01 16:00:00
0.6949,2.2776,0.3051,2026-08-01 17:00:00
0.6953,2.2819,0.3047,2026-08-01 18:00:00
0.6933,2.2605,0.3067,2026-08-01 19:00:00
0.6933,2.2605,0.3067,2026-08-01 20:00:00
0.6952,2.2808,0.3048,2026-08-01 21:00:00
0.6968,2.2982,0.3032,2026-08-01 22:00:00
0.6974,2.3047,0.3026,2026-08-01 23:00:00
0.6949,2.2776,0.3051,2026-08-02 00:00:00
0.6958,2.2873,0.3042,2026-08-02 01:00:00
0.6952,2.2808,0.3048,2026-08-02 02:00:00
0.6893,2.2185,0.3107,2026-08-02 03:00:00
0.6827,2.1516,0.3173,2026-08-02 04:00:00
0.6837,2.1616,0.3163,2026-08-02 05:00:00
0.6818,2.1427,0.3182,2026-08-02 06:00:00
0.6769,2.0950,0.3231,2026-08-02 07:00:00
0.6759,2.0855,0.3241,2026-08-02 08:00:00
0.6772,2.0979,0.3228,2026-08-02 09:00:00
0.6791,2.1162,0.3209,2026-08-02 10:00:00
0.6813,2.1377,0.3187,2026-08-02 11:00:00
0.6822,2.1466,0.3178,2026-08-02 12:00:00
0.6854,2.1786,0.3146,2026-08-02 13:00:00
0.6875,2.2000,0.3125,2026-08-02 14:00:00
0.6883,2.2082,0.3117,2026-08-02 15:00:00
0.6891,2.2165,0.3109,2026-08-02 16:00:00
0.6910,2.2362,0.3090,2026-08-02 17:00:00
0.6914,2.2404,0.3086,2026-08-02 18:00:00
0.6944,2.2723,0.3056,2026-08-02 19:00:00
0.6946,2.2744,0.3054,2026-08-02 20:00:00
0.6976,2.3069,0.3024,2026-08-02 21:00:00
0.6989,2.3212,0.3011,2026-08-02 22:00:00
0.6971,2.3014,0.3029,2026-08-02 23:00:00
0.6986,2.3179,0.3014,2026-08-03 00:00:00
0.7000,2.3333,0.3000,2026-08-03 01:00:00
0.7014,2.3490,0.2986,2026-08-03 02:00:00
0.7032,2.3693,0.2968,2026-08-03 03:00:00
0.7057,2.3979,0.2943,2026-08-03 04:00:00
0.7072,2.4153,0.2928,2026-08-03 05:00:00
0.7059,2.4002,0.2941,2026-08-03 06:00:00
0.7072,2.4153,0.2928,2026-08-03 07:00:00
0.7056,2.3967,0.2944,2026-08-03 08:00:00
0.7060,2.4014,0.2940,2026-08-03 09:00:00
0.7076,2.4200,0.2924,2026-08-03 10:00:00
0.7069,2.4118,0.2931,2026-08-03 11:00:00
0.7085,2.4305,0.2915,2026-08-03 12:00:00
