longAccount,longShortRatio,shortAccount,time
0.7946,3.8685,0.2054,2026-07-28 20:00:00
0.7979,3.9480,0.2021,2026-07-28 21:00:00
0.8017,4.0429,0.1983,2026-07-28 22:00:00
0.7935,3.8426,0.2065,2026-07-28 23:00:00
0.8001,4.0025,0.1999,2026-07-29 00:00:00
0.8018,4.0454,0.1982,2026-07-29 01:00:00
0.7966,3.9164,0.2034,2026-07-29 02:00:00
0.7947,3.8709,0.2053,2026-07-29 03:00:00
0.7885,3.7281,0.2115,2026-07-29 04:00:00
0.7861,3.6751,0.2139,2026-07-29 05:00:00
0.7899,3.7596,0.2101,2026-07-29 06:00:00
0.7872,3.6992,0.2128,2026-07-29 07:00:00
0.7885,3.7281,0.2115,2026-07-29 08:00:00
0.7903,3.7687,0.2097,2026-07-29 09:00:00
0.7922,3.8123,0.2078,2026-07-29 10:00:00
0.7914,3.7939,0.2086,2026-07-29 11:00:00
0.7904,3.7710,0.2096,2026-07-29 12:00:00
0.7948,3.8733,0.2052,2026-07-29 13:00:00
0.7902,3.7664,0.2098,2026-07-29 14:00:00
0.7863,3.6795,0.2137,2026-07-29 15:00:00
0.7853,3.6577,0.2147,2026-07-29 16:00:00
0.7943,3.8614,0.2057,2026-07-29 17:00:00
0.7975,3.9383,0.2025,2026-07-29 18:00:00
0.7964,3.9116,0.2036,2026-07-29 19:00:00
0.7984,3.9603,0.2016,2026-07-29 20:00:00
0.7941,3.8567,0.2059,2026-07-29 21:00:00
0.7983,3.9579,0.2017,2026-07-29 22:00:00
0.7959,3.8996,0.2041,2026-07-29 23:00:00
0.7963,3.9092,0.2037,2026-07-30 00:00:00
0.7992,3.9801,0.2008,2026-07-30 01:00:00
0.8029,4.0736,0.1971,2026-07-30 02:00:00
0.7964,3.9116,0.2036,2026-07-30 03:00:00
0.7961,3.9044,0.2039,2026-07-30 04:00:00
0.7973,3.9334,0.2027,2026-07-30 05:00:00
0.8005,4.0125,0.1995,2026-07-30 06:00:00
0.7958,3.8972,0.2042,2026-07-30 07:00:00
0.7955,3.8900,0.2045,2026-07-30 08:00:00
0.7972,3.9310,0.2028,2026-07-30 09:00:00
0.7978,3.9456,0.2022,2026-07-30 10:00:00
0.7980,3.9505,0.2020,2026-07-30 11:00:00
0.8010,4.0251,0.1990,2026-07-30 12:00:00
0.7973,3.9334,0.2027,2026-07-30 13:00:00
0.8070,4.1813,0.1930,2026-07-30 14:00:00
0.8063,4.1626,0.1937,2026-07-30 15:00:00
0.7995,3.9875,0.2005,2026-07-30 16:00:00
0.8030,4.0761,0.1970,2026-07-30 17:00:00
0.8080,4.2083,0.1920,2026-07-30 18:00:00
