longAccount,longShortRatio,shortAccount,time
0.5831,1.3987,0.4169,2026-07-28 20:00:00
0.5836,1.4015,0.4164,2026-07-28 21:00:00
0.5861,1.4160,0.4139,2026-07-28 22:00:00
0.5821,1.3929,0.4179,2026-07-28 23:00:00
0.5835,1.4010,0.4165,2026-07-29 00:00:00
0.5847,1.4079,0.4153,2026-07-29 01:00:00
0.5836,1.4015,0.4164,2026-07-29 02:00:00
0.5894,1.4355,0.4106,2026-07-29 03:00:00
0.5923,1.4528,0.4077,2026-07-29 04:00:00
0.5919,1.4504,0.4081,2026-07-29 05:00:00
0.5952,1.4704,0.4048,2026-07-29 06:00:00
0.5946,1.4667,0.4054,2026-07-29 07:00:00
0.5925,1.4540,0.4075,2026-07-29 08:00:00
0.6327,1.7226,0.3673,2026-07-29 09:00:00
0.6390,1.7701,0.3610,2026-07-29 10:00:00
0.6278,1.6867,0.3722,2026-07-29 11:00:00
0.6284,1.6911,0.3716,2026-07-29 12:00:00
0.6208,1.6371,0.3792,2026-07-29 13:00:00
0.6257,1.6717,0.3743,2026-07-29 14:00:00
0.6220,1.6455,0.3780,2026-07-29 15:00:00
0.6350,1.7397,0.3650,2026-07-29 16:00:00
0.6303,1.7049,0.3697,2026-07-29 17:00:00
0.6322,1.7189,0.3678,2026-07-29 18:00:00
0.6295,1.6991,0.3705,2026-07-29 19:00:00
0.6253,1.6688,0.3747,2026-07-29 20:00:00
0.6239,1.6589,0.3761,2026-07-29 21:00:00
0.6232,1.6539,0.3768,2026-07-29 22:00:00
0.6236,1.6567,0.3764,2026-07-29 23:00:00
0.6173,1.6130,0.3827,2026-07-30 00:00:00
0.6226,1.6497,0.3774,2026-07-30 01:00:00
0.6275,1.6846,0.3725,2026-07-30 02:00:00
0.6203,1.6337,0.3797,2026-07-30 03:00:00
0.6201,1.6323,0.3799,2026-07-30 04:00:00
0.6238,1.6582,0.3762,2026-07-30 05:00:00
0.6266,1.6781,0.3734,2026-07-30 06:00:00
0.6247,1.6645,0.3753,2026-07-30 07:00:00
0.6253,1.6688,0.3747,2026-07-30 08:00:00
0.6251,1.6674,0.3749,2026-07-30 09:00:00
0.6273,1.6831,0.3727,2026-07-30 10:00:00
0.6223,1.6476,0.3777,2026-07-30 11:00:00
0.6167,1.6089,0.3833,2026-07-30 12:00:00
0.6186,1.6219,0.3814,2026-07-30 13:00:00
0.5991,1.4944,0.4009,2026-07-30 14:00:00
0.5888,1.4319,0.4112,2026-07-30 15:00:00
0.5878,1.4260,0.4122,2026-07-30 16:00:00
0.5888,1.4319,0.4112,2026-07-30 17:00:00
0.5898,1.4378,0.4102,2026-07-30 18:00:00
0.5921,1.4516,0.4079,2026-07-30 19:00:00
0.5882,1.4284,0.4118,2026-07-30 20:00:00
0.5899,1.4384,0.4101,2026-07-30 21:00:00
0.5932,1.4582,0.4068,2026-07-30 22:00:00
0.5957,1.4734,0.4043,2026-07-30 23:00:00
0.5963,1.4771,0.4037,2026-07-31 00:00:00
0.5949,1.4685,0.4051,2026-07-31 01:00:00
0.5914,1.4474,0.4086,2026-07-31 02:00:00
0.5926,1.4546,0.4074,2026-07-31 03:00:00
0.5936,1.4606,0.4064,2026-07-31 04:00:00
0.5902,1.4402,0.4098,2026-07-31 05:00:00
0.5924,1.4534,0.4076,2026-07-31 06:00:00
0.5921,1.4516,0.4079,2026-07-31 07:00:00
0.5920,1.4510,0.4080,2026-07-31 08:00:00
0.5966,1.4789,0.4034,2026-07-31 09:00:00
0.5974,1.4839,0.4026,2026-07-31 10:00:00
0.5931,1.4576,0.4069,2026-07-31 11:00:00
0.5947,1.4673,0.4053,2026-07-31 12:00:00
0.5956,1.4728,0.4044,2026-07-31 13:00:00
