longAccount,longShortRatio,shortAccount,time
0.7476,2.9620,0.2524,2026-07-28 19:00:00
0.7524,3.0388,0.2476,2026-07-28 20:00:00
0.7511,3.0177,0.2489,2026-07-28 21:00:00
0.7436,2.9002,0.2564,2026-07-28 22:00:00
0.7661,3.2753,0.2339,2026-07-28 23:00:00
0.7488,2.9809,0.2512,2026-07-29 00:00:00
0.7413,2.8655,0.2587,2026-07-29 01:00:00
0.7573,3.1203,0.2427,2026-07-29 02:00:00
0.7433,2.8956,0.2567,2026-07-29 03:00:00
0.7616,3.1946,0.2384,2026-07-29 04:00:00
0.7643,3.2427,0.2357,2026-07-29 05:00:00
0.7663,3.2790,0.2337,2026-07-29 06:00:00
0.7578,3.1288,0.2422,2026-07-29 07:00:00
0.7473,2.9573,0.2527,2026-07-29 08:00:00
0.7577,3.1271,0.2423,2026-07-29 09:00:00
0.7505,3.0080,0.2495,2026-07-29 10:00:00
0.7533,3.0535,0.2467,2026-07-29 11:00:00
0.7520,3.0323,0.2480,2026-07-29 12:00:00
0.7396,2.8402,0.2604,2026-07-29 13:00:00
0.7432,2.8941,0.2568,2026-07-29 14:00:00
0.7489,2.9825,0.2511,2026-07-29 15:00:00
0.7522,3.0355,0.2478,2026-07-29 16:00:00
0.7478,2.9651,0.2522,2026-07-29 17:00:00
0.7480,2.9683,0.2520,2026-07-29 18:00:00
0.7557,3.0933,0.2443,2026-07-29 19:00:00
0.7493,2.9888,0.2507,2026-07-29 20:00:00
0.7434,2.8971,0.2566,2026-07-29 21:00:00
0.7421,2.8775,0.2579,2026-07-29 22:00:00
0.7412,2.8640,0.2588,2026-07-29 23:00:00
0.7376,2.8110,0.2624,2026-07-30 00:00:00
0.7502,3.0032,0.2498,2026-07-30 01:00:00
0.7442,2.9093,0.2558,2026-07-30 02:00:00
0.7481,2.9698,0.2519,2026-07-30 03:00:00
0.7506,3.0096,0.2494,2026-07-30 04:00:00
0.7462,2.9401,0.2538,2026-07-30 05:00:00
0.7436,2.9002,0.2564,2026-07-30 06:00:00
0.7444,2.9124,0.2556,2026-07-30 07:00:00
0.7493,2.9888,0.2507,2026-07-30 08:00:00
0.7504,3.0064,0.2496,2026-07-30 09:00:00
0.7502,3.0032,0.2498,2026-07-30 10:00:00
0.7453,2.9262,0.2547,2026-07-30 11:00:00
0.7374,2.8081,0.2626,2026-07-30 12:00:00
0.7337,2.7552,0.2663,2026-07-30 13:00:00
0.7267,2.6590,0.2733,2026-07-30 14:00:00
0.7125,2.4783,0.2875,2026-07-30 15:00:00
0.7104,2.4530,0.2896,2026-07-30 16:00:00
0.7087,2.4329,0.2913,2026-07-30 17:00:00
0.7026,2.3625,0.2974,2026-07-30 18:00:00
0.7005,2.3389,0.2995,2026-07-30 19:00:00
0.7010,2.3445,0.2990,2026-07-30 20:00:00
0.6925,2.2520,0.3075,2026-07-30 21:00:00
0.6898,2.2237,0.3102,2026-07-30 22:00:00
0.6798,2.1230,0.3202,2026-07-30 23:00:00
0.6807,2.1319,0.3193,2026-07-31 00:00:00
0.6766,2.0921,0.3234,2026-07-31 01:00:00
0.6573,1.9180,0.3427,2026-07-31 02:00:00
0.6591,1.9334,0.3409,2026-07-31 03:00:00
0.6580,1.9240,0.3420,2026-07-31 04:00:00
0.6601,1.9420,0.3399,2026-07-31 05:00:00
0.6601,1.9420,0.3399,2026-07-31 06:00:00
0.6622,1.9603,0.3378,2026-07-31 07:00:00
0.6678,2.0102,0.3322,2026-07-31 08:00:00
0.6700,2.0303,0.3300,2026-07-31 09:00:00
0.6600,1.9412,0.3400,2026-07-31 10:00:00
0.6703,2.0331,0.3297,2026-07-31 11:00:00
0.6520,1.8736,0.3480,2026-07-31 12:00:00
0.6531,1.8827,0.3469,2026-07-31 13:00:00
0.6579,1.9231,0.3421,2026-07-31 14:00:00
0.6722,2.0506,0.3278,2026-07-31 15:00:00
0.6656,1.9904,0.3344,2026-07-31 16:00:00
0.6666,1.9994,0.3334,2026-07-31 17:00:00
0.6669,2.0021,0.3331,2026-07-31 18:00:00
0.6686,2.0175,0.3314,2026-07-31 19:00:00
0.6597,1.9386,0.3403,2026-07-31 20:00:00
0.6673,2.0057,0.3327,2026-07-31 21:00:00
0.6658,1.9922,0.3342,2026-07-31 22:00:00
0.6690,2.0211,0.3310,2026-07-31 23:00:00
0.6618,1.9568,0.3382,2026-08-01 00:00:00
0.6560,1.9070,0.3440,2026-08-01 01:00:00
0.6577,1.9214,0.3423,2026-08-01 02:00:00
0.6584,1.9274,0.3416,2026-08-01 03:00:00
0.6579,1.9231,0.3421,2026-08-01 04:00:00
0.6545,1.8944,0.3455,2026-08-01 05:00:00
0.6536,1.8868,0.3464,2026-08-01 06:00:00
0.6500,1.8571,0.3500,2026-08-01 07:00:00
0.6567,1.9129,0.3433,2026-08-01 08:00:00
0.6461,1.8257,0.3539,2026-08-01 09:00:00
0.6451,1.8177,0.3549,2026-08-01 10:00:00
0.6530,1.8818,0.3470,2026-08-01 11:00:00
0.6479,1.8401,0.3521,2026-08-01 12:00:00
0.6494,1.8523,0.3506,2026-08-01 13:00:00
0.6556,1.9036,0.3444,2026-08-01 14:00:00
0.6544,1.8935,0.3456,2026-08-01 15:00:00
0.6578,1.9223,0.3422,2026-08-01 16:00:00
0.6626,1.9638,0.3374,2026-08-01 17:00:00
0.6644,1.9797,0.3356,2026-08-01 18:00:00
0.6680,2.0120,0.3320,2026-08-01 19:00:00
0.6659,1.9931,0.3341,2026-08-01 20:00:00
0.6705,2.0349,0.3295,2026-08-01 21:00:00
0.6686,2.0175,0.3314,2026-08-01 22:00:00
0.6667,2.0003,0.3333,2026-08-01 23:00:00
0.6613,1.9525,0.3387,2026-08-02 00:00:00
0.6687,2.0184,0.3313,2026-08-02 01:00:00
0.6671,2.0039,0.3329,2026-08-02 02:00:00
0.6736,2.0637,0.3264,2026-08-02 03:00:00
0.6701,2.0312,0.3299,2026-08-02 04:00:00
0.6616,1.9551,0.3384,2026-08-02 05:00:00
0.6658,1.9922,0.3342,2026-08-02 06:00:00
0.6663,1.9967,0.3337,2026-08-02 07:00:00
0.6703,2.0331,0.3297,2026-08-02 08:00:00
0.6703,2.0331,0.3297,2026-08-02 09:00:00
0.6729,2.0572,0.3271,2026-08-02 10:00:00
0.6719,2.0479,0.3281,2026-08-02 11:00:00
0.6829,2.1536,0.3171,2026-08-02 12:00:00
0.6758,2.0845,0.3242,2026-08-02 13:00:00
0.6779,2.1046,0.3221,2026-08-02 14:00:00
0.6759,2.0855,0.3241,2026-08-02 15:00:00
0.6783,2.1085,0.3217,2026-08-02 16:00:00
0.6691,2.0221,0.3309,2026-08-02 17:00:00
0.6684,2.0157,0.3316,2026-08-02 18:00:00
0.6646,1.9815,0.3354,2026-08-02 19:00:00
0.6630,1.9674,0.3370,2026-08-02 20:00:00
0.6643,1.9789,0.3357,2026-08-02 21:00:00
0.6699,2.0294,0.3301,2026-08-02 22:00:00
0.6732,2.0600,0.3268,2026-08-02 23:00:00
0.6692,2.0230,0.3308,2026-08-03 00:00:00
0.6752,2.0788,0.3248,2026-08-03 01:00:00
0.6785,2.1104,0.3215,2026-08-03 02:00:00
0.6820,2.1447,0.3180,2026-08-03 03:00:00
0.6753,2.0798,0.3247,2026-08-03 04:00:00
0.6686,2.0175,0.3314,2026-08-03 05:00:00
0.6734,2.0618,0.3266,2026-08-03 06:00:00
