buySellRatio,sellVol,buyVol,time
0.8631,186594.8500,161051.1400,2026-07-28 19:00:00
0.9676,231919.7200,224401.5000,2026-07-28 20:00:00
1.0415,55139.6600,57426.6800,2026-07-28 21:00:00
0.8591,405676.3600,348530.2200,2026-07-28 22:00:00
1.0831,318658.1000,345150.2900,2026-07-28 23:00:00
1.0569,580639.8100,613670.1500,2026-07-29 00:00:00
0.8939,486516.8200,434873.8100,2026-07-29 01:00:00
0.9021,576696.5800,520262.8300,2026-07-29 02:00:00
0.9644,357484.0400,344763.4200,2026-07-29 03:00:00
0.9007,731795.2600,659144.6600,2026-07-29 04:00:00
1.0540,470276.4200,495651.7000,2026-07-29 05:00:00
0.9897,257427.4500,254768.1500,2026-07-29 06:00:00
1.0881,162884.7400,177230.2400,2026-07-29 07:00:00
1.1046,269802.0400,298012.7300,2026-07-29 08:00:00
1.3458,315320.3600,424351.4400,2026-07-29 09:00:00
1.2271,255159.8500,313097.6200,2026-07-29 10:00:00
1.0416,251080.9300,261528.3100,2026-07-29 11:00:00
1.0538,317452.8200,334534.1800,2026-07-29 12:00:00
1.0653,860499.9700,916704.1100,2026-07-29 13:00:00
0.9321,526665.3700,490881.3300,2026-07-29 14:00:00
0.8033,242526.9300,194831.5100,2026-07-29 15:00:00
0.8432,196665.3800,165824.9700,2026-07-29 16:00:00
0.9010,173337.9100,156184.6200,2026-07-29 17:00:00
1.1593,623322.0500,722600.3300,2026-07-29 18:00:00
0.9895,425114.6400,420651.3900,2026-07-29 19:00:00
0.9049,452847.5400,409787.7400,2026-07-29 20:00:00
1.0005,148003.2900,148076.6500,2026-07-29 21:00:00
0.8880,172179.6000,152889.9200,2026-07-29 22:00:00
1.1844,178477.2200,211380.5600,2026-07-29 23:00:00
1.0002,440576.0200,440663.8000,2026-07-30 00:00:00
1.0408,356273.1300,370821.4800,2026-07-30 01:00:00
0.9863,279555.5300,275721.8500,2026-07-30 02:00:00
0.9867,165269.5100,163068.6100,2026-07-30 03:00:00
0.8826,234126.4900,206639.0700,2026-07-30 04:00:00
1.0288,146030.6000,150233.3000,2026-07-30 05:00:00
0.9892,61778.0700,61109.6600,2026-07-30 06:00:00
1.0232,56254.9900,57562.4100,2026-07-30 07:00:00
0.7849,140265.3000,110092.2800,2026-07-30 08:00:00
1.1095,67097.8100,74442.4900,2026-07-30 09:00:00
1.0626,126754.5900,134694.8100,2026-07-30 10:00:00
1.2321,143474.3000,176768.1600,2026-07-30 11:00:00
0.9486,371099.8400,352021.3300,2026-07-30 12:00:00
1.1216,607681.5400,681576.9100,2026-07-30 13:00:00
1.0598,576114.0800,610572.9700,2026-07-30 14:00:00
0.8904,286450.7600,255057.6300,2026-07-30 15:00:00
0.9320,161866.8800,150866.9600,2026-07-30 16:00:00
0.9699,114274.9400,110836.3000,2026-07-30 17:00:00
0.9914,69369.7600,68775.3800,2026-07-30 18:00:00
0.9316,177341.2700,165216.4700,2026-07-30 19:00:00
1.0997,310803.2300,341786.2200,2026-07-30 20:00:00
0.7706,88039.3100,67842.0400,2026-07-30 21:00:00
1.3475,65846.4700,88728.6200,2026-07-30 22:00:00
1.0058,233671.3200,235016.2900,2026-07-30 23:00:00
0.8550,497391.6800,425288.1900,2026-07-31 00:00:00
1.2256,303053.5300,371409.6500,2026-07-31 01:00:00
0.8238,211534.2200,174257.9000,2026-07-31 02:00:00
0.9676,111821.5500,108196.3500,2026-07-31 03:00:00
1.2582,94683.4500,119127.7300,2026-07-31 04:00:00
1.0621,180452.4100,191667.4100,2026-07-31 05:00:00
0.9575,368146.6100,352488.4000,2026-07-31 06:00:00
0.9539,165495.4900,157858.1600,2026-07-31 07:00:00
0.7377,350340.1800,258456.7200,2026-07-31 08:00:00
1.0592,124271.6400,131634.6000,2026-07-31 09:00:00
1.0587,53992.6600,57162.6700,2026-07-31 10:00:00
1.1565,106976.5400,123717.3300,2026-07-31 11:00:00
1.2293,177690.3500,218439.0700,2026-07-31 12:00:00
0.9120,1074266.3000,979700.9400,2026-07-31 13:00:00
0.9778,736240.0200,719917.2700,2026-07-31 14:00:00
0.9077,207452.9600,188298.3100,2026-07-31 15:00:00
1.0732,92479.6200,99251.5700,2026-07-31 16:00:00
1.1139,64999.7300,72402.3300,2026-07-31 17:00:00
0.8056,76886.7700,61939.2500,2026-07-31 18:00:00
0.8332,130144.7200,108442.0900,2026-07-31 19:00:00
0.9409,143025.2200,134576.5800,2026-07-31 20:00:00
0.8154,30505.3000,24874.6400,2026-07-31 21:00:00
1.1152,12316.9000,13736.0300,2026-07-31 22:00:00
1.1734,18118.2500,21260.2600,2026-07-31 23:00:00
1.0635,30241.5200,32160.4000,2026-08-01 00:00:00
1.2122,9559.9900,11589.0800,2026-08-01 01:00:00
0.9681,7073.6300,6847.6500,2026-08-01 02:00:00
0.5240,11004.7000,5766.3400,2026-08-01 03:00:00
0.8203,3380.5800,2773.0200,2026-08-01 04:00:00
0.8370,9022.8500,7552.5400,2026-08-01 05:00:00
0.9664,8494.1800,8208.6400,2026-08-01 06:00:00
1.6517,5543.5800,9156.1800,2026-08-01 07:00:00
1.0666,7830.1100,8351.4600,2026-08-01 08:00:00
0.7926,6708.1500,5316.7100,2026-08-01 09:00:00
1.0269,2442.1900,2507.9400,2026-08-01 10:00:00
1.4303,2821.0300,4034.9700,2026-08-01 11:00:00
0.4724,3780.7100,1786.0000,2026-08-01 12:00:00
0.5873,7189.4400,4222.0400,2026-08-01 13:00:00
0.6043,5596.8800,3382.1800,2026-08-01 14:00:00
0.3955,8119.3100,3210.8500,2026-08-01 15:00:00
