longAccount,longShortRatio,shortAccount,time
0.7988,3.9702,0.2012,2026-07-28 19:00:00
0.8011,4.0277,0.1989,2026-07-28 20:00:00
0.8035,4.0891,0.1965,2026-07-28 21:00:00
0.7946,3.8685,0.2054,2026-07-28 22:00:00
0.8240,4.6818,0.1760,2026-07-28 23:00:00
0.8051,4.1308,0.1949,2026-07-29 00:00:00
0.7975,3.9383,0.2025,2026-07-29 01:00:00
0.8152,4.4113,0.1848,2026-07-29 02:00:00
0.8037,4.0942,0.1963,2026-07-29 03:00:00
0.8264,4.7604,0.1736,2026-07-29 04:00:00
0.8264,4.7604,0.1736,2026-07-29 05:00:00
0.8268,4.7737,0.1732,2026-07-29 06:00:00
0.8186,4.5127,0.1814,2026-07-29 07:00:00
0.8103,4.2715,0.1897,2026-07-29 08:00:00
0.8169,4.4615,0.1831,2026-07-29 09:00:00
0.8092,4.2411,0.1908,2026-07-29 10:00:00
0.8093,4.2438,0.1907,2026-07-29 11:00:00
0.8071,4.1840,0.1929,2026-07-29 12:00:00
0.7995,3.9875,0.2005,2026-07-29 13:00:00
0.8061,4.1573,0.1939,2026-07-29 14:00:00
0.8133,4.3562,0.1867,2026-07-29 15:00:00
0.8127,4.3390,0.1873,2026-07-29 16:00:00
0.8129,4.3447,0.1871,2026-07-29 17:00:00
0.8092,4.2411,0.1908,2026-07-29 18:00:00
0.8160,4.4348,0.1840,2026-07-29 19:00:00
0.8169,4.4615,0.1831,2026-07-29 20:00:00
0.8065,4.1680,0.1935,2026-07-29 21:00:00
0.8078,4.2029,0.1922,2026-07-29 22:00:00
0.8041,4.1046,0.1959,2026-07-29 23:00:00
0.7959,3.8996,0.2041,2026-07-30 00:00:00
0.8078,4.2029,0.1922,2026-07-30 01:00:00
0.7983,3.9579,0.2017,2026-07-30 02:00:00
0.8074,4.1921,0.1926,2026-07-30 03:00:00
0.8071,4.1840,0.1929,2026-07-30 04:00:00
0.8030,4.0761,0.1970,2026-07-30 05:00:00
0.7998,3.9950,0.2002,2026-07-30 06:00:00
0.8036,4.0916,0.1964,2026-07-30 07:00:00
0.8058,4.1493,0.1942,2026-07-30 08:00:00
0.8091,4.2383,0.1909,2026-07-30 09:00:00
0.8089,4.2329,0.1911,2026-07-30 10:00:00
0.7986,3.9652,0.2014,2026-07-30 11:00:00
0.7928,3.8263,0.2072,2026-07-30 12:00:00
0.7922,3.8123,0.2078,2026-07-30 13:00:00
0.7787,3.5188,0.2213,2026-07-30 14:00:00
0.7629,3.2176,0.2371,2026-07-30 15:00:00
0.7533,3.0535,0.2467,2026-07-30 16:00:00
0.7577,3.1271,0.2423,2026-07-30 17:00:00
0.7500,3.0000,0.2500,2026-07-30 18:00:00
0.7477,2.9635,0.2523,2026-07-30 19:00:00
0.7470,2.9526,0.2530,2026-07-30 20:00:00
0.7414,2.8670,0.2586,2026-07-30 21:00:00
0.7420,2.8760,0.2580,2026-07-30 22:00:00
0.7303,2.7078,0.2697,2026-07-30 23:00:00
0.7315,2.7244,0.2685,2026-07-31 00:00:00
0.7193,2.5625,0.2807,2026-07-31 01:00:00
0.7126,2.4795,0.2874,2026-07-31 02:00:00
0.7174,2.5386,0.2826,2026-07-31 03:00:00
0.7157,2.5174,0.2843,2026-07-31 04:00:00
0.7186,2.5537,0.2814,2026-07-31 05:00:00
0.7154,2.5137,0.2846,2026-07-31 06:00:00
0.7176,2.5411,0.2824,2026-07-31 07:00:00
0.7193,2.5625,0.2807,2026-07-31 08:00:00
0.7197,2.5676,0.2803,2026-07-31 09:00:00
0.7153,2.5125,0.2847,2026-07-31 10:00:00
0.7163,2.5249,0.2837,2026-07-31 11:00:00
0.7030,2.3670,0.2970,2026-07-31 12:00:00
0.7021,2.3568,0.2979,2026-07-31 13:00:00
0.7122,2.4746,0.2878,2026-07-31 14:00:00
0.7300,2.7037,0.2700,2026-07-31 15:00:00
0.7213,2.5881,0.2787,2026-07-31 16:00:00
0.7194,2.5638,0.2806,2026-07-31 17:00:00
0.7202,2.5740,0.2798,2026-07-31 18:00:00
0.7259,2.6483,0.2741,2026-07-31 19:00:00
0.7218,2.5945,0.2782,2026-07-31 20:00:00
0.7316,2.7258,0.2684,2026-07-31 21:00:00
0.7288,2.6873,0.2712,2026-07-31 22:00:00
0.7312,2.7202,0.2688,2026-07-31 23:00:00
0.7246,2.6311,0.2754,2026-08-01 00:00:00
0.7203,2.5753,0.2797,2026-08-01 01:00:00
0.7113,2.4638,0.2887,2026-08-01 02:00:00
0.7110,2.4602,0.2890,2026-08-01 03:00:00
0.7132,2.4868,0.2868,2026-08-01 04:00:00
0.7101,2.4495,0.2899,2026-08-01 05:00:00
0.7081,2.4258,0.2919,2026-08-01 06:00:00
0.7080,2.4247,0.2920,2026-08-01 07:00:00
0.7100,2.4483,0.2900,2026-08-01 08:00:00
0.7012,2.3467,0.2988,2026-08-01 09:00:00
0.7007,2.3411,0.2993,2026-08-01 10:00:00
0.7071,2.4141,0.2929,2026-08-01 11:00:00
0.7032,2.3693,0.2968,2026-08-01 12:00:00
0.7050,2.3898,0.2950,2026-08-01 13:00:00
0.7082,2.4270,0.2918,2026-08-01 14:00:00
0.7066,2.4083,0.2934,2026-08-01 15:00:00
0.7137,2.4928,0.2863,2026-08-01 16:00:00
0.7165,2.5273,0.2835,2026-08-01 17:00:00
0.7190,2.5587,0.2810,2026-08-01 18:00:00
0.7248,2.6337,0.2752,2026-08-01 19:00:00
0.7238,2.6206,0.2762,2026-08-01 20:00:00
0.7294,2.6955,0.2706,2026-08-01 21:00:00
