longAccount,longShortRatio,shortAccount,time
0.7956,3.8928,0.2044,2026-07-28 19:00:00
0.7924,3.8172,0.2076,2026-07-28 20:00:00
0.7839,3.6267,0.2161,2026-07-28 21:00:00
0.7855,3.6621,0.2145,2026-07-28 22:00:00
0.8037,4.0948,0.1963,2026-07-28 23:00:00
0.8177,4.4864,0.1823,2026-07-29 00:00:00
0.8120,4.3185,0.1880,2026-07-29 01:00:00
0.8057,4.1456,0.1943,2026-07-29 02:00:00
0.7884,3.7254,0.2116,2026-07-29 03:00:00
0.7900,3.7610,0.2100,2026-07-29 04:00:00
0.7694,3.3371,0.2306,2026-07-29 05:00:00
0.7847,3.6436,0.2153,2026-07-29 06:00:00
0.7871,3.6963,0.2129,2026-07-29 07:00:00
0.7869,3.6933,0.2131,2026-07-29 08:00:00
0.7901,3.7640,0.2099,2026-07-29 09:00:00
0.7829,3.6055,0.2171,2026-07-29 10:00:00
0.7802,3.5499,0.2198,2026-07-29 11:00:00
0.7811,3.5680,0.2189,2026-07-29 12:00:00
0.7902,3.7659,0.2098,2026-07-29 13:00:00
0.8011,4.0281,0.1989,2026-07-29 14:00:00
0.8241,4.6862,0.1759,2026-07-29 15:00:00
0.8186,4.5130,0.1814,2026-07-29 16:00:00
0.8218,4.6124,0.1782,2026-07-29 17:00:00
0.8219,4.6142,0.1781,2026-07-29 18:00:00
0.8099,4.2615,0.1901,2026-07-29 19:00:00
0.8228,4.6427,0.1772,2026-07-29 20:00:00
0.8267,4.7716,0.1733,2026-07-29 21:00:00
0.8166,4.4513,0.1834,2026-07-29 22:00:00
0.8107,4.2816,0.1893,2026-07-29 23:00:00
0.8274,4.7945,0.1726,2026-07-30 00:00:00
0.8261,4.7502,0.1739,2026-07-30 01:00:00
0.8291,4.8502,0.1709,2026-07-30 02:00:00
0.8268,4.7722,0.1732,2026-07-30 03:00:00
0.8225,4.6346,0.1775,2026-07-30 04:00:00
0.8104,4.2754,0.1896,2026-07-30 05:00:00
0.8121,4.3220,0.1879,2026-07-30 06:00:00
0.8199,4.5519,0.1801,2026-07-30 07:00:00
0.8217,4.6070,0.1783,2026-07-30 08:00:00
0.8189,4.5216,0.1811,2026-07-30 09:00:00
0.8199,4.5513,0.1801,2026-07-30 10:00:00
0.8290,4.8478,0.1710,2026-07-30 11:00:00
0.8289,4.8430,0.1711,2026-07-30 12:00:00
0.8245,4.6977,0.1755,2026-07-30 13:00:00
