sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,time
528974754.00000000,44190550.94916000,9560937500.00000000,2026-07-28 20:00:00
529664604.00000000,44285257.54044000,9560937500.00000000,2026-07-28 21:00:00
529562298.00000000,44218451.88300000,9560937500.00000000,2026-07-28 22:00:00
524554701.00000000,43458601.61908056,9560937500.00000000,2026-07-28 23:00:00
525999581.00000000,43896658.57286199,9560937500.00000000,2026-07-29 00:00:00
524052307.00000000,43601151.94240000,9560937500.00000000,2026-07-29 01:00:00
523179535.00000000,43136152.66075000,9560937500.00000000,2026-07-29 02:00:00
521496550.00000000,42752287.16900000,9560937500.00000000,2026-07-29 03:00:00
516737672.00000000,41380352.77376000,9560937500.00000000,2026-07-29 04:00:00
512730142.00000000,41452647.64456122,9560937500.00000000,2026-07-29 05:00:00
511893467.00000000,42021334.70603000,9560937500.00000000,2026-07-29 06:00:00
512228259.00000000,41726636.45096418,9560937500.00000000,2026-07-29 07:00:00
513930273.00000000,41813988.86691033,9560937500.00000000,2026-07-29 08:00:00
514006183.00000000,41706461.68862000,9560937500.00000000,2026-07-29 09:00:00
512029439.00000000,41686492.75410575,9560937500.00000000,2026-07-29 10:00:00
511130898.00000000,41493606.29964000,9560937500.00000000,2026-07-29 11:00:00
510880823.00000000,41707666.67988302,9560937500.00000000,2026-07-29 12:00:00
509490044.00000000,41296705.32661912,9560937500.00000000,2026-07-29 13:00:00
513013560.00000000,41562516.91251960,9560937500.00000000,2026-07-29 14:00:00
512340420.00000000,41068465.17359100,9560937500.00000000,2026-07-29 15:00:00
512442695.00000000,40872239.74940285,9560937500.00000000,2026-07-29 16:00:00
511445684.00000000,40501383.71596000,9560937500.00000000,2026-07-29 17:00:00
513819605.00000000,41141535.77235000,9560937500.00000000,2026-07-29 18:00:00
514405443.00000000,41296468.96404000,9560937500.00000000,2026-07-29 19:00:00
514542298.00000000,40072554.16824000,9560937500.00000000,2026-07-29 20:00:00
513707698.00000000,39704467.97842000,9560937500.00000000,2026-07-29 21:00:00
516284623.00000000,40012058.28250000,9560937500.00000000,2026-07-29 22:00:00
518332182.00000000,40555688.68328412,9560937500.00000000,2026-07-29 23:00:00
526401724.00000000,41106710.62716000,9560937500.00000000,2026-07-30 00:00:00
530471056.00000000,41431115.65124000,9560937500.00000000,2026-07-30 01:00:00
535422560.00000000,42205213.36033440,9560937500.00000000,2026-07-30 02:00:00
535965354.00000000,41891052.06864000,9560937500.00000000,2026-07-30 03:00:00
539065530.00000000,42122240.90291610,9560937500.00000000,2026-07-30 04:00:00
