longAccount,longShortRatio,shortAccount,time
0.6451,1.8177,0.3549,2026-07-28 20:00:00
0.6431,1.8019,0.3569,2026-07-28 21:00:00
0.6427,1.7988,0.3573,2026-07-28 22:00:00
0.6402,1.7793,0.3598,2026-07-28 23:00:00
0.6341,1.7330,0.3659,2026-07-29 00:00:00
0.6377,1.7601,0.3623,2026-07-29 01:00:00
0.6399,1.7770,0.3601,2026-07-29 02:00:00
0.6392,1.7716,0.3608,2026-07-29 03:00:00
0.6507,1.8629,0.3493,2026-07-29 04:00:00
0.6549,1.8977,0.3451,2026-07-29 05:00:00
0.6454,1.8201,0.3546,2026-07-29 06:00:00
0.6456,1.8217,0.3544,2026-07-29 07:00:00
0.6436,1.8058,0.3564,2026-07-29 08:00:00
0.6429,1.8003,0.3571,2026-07-29 09:00:00
0.6425,1.7972,0.3575,2026-07-29 10:00:00
0.6391,1.7709,0.3609,2026-07-29 11:00:00
0.6383,1.7647,0.3617,2026-07-29 12:00:00
0.6398,1.7762,0.3602,2026-07-29 13:00:00
0.6396,1.7747,0.3604,2026-07-29 14:00:00
0.6386,1.7670,0.3614,2026-07-29 15:00:00
0.6352,1.7412,0.3648,2026-07-29 16:00:00
0.6357,1.7450,0.3643,2026-07-29 17:00:00
0.6312,1.7115,0.3688,2026-07-29 18:00:00
0.6293,1.6976,0.3707,2026-07-29 19:00:00
0.6269,1.6802,0.3731,2026-07-29 20:00:00
0.6243,1.6617,0.3757,2026-07-29 21:00:00
0.6242,1.6610,0.3758,2026-07-29 22:00:00
0.6205,1.6350,0.3795,2026-07-29 23:00:00
0.6142,1.5920,0.3858,2026-07-30 00:00:00
0.6110,1.5707,0.3890,2026-07-30 01:00:00
0.6107,1.5687,0.3893,2026-07-30 02:00:00
0.6103,1.5661,0.3897,2026-07-30 03:00:00
0.6092,1.5589,0.3908,2026-07-30 04:00:00
0.6085,1.5543,0.3915,2026-07-30 05:00:00
0.6071,1.5452,0.3929,2026-07-30 06:00:00
0.6051,1.5323,0.3949,2026-07-30 07:00:00
0.6054,1.5342,0.3946,2026-07-30 08:00:00
0.6047,1.5297,0.3953,2026-07-30 09:00:00
0.6034,1.5214,0.3966,2026-07-30 10:00:00
0.6047,1.5297,0.3953,2026-07-30 11:00:00
0.6041,1.5259,0.3959,2026-07-30 12:00:00
0.6002,1.5013,0.3998,2026-07-30 13:00:00
0.5930,1.4570,0.4070,2026-07-30 14:00:00
0.5929,1.4564,0.4071,2026-07-30 15:00:00
0.5949,1.4685,0.4051,2026-07-30 16:00:00
0.5957,1.4734,0.4043,2026-07-30 17:00:00
0.5959,1.4746,0.4041,2026-07-30 18:00:00
0.5946,1.4667,0.4054,2026-07-30 19:00:00
0.5959,1.4746,0.4041,2026-07-30 20:00:00
0.5964,1.4777,0.4036,2026-07-30 21:00:00
0.5991,1.4944,0.4009,2026-07-30 22:00:00
