longAccount,longShortRatio,shortAccount,time
0.6468,1.8310,0.3532,2026-07-28 20:00:00
0.6461,1.8256,0.3539,2026-07-28 21:00:00
0.6453,1.8195,0.3547,2026-07-28 22:00:00
0.6441,1.8096,0.3559,2026-07-28 23:00:00
0.6454,1.8200,0.3546,2026-07-29 00:00:00
0.6450,1.8167,0.3550,2026-07-29 01:00:00
0.6438,1.8073,0.3562,2026-07-29 02:00:00
0.6434,1.8043,0.3566,2026-07-29 03:00:00
0.6388,1.7686,0.3612,2026-07-29 04:00:00
0.6344,1.7354,0.3656,2026-07-29 05:00:00
0.6321,1.7185,0.3679,2026-07-29 06:00:00
0.6347,1.7373,0.3653,2026-07-29 07:00:00
0.6340,1.7326,0.3660,2026-07-29 08:00:00
0.6341,1.7332,0.3659,2026-07-29 09:00:00
0.6298,1.7011,0.3702,2026-07-29 10:00:00
0.6297,1.7004,0.3703,2026-07-29 11:00:00
0.6304,1.7056,0.3696,2026-07-29 12:00:00
0.6304,1.7058,0.3696,2026-07-29 13:00:00
0.6313,1.7120,0.3687,2026-07-29 14:00:00
0.6305,1.7065,0.3695,2026-07-29 15:00:00
0.6301,1.7036,0.3699,2026-07-29 16:00:00
0.6361,1.7479,0.3639,2026-07-29 17:00:00
0.6356,1.7442,0.3644,2026-07-29 18:00:00
0.6364,1.7500,0.3636,2026-07-29 19:00:00
0.6360,1.7471,0.3640,2026-07-29 20:00:00
0.6355,1.7432,0.3645,2026-07-29 21:00:00
0.6353,1.7422,0.3647,2026-07-29 22:00:00
0.6339,1.7313,0.3661,2026-07-29 23:00:00
0.6345,1.7357,0.3655,2026-07-30 00:00:00
0.6361,1.7478,0.3639,2026-07-30 01:00:00
0.6403,1.7804,0.3597,2026-07-30 02:00:00
0.6407,1.7835,0.3593,2026-07-30 03:00:00
0.6408,1.7842,0.3592,2026-07-30 04:00:00
0.6400,1.7775,0.3600,2026-07-30 05:00:00
0.6408,1.7838,0.3592,2026-07-30 06:00:00
0.6389,1.7690,0.3611,2026-07-30 07:00:00
0.6377,1.7604,0.3623,2026-07-30 08:00:00
