longAccount,longShortRatio,shortAccount,time
0.7400,2.8462,0.2600,2026-07-28 19:00:00
0.7437,2.9022,0.2563,2026-07-28 20:00:00
0.7429,2.8903,0.2571,2026-07-28 21:00:00
0.7423,2.8802,0.2577,2026-07-28 22:00:00
0.7404,2.8523,0.2596,2026-07-28 23:00:00
0.7405,2.8532,0.2595,2026-07-29 00:00:00
0.7622,3.2057,0.2378,2026-07-29 01:00:00
0.7369,2.8010,0.2631,2026-07-29 02:00:00
0.7492,2.9879,0.2508,2026-07-29 03:00:00
0.7471,2.9548,0.2529,2026-07-29 04:00:00
0.6570,1.9156,0.3430,2026-07-29 05:00:00
0.7465,2.9442,0.2535,2026-07-29 06:00:00
0.7788,3.5215,0.2212,2026-07-29 07:00:00
0.8011,4.0271,0.1989,2026-07-29 08:00:00
0.8183,4.5025,0.1817,2026-07-29 09:00:00
0.8249,4.7115,0.1751,2026-07-29 10:00:00
0.8348,5.0520,0.1652,2026-07-29 11:00:00
0.8350,5.0623,0.1650,2026-07-29 12:00:00
0.8221,4.6220,0.1779,2026-07-29 13:00:00
0.8335,5.0055,0.1665,2026-07-29 14:00:00
0.8296,4.8697,0.1704,2026-07-29 15:00:00
0.8373,5.1472,0.1627,2026-07-29 16:00:00
0.8375,5.1530,0.1625,2026-07-29 17:00:00
0.8382,5.1807,0.1618,2026-07-29 18:00:00
0.8310,4.9159,0.1690,2026-07-29 19:00:00
0.8184,4.5071,0.1816,2026-07-29 20:00:00
0.8237,4.6725,0.1763,2026-07-29 21:00:00
0.8145,4.3916,0.1855,2026-07-29 22:00:00
0.8180,4.4955,0.1820,2026-07-29 23:00:00
0.8191,4.5287,0.1809,2026-07-30 00:00:00
0.8312,4.9252,0.1688,2026-07-30 01:00:00
0.8301,4.8870,0.1699,2026-07-30 02:00:00
0.8312,4.9233,0.1688,2026-07-30 03:00:00
0.8360,5.0971,0.1640,2026-07-30 04:00:00
0.8297,4.8733,0.1703,2026-07-30 05:00:00
0.8349,5.0553,0.1651,2026-07-30 06:00:00
0.8320,4.9523,0.1680,2026-07-30 07:00:00
0.8300,4.8823,0.1700,2026-07-30 08:00:00
0.8309,4.9147,0.1691,2026-07-30 09:00:00
0.8423,5.3419,0.1577,2026-07-30 10:00:00
0.8440,5.4084,0.1560,2026-07-30 11:00:00
0.8439,5.4061,0.1561,2026-07-30 12:00:00
0.8418,5.3200,0.1582,2026-07-30 13:00:00
0.8162,4.4407,0.1838,2026-07-30 14:00:00
0.8063,4.1627,0.1937,2026-07-30 15:00:00
0.7879,3.7144,0.2121,2026-07-30 16:00:00
0.7782,3.5095,0.2218,2026-07-30 17:00:00
0.7750,3.4444,0.2250,2026-07-30 18:00:00
0.7708,3.3628,0.2292,2026-07-30 19:00:00
0.7612,3.1877,0.2388,2026-07-30 20:00:00
0.7456,2.9309,0.2544,2026-07-30 21:00:00
0.7511,3.0179,0.2489,2026-07-30 22:00:00
0.7446,2.9151,0.2554,2026-07-30 23:00:00
0.7364,2.7933,0.2636,2026-07-31 00:00:00
0.7050,2.3898,0.2950,2026-07-31 01:00:00
0.7072,2.4151,0.2928,2026-07-31 02:00:00
0.7004,2.3381,0.2996,2026-07-31 03:00:00
0.6988,2.3197,0.3012,2026-07-31 04:00:00
0.6914,2.2407,0.3086,2026-07-31 05:00:00
0.6713,2.0424,0.3287,2026-07-31 06:00:00
0.6397,1.7752,0.3603,2026-07-31 07:00:00
0.6413,1.7878,0.3587,2026-07-31 08:00:00
0.6388,1.7688,0.3612,2026-07-31 09:00:00
0.6298,1.7015,0.3702,2026-07-31 10:00:00
0.6305,1.7064,0.3695,2026-07-31 11:00:00
0.6288,1.6939,0.3712,2026-07-31 12:00:00
0.6254,1.6692,0.3746,2026-07-31 13:00:00
0.6175,1.6147,0.3825,2026-07-31 14:00:00
0.6803,2.1280,0.3197,2026-07-31 15:00:00
0.6805,2.1303,0.3195,2026-07-31 16:00:00
0.6811,2.1356,0.3189,2026-07-31 17:00:00
0.6824,2.1489,0.3176,2026-07-31 18:00:00
0.6797,2.1216,0.3203,2026-07-31 19:00:00
0.6783,2.1082,0.3217,2026-07-31 20:00:00
0.6776,2.1014,0.3224,2026-07-31 21:00:00
0.6787,2.1127,0.3213,2026-07-31 22:00:00
0.6785,2.1107,0.3215,2026-07-31 23:00:00
0.6779,2.1046,0.3221,2026-08-01 00:00:00
0.6786,2.1109,0.3214,2026-08-01 01:00:00
0.6726,2.0548,0.3274,2026-08-01 02:00:00
0.6738,2.0661,0.3262,2026-08-01 03:00:00
0.6760,2.0862,0.3240,2026-08-01 04:00:00
0.6759,2.0853,0.3241,2026-08-01 05:00:00
0.6641,1.9773,0.3359,2026-08-01 06:00:00
0.6649,1.9838,0.3351,2026-08-01 07:00:00
0.6616,1.9547,0.3384,2026-08-01 08:00:00
0.6587,1.9301,0.3413,2026-08-01 09:00:00
0.6577,1.9215,0.3423,2026-08-01 10:00:00
0.6580,1.9238,0.3420,2026-08-01 11:00:00
0.6591,1.9338,0.3409,2026-08-01 12:00:00
0.6608,1.9483,0.3392,2026-08-01 13:00:00
0.6636,1.9729,0.3364,2026-08-01 14:00:00
0.6644,1.9798,0.3356,2026-08-01 15:00:00
0.6627,1.9651,0.3373,2026-08-01 16:00:00
0.6632,1.9687,0.3368,2026-08-01 17:00:00
0.6635,1.9722,0.3365,2026-08-01 18:00:00
0.6581,1.9249,0.3419,2026-08-01 19:00:00
0.6585,1.9285,0.3415,2026-08-01 20:00:00
0.6594,1.9361,0.3406,2026-08-01 21:00:00
0.6527,1.8792,0.3473,2026-08-01 22:00:00
0.6535,1.8858,0.3465,2026-08-01 23:00:00
0.6539,1.8892,0.3461,2026-08-02 00:00:00
0.6555,1.9029,0.3445,2026-08-02 01:00:00
0.6533,1.8846,0.3467,2026-08-02 02:00:00
0.6615,1.9541,0.3385,2026-08-02 03:00:00
0.6622,1.9602,0.3378,2026-08-02 04:00:00
0.6592,1.9341,0.3408,2026-08-02 05:00:00
0.6563,1.9092,0.3437,2026-08-02 06:00:00
0.6531,1.8828,0.3469,2026-08-02 07:00:00
0.6523,1.8760,0.3477,2026-08-02 08:00:00
0.6509,1.8644,0.3491,2026-08-02 09:00:00
0.6507,1.8628,0.3493,2026-08-02 10:00:00
0.6494,1.8519,0.3506,2026-08-02 11:00:00
0.6464,1.8279,0.3536,2026-08-02 12:00:00
0.6466,1.8293,0.3534,2026-08-02 13:00:00
0.6471,1.8334,0.3529,2026-08-02 14:00:00
0.6492,1.8506,0.3508,2026-08-02 15:00:00
0.6518,1.8719,0.3482,2026-08-02 16:00:00
0.6525,1.8777,0.3475,2026-08-02 17:00:00
0.6519,1.8725,0.3481,2026-08-02 18:00:00
0.6535,1.8863,0.3465,2026-08-02 19:00:00
0.6545,1.8947,0.3455,2026-08-02 20:00:00
0.6534,1.8850,0.3466,2026-08-02 21:00:00
0.6465,1.8285,0.3535,2026-08-02 22:00:00
0.6348,1.7381,0.3652,2026-08-02 23:00:00
0.6378,1.7612,0.3622,2026-08-03 00:00:00
0.6557,1.9048,0.3443,2026-08-03 01:00:00
0.6709,2.0385,0.3291,2026-08-03 02:00:00
0.6700,2.0307,0.3300,2026-08-03 03:00:00
0.6762,2.0880,0.3238,2026-08-03 04:00:00
0.6807,2.1319,0.3193,2026-08-03 05:00:00
0.6827,2.1519,0.3173,2026-08-03 06:00:00
0.6844,2.1687,0.3156,2026-08-03 07:00:00
0.6915,2.2411,0.3085,2026-08-03 08:00:00
0.6908,2.2347,0.3092,2026-08-03 09:00:00
0.6927,2.2542,0.3073,2026-08-03 10:00:00
0.6942,2.2705,0.3058,2026-08-03 11:00:00
0.6940,2.2681,0.3060,2026-08-03 12:00:00
0.6956,2.2856,0.3044,2026-08-03 13:00:00
0.7013,2.3475,0.2987,2026-08-03 14:00:00
0.7269,2.6611,0.2731,2026-08-03 15:00:00
0.7418,2.8730,0.2582,2026-08-03 16:00:00
0.7463,2.9413,0.2537,2026-08-03 17:00:00
0.7478,2.9652,0.2522,2026-08-03 18:00:00
0.7510,3.0167,0.2490,2026-08-03 19:00:00
0.7532,3.0521,0.2468,2026-08-03 20:00:00
0.7648,3.2525,0.2352,2026-08-03 21:00:00
0.7744,3.4319,0.2256,2026-08-03 22:00:00
0.7730,3.4048,0.2270,2026-08-03 23:00:00
0.7749,3.4425,0.2251,2026-08-04 00:00:00
0.7678,3.3060,0.2322,2026-08-04 01:00:00
0.7625,3.2100,0.2375,2026-08-04 02:00:00
0.7626,3.2131,0.2374,2026-08-04 03:00:00
0.7637,3.2313,0.2363,2026-08-04 04:00:00
0.7633,3.2253,0.2367,2026-08-04 05:00:00
0.7579,3.1305,0.2421,2026-08-04 06:00:00
0.7507,3.0113,0.2493,2026-08-04 07:00:00
0.7533,3.0539,0.2467,2026-08-04 08:00:00
0.7560,3.0989,0.2440,2026-08-04 09:00:00
0.7579,3.1307,0.2421,2026-08-04 10:00:00
0.7602,3.1693,0.2398,2026-08-04 11:00:00
0.7547,3.0759,0.2453,2026-08-04 12:00:00
0.7538,3.0624,0.2462,2026-08-04 13:00:00
0.7535,3.0569,0.2465,2026-08-04 14:00:00
0.7522,3.0350,0.2478,2026-08-04 15:00:00
0.7454,2.9283,0.2546,2026-08-04 16:00:00
0.7425,2.8831,0.2575,2026-08-04 17:00:00
0.7372,2.8054,0.2628,2026-08-04 18:00:00
0.7231,2.6119,0.2769,2026-08-04 19:00:00
0.7195,2.5645,0.2805,2026-08-04 20:00:00
0.7169,2.5327,0.2831,2026-08-04 21:00:00
0.7162,2.5234,0.2838,2026-08-04 22:00:00
0.7158,2.5181,0.2842,2026-08-04 23:00:00
0.7116,2.4679,0.2884,2026-08-05 00:00:00
0.6813,2.1376,0.3187,2026-08-05 01:00:00
0.6817,2.1418,0.3183,2026-08-05 02:00:00
0.6891,2.2168,0.3109,2026-08-05 03:00:00
0.6900,2.2259,0.3100,2026-08-05 04:00:00
0.6889,2.2142,0.3111,2026-08-05 05:00:00
0.6901,2.2269,0.3099,2026-08-05 06:00:00
0.6916,2.2427,0.3084,2026-08-05 07:00:00
0.6860,2.1852,0.3140,2026-08-05 08:00:00
0.6813,2.1374,0.3187,2026-08-05 09:00:00
0.6795,2.1202,0.3205,2026-08-05 10:00:00
0.6795,2.1202,0.3205,2026-08-05 11:00:00
0.6776,2.1016,0.3224,2026-08-05 12:00:00
0.6749,2.0762,0.3251,2026-08-05 13:00:00
0.6778,2.1033,0.3222,2026-08-05 14:00:00
0.6776,2.1021,0.3224,2026-08-05 15:00:00
0.6524,1.8772,0.3476,2026-08-05 16:00:00
0.6565,1.9111,0.3435,2026-08-05 17:00:00
0.6667,2.0006,0.3333,2026-08-05 18:00:00
0.6680,2.0117,0.3320,2026-08-05 19:00:00
0.6567,1.9127,0.3433,2026-08-05 20:00:00
