sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,time
158395330.00000000,22025992.07543640,2240372584.78093530,2026-07-28 20:00:00
158592868.00000000,22028549.36520000,2240372584.78093530,2026-07-28 21:00:00
158945391.00000000,22276304.63151588,2240372584.78093530,2026-07-28 22:00:00
159442612.00000000,22082801.76200000,2240372584.78093530,2026-07-28 23:00:00
160172300.00000000,22263949.70000000,2240372584.78093530,2026-07-29 00:00:00
161765767.00000000,22339852.42270000,2240372584.78093530,2026-07-29 01:00:00
161169760.00000000,21902970.38400000,2240372584.78093530,2026-07-29 02:00:00
161718059.00000000,22106858.66530000,2240356438.24833540,2026-07-29 03:00:00
161794801.00000000,21793759.69470000,2240356438.24833540,2026-07-29 04:00:00
161995616.00000000,21929153.76313696,2240356438.24833540,2026-07-29 05:00:00
162003708.00000000,21862500.83689896,2240356438.24833540,2026-07-29 06:00:00
162499152.00000000,22018635.09600000,2240356438.24833540,2026-07-29 07:00:00
163227476.00000000,22052032.00760000,2240356438.24833540,2026-07-29 08:00:00
162842600.00000000,21553732.54618000,2240356438.24833540,2026-07-29 09:00:00
163408270.00000000,21673311.10000030,2240356438.24833540,2026-07-29 10:00:00
162515361.00000000,21846489.81168003,2240356438.24833540,2026-07-29 11:00:00
162890982.00000000,22435724.24937720,2240356438.24833540,2026-07-29 12:00:00
163321207.00000000,22167399.60672195,2240356438.24833540,2026-07-29 13:00:00
162608282.00000000,22000900.55460000,2240356438.24833540,2026-07-29 14:00:00
162245991.00000000,22024396.80551754,2240356438.24833540,2026-07-29 15:00:00
161752347.00000000,21971086.56685908,2240356438.24833540,2026-07-29 16:00:00
161737366.00000000,21911348.63299242,2240356438.24833540,2026-07-29 17:00:00
162430461.00000000,22529104.94070000,2240356438.24833540,2026-07-29 18:00:00
159589765.00000000,22310649.14700000,2240356438.24833540,2026-07-29 19:00:00
158953117.00000000,21792472.34070000,2240356438.24833540,2026-07-29 20:00:00
159302063.00000000,21491520.97036150,2240356438.24833540,2026-07-29 21:00:00
157402291.00000000,21516893.17970000,2240356438.24833540,2026-07-29 22:00:00
156188068.00000000,21569572.19080000,2240356438.24833540,2026-07-29 23:00:00
