longAccount,longShortRatio,shortAccount,time
0.6173,1.6130,0.3827,2026-07-28 20:00:00
0.6164,1.6069,0.3836,2026-07-28 21:00:00
0.6170,1.6110,0.3830,2026-07-28 22:00:00
0.6171,1.6116,0.3829,2026-07-28 23:00:00
0.6198,1.6302,0.3802,2026-07-29 00:00:00
0.6188,1.6233,0.3812,2026-07-29 01:00:00
0.6262,1.6752,0.3738,2026-07-29 02:00:00
0.6230,1.6525,0.3770,2026-07-29 03:00:00
0.6201,1.6323,0.3799,2026-07-29 04:00:00
0.6151,1.5981,0.3849,2026-07-29 05:00:00
0.6171,1.6116,0.3829,2026-07-29 06:00:00
0.6159,1.6035,0.3841,2026-07-29 07:00:00
0.6188,1.6233,0.3812,2026-07-29 08:00:00
0.6173,1.6130,0.3827,2026-07-29 09:00:00
0.6192,1.6261,0.3808,2026-07-29 10:00:00
0.6237,1.6575,0.3763,2026-07-29 11:00:00
0.6180,1.6178,0.3820,2026-07-29 12:00:00
0.6194,1.6274,0.3806,2026-07-29 13:00:00
0.6199,1.6309,0.3801,2026-07-29 14:00:00
0.6215,1.6420,0.3785,2026-07-29 15:00:00
0.6226,1.6497,0.3774,2026-07-29 16:00:00
0.6209,1.6378,0.3791,2026-07-29 17:00:00
0.6182,1.6192,0.3818,2026-07-29 18:00:00
0.6142,1.5920,0.3858,2026-07-29 19:00:00
0.6081,1.5517,0.3919,2026-07-29 20:00:00
0.6126,1.5813,0.3874,2026-07-29 21:00:00
0.6094,1.5602,0.3906,2026-07-29 22:00:00
0.6030,1.5189,0.3970,2026-07-29 23:00:00
0.6013,1.5082,0.3987,2026-07-30 00:00:00
0.6050,1.5316,0.3950,2026-07-30 01:00:00
0.6062,1.5394,0.3938,2026-07-30 02:00:00
0.6076,1.5484,0.3924,2026-07-30 03:00:00
0.6095,1.5608,0.3905,2026-07-30 04:00:00
0.6070,1.5445,0.3930,2026-07-30 05:00:00
0.5979,1.4869,0.4021,2026-07-30 06:00:00
0.6008,1.5050,0.3992,2026-07-30 07:00:00
0.5960,1.4752,0.4040,2026-07-30 08:00:00
0.5876,1.4248,0.4124,2026-07-30 09:00:00
0.5802,1.3821,0.4198,2026-07-30 10:00:00
0.5628,1.2873,0.4372,2026-07-30 11:00:00
0.5618,1.2821,0.4382,2026-07-30 12:00:00
0.5531,1.2376,0.4469,2026-07-30 13:00:00
0.5400,1.1739,0.4600,2026-07-30 14:00:00
0.5342,1.1468,0.4658,2026-07-30 15:00:00
0.5278,1.1177,0.4722,2026-07-30 16:00:00
0.5281,1.1191,0.4719,2026-07-30 17:00:00
0.5292,1.1240,0.4708,2026-07-30 18:00:00
0.5288,1.1222,0.4712,2026-07-30 19:00:00
0.5220,1.0921,0.4780,2026-07-30 20:00:00
0.5314,1.1340,0.4686,2026-07-30 21:00:00
0.5328,1.1404,0.4672,2026-07-30 22:00:00
0.5305,1.1299,0.4695,2026-07-30 23:00:00
0.5311,1.1327,0.4689,2026-07-31 00:00:00
0.5345,1.1482,0.4655,2026-07-31 01:00:00
0.5365,1.1575,0.4635,2026-07-31 02:00:00
0.5336,1.1441,0.4664,2026-07-31 03:00:00
