sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,time
225721.47000000,5917288.33605000,988588.66784545,2026-07-28 20:00:00
225578.91000000,5912423.23110000,988588.66784545,2026-07-28 21:00:00
225360.88000000,5899947.83840000,988588.66784545,2026-07-28 22:00:00
225162.35000000,5860975.97050000,988588.66784545,2026-07-28 23:00:00
224731.06000000,5859862.38950000,988588.66784545,2026-07-29 00:00:00
224848.39000000,5886584.75085605,988588.66784545,2026-07-29 01:00:00
224476.43000000,5769044.25100000,988588.66784545,2026-07-29 02:00:00
223852.32000000,5751885.36240000,988588.66784545,2026-07-29 03:00:00
224498.22000000,5691029.87700000,988588.66784545,2026-07-29 04:00:00
225613.69000000,5764429.77950000,988588.66784545,2026-07-29 05:00:00
225910.52000000,5768636.70159594,988588.66784545,2026-07-29 06:00:00
226302.95000000,5794487.03475000,988588.66784545,2026-07-29 07:00:00
226348.90000000,5822666.89283206,988588.66784545,2026-07-29 08:00:00
226940.70000000,5804008.40250000,988588.66784545,2026-07-29 09:00:00
227135.64000000,5814672.38400000,988588.66784545,2026-07-29 10:00:00
228155.77000000,5797438.11570000,988588.66784545,2026-07-29 11:00:00
228612.41000000,5824671.15935549,988588.66784545,2026-07-29 12:00:00
228012.14000000,5787936.16504663,988588.66784545,2026-07-29 13:00:00
227336.32000000,5799963.80639691,988588.66784545,2026-07-29 14:00:00
226922.78000000,5747954.01740000,988588.66784545,2026-07-29 15:00:00
226649.07000000,5701867.56783797,988588.66784545,2026-07-29 16:00:00
226624.64000000,5738135.88480000,988588.66784545,2026-07-29 17:00:00
227104.42000000,5773716.75284958,988588.66784545,2026-07-29 18:00:00
226286.17000000,5780545.90805087,988588.66784545,2026-07-29 19:00:00
226403.22000000,5716681.30500000,988588.66784545,2026-07-29 20:00:00
224730.21000000,5584040.53847173,988588.66784545,2026-07-29 21:00:00
224194.95000000,5625051.29550000,988588.66784545,2026-07-29 22:00:00
224102.75000000,5655232.89625000,988588.66784545,2026-07-29 23:00:00
224080.74000000,5679180.93586297,988588.66784545,2026-07-30 00:00:00
224437.45000000,5651334.99100000,988588.66784545,2026-07-30 01:00:00
224616.25000000,5707498.91250000,988588.66784545,2026-07-30 02:00:00
224340.68000000,5707260.45832232,988588.66784545,2026-07-30 03:00:00
223953.81000000,5672750.00730000,988588.66784545,2026-07-30 04:00:00
224397.07000000,5654806.16400000,988588.66784545,2026-07-30 05:00:00
224951.14000000,5725006.51300000,988588.66784545,2026-07-30 06:00:00
224617.05000000,5662595.83050000,988588.66784545,2026-07-30 07:00:00
225041.41000000,5648539.39100000,988588.66784545,2026-07-30 08:00:00
225906.87000000,5688334.98660000,988588.66784545,2026-07-30 09:00:00
226562.67000000,5691254.27040000,988588.66784545,2026-07-30 10:00:00
266532.17000000,7090752.73089235,988588.66784545,2026-07-30 11:00:00
273255.19000000,7505620.52781594,988588.66784545,2026-07-30 12:00:00
280053.61000000,7897511.80200000,988588.66784545,2026-07-30 13:00:00
302721.60000000,8819340.69020026,988588.66784545,2026-07-30 14:00:00
315096.16000000,9440504.96806399,988588.66784545,2026-07-30 15:00:00
300646.13000000,8792738.26727517,988588.66784545,2026-07-30 16:00:00
295943.41000000,8703033.23061445,988588.66784545,2026-07-30 17:00:00
293497.48000000,8772639.67720000,988588.66784545,2026-07-30 18:00:00
295478.33000000,8785400.37131671,988588.66784545,2026-07-30 19:00:00
297628.68000000,8976977.88285755,988588.66784545,2026-07-30 20:00:00
293495.18000000,8705067.03880000,988588.66784545,2026-07-30 21:00:00
292994.92000000,8846496.43618202,988588.66784545,2026-07-30 22:00:00
294074.37000000,8833994.07480000,988588.66784545,2026-07-30 23:00:00
295323.92000000,8843012.27760889,988588.66784545,2026-07-31 00:00:00
296407.13000000,8850716.90180000,988588.66784545,2026-07-31 01:00:00
295456.72000000,8749616.15511003,988588.66784545,2026-07-31 02:00:00
298174.90000000,9006091.71135029,988588.66784545,2026-07-31 03:00:00
305215.85000000,9315187.74200000,988588.66784545,2026-07-31 04:00:00
317303.11000000,9868381.10607632,988588.66784545,2026-07-31 05:00:00
322453.76000000,10154068.90240000,988588.66784545,2026-07-31 06:00:00
359555.66000000,12602425.88300000,988588.66784545,2026-07-31 07:00:00
415491.03000000,17399778.56315677,988588.66784545,2026-07-31 08:00:00
419623.00000000,16240107.38753910,988588.66784545,2026-07-31 09:00:00
419987.67000000,16345689.06858310,988588.66784545,2026-07-31 10:00:00
418019.49000000,16287693.16180926,988588.66784545,2026-07-31 11:00:00
422349.55000000,15959346.08897781,988588.66784545,2026-07-31 12:00:00
433568.16000000,16623182.39609235,988588.66784545,2026-07-31 13:00:00
416715.63000000,15365621.84529427,988588.66784545,2026-07-31 14:00:00
422995.98000000,16505303.13960000,988588.66784545,2026-07-31 15:00:00
425535.08000000,16839771.64477922,988588.66784545,2026-07-31 16:00:00
422676.16000000,16729522.41280000,988588.66784545,2026-07-31 17:00:00
446717.14000000,19162911.47373296,988588.66784545,2026-07-31 18:00:00
438199.56000000,19166848.75440000,988588.66784545,2026-07-31 19:00:00
439555.61000000,20333842.51860000,988588.66784545,2026-07-31 20:00:00
435616.95000000,19098341.35732432,988588.66784545,2026-07-31 21:00:00
437962.68000000,19717079.85360000,988588.66784545,2026-07-31 22:00:00
441133.58000000,20250082.46521826,988588.66784545,2026-07-31 23:00:00
448706.15000000,21555843.44600000,988588.66784545,2026-08-01 00:00:00
460048.82000000,22530834.80134054,988588.66784545,2026-08-01 01:00:00
459400.18000000,20636256.08560000,988588.66784545,2026-08-01 02:00:00
460720.63000000,20289033.69979914,988588.66784545,2026-08-01 03:00:00
464990.62000000,20743231.55820000,988588.66784545,2026-08-01 04:00:00
476519.62000000,22751941.03897188,988588.66784545,2026-08-01 05:00:00
523110.24000000,28043939.96640000,988588.66784545,2026-08-01 06:00:00
516278.29000000,26361169.48740000,988588.66784545,2026-08-01 07:00:00
492140.64000000,23932799.32320000,988588.66784545,2026-08-01 08:00:00
499509.59000000,23858498.96744498,988588.66784545,2026-08-01 09:00:00
493349.33000000,22340846.50648752,988588.66784545,2026-08-01 10:00:00
506430.22000000,21958814.33920000,988588.66784545,2026-08-01 11:00:00
500547.97000000,21399648.59122907,988588.66784545,2026-08-01 12:00:00
506813.68000000,21407809.84320000,988588.66784545,2026-08-01 13:00:00
511059.88000000,21760929.69040000,988588.66784545,2026-08-01 14:00:00
510404.07000000,22524616.82983319,988588.66784545,2026-08-01 15:00:00
502007.47000000,19471193.70393984,988588.66784545,2026-08-01 16:00:00
495628.93000000,19576707.44775011,988588.66784545,2026-08-01 17:00:00
485118.09000000,19360822.86755253,988588.66784545,2026-08-01 18:00:00
475986.70000000,18655186.45885838,988588.66784545,2026-08-01 19:00:00
474131.39000000,18661199.74815011,988588.66784545,2026-08-01 20:00:00
474308.89000000,18897767.75234049,988588.66784545,2026-08-01 21:00:00
471800.92000000,19575020.17080000,988588.66784545,2026-08-01 22:00:00
469432.33000000,19720083.45499936,988588.66784545,2026-08-01 23:00:00
471308.02000000,20042872.73167630,988588.66784545,2026-08-02 00:00:00
467870.39000000,20206416.59031756,988588.66784545,2026-08-02 01:00:00
463670.67000000,20142201.43987729,988588.66784545,2026-08-02 02:00:00
457588.33000000,19237013.39320000,988144.41820545,2026-08-02 03:00:00
459919.99000000,20259559.33852538,988144.41820545,2026-08-02 04:00:00
452562.75000000,18283535.10000000,988144.41820545,2026-08-02 05:00:00
454048.39000000,18491775.04820870,988144.41820545,2026-08-02 06:00:00
457433.15000000,18498596.58600000,988144.41820545,2026-08-02 07:00:00
461053.61000000,18520523.51370000,988144.41820545,2026-08-02 08:00:00
462594.56000000,18795210.82491830,988144.41820545,2026-08-02 09:00:00
470429.39000000,20026179.13230000,988144.41820545,2026-08-02 10:00:00
465510.76000000,19308155.41659330,988144.41820545,2026-08-02 11:00:00
472702.87000000,20702796.12442391,988144.41820545,2026-08-02 12:00:00
481070.97000000,21342317.25373137,988144.41820545,2026-08-02 13:00:00
488802.22000000,21683266.47920000,988144.41820545,2026-08-02 14:00:00
489623.41000000,21430816.65570000,988144.41820545,2026-08-02 15:00:00
475928.17000000,20062698.57389436,988144.41820545,2026-08-02 16:00:00
471549.91000000,20204745.05794404,988144.41820545,2026-08-02 17:00:00
468600.47000000,19821799.88100000,988144.41820545,2026-08-02 18:00:00
458161.85000000,19229052.84450000,988144.41820545,2026-08-02 19:00:00
457017.53000000,19190166.08470000,988144.41820545,2026-08-02 20:00:00
454970.07000000,19167390.58389131,988144.41820545,2026-08-02 21:00:00
451538.92000000,19127188.65120000,988144.41820545,2026-08-02 22:00:00
450090.61000000,18858796.55900000,988144.41820545,2026-08-02 23:00:00
448414.60000000,18855833.93000000,988144.41820545,2026-08-03 00:00:00
444958.97000000,18683039.39493951,988144.41820545,2026-08-03 01:00:00
437304.40000000,17448445.56000000,988144.41820545,2026-08-03 02:00:00
440577.67000000,17963327.78943764,988144.41820545,2026-08-03 03:00:00
442807.18000000,17929262.71820000,988144.41820545,2026-08-03 04:00:00
446510.33000000,19391943.63190000,988144.41820545,2026-08-03 05:00:00
453961.43000000,20112456.50717394,988144.41820545,2026-08-03 06:00:00
458771.36000000,20862003.66236269,988144.41820545,2026-08-03 07:00:00
439590.24000000,18985902.46560000,988144.41820545,2026-08-03 08:00:00
438616.05000000,18846662.09039655,988144.41820545,2026-08-03 09:00:00
435430.12000000,18497071.49760000,988144.41820545,2026-08-03 10:00:00
434000.38000000,18461956.41305248,988144.41820545,2026-08-03 11:00:00
437407.51000000,19121837.91191670,988144.41820545,2026-08-03 12:00:00
440702.41000000,19527523.78710000,988144.41820545,2026-08-03 13:00:00
427696.29000000,17750748.80842653,988144.41820545,2026-08-03 14:00:00
424483.37000000,17832546.37370000,988144.41820545,2026-08-03 15:00:00
424492.12000000,17055832.00057711,988144.41820545,2026-08-03 16:00:00
418620.69000000,16811349.11518583,988144.41820545,2026-08-03 17:00:00
419305.52000000,16633849.97840000,988144.41820545,2026-08-03 18:00:00
416020.59000000,16169241.76284149,988144.41820545,2026-08-03 19:00:00
413752.22000000,15785658.80476533,988144.41820545,2026-08-03 20:00:00
413493.29000000,16204802.03510000,988144.41820545,2026-08-03 21:00:00
413271.97000000,16081344.76452056,988144.41820545,2026-08-03 22:00:00
415060.75000000,16137561.96000000,988144.41820545,2026-08-03 23:00:00
420988.03000000,16613314.42563265,988144.41820545,2026-08-04 00:00:00
420625.19000000,16333193.45996209,988144.41820545,2026-08-04 01:00:00
421706.39000000,16446549.21000000,988144.41820545,2026-08-04 02:00:00
415012.29000000,15795367.75740000,988144.41820545,2026-08-04 03:00:00
406868.15000000,14606566.58500000,988144.41820545,2026-08-04 04:00:00
407604.89000000,13915630.94460000,988144.41820545,2026-08-04 05:00:00
409079.38000000,14261162.85104868,988144.41820545,2026-08-04 06:00:00
410096.94000000,14140142.49120000,988144.41820545,2026-08-04 07:00:00
412378.61000000,14141534.61406756,988144.41820545,2026-08-04 08:00:00
415873.45000000,14227030.72450000,988144.41820545,2026-08-04 09:00:00
422491.32000000,14102760.26160000,988144.41820545,2026-08-04 10:00:00
423535.97000000,14332761.37445078,988144.41820545,2026-08-04 11:00:00
423036.57000000,14196308.30849097,988144.41820545,2026-08-04 12:00:00
427052.39000000,14400943.73447143,988144.41820545,2026-08-04 13:00:00
423117.94000000,14199838.06640000,988144.41820545,2026-08-04 14:00:00
424146.18000000,14189889.32612363,988144.41820545,2026-08-04 15:00:00
425811.76000000,14294500.78320000,988144.41820545,2026-08-04 16:00:00
421699.24000000,14139575.51720000,988144.41820545,2026-08-04 17:00:00
402530.11000000,13160693.43121701,988144.41820545,2026-08-04 18:00:00
402788.35000000,13361805.06416745,988144.41820545,2026-08-04 19:00:00
402493.41000000,13330581.73920000,988144.41820545,2026-08-04 20:00:00
398445.40000000,13286461.76886813,988144.41820545,2026-08-04 21:00:00
400541.20000000,13293962.42800000,988144.41820545,2026-08-04 22:00:00
402831.67000000,13285657.03238944,988144.41820545,2026-08-04 23:00:00
409418.22000000,13592684.90400000,988144.41820545,2026-08-05 00:00:00
410961.63000000,13636825.91548003,988144.41820545,2026-08-05 01:00:00
407212.40000000,13303629.10800000,988144.41820545,2026-08-05 02:00:00
409608.56000000,13312278.20000000,988144.41820545,2026-08-05 03:00:00
414154.86000000,13907320.19880000,988144.41820545,2026-08-05 04:00:00
413635.10000000,13608594.79000000,988144.41820545,2026-08-05 05:00:00
416458.97000000,13805614.85550000,988144.41820545,2026-08-05 06:00:00
415555.41000000,13653025.41030000,988144.41820545,2026-08-05 07:00:00
418313.44000000,13858724.26720000,988144.41820545,2026-08-05 08:00:00
421105.26000000,13951217.26380000,988144.41820545,2026-08-05 09:00:00
421954.70000000,13789046.56498913,988144.41820545,2026-08-05 10:00:00
415208.52000000,13317553.80689168,988144.41820545,2026-08-05 11:00:00
413941.36000000,13987078.55440000,988144.41820545,2026-08-05 12:00:00
412483.64000000,14102815.65160000,988144.41820545,2026-08-05 13:00:00
413293.49000000,14200764.31640000,988144.41820545,2026-08-05 14:00:00
411121.65000000,14159922.33966203,988144.41820545,2026-08-05 15:00:00
410473.34000000,14319105.30435249,988144.41820545,2026-08-05 16:00:00
409883.65000000,14284445.20250000,988144.41820545,2026-08-05 17:00:00
409137.30000000,14516234.87892950,988144.41820545,2026-08-05 18:00:00
404655.23000000,14470471.02480000,988144.41820545,2026-08-05 19:00:00
400505.70000000,14013694.44300000,988144.41820545,2026-08-05 20:00:00
400412.96000000,14065022.89389534,988144.41820545,2026-08-05 21:00:00
399776.65000000,14036158.18150000,988144.41820545,2026-08-05 22:00:00
398086.79000000,13688045.48535104,988144.41820545,2026-08-05 23:00:00
391247.09000000,13208501.75840000,988144.41820545,2026-08-06 00:00:00
392833.43000000,13423118.30310000,988144.41820545,2026-08-06 01:00:00
394132.23000000,12892514.21902981,988144.41820545,2026-08-06 02:00:00
393044.18000000,12933997.31062511,988144.41820545,2026-08-06 03:00:00
392856.77000000,12981880.02864685,988144.41820545,2026-08-06 04:00:00
391501.17000000,13022485.58874672,988144.41820545,2026-08-06 05:00:00
389783.53000000,12625088.53670000,988144.41820545,2026-08-06 06:00:00
391910.56000000,12635196.45440000,988144.41820545,2026-08-06 07:00:00
388384.41000000,12632746.82101008,988144.41820545,2026-08-06 08:00:00
390947.58000000,12591509.34208316,988144.41820545,2026-08-06 09:00:00
395076.69000000,12681961.74900000,988144.41820545,2026-08-06 10:00:00
397983.74000000,12860982.00178461,988144.41820545,2026-08-06 11:00:00
396577.75000000,12710316.88750000,988144.41820545,2026-08-06 12:00:00
394565.08000000,12462096.72001447,988144.41820545,2026-08-06 13:00:00
394117.53000000,12461996.29860000,988144.41820545,2026-08-06 14:00:00
395554.25000000,12480650.04092952,988144.41820545,2026-08-06 15:00:00
396661.43000000,12558300.87380000,988144.41820545,2026-08-06 16:00:00
396433.58000000,12670262.70036574,988144.41820545,2026-08-06 17:00:00
397877.89000000,12753577.88606000,988144.41820545,2026-08-06 18:00:00
397006.51000000,12722070.59967059,988144.41820545,2026-08-06 19:00:00
396745.08000000,12750759.25619050,988144.41820545,2026-08-06 20:00:00
394774.10000000,12790680.84000000,988144.41820545,2026-08-06 21:00:00
394187.72000000,12745700.76994268,988144.41820545,2026-08-06 22:00:00
391500.87000000,12528027.84000000,988144.41820545,2026-08-06 23:00:00
392353.80000000,12614174.67000000,988144.41820545,2026-08-07 00:00:00
389979.43000000,12458733.81959409,988144.41820545,2026-08-07 01:00:00
390166.48000000,12508737.34880000,988144.41820545,2026-08-07 02:00:00
388656.35000000,12305667.09757047,988144.41820545,2026-08-07 03:00:00
388681.39000000,12286218.73790000,988144.41820545,2026-08-07 04:00:00
389150.06000000,12328273.90080000,988144.41820545,2026-08-07 05:00:00
391708.83000000,12777542.03460000,988144.41820545,2026-08-07 06:00:00
390412.82000000,12735266.18840000,988144.41820545,2026-08-07 07:00:00
394729.52000000,12998443.09360000,988144.41820545,2026-08-07 08:00:00
390509.87000000,12745515.10552403,988144.41820545,2026-08-07 09:00:00
392866.04000000,13062204.07552725,988144.41820545,2026-08-07 10:00:00
391913.30000000,12882190.17100000,988144.41820545,2026-08-07 11:00:00
390546.90000000,12997363.77691013,988144.41820545,2026-08-07 12:00:00
393086.05000000,12928600.18450000,988144.41820545,2026-08-07 13:00:00
393454.14000000,12902686.32938723,988144.41820545,2026-08-07 14:00:00
392786.80000000,12958036.53200000,988144.41820545,2026-08-07 15:00:00
392315.38000000,13092427.52451684,988144.41820545,2026-08-07 16:00:00
394807.09000000,13481252.82800768,988144.41820545,2026-08-07 17:00:00
394999.73000000,13591008.92468692,988144.41820545,2026-08-07 18:00:00
394995.50000000,13582557.48214051,988144.41820545,2026-08-07 19:00:00
394028.75000000,13361514.91250000,988144.41820545,2026-08-07 20:00:00
392429.12000000,13448545.94240000,988144.41820545,2026-08-07 21:00:00
389982.01000000,13282927.36943673,988144.41820545,2026-08-07 22:00:00
392625.22000000,13561275.09880000,988144.41820545,2026-08-07 23:00:00
390812.47000000,13576825.20780000,988144.41820545,2026-08-08 00:00:00
385171.72000000,13111747.58190914,988144.41820545,2026-08-08 01:00:00
373336.43000000,12322156.60437383,988144.41820545,2026-08-08 02:00:00
372233.41000000,12168310.17290000,988144.41820545,2026-08-08 03:00:00
371394.51000000,12103747.08090000,988144.41820545,2026-08-08 04:00:00
371658.98000000,12149532.05620000,988144.41820545,2026-08-08 05:00:00
374275.00000000,12227564.25000000,988144.41820545,2026-08-08 06:00:00
366849.34000000,11838228.20180000,988144.41820545,2026-08-08 07:00:00
369306.05000000,11935965.92993416,988144.41820545,2026-08-08 08:00:00
371240.68000000,12029130.71109759,988144.41820545,2026-08-08 09:00:00
372601.48000000,12087192.01120000,988144.41820545,2026-08-08 10:00:00
372018.02000000,11997581.14500000,988144.41820545,2026-08-08 11:00:00
375538.34000000,12295125.25160000,988144.41820545,2026-08-08 12:00:00
376263.08000000,12356479.54720000,988144.41820545,2026-08-08 13:00:00
377644.36000000,12450934.54920000,988144.41820545,2026-08-08 14:00:00
376993.91000000,12845949.23534019,988144.41820545,2026-08-08 15:00:00
376968.82000000,13118988.58978295,988144.41820545,2026-08-08 16:00:00
375900.27000000,13021185.35280000,988144.41820545,2026-08-08 17:00:00
378405.33000000,13089040.36470000,988144.41820545,2026-08-08 18:00:00
377164.18000000,13403689.25560126,988144.41820545,2026-08-08 19:00:00
377239.91000000,13667966.72403126,988144.41820545,2026-08-08 20:00:00
374435.34000000,13348619.87100000,988144.41820545,2026-08-08 21:00:00
374829.79000000,13344473.37078457,988144.41820545,2026-08-08 22:00:00
375142.61000000,13317562.65500000,988144.41820545,2026-08-08 23:00:00
375199.47000000,13486911.84170373,988144.41820545,2026-08-09 00:00:00
372216.99000000,13176481.44600000,988144.41820545,2026-08-09 01:00:00
