sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,time
144425.12000000,48242750.75656505,0.00000000,2026-07-28 20:00:00
144803.62000000,48533829.31540000,0.00000000,2026-07-28 21:00:00
144297.03000000,48306946.99366763,0.00000000,2026-07-28 22:00:00
142788.36000000,47653610.60561296,0.00000000,2026-07-28 23:00:00
142421.60000000,47837991.22400000,0.00000000,2026-07-29 00:00:00
141685.00000000,47467295.58280270,0.00000000,2026-07-29 01:00:00
140075.51000000,46500867.05470000,0.00000000,2026-07-29 02:00:00
139510.03000000,46378714.37320000,0.00000000,2026-07-29 03:00:00
138581.89000000,45948664.71788836,0.00000000,2026-07-29 04:00:00
137763.40000000,45759376.78498095,0.00000000,2026-07-29 05:00:00
137509.65000000,45774956.14770148,0.00000000,2026-07-29 06:00:00
137180.96000000,45891239.74542879,0.00000000,2026-07-29 07:00:00
136175.27000000,45565825.81260991,0.00000000,2026-07-29 08:00:00
132482.02000000,44419119.97688510,0.00000000,2026-07-29 09:00:00
131969.40000000,44135080.75439052,0.00000000,2026-07-29 10:00:00
131711.23000000,44139852.37282278,0.00000000,2026-07-29 11:00:00
130818.02000000,43986486.04759931,0.00000000,2026-07-29 12:00:00
131636.12000000,44308703.00127865,0.00000000,2026-07-29 13:00:00
129790.96000000,43258123.91352730,0.00000000,2026-07-29 14:00:00
127867.87000000,42803769.48250000,0.00000000,2026-07-29 15:00:00
127874.86000000,42619507.47125807,0.00000000,2026-07-29 16:00:00
126350.89000000,42574989.45852539,0.00000000,2026-07-29 17:00:00
124955.33000000,42283634.11870000,0.00000000,2026-07-29 18:00:00
120029.65000000,41054941.48600000,0.00000000,2026-07-29 19:00:00
118047.09000000,39801533.48912229,0.00000000,2026-07-29 20:00:00
117178.18000000,39109692.72173376,0.00000000,2026-07-29 21:00:00
117120.25000000,38837345.83544553,0.00000000,2026-07-29 22:00:00
115712.38000000,38852745.83260000,0.00000000,2026-07-29 23:00:00
115177.68000000,38747551.19688699,0.00000000,2026-07-30 00:00:00
115008.44000000,38722191.66360000,0.00000000,2026-07-30 01:00:00
115453.47000000,39005954.83950000,0.00000000,2026-07-30 02:00:00
115583.70000000,38826523.44896501,0.00000000,2026-07-30 03:00:00
115607.37000000,38806309.66274975,0.00000000,2026-07-30 04:00:00
114592.81000000,38423311.62725634,0.00000000,2026-07-30 05:00:00
114731.95000000,38493615.93720037,0.00000000,2026-07-30 06:00:00
113505.32000000,38045619.57135866,0.00000000,2026-07-30 07:00:00
113236.05000000,37921097.91477440,0.00000000,2026-07-30 08:00:00
113200.41000000,38031941.74770000,0.00000000,2026-07-30 09:00:00
113288.43000000,38178206.05669338,0.00000000,2026-07-30 10:00:00
113136.48000000,38180167.90560000,0.00000000,2026-07-30 11:00:00
112887.40000000,38093102.01110662,0.00000000,2026-07-30 12:00:00
113114.11000000,37935079.07070000,0.00000000,2026-07-30 13:00:00
114167.46000000,38004064.08480000,0.00000000,2026-07-30 14:00:00
113362.87000000,37796602.29688887,0.00000000,2026-07-30 15:00:00
112958.14000000,37657984.71320000,0.00000000,2026-07-30 16:00:00
113114.72000000,37902856.46255221,0.00000000,2026-07-30 17:00:00
113456.04000000,37862132.43194378,0.00000000,2026-07-30 18:00:00
112883.87000000,37827811.37208931,0.00000000,2026-07-30 19:00:00
112466.86000000,37623242.54943295,0.00000000,2026-07-30 20:00:00
113170.71000000,37931426.87070000,0.00000000,2026-07-30 21:00:00
113128.48000000,37901558.66923363,0.00000000,2026-07-30 22:00:00
112872.68000000,37919576.84600000,0.00000000,2026-07-30 23:00:00
112755.51000000,37901489.31569172,0.00000000,2026-07-31 00:00:00
114947.81000000,38931673.76890000,0.00000000,2026-07-31 01:00:00
113647.78000000,38548190.49820000,0.00000000,2026-07-31 02:00:00
113541.53000000,38613184.59729778,0.00000000,2026-07-31 03:00:00
117557.71000000,40101286.03520000,0.00000000,2026-07-31 04:00:00
118169.01000000,40391349.30810000,0.00000000,2026-07-31 05:00:00
118045.51000000,40437669.90560000,0.00000000,2026-07-31 06:00:00
117177.37000000,39868527.07081407,0.00000000,2026-07-31 07:00:00
116642.28000000,39796330.96044219,0.00000000,2026-07-31 08:00:00
116161.32000000,39845655.98640000,0.00000000,2026-07-31 09:00:00
115864.72000000,39629210.18160000,0.00000000,2026-07-31 10:00:00
116115.33000000,39522530.10140676,0.00000000,2026-07-31 11:00:00
115975.12000000,39319044.93360000,0.00000000,2026-07-31 12:00:00
116024.99000000,39245452.86750000,0.00000000,2026-07-31 13:00:00
118599.01000000,40804411.51402634,0.00000000,2026-07-31 14:00:00
119154.43000000,42088319.20548647,0.00000000,2026-07-31 15:00:00
115260.51000000,40593239.75334814,0.00000000,2026-07-31 16:00:00
114611.74000000,40524375.92945518,0.00000000,2026-07-31 17:00:00
112829.71000000,39984592.62980000,0.00000000,2026-07-31 18:00:00
110325.80000000,39254650.67198990,0.00000000,2026-07-31 19:00:00
109825.69000000,39181722.99255581,0.00000000,2026-07-31 20:00:00
108207.83000000,38396466.39720000,0.00000000,2026-07-31 21:00:00
107348.76000000,37974623.85000000,0.00000000,2026-07-31 22:00:00
107377.79000000,38000999.88100000,0.00000000,2026-07-31 23:00:00
107397.55000000,38087403.41625551,0.00000000,2026-08-01 00:00:00
107680.24000000,38144115.99509217,0.00000000,2026-08-01 01:00:00
107448.05000000,38048471.05678397,0.00000000,2026-08-01 02:00:00
