buySellRatio,sellVol,buyVol,time
0.6137,3637.0000,2231.9400,2026-07-28 19:00:00
1.2481,3692.8300,4609.0100,2026-07-28 20:00:00
1.6053,1046.1400,1679.3800,2026-07-28 21:00:00
0.7374,4459.8700,3288.6300,2026-07-28 22:00:00
1.1413,2792.6700,3187.2900,2026-07-28 23:00:00
1.1090,2705.3700,3000.3700,2026-07-29 00:00:00
0.5968,3788.6900,2260.9800,2026-07-29 01:00:00
1.2414,3000.7800,3725.1200,2026-07-29 02:00:00
0.6511,3280.3800,2135.8300,2026-07-29 03:00:00
0.7200,5373.1700,3868.8800,2026-07-29 04:00:00
1.2335,2075.9100,2560.6800,2026-07-29 05:00:00
0.8950,2315.7100,2072.5600,2026-07-29 06:00:00
0.8381,2783.0000,2332.5100,2026-07-29 07:00:00
0.9633,8819.2700,8495.5600,2026-07-29 08:00:00
1.1006,2907.1800,3199.7800,2026-07-29 09:00:00
0.6273,2516.4400,1578.5900,2026-07-29 10:00:00
1.7383,3497.8600,6080.3000,2026-07-29 11:00:00
1.4019,5379.0400,7541.0600,2026-07-29 12:00:00
0.8927,21316.0300,19029.4500,2026-07-29 13:00:00
0.9441,8963.7800,8462.2800,2026-07-29 14:00:00
0.9977,4168.9100,4159.4500,2026-07-29 15:00:00
0.7262,5247.6200,3810.7400,2026-07-29 16:00:00
0.6728,5890.9600,3963.5100,2026-07-29 17:00:00
0.8927,13594.6600,12135.9600,2026-07-29 18:00:00
0.7519,9084.3600,6830.1200,2026-07-29 19:00:00
0.8083,9295.0900,7513.4500,2026-07-29 20:00:00
0.5961,5028.6300,2997.5100,2026-07-29 21:00:00
0.8950,5987.7200,5359.2400,2026-07-29 22:00:00
1.0816,2509.4100,2714.2000,2026-07-29 23:00:00
0.8144,1817.2900,1479.9300,2026-07-30 00:00:00
1.0826,1484.0600,1606.6800,2026-07-30 01:00:00
0.7816,2025.0000,1582.6400,2026-07-30 02:00:00
0.9740,1345.2000,1310.2400,2026-07-30 03:00:00
0.9440,2342.9100,2211.7900,2026-07-30 04:00:00
0.9230,990.3500,914.1300,2026-07-30 05:00:00
0.8121,2907.8900,2361.3800,2026-07-30 06:00:00
1.0202,890.9300,908.8900,2026-07-30 07:00:00
0.9816,1190.1000,1168.1700,2026-07-30 08:00:00
0.9854,1385.2600,1365.0000,2026-07-30 09:00:00
1.4193,1009.4800,1432.7800,2026-07-30 10:00:00
0.9328,2678.8000,2498.8100,2026-07-30 11:00:00
1.2441,5110.4600,6358.0500,2026-07-30 12:00:00
0.9196,18569.2000,17076.6300,2026-07-30 13:00:00
1.3664,8589.5400,11736.3400,2026-07-30 14:00:00
1.3268,3810.3600,5055.5300,2026-07-30 15:00:00
1.3517,2481.3100,3354.0700,2026-07-30 16:00:00
1.0156,7463.0300,7579.4300,2026-07-30 17:00:00
0.8490,2682.4800,2277.4700,2026-07-30 18:00:00
0.6858,1901.5000,1304.0300,2026-07-30 19:00:00
1.3426,4472.1800,6004.2400,2026-07-30 20:00:00
1.5326,1328.2800,2035.7100,2026-07-30 21:00:00
0.8899,1486.1100,1322.4400,2026-07-30 22:00:00
1.3286,997.3600,1325.1300,2026-07-30 23:00:00
0.8305,5629.7500,4675.3900,2026-07-31 00:00:00
0.7637,6944.0100,5302.8200,2026-07-31 01:00:00
0.9757,1450.4700,1415.1900,2026-07-31 02:00:00
0.3604,8363.8500,3013.9600,2026-07-31 03:00:00
1.1636,1656.7900,1927.8300,2026-07-31 04:00:00
1.3448,1811.9000,2436.6200,2026-07-31 05:00:00
0.6975,3620.3900,2525.1100,2026-07-31 06:00:00
0.9915,1797.4400,1782.2300,2026-07-31 07:00:00
1.2082,5300.9800,6404.7400,2026-07-31 08:00:00
0.8710,3452.1900,3006.8200,2026-07-31 09:00:00
0.6720,1993.3400,1339.4300,2026-07-31 10:00:00
0.8583,4491.8000,3855.1700,2026-07-31 11:00:00
