longAccount,longShortRatio,shortAccount,time
0.8599,6.1398,0.1401,2026-07-28 20:00:00
0.8541,5.8524,0.1459,2026-07-28 21:00:00
0.8538,5.8404,0.1462,2026-07-28 22:00:00
0.8628,6.2879,0.1372,2026-07-28 23:00:00
0.8635,6.3269,0.1365,2026-07-29 00:00:00
0.8652,6.4167,0.1348,2026-07-29 01:00:00
0.8702,6.7036,0.1298,2026-07-29 02:00:00
0.8694,6.6585,0.1306,2026-07-29 03:00:00
0.8674,6.5404,0.1326,2026-07-29 04:00:00
0.8600,6.1427,0.1400,2026-07-29 05:00:00
0.8588,6.0805,0.1412,2026-07-29 06:00:00
0.8560,5.9450,0.1440,2026-07-29 07:00:00
0.8625,6.2712,0.1375,2026-07-29 08:00:00
0.8890,8.0071,0.1110,2026-07-29 09:00:00
0.8905,8.1365,0.1095,2026-07-29 10:00:00
0.8899,8.0792,0.1101,2026-07-29 11:00:00
0.8953,8.5529,0.1047,2026-07-29 12:00:00
0.8887,7.9867,0.1113,2026-07-29 13:00:00
0.8879,7.9243,0.1121,2026-07-29 14:00:00
0.8844,7.6471,0.1156,2026-07-29 15:00:00
0.8811,7.4102,0.1189,2026-07-29 16:00:00
0.8763,7.0849,0.1237,2026-07-29 17:00:00
0.8751,7.0051,0.1249,2026-07-29 18:00:00
0.8582,6.0532,0.1418,2026-07-29 19:00:00
0.8600,6.1442,0.1400,2026-07-29 20:00:00
0.8683,6.5926,0.1317,2026-07-29 21:00:00
0.8692,6.6455,0.1308,2026-07-29 22:00:00
0.8739,6.9289,0.1261,2026-07-29 23:00:00
0.8733,6.8952,0.1267,2026-07-30 00:00:00
0.8710,6.7535,0.1290,2026-07-30 01:00:00
0.8670,6.5180,0.1330,2026-07-30 02:00:00
0.8658,6.4516,0.1342,2026-07-30 03:00:00
0.8647,6.3920,0.1353,2026-07-30 04:00:00
0.8733,6.8907,0.1267,2026-07-30 05:00:00
0.8735,6.9060,0.1265,2026-07-30 06:00:00
0.8750,6.9999,0.1250,2026-07-30 07:00:00
0.8739,6.9280,0.1261,2026-07-30 08:00:00
0.8736,6.9122,0.1264,2026-07-30 09:00:00
0.8742,6.9477,0.1258,2026-07-30 10:00:00
0.8732,6.8879,0.1268,2026-07-30 11:00:00
0.8727,6.8585,0.1273,2026-07-30 12:00:00
0.8671,6.5243,0.1329,2026-07-30 13:00:00
0.8567,5.9794,0.1433,2026-07-30 14:00:00
0.8449,5.4458,0.1551,2026-07-30 15:00:00
0.8449,5.4454,0.1551,2026-07-30 16:00:00
0.8430,5.3700,0.1570,2026-07-30 17:00:00
0.8464,5.5090,0.1536,2026-07-30 18:00:00
0.8453,5.4662,0.1547,2026-07-30 19:00:00
0.8487,5.6087,0.1513,2026-07-30 20:00:00
0.8447,5.4392,0.1553,2026-07-30 21:00:00
0.8417,5.3181,0.1583,2026-07-30 22:00:00
0.8434,5.3852,0.1566,2026-07-30 23:00:00
0.8446,5.4370,0.1554,2026-07-31 00:00:00
0.8380,5.1744,0.1620,2026-07-31 01:00:00
0.8420,5.3303,0.1580,2026-07-31 02:00:00
0.8414,5.3066,0.1586,2026-07-31 03:00:00
0.8286,4.8348,0.1714,2026-07-31 04:00:00
0.8276,4.7998,0.1724,2026-07-31 05:00:00
0.8219,4.6137,0.1781,2026-07-31 06:00:00
0.8262,4.7526,0.1738,2026-07-31 07:00:00
0.8270,4.7814,0.1730,2026-07-31 08:00:00
0.8342,5.0322,0.1658,2026-07-31 09:00:00
0.8396,5.2362,0.1604,2026-07-31 10:00:00
0.8439,5.4073,0.1561,2026-07-31 11:00:00
0.8477,5.5646,0.1523,2026-07-31 12:00:00
0.8515,5.7333,0.1485,2026-07-31 13:00:00
0.8518,5.7477,0.1482,2026-07-31 14:00:00
0.8453,5.4642,0.1547,2026-07-31 15:00:00
0.8422,5.3356,0.1578,2026-07-31 16:00:00
0.8378,5.1647,0.1622,2026-07-31 17:00:00
0.8347,5.0498,0.1653,2026-07-31 18:00:00
0.8297,4.8732,0.1703,2026-07-31 19:00:00
0.8283,4.8252,0.1717,2026-07-31 20:00:00
0.8361,5.1001,0.1639,2026-07-31 21:00:00
0.8357,5.0851,0.1643,2026-07-31 22:00:00
0.8365,5.1149,0.1635,2026-07-31 23:00:00
0.8368,5.1258,0.1632,2026-08-01 00:00:00
0.8368,5.1274,0.1632,2026-08-01 01:00:00
0.8362,5.1046,0.1638,2026-08-01 02:00:00
0.8367,5.1247,0.1633,2026-08-01 03:00:00
0.8367,5.1234,0.1633,2026-08-01 04:00:00
0.8365,5.1161,0.1635,2026-08-01 05:00:00
0.8368,5.1265,0.1632,2026-08-01 06:00:00
0.8366,5.1201,0.1634,2026-08-01 07:00:00
0.8367,5.1230,0.1633,2026-08-01 08:00:00
0.8365,5.1164,0.1635,2026-08-01 09:00:00
0.8360,5.0993,0.1640,2026-08-01 10:00:00
0.8353,5.0730,0.1647,2026-08-01 11:00:00
0.8357,5.0865,0.1643,2026-08-01 12:00:00
0.8360,5.0973,0.1640,2026-08-01 13:00:00
0.8375,5.1531,0.1625,2026-08-01 14:00:00
0.8383,5.1843,0.1617,2026-08-01 15:00:00
0.8384,5.1877,0.1616,2026-08-01 16:00:00
0.8387,5.1980,0.1613,2026-08-01 17:00:00
0.8387,5.2014,0.1613,2026-08-01 18:00:00
0.8397,5.2371,0.1603,2026-08-01 19:00:00
0.8387,5.2015,0.1613,2026-08-01 20:00:00
0.8416,5.3148,0.1584,2026-08-01 21:00:00
0.8429,5.3634,0.1571,2026-08-01 22:00:00
0.8433,5.3803,0.1567,2026-08-01 23:00:00
0.8437,5.3982,0.1563,2026-08-02 00:00:00
0.8459,5.4905,0.1541,2026-08-02 01:00:00
0.8458,5.4839,0.1542,2026-08-02 02:00:00
0.8433,5.3797,0.1567,2026-08-02 03:00:00
0.8438,5.4002,0.1562,2026-08-02 04:00:00
0.8439,5.4053,0.1561,2026-08-02 05:00:00
0.8449,5.4482,0.1551,2026-08-02 06:00:00
0.8449,5.4462,0.1551,2026-08-02 07:00:00
0.8452,5.4618,0.1548,2026-08-02 08:00:00
0.8457,5.4812,0.1543,2026-08-02 09:00:00
0.8445,5.4298,0.1555,2026-08-02 10:00:00
0.8446,5.4357,0.1554,2026-08-02 11:00:00
0.8457,5.4796,0.1543,2026-08-02 12:00:00
0.8458,5.4862,0.1542,2026-08-02 13:00:00
0.8455,5.4732,0.1545,2026-08-02 14:00:00
0.8457,5.4816,0.1543,2026-08-02 15:00:00
0.8457,5.4814,0.1543,2026-08-02 16:00:00
0.8455,5.4731,0.1545,2026-08-02 17:00:00
0.8454,5.4670,0.1546,2026-08-02 18:00:00
0.8452,5.4593,0.1548,2026-08-02 19:00:00
0.8452,5.4582,0.1548,2026-08-02 20:00:00
0.8454,5.4684,0.1546,2026-08-02 21:00:00
0.8456,5.4760,0.1544,2026-08-02 22:00:00
0.8432,5.3782,0.1568,2026-08-02 23:00:00
0.8428,5.3622,0.1572,2026-08-03 00:00:00
0.8410,5.2905,0.1590,2026-08-03 01:00:00
0.8383,5.1837,0.1617,2026-08-03 02:00:00
0.8379,5.1676,0.1621,2026-08-03 03:00:00
0.8378,5.1646,0.1622,2026-08-03 04:00:00
0.8389,5.2065,0.1611,2026-08-03 05:00:00
0.8392,5.2173,0.1608,2026-08-03 06:00:00
0.8380,5.1735,0.1620,2026-08-03 07:00:00
0.8374,5.1489,0.1626,2026-08-03 08:00:00
0.8409,5.2841,0.1591,2026-08-03 09:00:00
0.8391,5.2155,0.1609,2026-08-03 10:00:00
0.8358,5.0886,0.1642,2026-08-03 11:00:00
0.8335,5.0053,0.1665,2026-08-03 12:00:00
0.8331,4.9928,0.1669,2026-08-03 13:00:00
0.8059,4.1532,0.1941,2026-08-03 14:00:00
0.8099,4.2603,0.1901,2026-08-03 15:00:00
0.7974,3.9360,0.2026,2026-08-03 16:00:00
