buySellRatio,sellVol,buyVol,time
0.6382,6040643.0000,3855339.0000,2026-07-28 19:00:00
0.6603,4868337.0000,3214348.0000,2026-07-28 20:00:00
1.4743,1810488.0000,2669188.0000,2026-07-28 21:00:00
0.4080,2873209.0000,1172151.0000,2026-07-28 22:00:00
0.6158,1603503.0000,987360.0000,2026-07-28 23:00:00
1.1161,2748476.0000,3067532.0000,2026-07-29 00:00:00
1.4578,3175112.0000,4628617.0000,2026-07-29 01:00:00
1.1553,3435050.0000,3968561.0000,2026-07-29 02:00:00
0.7659,3797086.0000,2908043.0000,2026-07-29 03:00:00
0.9243,7990503.0000,7385662.0000,2026-07-29 04:00:00
0.9321,3595224.0000,3351037.0000,2026-07-29 05:00:00
0.6284,3479563.0000,2186558.0000,2026-07-29 06:00:00
0.8980,2705755.0000,2429660.0000,2026-07-29 07:00:00
0.8478,3223851.0000,2733094.0000,2026-07-29 08:00:00
0.7101,3913186.0000,2778904.0000,2026-07-29 09:00:00
0.7530,2543138.0000,1914975.0000,2026-07-29 10:00:00
0.9205,4983548.0000,4587345.0000,2026-07-29 11:00:00
1.3174,4461410.0000,5877260.0000,2026-07-29 12:00:00
0.6478,11765581.0000,7622134.0000,2026-07-29 13:00:00
0.6469,10825466.0000,7002650.0000,2026-07-29 14:00:00
0.4795,6967984.0000,3340913.0000,2026-07-29 15:00:00
0.8116,3789559.0000,3075466.0000,2026-07-29 16:00:00
1.3715,2927518.0000,4015111.0000,2026-07-29 17:00:00
0.5979,5053120.0000,3021322.0000,2026-07-29 18:00:00
0.7432,4149109.0000,3083626.0000,2026-07-29 19:00:00
0.5932,6041364.0000,3583458.0000,2026-07-29 20:00:00
1.8229,2906069.0000,5297481.0000,2026-07-29 21:00:00
0.8774,2974049.0000,2609575.0000,2026-07-29 22:00:00
0.6027,1889755.0000,1138890.0000,2026-07-29 23:00:00
0.6861,2531606.0000,1737012.0000,2026-07-30 00:00:00
0.7942,3143927.0000,2496859.0000,2026-07-30 01:00:00
0.5708,4699351.0000,2682198.0000,2026-07-30 02:00:00
1.0440,1380585.0000,1441309.0000,2026-07-30 03:00:00
1.9311,1822334.0000,3519144.0000,2026-07-30 04:00:00
0.5512,4438971.0000,2446840.0000,2026-07-30 05:00:00
0.9933,1686369.0000,1675013.0000,2026-07-30 06:00:00
0.6464,4373551.0000,2826863.0000,2026-07-30 07:00:00
1.0789,2026618.0000,2186553.0000,2026-07-30 08:00:00
0.9969,2573083.0000,2565144.0000,2026-07-30 09:00:00
0.5654,3006425.0000,1699683.0000,2026-07-30 10:00:00
1.1801,3210834.0000,3789168.0000,2026-07-30 11:00:00
0.8934,2207479.0000,1972149.0000,2026-07-30 12:00:00
1.1039,1895617.0000,2092499.0000,2026-07-30 13:00:00
1.2342,2610066.0000,3221278.0000,2026-07-30 14:00:00
0.4737,15631802.0000,7405394.0000,2026-07-30 15:00:00
0.7428,53962843.0000,40085098.0000,2026-07-30 16:00:00
0.7476,7863198.0000,5878827.0000,2026-07-30 17:00:00
0.8821,19463858.0000,17169578.0000,2026-07-30 18:00:00
0.9343,4227927.0000,3950269.0000,2026-07-30 19:00:00
0.7028,9141169.0000,6424280.0000,2026-07-30 20:00:00
0.9117,1887656.0000,1720943.0000,2026-07-30 21:00:00
0.6489,1398415.0000,907466.0000,2026-07-30 22:00:00
0.2863,5305971.0000,1519093.0000,2026-07-30 23:00:00
0.8708,1578357.0000,1374396.0000,2026-07-31 00:00:00
0.5920,20927577.0000,12389218.0000,2026-07-31 01:00:00
0.7355,19913589.0000,14646881.0000,2026-07-31 02:00:00
0.6590,6842707.0000,4509052.0000,2026-07-31 03:00:00
1.4592,2649017.0000,3865334.0000,2026-07-31 04:00:00
0.8174,3713257.0000,3035314.0000,2026-07-31 05:00:00
1.3060,2172644.0000,2837380.0000,2026-07-31 06:00:00
0.5840,2945531.0000,1720329.0000,2026-07-31 07:00:00
1.0135,3260664.0000,3304551.0000,2026-07-31 08:00:00
0.3785,2783510.0000,1053660.0000,2026-07-31 09:00:00
1.1782,4660682.0000,5491446.0000,2026-07-31 10:00:00
0.9044,2207238.0000,1996137.0000,2026-07-31 11:00:00
1.1471,4110995.0000,4715529.0000,2026-07-31 12:00:00
0.9974,2281532.0000,2275701.0000,2026-07-31 13:00:00
0.7025,2838623.0000,1994011.0000,2026-07-31 14:00:00
0.5867,3968205.0000,2328273.0000,2026-07-31 15:00:00
0.6817,2880697.0000,1963796.0000,2026-07-31 16:00:00
0.8287,4820136.0000,3994213.0000,2026-07-31 17:00:00
1.3823,1830464.0000,2530305.0000,2026-07-31 18:00:00
0.9603,2043655.0000,1962575.0000,2026-07-31 19:00:00
0.5295,3851525.0000,2039343.0000,2026-07-31 20:00:00
0.6458,1879096.0000,1213437.0000,2026-07-31 21:00:00
1.0641,1295899.0000,1378987.0000,2026-07-31 22:00:00
0.6304,1482226.0000,934338.0000,2026-07-31 23:00:00
1.2741,3075885.0000,3918972.0000,2026-08-01 00:00:00
1.1165,1362486.0000,1521279.0000,2026-08-01 01:00:00
1.3110,9332708.0000,12234967.0000,2026-08-01 02:00:00
1.2690,2866453.0000,3637626.0000,2026-08-01 03:00:00
0.7699,1525314.0000,1174290.0000,2026-08-01 04:00:00
0.5981,1494703.0000,894012.0000,2026-08-01 05:00:00
1.0019,1587545.0000,1590552.0000,2026-08-01 06:00:00
1.3827,1777988.0000,2458451.0000,2026-08-01 07:00:00
0.4873,2453627.0000,1195574.0000,2026-08-01 08:00:00
1.2542,945280.0000,1185565.0000,2026-08-01 09:00:00
0.7768,1568331.0000,1218246.0000,2026-08-01 10:00:00
0.4677,2000670.0000,935625.0000,2026-08-01 11:00:00
0.7447,2931896.0000,2183500.0000,2026-08-01 12:00:00
1.1904,2501531.0000,2977885.0000,2026-08-01 13:00:00
0.6658,1595083.0000,1061978.0000,2026-08-01 14:00:00
0.8478,3266666.0000,2769322.0000,2026-08-01 15:00:00
1.0283,2913736.0000,2996099.0000,2026-08-01 16:00:00
0.4466,5773091.0000,2578057.0000,2026-08-01 17:00:00
0.9563,7636692.0000,7302628.0000,2026-08-01 18:00:00
0.7466,5274447.0000,3938003.0000,2026-08-01 19:00:00
1.0827,2123300.0000,2298978.0000,2026-08-01 20:00:00
1.5448,1450195.0000,2240215.0000,2026-08-01 21:00:00
0.8569,1301917.0000,1115569.0000,2026-08-01 22:00:00
1.0323,2109874.0000,2178087.0000,2026-08-01 23:00:00
0.6197,3703779.0000,2295158.0000,2026-08-02 00:00:00
0.4327,5264179.0000,2277586.0000,2026-08-02 01:00:00
0.5441,3802693.0000,2069164.0000,2026-08-02 02:00:00
0.9332,1851731.0000,1728105.0000,2026-08-02 03:00:00
1.4496,1704887.0000,2471381.0000,2026-08-02 04:00:00
2.2044,2897648.0000,6387692.0000,2026-08-02 05:00:00
1.8764,2221741.0000,4168862.0000,2026-08-02 06:00:00
1.0297,1807176.0000,1860870.0000,2026-08-02 07:00:00
1.2121,3504894.0000,4248432.0000,2026-08-02 08:00:00
1.6622,2109568.0000,3506524.0000,2026-08-02 09:00:00
0.6069,2204369.0000,1337937.0000,2026-08-02 10:00:00
0.5417,5050281.0000,2735925.0000,2026-08-02 11:00:00
0.7847,2520995.0000,1978327.0000,2026-08-02 12:00:00
1.0246,2078813.0000,2130055.0000,2026-08-02 13:00:00
0.4293,3669627.0000,1575199.0000,2026-08-02 14:00:00
1.2217,1353053.0000,1653045.0000,2026-08-02 15:00:00
0.7465,1408756.0000,1051593.0000,2026-08-02 16:00:00
1.0086,2274526.0000,2294147.0000,2026-08-02 17:00:00
1.6595,1537468.0000,2551395.0000,2026-08-02 18:00:00
0.6984,1104586.0000,771459.0000,2026-08-02 19:00:00
1.4171,1155599.0000,1637542.0000,2026-08-02 20:00:00
0.9419,1051895.0000,990776.0000,2026-08-02 21:00:00
2.1929,645639.0000,1415845.0000,2026-08-02 22:00:00
1.3790,593216.0000,818043.0000,2026-08-02 23:00:00
0.5191,6306240.0000,3273424.0000,2026-08-03 00:00:00
0.6013,1684954.0000,1013088.0000,2026-08-03 01:00:00
0.7994,4375056.0000,3497552.0000,2026-08-03 02:00:00
0.9624,3411765.0000,3283341.0000,2026-08-03 03:00:00
1.2273,4723399.0000,5796891.0000,2026-08-03 04:00:00
0.8204,1650301.0000,1353936.0000,2026-08-03 05:00:00
0.9021,2411251.0000,2175108.0000,2026-08-03 06:00:00
0.8022,36051860.0000,28919467.0000,2026-08-03 07:00:00
0.8912,5789746.0000,5159600.0000,2026-08-03 08:00:00
1.0901,4993139.0000,5442823.0000,2026-08-03 09:00:00
0.6949,5377924.0000,3737193.0000,2026-08-03 10:00:00
0.9827,2049098.0000,2013582.0000,2026-08-03 11:00:00
0.5759,13194753.0000,7599096.0000,2026-08-03 12:00:00
0.9809,38094210.0000,37367359.0000,2026-08-03 13:00:00
1.1155,35508097.0000,39610182.0000,2026-08-03 14:00:00
1.1307,72745379.0000,82251454.0000,2026-08-03 15:00:00
0.8117,31379393.0000,25469916.0000,2026-08-03 16:00:00
0.7935,42990085.0000,34114579.0000,2026-08-03 17:00:00
1.4302,12665312.0000,18114320.0000,2026-08-03 18:00:00
0.7985,5322112.0000,4249840.0000,2026-08-03 19:00:00
0.8320,3583556.0000,2981486.0000,2026-08-03 20:00:00
0.6943,4395364.0000,3051551.0000,2026-08-03 21:00:00
1.0094,2121013.0000,2140988.0000,2026-08-03 22:00:00
1.2532,2514424.0000,3150980.0000,2026-08-03 23:00:00
0.4312,10041015.0000,4329616.0000,2026-08-04 00:00:00
1.0720,3489228.0000,3740621.0000,2026-08-04 01:00:00
1.6441,7835275.0000,12882213.0000,2026-08-04 02:00:00
0.9299,5602317.0000,5209787.0000,2026-08-04 03:00:00
0.9877,2584012.0000,2552308.0000,2026-08-04 04:00:00
0.8852,4589715.0000,4062767.0000,2026-08-04 05:00:00
1.2009,4010788.0000,4816537.0000,2026-08-04 06:00:00
1.8092,1877678.0000,3397050.0000,2026-08-04 07:00:00
1.5441,4279193.0000,6607373.0000,2026-08-04 08:00:00
1.1987,1983974.0000,2378280.0000,2026-08-04 09:00:00
2.0633,1203296.0000,2482705.0000,2026-08-04 10:00:00
1.5241,1697985.0000,2587931.0000,2026-08-04 11:00:00
1.3004,2198865.0000,2859406.0000,2026-08-04 12:00:00
1.8864,3188076.0000,6013863.0000,2026-08-04 13:00:00
0.8790,9312222.0000,8185090.0000,2026-08-04 14:00:00
0.7345,7499767.0000,5508625.0000,2026-08-04 15:00:00
1.6495,8137201.0000,13422151.0000,2026-08-04 16:00:00
1.7679,1920905.0000,3396003.0000,2026-08-04 17:00:00
2.7318,1168548.0000,3192282.0000,2026-08-04 18:00:00
1.3367,4348040.0000,5811857.0000,2026-08-04 19:00:00
2.0062,1192374.0000,2392090.0000,2026-08-04 20:00:00
0.9039,1590527.0000,1437756.0000,2026-08-04 21:00:00
1.1780,1373698.0000,1618199.0000,2026-08-04 22:00:00
1.4617,1466975.0000,2144326.0000,2026-08-04 23:00:00
1.9742,5867301.0000,11583178.0000,2026-08-05 00:00:00
1.1234,1614913.0000,1814242.0000,2026-08-05 01:00:00
