longAccount,longShortRatio,shortAccount,time
0.7167,2.5298,0.2833,2026-07-31 13:00:00
0.7067,2.4095,0.2933,2026-07-31 14:00:00
0.6880,2.2051,0.3120,2026-07-31 15:00:00
0.7085,2.4305,0.2915,2026-07-31 16:00:00
0.7287,2.6860,0.2713,2026-07-31 17:00:00
0.7166,2.5286,0.2834,2026-07-31 18:00:00
0.7073,2.4165,0.2927,2026-07-31 19:00:00
0.7279,2.6751,0.2721,2026-07-31 20:00:00
0.7150,2.5088,0.2850,2026-07-31 21:00:00
0.6906,2.2321,0.3094,2026-07-31 22:00:00
0.6647,1.9824,0.3353,2026-07-31 23:00:00
0.6257,1.6717,0.3743,2026-08-01 00:00:00
0.6143,1.5927,0.3857,2026-08-01 01:00:00
0.6314,1.7130,0.3686,2026-08-01 02:00:00
0.6277,1.6860,0.3723,2026-08-01 03:00:00
0.6133,1.5860,0.3867,2026-08-01 04:00:00
0.6195,1.6281,0.3805,2026-08-01 05:00:00
0.6200,1.6316,0.3800,2026-08-01 06:00:00
0.6609,1.9490,0.3391,2026-08-01 07:00:00
0.6645,1.9806,0.3355,2026-08-01 08:00:00
0.5992,1.4950,0.4008,2026-08-01 09:00:00
0.6061,1.5387,0.3939,2026-08-01 10:00:00
0.7186,2.5537,0.2814,2026-08-01 11:00:00
0.7194,2.5638,0.2806,2026-08-01 12:00:00
0.7118,2.4698,0.2882,2026-08-01 13:00:00
0.6967,2.2971,0.3033,2026-08-01 14:00:00
0.6899,2.2248,0.3101,2026-08-01 15:00:00
0.6866,2.1908,0.3134,2026-08-01 16:00:00
0.6724,2.0525,0.3276,2026-08-01 17:00:00
0.6803,2.1279,0.3197,2026-08-01 18:00:00
0.6776,2.1017,0.3224,2026-08-01 19:00:00
0.6724,2.0525,0.3276,2026-08-01 20:00:00
0.6758,2.0845,0.3242,2026-08-01 21:00:00
0.6804,2.1289,0.3196,2026-08-01 22:00:00
0.6831,2.1556,0.3169,2026-08-01 23:00:00
0.6839,2.1636,0.3161,2026-08-02 00:00:00
0.6835,2.1596,0.3165,2026-08-02 01:00:00
0.6870,2.1949,0.3130,2026-08-02 02:00:00
0.6848,2.1726,0.3152,2026-08-02 03:00:00
0.6839,2.1636,0.3161,2026-08-02 04:00:00
0.6844,2.1686,0.3156,2026-08-02 05:00:00
0.6775,2.1008,0.3225,2026-08-02 06:00:00
0.6716,2.0451,0.3284,2026-08-02 07:00:00
0.6505,1.8612,0.3495,2026-08-02 08:00:00
0.6429,1.8003,0.3571,2026-08-02 09:00:00
0.6314,1.7130,0.3686,2026-08-02 10:00:00
0.6200,1.6316,0.3800,2026-08-02 11:00:00
0.6221,1.6462,0.3779,2026-08-02 12:00:00
0.5878,1.4260,0.4122,2026-08-02 13:00:00
0.5835,1.4010,0.4165,2026-08-02 14:00:00
0.5856,1.4131,0.4144,2026-08-02 15:00:00
0.5747,1.3513,0.4253,2026-08-02 16:00:00
0.5800,1.3810,0.4200,2026-08-02 17:00:00
0.5811,1.3872,0.4189,2026-08-02 18:00:00
0.5898,1.4378,0.4102,2026-08-02 19:00:00
0.5851,1.4102,0.4149,2026-08-02 20:00:00
0.5826,1.3958,0.4174,2026-08-02 21:00:00
0.5731,1.3425,0.4269,2026-08-02 22:00:00
0.5724,1.3386,0.4276,2026-08-02 23:00:00
0.5726,1.3397,0.4274,2026-08-03 00:00:00
0.5705,1.3283,0.4295,2026-08-03 01:00:00
0.5082,1.0333,0.4918,2026-08-03 02:00:00
0.5079,1.0321,0.4921,2026-08-03 03:00:00
0.3800,0.6129,0.6200,2026-08-03 04:00:00
0.3881,0.6343,0.6119,2026-08-03 05:00:00
0.3943,0.6510,0.6057,2026-08-03 06:00:00
0.3940,0.6502,0.6060,2026-08-03 07:00:00
0.4164,0.7135,0.5836,2026-08-03 08:00:00
0.4363,0.7740,0.5637,2026-08-03 09:00:00
0.4894,0.9585,0.5106,2026-08-03 10:00:00
0.4857,0.9444,0.5143,2026-08-03 11:00:00
0.4841,0.9384,0.5159,2026-08-03 12:00:00
0.5497,1.2207,0.4503,2026-08-03 13:00:00
0.5371,1.1603,0.4629,2026-08-03 14:00:00
0.5270,1.1142,0.4730,2026-08-03 15:00:00
0.5247,1.1039,0.4753,2026-08-03 16:00:00
0.5321,1.1372,0.4679,2026-08-03 17:00:00
0.5349,1.1501,0.4651,2026-08-03 18:00:00
0.5328,1.1404,0.4672,2026-08-03 19:00:00
0.5364,1.1570,0.4636,2026-08-03 20:00:00
0.5351,1.1510,0.4649,2026-08-03 21:00:00
0.5329,1.1409,0.4671,2026-08-03 22:00:00
0.5307,1.1308,0.4693,2026-08-03 23:00:00
0.5344,1.1478,0.4656,2026-08-04 00:00:00
0.5325,1.1390,0.4675,2026-08-04 01:00:00
0.5310,1.1322,0.4690,2026-08-04 02:00:00
0.5335,1.1436,0.4665,2026-08-04 03:00:00
0.5316,1.1349,0.4684,2026-08-04 04:00:00
0.5320,1.1368,0.4680,2026-08-04 05:00:00
0.5377,1.1631,0.4623,2026-08-04 06:00:00
0.5328,1.1404,0.4672,2026-08-04 07:00:00
0.5141,1.0580,0.4859,2026-08-04 08:00:00
0.5089,1.0362,0.4911,2026-08-04 09:00:00
0.5102,1.0416,0.4898,2026-08-04 10:00:00
0.5144,1.0593,0.4856,2026-08-04 11:00:00
0.5161,1.0665,0.4839,2026-08-04 12:00:00
0.5124,1.0509,0.4876,2026-08-04 13:00:00
0.5085,1.0346,0.4915,2026-08-04 14:00:00
0.5122,1.0500,0.4878,2026-08-04 15:00:00
0.5069,1.0280,0.4931,2026-08-04 16:00:00
0.5061,1.0247,0.4939,2026-08-04 17:00:00
0.4987,0.9948,0.5013,2026-08-04 18:00:00
0.4999,0.9996,0.5001,2026-08-04 19:00:00
0.5033,1.0133,0.4967,2026-08-04 20:00:00
0.4986,0.9944,0.5014,2026-08-04 21:00:00
0.5180,1.0747,0.4820,2026-08-04 22:00:00
0.5273,1.1155,0.4727,2026-08-04 23:00:00
0.5251,1.1057,0.4749,2026-08-05 00:00:00
0.5251,1.1057,0.4749,2026-08-05 01:00:00
0.5228,1.0956,0.4772,2026-08-05 02:00:00
0.4832,0.9350,0.5168,2026-08-05 03:00:00
0.4842,0.9387,0.5158,2026-08-05 04:00:00
