sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,time
1764450.00000000,455404.54500000,0.00000000,2026-07-31 13:00:00
3207530.00000000,837806.83600000,0.00000000,2026-07-31 14:00:00
3620479.00000000,947211.07680610,0.00000000,2026-07-31 15:00:00
4707476.00000000,1324858.67620816,0.00000000,2026-07-31 16:00:00
5157242.00000000,1405924.45735898,0.00000000,2026-07-31 17:00:00
4908817.00000000,1373346.50625746,0.00000000,2026-07-31 18:00:00
5476889.00000000,1576248.65420000,0.00000000,2026-07-31 19:00:00
5863488.00000000,1715417.00668032,0.00000000,2026-07-31 20:00:00
5417220.00000000,1427733.25021200,0.00000000,2026-07-31 21:00:00
5247649.00000000,1376458.33270000,0.00000000,2026-07-31 22:00:00
5383002.00000000,1394197.51800000,0.00000000,2026-07-31 23:00:00
5360040.00000000,1472745.92335920,0.00000000,2026-08-01 00:00:00
5387721.00000000,1437367.56491622,0.00000000,2026-08-01 01:00:00
5519501.00000000,1480330.16820000,0.00000000,2026-08-01 02:00:00
5646397.00000000,1521139.35180000,114312328.00000000,2026-08-01 03:00:00
5615192.00000000,1540247.16560000,114312328.00000000,2026-08-01 04:00:00
5648747.00000000,1533730.83919900,114312328.00000000,2026-08-01 05:00:00
5701747.00000000,1563500.39132969,114312328.00000000,2026-08-01 06:00:00
8146977.00000000,2502751.33440000,114312328.00000000,2026-08-01 07:00:00
8059584.00000000,2420497.14386688,114312328.00000000,2026-08-01 08:00:00
7845274.00000000,2326908.26840000,114312328.00000000,2026-08-01 09:00:00
8337968.00000000,2527238.10080000,114312328.00000000,2026-08-01 10:00:00
7680885.00000000,2034148.05357135,114312328.00000000,2026-08-01 11:00:00
7872396.00000000,2121258.35355504,114312328.00000000,2026-08-01 12:00:00
7851991.00000000,2114444.91089034,114312328.00000000,2026-08-01 13:00:00
7884189.00000000,2119270.00320000,114312328.00000000,2026-08-01 14:00:00
8183349.00000000,2217338.88649911,114312328.00000000,2026-08-01 15:00:00
8417548.00000000,2275210.78307596,114312328.00000000,2026-08-01 16:00:00
8539081.00000000,2354206.44345747,114312328.00000000,2026-08-01 17:00:00
8473901.00000000,2359981.42850000,114312328.00000000,2026-08-01 18:00:00
8412629.00000000,2323704.75089496,114312328.00000000,2026-08-01 19:00:00
8355577.00000000,2310317.04050000,114312328.00000000,2026-08-01 20:00:00
8480915.00000000,2376052.49784560,114312328.00000000,2026-08-01 21:00:00
8422742.00000000,2374604.61666308,114312328.00000000,2026-08-01 22:00:00
