buySellRatio,sellVol,buyVol,time
0.8902,2888431.0000,2571279.0000,2026-07-31 12:00:00
0.9007,7032549.0000,6334443.0000,2026-07-31 13:00:00
0.8338,6245779.0000,5207513.0000,2026-07-31 14:00:00
1.0502,5364399.0000,5633737.0000,2026-07-31 15:00:00
0.9872,5879436.0000,5804401.0000,2026-07-31 16:00:00
0.9873,2684238.0000,2650246.0000,2026-07-31 17:00:00
1.0712,3805058.0000,4075997.0000,2026-07-31 18:00:00
1.0559,3409367.0000,3599848.0000,2026-07-31 19:00:00
0.8341,5950836.0000,4963449.0000,2026-07-31 20:00:00
0.8948,2356863.0000,2108968.0000,2026-07-31 21:00:00
0.8910,2229666.0000,1986551.0000,2026-07-31 22:00:00
0.9320,2137972.0000,1992565.0000,2026-07-31 23:00:00
0.8656,1609197.0000,1392968.0000,2026-08-01 00:00:00
0.9266,1951266.0000,1808069.0000,2026-08-01 01:00:00
0.8780,1465643.0000,1286799.0000,2026-08-01 02:00:00
0.9829,1750000.0000,1720116.0000,2026-08-01 03:00:00
0.9232,1483071.0000,1369166.0000,2026-08-01 04:00:00
0.8005,1538219.0000,1231344.0000,2026-08-01 05:00:00
1.0117,9582307.0000,9694305.0000,2026-08-01 06:00:00
1.0007,7264648.0000,7269497.0000,2026-08-01 07:00:00
0.9386,5046841.0000,4736977.0000,2026-08-01 08:00:00
0.9670,4748268.0000,4591585.0000,2026-08-01 09:00:00
0.8324,11887299.0000,9894723.0000,2026-08-01 10:00:00
1.0193,4840723.0000,4934204.0000,2026-08-01 11:00:00
0.8551,2298849.0000,1965809.0000,2026-08-01 12:00:00
0.7949,2124881.0000,1689105.0000,2026-08-01 13:00:00
0.9391,2451133.0000,2301924.0000,2026-08-01 14:00:00
0.7467,3518306.0000,2627184.0000,2026-08-01 15:00:00
0.9879,1653411.0000,1633335.0000,2026-08-01 16:00:00
0.9408,4302668.0000,4047863.0000,2026-08-01 17:00:00
0.9683,1890355.0000,1830425.0000,2026-08-01 18:00:00
0.9108,1088268.0000,991150.0000,2026-08-01 19:00:00
0.9208,1357411.0000,1249961.0000,2026-08-01 20:00:00
0.9693,1189616.0000,1153083.0000,2026-08-01 21:00:00
1.1531,1458462.0000,1681704.0000,2026-08-01 22:00:00
0.8713,2068370.0000,1802121.0000,2026-08-01 23:00:00
1.1504,1378829.0000,1586264.0000,2026-08-02 00:00:00
0.9771,1727450.0000,1687950.0000,2026-08-02 01:00:00
0.7880,1376044.0000,1084378.0000,2026-08-02 02:00:00
1.0424,1530673.0000,1595561.0000,2026-08-02 03:00:00
0.8898,1221866.0000,1087216.0000,2026-08-02 04:00:00
0.9321,1165301.0000,1086196.0000,2026-08-02 05:00:00
0.8032,4582760.0000,3680659.0000,2026-08-02 06:00:00
0.9500,4153836.0000,3946126.0000,2026-08-02 07:00:00
0.8570,1829710.0000,1568065.0000,2026-08-02 08:00:00
0.8368,4359408.0000,3647951.0000,2026-08-02 09:00:00
0.9213,2139876.0000,1971463.0000,2026-08-02 10:00:00
0.8852,2495567.0000,2209127.0000,2026-08-02 11:00:00
0.7162,7608535.0000,5449115.0000,2026-08-02 12:00:00
0.9507,2095622.0000,1992396.0000,2026-08-02 13:00:00
0.8195,1878597.0000,1539492.0000,2026-08-02 14:00:00
0.9362,1637079.0000,1532600.0000,2026-08-02 15:00:00
1.2054,1829695.0000,2205533.0000,2026-08-02 16:00:00
0.8079,1370713.0000,1107393.0000,2026-08-02 17:00:00
1.0247,1629797.0000,1670122.0000,2026-08-02 18:00:00
1.0284,1384550.0000,1423819.0000,2026-08-02 19:00:00
0.9759,977899.0000,954366.0000,2026-08-02 20:00:00
1.0125,1333479.0000,1350125.0000,2026-08-02 21:00:00
0.9950,2584811.0000,2571785.0000,2026-08-02 22:00:00
0.9129,1485584.0000,1356121.0000,2026-08-02 23:00:00
1.1308,1598783.0000,1807907.0000,2026-08-03 00:00:00
0.9052,4119144.0000,3728677.0000,2026-08-03 01:00:00
0.9739,1430065.0000,1392774.0000,2026-08-03 02:00:00
1.0458,5946624.0000,6218930.0000,2026-08-03 03:00:00
0.9859,3040371.0000,2997440.0000,2026-08-03 04:00:00
0.8842,2824876.0000,2497777.0000,2026-08-03 05:00:00
1.0533,1146294.0000,1207365.0000,2026-08-03 06:00:00
1.1178,2604724.0000,2911594.0000,2026-08-03 07:00:00
