longAccount,longShortRatio,shortAccount,time
0.6905,2.2310,0.3095,2026-07-31 13:00:00
0.6355,1.7435,0.3645,2026-07-31 14:00:00
0.6553,1.9011,0.3447,2026-07-31 15:00:00
0.6226,1.6497,0.3774,2026-07-31 16:00:00
0.6858,2.1827,0.3142,2026-07-31 17:00:00
0.6907,2.2331,0.3093,2026-07-31 18:00:00
0.6799,2.1240,0.3201,2026-07-31 19:00:00
0.6761,2.0874,0.3239,2026-07-31 20:00:00
0.6970,2.3003,0.3030,2026-07-31 21:00:00
0.6833,2.1576,0.3167,2026-07-31 22:00:00
0.6590,1.9326,0.3410,2026-07-31 23:00:00
0.6250,1.6667,0.3750,2026-08-01 00:00:00
0.6044,1.5278,0.3956,2026-08-01 01:00:00
0.6517,1.8711,0.3483,2026-08-01 02:00:00
0.6433,1.8035,0.3567,2026-08-01 03:00:00
0.6332,1.7263,0.3668,2026-08-01 04:00:00
0.6297,1.7005,0.3703,2026-08-01 05:00:00
0.6322,1.7189,0.3678,2026-08-01 06:00:00
0.6360,1.7473,0.3640,2026-08-01 07:00:00
0.6419,1.7925,0.3581,2026-08-01 08:00:00
0.5500,1.2222,0.4500,2026-08-01 09:00:00
0.5465,1.2051,0.4535,2026-08-01 10:00:00
0.7426,2.8850,0.2574,2026-08-01 11:00:00
0.7421,2.8775,0.2579,2026-08-01 12:00:00
0.7290,2.6900,0.2710,2026-08-01 13:00:00
0.7152,2.5112,0.2848,2026-08-01 14:00:00
0.7061,2.4025,0.2939,2026-08-01 15:00:00
0.7031,2.3681,0.2969,2026-08-01 16:00:00
0.7011,2.3456,0.2989,2026-08-01 17:00:00
0.6983,2.3146,0.3017,2026-08-01 18:00:00
0.6944,2.2723,0.3056,2026-08-01 19:00:00
0.6908,2.2342,0.3092,2026-08-01 20:00:00
0.6928,2.2552,0.3072,2026-08-01 21:00:00
0.6909,2.2352,0.3091,2026-08-01 22:00:00
0.6983,2.3146,0.3017,2026-08-01 23:00:00
0.6990,2.3223,0.3010,2026-08-02 00:00:00
