longAccount,longShortRatio,shortAccount,time
0.6813,2.1379,0.3187,2026-07-28 20:00:00
0.6823,2.1472,0.3177,2026-07-28 21:00:00
0.6826,2.1505,0.3174,2026-07-28 22:00:00
0.6832,2.1565,0.3168,2026-07-28 23:00:00
0.6850,2.1743,0.3150,2026-07-29 00:00:00
0.6859,2.1835,0.3141,2026-07-29 01:00:00
0.6866,2.1905,0.3134,2026-07-29 02:00:00
0.6878,2.2029,0.3122,2026-07-29 03:00:00
0.6871,2.1956,0.3129,2026-07-29 04:00:00
0.6850,2.1744,0.3150,2026-07-29 05:00:00
0.6859,2.1839,0.3141,2026-07-29 06:00:00
0.6856,2.1808,0.3144,2026-07-29 07:00:00
0.6834,2.1590,0.3166,2026-07-29 08:00:00
0.6856,2.1809,0.3144,2026-07-29 09:00:00
0.6860,2.1850,0.3140,2026-07-29 10:00:00
0.6859,2.1839,0.3141,2026-07-29 11:00:00
0.6854,2.1791,0.3146,2026-07-29 12:00:00
0.6871,2.1963,0.3129,2026-07-29 13:00:00
0.6885,2.2100,0.3115,2026-07-29 14:00:00
0.6875,2.1996,0.3125,2026-07-29 15:00:00
0.6889,2.2145,0.3111,2026-07-29 16:00:00
0.6865,2.1897,0.3135,2026-07-29 17:00:00
0.6873,2.1984,0.3127,2026-07-29 18:00:00
0.6884,2.2091,0.3116,2026-07-29 19:00:00
0.6897,2.2225,0.3103,2026-07-29 20:00:00
0.6906,2.2319,0.3094,2026-07-29 21:00:00
0.6901,2.2267,0.3099,2026-07-29 22:00:00
0.6909,2.2356,0.3091,2026-07-29 23:00:00
0.6924,2.2510,0.3076,2026-07-30 00:00:00
0.6950,2.2788,0.3050,2026-07-30 01:00:00
0.6960,2.2891,0.3040,2026-07-30 02:00:00
0.7031,2.3686,0.2969,2026-07-30 03:00:00
0.7020,2.3555,0.2980,2026-07-30 04:00:00
0.6988,2.3201,0.3012,2026-07-30 05:00:00
0.6973,2.3038,0.3027,2026-07-30 06:00:00
0.6991,2.3235,0.3009,2026-07-30 07:00:00
0.7001,2.3342,0.2999,2026-07-30 08:00:00
0.6984,2.3161,0.3016,2026-07-30 09:00:00
0.6992,2.3245,0.3008,2026-07-30 10:00:00
0.6994,2.3268,0.3006,2026-07-30 11:00:00
0.6992,2.3240,0.3008,2026-07-30 12:00:00
0.6988,2.3205,0.3012,2026-07-30 13:00:00
0.6985,2.3164,0.3015,2026-07-30 14:00:00
0.6974,2.3045,0.3026,2026-07-30 15:00:00
0.7057,2.3981,0.2943,2026-07-30 16:00:00
0.7014,2.3492,0.2986,2026-07-30 17:00:00
0.7007,2.3408,0.2993,2026-07-30 18:00:00
0.7003,2.3370,0.2997,2026-07-30 19:00:00
0.6989,2.3207,0.3011,2026-07-30 20:00:00
0.6984,2.3156,0.3016,2026-07-30 21:00:00
0.6983,2.3141,0.3017,2026-07-30 22:00:00
0.6971,2.3018,0.3029,2026-07-30 23:00:00
0.6972,2.3023,0.3028,2026-07-31 00:00:00
0.6962,2.2912,0.3038,2026-07-31 01:00:00
0.7036,2.3737,0.2964,2026-07-31 02:00:00
0.7026,2.3625,0.2974,2026-07-31 03:00:00
0.7017,2.3524,0.2983,2026-07-31 04:00:00
0.7009,2.3433,0.2991,2026-07-31 05:00:00
0.7007,2.3409,0.2993,2026-07-31 06:00:00
0.6916,2.2422,0.3084,2026-07-31 07:00:00
0.6932,2.2597,0.3068,2026-07-31 08:00:00
0.6939,2.2672,0.3061,2026-07-31 09:00:00
0.6941,2.2695,0.3059,2026-07-31 10:00:00
0.6937,2.2648,0.3063,2026-07-31 11:00:00
0.6914,2.2400,0.3086,2026-07-31 12:00:00
0.6927,2.2541,0.3073,2026-07-31 13:00:00
0.6997,2.3303,0.3003,2026-07-31 14:00:00
0.6979,2.3098,0.3021,2026-07-31 15:00:00
0.6976,2.3069,0.3024,2026-07-31 16:00:00
0.6964,2.2941,0.3036,2026-07-31 17:00:00
0.6969,2.2993,0.3031,2026-07-31 18:00:00
0.6947,2.2759,0.3053,2026-07-31 19:00:00
0.6964,2.2934,0.3036,2026-07-31 20:00:00
0.6958,2.2878,0.3042,2026-07-31 21:00:00
0.6950,2.2786,0.3050,2026-07-31 22:00:00
0.6936,2.2641,0.3064,2026-07-31 23:00:00
0.6918,2.2451,0.3082,2026-08-01 00:00:00
0.6925,2.2525,0.3075,2026-08-01 01:00:00
0.6994,2.3267,0.3006,2026-08-01 02:00:00
0.6974,2.3043,0.3026,2026-08-01 03:00:00
0.6975,2.3058,0.3025,2026-08-01 04:00:00
0.6972,2.3029,0.3028,2026-08-01 05:00:00
0.6971,2.3018,0.3029,2026-08-01 06:00:00
0.6979,2.3100,0.3021,2026-08-01 07:00:00
0.6990,2.3223,0.3010,2026-08-01 08:00:00
0.6995,2.3274,0.3005,2026-08-01 09:00:00
0.6992,2.3246,0.3008,2026-08-01 10:00:00
0.7023,2.3588,0.2977,2026-08-01 11:00:00
0.7040,2.3785,0.2960,2026-08-01 12:00:00
0.7041,2.3794,0.2959,2026-08-01 13:00:00
0.7034,2.3712,0.2966,2026-08-01 14:00:00
0.7014,2.3490,0.2986,2026-08-01 15:00:00
0.7039,2.3776,0.2961,2026-08-01 16:00:00
0.7042,2.3811,0.2958,2026-08-01 17:00:00
0.7045,2.3841,0.2955,2026-08-01 18:00:00
0.7048,2.3877,0.2952,2026-08-01 19:00:00
0.7073,2.4165,0.2927,2026-08-01 20:00:00
0.7067,2.4100,0.2933,2026-08-01 21:00:00
0.7076,2.4202,0.2924,2026-08-01 22:00:00
0.7076,2.4203,0.2924,2026-08-01 23:00:00
0.7073,2.4163,0.2927,2026-08-02 00:00:00
0.7065,2.4069,0.2935,2026-08-02 01:00:00
0.7175,2.5394,0.2825,2026-08-02 02:00:00
0.7160,2.5211,0.2840,2026-08-02 03:00:00
0.7155,2.5145,0.2845,2026-08-02 04:00:00
0.7174,2.5390,0.2826,2026-08-02 05:00:00
0.7196,2.5663,0.2804,2026-08-02 06:00:00
0.7232,2.6122,0.2768,2026-08-02 07:00:00
0.7232,2.6121,0.2768,2026-08-02 08:00:00
0.7233,2.6136,0.2767,2026-08-02 09:00:00
0.7236,2.6180,0.2764,2026-08-02 10:00:00
0.7229,2.6091,0.2771,2026-08-02 11:00:00
0.7214,2.5888,0.2786,2026-08-02 12:00:00
0.7178,2.5437,0.2822,2026-08-02 13:00:00
0.7170,2.5342,0.2830,2026-08-02 14:00:00
0.7173,2.5367,0.2827,2026-08-02 15:00:00
0.7164,2.5258,0.2836,2026-08-02 16:00:00
0.7184,2.5514,0.2816,2026-08-02 17:00:00
0.7192,2.5607,0.2808,2026-08-02 18:00:00
0.7186,2.5542,0.2814,2026-08-02 19:00:00
0.7189,2.5577,0.2811,2026-08-02 20:00:00
0.7191,2.5598,0.2809,2026-08-02 21:00:00
0.7201,2.5733,0.2799,2026-08-02 22:00:00
0.7204,2.5771,0.2796,2026-08-02 23:00:00
0.7206,2.5797,0.2794,2026-08-03 00:00:00
0.7212,2.5874,0.2788,2026-08-03 01:00:00
0.7215,2.5902,0.2785,2026-08-03 02:00:00
0.7210,2.5846,0.2790,2026-08-03 03:00:00
0.7113,2.4635,0.2887,2026-08-03 04:00:00
0.7151,2.5101,0.2849,2026-08-03 05:00:00
0.7178,2.5430,0.2822,2026-08-03 06:00:00
0.7210,2.5840,0.2790,2026-08-03 07:00:00
0.7222,2.6003,0.2778,2026-08-03 08:00:00
0.7238,2.6205,0.2762,2026-08-03 09:00:00
0.7259,2.6483,0.2741,2026-08-03 10:00:00
0.7258,2.6475,0.2742,2026-08-03 11:00:00
0.7259,2.6481,0.2741,2026-08-03 12:00:00
0.7244,2.6280,0.2756,2026-08-03 13:00:00
0.7256,2.6446,0.2744,2026-08-03 14:00:00
0.7271,2.6642,0.2729,2026-08-03 15:00:00
0.7282,2.6786,0.2718,2026-08-03 16:00:00
0.7298,2.7013,0.2702,2026-08-03 17:00:00
0.7304,2.7087,0.2696,2026-08-03 18:00:00
0.7312,2.7209,0.2688,2026-08-03 19:00:00
0.7319,2.7297,0.2681,2026-08-03 20:00:00
0.7344,2.7656,0.2656,2026-08-03 21:00:00
0.7350,2.7731,0.2650,2026-08-03 22:00:00
0.7358,2.7851,0.2642,2026-08-03 23:00:00
0.7365,2.7952,0.2635,2026-08-04 00:00:00
0.7376,2.8110,0.2624,2026-08-04 01:00:00
0.7385,2.8245,0.2615,2026-08-04 02:00:00
0.7386,2.8262,0.2614,2026-08-04 03:00:00
0.7393,2.8360,0.2607,2026-08-04 04:00:00
0.7393,2.8353,0.2607,2026-08-04 05:00:00
0.7386,2.8251,0.2614,2026-08-04 06:00:00
0.7398,2.8431,0.2602,2026-08-04 07:00:00
0.7392,2.8342,0.2608,2026-08-04 08:00:00
0.7391,2.8335,0.2609,2026-08-04 09:00:00
0.7384,2.8228,0.2616,2026-08-04 10:00:00
0.7389,2.8297,0.2611,2026-08-04 11:00:00
0.7403,2.8502,0.2597,2026-08-04 12:00:00
0.7379,2.8155,0.2621,2026-08-04 13:00:00
0.7369,2.8010,0.2631,2026-08-04 14:00:00
0.7373,2.8061,0.2627,2026-08-04 15:00:00
0.7370,2.8016,0.2630,2026-08-04 16:00:00
0.7367,2.7973,0.2633,2026-08-04 17:00:00
0.7402,2.8493,0.2598,2026-08-04 18:00:00
0.7392,2.8339,0.2608,2026-08-04 19:00:00
0.7403,2.8499,0.2597,2026-08-04 20:00:00
0.7399,2.8454,0.2601,2026-08-04 21:00:00
0.7395,2.8384,0.2605,2026-08-04 22:00:00
0.7403,2.8500,0.2597,2026-08-04 23:00:00
0.7401,2.8474,0.2599,2026-08-05 00:00:00
0.7390,2.8320,0.2610,2026-08-05 01:00:00
0.7389,2.8302,0.2611,2026-08-05 02:00:00
0.7384,2.8222,0.2616,2026-08-05 03:00:00
0.7382,2.8195,0.2618,2026-08-05 04:00:00
0.7371,2.8042,0.2629,2026-08-05 05:00:00
0.7332,2.7481,0.2668,2026-08-05 06:00:00
0.7329,2.7438,0.2671,2026-08-05 07:00:00
0.7319,2.7297,0.2681,2026-08-05 08:00:00
0.7323,2.7361,0.2677,2026-08-05 09:00:00
0.7330,2.7458,0.2670,2026-08-05 10:00:00
0.7322,2.7342,0.2678,2026-08-05 11:00:00
0.7321,2.7334,0.2679,2026-08-05 12:00:00
0.7338,2.7565,0.2662,2026-08-05 13:00:00
0.7336,2.7537,0.2664,2026-08-05 14:00:00
0.7331,2.7469,0.2669,2026-08-05 15:00:00
0.7332,2.7483,0.2668,2026-08-05 16:00:00
0.7359,2.7867,0.2641,2026-08-05 17:00:00
0.7363,2.7923,0.2637,2026-08-05 18:00:00
0.7343,2.7643,0.2657,2026-08-05 19:00:00
0.7310,2.7182,0.2690,2026-08-05 20:00:00
0.7249,2.6346,0.2751,2026-08-05 21:00:00
