buySellRatio,sellVol,buyVol,time
0.9828,19236909.0000,18905106.0000,2026-07-28 19:00:00
0.8839,17428011.0000,15405205.0000,2026-07-28 20:00:00
1.2120,15444349.0000,18718522.0000,2026-07-28 21:00:00
0.8940,47891524.0000,42812986.0000,2026-07-28 22:00:00
0.9802,35277204.0000,34578439.0000,2026-07-28 23:00:00
1.0078,48731164.0000,49110845.0000,2026-07-29 00:00:00
1.0239,71050571.0000,72750474.0000,2026-07-29 01:00:00
0.6657,123372039.0000,82125914.0000,2026-07-29 02:00:00
0.8574,186355509.0000,159774052.0000,2026-07-29 03:00:00
1.1535,62526282.0000,72125884.0000,2026-07-29 04:00:00
1.0460,40065901.0000,41909982.0000,2026-07-29 05:00:00
1.0478,39276811.0000,41155455.0000,2026-07-29 06:00:00
0.9702,43942290.0000,42634999.0000,2026-07-29 07:00:00
0.8844,38511898.0000,34059974.0000,2026-07-29 08:00:00
0.7286,66131902.0000,48185026.0000,2026-07-29 09:00:00
0.9755,53707061.0000,52389986.0000,2026-07-29 10:00:00
0.8492,52987234.0000,44994389.0000,2026-07-29 11:00:00
0.7270,64079301.0000,46586559.0000,2026-07-29 12:00:00
0.7807,52144269.0000,40707668.0000,2026-07-29 13:00:00
0.9978,46267471.0000,46166070.0000,2026-07-29 14:00:00
0.7189,64412682.0000,46306025.0000,2026-07-29 15:00:00
0.9449,77751187.0000,73467971.0000,2026-07-29 16:00:00
1.0409,58830012.0000,61235125.0000,2026-07-29 17:00:00
0.9305,98803995.0000,91937947.0000,2026-07-29 18:00:00
0.8800,89721116.0000,78956999.0000,2026-07-29 19:00:00
0.8422,73758180.0000,62116032.0000,2026-07-29 20:00:00
1.0850,34590093.0000,37530499.0000,2026-07-29 21:00:00
0.9003,54534676.0000,49099705.0000,2026-07-29 22:00:00
0.9366,83755021.0000,78442945.0000,2026-07-29 23:00:00
0.9811,45733953.0000,44871362.0000,2026-07-30 00:00:00
1.1670,30623192.0000,35738745.0000,2026-07-30 01:00:00
0.8649,30771486.0000,26613403.0000,2026-07-30 02:00:00
0.9138,37816726.0000,34558449.0000,2026-07-30 03:00:00
0.8964,28902980.0000,25908950.0000,2026-07-30 04:00:00
1.0170,27263824.0000,27728476.0000,2026-07-30 05:00:00
