longAccount,longShortRatio,shortAccount,time
0.5014,1.0056,0.4986,2026-07-28 20:00:00
0.5023,1.0092,0.4977,2026-07-28 21:00:00
0.5037,1.0149,0.4963,2026-07-28 22:00:00
0.5076,1.0309,0.4924,2026-07-28 23:00:00
0.5073,1.0296,0.4927,2026-07-29 00:00:00
0.5068,1.0276,0.4932,2026-07-29 01:00:00
0.5054,1.0218,0.4946,2026-07-29 02:00:00
0.5172,1.0713,0.4828,2026-07-29 03:00:00
0.5146,1.0602,0.4854,2026-07-29 04:00:00
0.5108,1.0442,0.4892,2026-07-29 05:00:00
0.5110,1.0450,0.4890,2026-07-29 06:00:00
0.5093,1.0379,0.4907,2026-07-29 07:00:00
0.5082,1.0333,0.4918,2026-07-29 08:00:00
0.5071,1.0288,0.4929,2026-07-29 09:00:00
0.5117,1.0479,0.4883,2026-07-29 10:00:00
0.5091,1.0371,0.4909,2026-07-29 11:00:00
0.5094,1.0383,0.4906,2026-07-29 12:00:00
0.5090,1.0367,0.4910,2026-07-29 13:00:00
0.5038,1.0153,0.4962,2026-07-29 14:00:00
0.5023,1.0092,0.4977,2026-07-29 15:00:00
0.5043,1.0173,0.4957,2026-07-29 16:00:00
0.5046,1.0186,0.4954,2026-07-29 17:00:00
0.4995,0.9980,0.5005,2026-07-29 18:00:00
0.4902,0.9616,0.5098,2026-07-29 19:00:00
0.4974,0.9897,0.5026,2026-07-29 20:00:00
0.4984,0.9936,0.5016,2026-07-29 21:00:00
0.4965,0.9861,0.5035,2026-07-29 22:00:00
0.4964,0.9857,0.5036,2026-07-29 23:00:00
0.4908,0.9639,0.5092,2026-07-30 00:00:00
0.4922,0.9693,0.5078,2026-07-30 01:00:00
0.4903,0.9619,0.5097,2026-07-30 02:00:00
0.4918,0.9677,0.5082,2026-07-30 03:00:00
0.4947,0.9790,0.5053,2026-07-30 04:00:00
0.4921,0.9689,0.5079,2026-07-30 05:00:00
0.4944,0.9778,0.5056,2026-07-30 06:00:00
0.4944,0.9778,0.5056,2026-07-30 07:00:00
0.4927,0.9712,0.5073,2026-07-30 08:00:00
0.4928,0.9716,0.5072,2026-07-30 09:00:00
0.4931,0.9728,0.5069,2026-07-30 10:00:00
0.4926,0.9708,0.5074,2026-07-30 11:00:00
0.4950,0.9802,0.5050,2026-07-30 12:00:00
0.4954,0.9818,0.5046,2026-07-30 13:00:00
0.4963,0.9853,0.5037,2026-07-30 14:00:00
0.4974,0.9897,0.5026,2026-07-30 15:00:00
0.4983,0.9932,0.5017,2026-07-30 16:00:00
0.4991,0.9964,0.5009,2026-07-30 17:00:00
0.4969,0.9877,0.5031,2026-07-30 18:00:00
0.4988,0.9952,0.5012,2026-07-30 19:00:00
0.4999,0.9996,0.5001,2026-07-30 20:00:00
0.4980,0.9920,0.5020,2026-07-30 21:00:00
0.4955,0.9822,0.5045,2026-07-30 22:00:00
0.4934,0.9739,0.5066,2026-07-30 23:00:00
0.4928,0.9716,0.5072,2026-07-31 00:00:00
0.4915,0.9666,0.5085,2026-07-31 01:00:00
0.4892,0.9577,0.5108,2026-07-31 02:00:00
0.4857,0.9444,0.5143,2026-07-31 03:00:00
0.4863,0.9467,0.5137,2026-07-31 04:00:00
0.4808,0.9260,0.5192,2026-07-31 05:00:00
0.4807,0.9257,0.5193,2026-07-31 06:00:00
0.4776,0.9142,0.5224,2026-07-31 07:00:00
0.4789,0.9190,0.5211,2026-07-31 08:00:00
0.4792,0.9201,0.5208,2026-07-31 09:00:00
0.4813,0.9279,0.5187,2026-07-31 10:00:00
0.4849,0.9414,0.5151,2026-07-31 11:00:00
0.4863,0.9467,0.5137,2026-07-31 12:00:00
0.4833,0.9354,0.5167,2026-07-31 13:00:00
0.4819,0.9301,0.5181,2026-07-31 14:00:00
