longAccount,longShortRatio,shortAccount,time
0.7375,2.8094,0.2625,2026-07-28 20:00:00
0.7369,2.8004,0.2631,2026-07-28 21:00:00
0.7369,2.8010,0.2631,2026-07-28 22:00:00
0.7370,2.8026,0.2630,2026-07-28 23:00:00
0.7368,2.7991,0.2632,2026-07-29 00:00:00
0.7365,2.7957,0.2635,2026-07-29 01:00:00
0.7369,2.8003,0.2631,2026-07-29 02:00:00
0.7403,2.8499,0.2597,2026-07-29 03:00:00
0.7403,2.8512,0.2597,2026-07-29 04:00:00
0.7402,2.8487,0.2598,2026-07-29 05:00:00
0.7397,2.8425,0.2603,2026-07-29 06:00:00
0.7370,2.8016,0.2630,2026-07-29 07:00:00
0.7356,2.7824,0.2644,2026-07-29 08:00:00
0.7354,2.7798,0.2646,2026-07-29 09:00:00
0.7352,2.7760,0.2648,2026-07-29 10:00:00
0.7340,2.7596,0.2660,2026-07-29 11:00:00
0.7339,2.7582,0.2661,2026-07-29 12:00:00
0.7337,2.7558,0.2663,2026-07-29 13:00:00
0.7338,2.7559,0.2662,2026-07-29 14:00:00
0.7335,2.7527,0.2665,2026-07-29 15:00:00
0.7333,2.7493,0.2667,2026-07-29 16:00:00
0.7328,2.7421,0.2672,2026-07-29 17:00:00
0.7324,2.7369,0.2676,2026-07-29 18:00:00
0.7325,2.7382,0.2675,2026-07-29 19:00:00
0.7324,2.7376,0.2676,2026-07-29 20:00:00
0.7319,2.7305,0.2681,2026-07-29 21:00:00
0.7325,2.7387,0.2675,2026-07-29 22:00:00
0.7320,2.7311,0.2680,2026-07-29 23:00:00
0.7319,2.7297,0.2681,2026-07-30 00:00:00
0.7320,2.7315,0.2680,2026-07-30 01:00:00
0.7318,2.7291,0.2682,2026-07-30 02:00:00
0.7294,2.6949,0.2706,2026-07-30 03:00:00
0.7295,2.6962,0.2705,2026-07-30 04:00:00
0.7293,2.6948,0.2707,2026-07-30 05:00:00
0.7292,2.6923,0.2708,2026-07-30 06:00:00
0.7290,2.6895,0.2710,2026-07-30 07:00:00
0.7295,2.6967,0.2705,2026-07-30 08:00:00
0.7293,2.6941,0.2707,2026-07-30 09:00:00
0.7293,2.6947,0.2707,2026-07-30 10:00:00
0.7288,2.6878,0.2712,2026-07-30 11:00:00
0.7287,2.6853,0.2713,2026-07-30 12:00:00
0.7289,2.6893,0.2711,2026-07-30 13:00:00
0.7292,2.6928,0.2708,2026-07-30 14:00:00
0.7295,2.6972,0.2705,2026-07-30 15:00:00
0.7295,2.6973,0.2705,2026-07-30 16:00:00
0.7295,2.6967,0.2705,2026-07-30 17:00:00
0.7295,2.6975,0.2705,2026-07-30 18:00:00
0.7296,2.6984,0.2704,2026-07-30 19:00:00
0.7297,2.6990,0.2703,2026-07-30 20:00:00
0.7295,2.6974,0.2705,2026-07-30 21:00:00
0.7296,2.6983,0.2704,2026-07-30 22:00:00
0.7296,2.6984,0.2704,2026-07-30 23:00:00
0.7296,2.6977,0.2704,2026-07-31 00:00:00
0.7295,2.6966,0.2705,2026-07-31 01:00:00
0.7295,2.6972,0.2705,2026-07-31 02:00:00
0.7290,2.6903,0.2710,2026-07-31 03:00:00
0.7290,2.6902,0.2710,2026-07-31 04:00:00
0.7289,2.6880,0.2711,2026-07-31 05:00:00
