buySellRatio,sellVol,buyVol,time
1.6550,138017.4200,228414.2700,2026-07-28 19:00:00
0.7561,102911.1700,77808.2800,2026-07-28 20:00:00
1.0404,78322.9000,81483.7300,2026-07-28 21:00:00
0.6830,126016.3100,86071.5500,2026-07-28 22:00:00
1.1581,152910.5000,177083.8900,2026-07-28 23:00:00
1.3324,120735.8000,160865.2100,2026-07-29 00:00:00
0.5545,134142.6800,74386.8600,2026-07-29 01:00:00
1.1679,114564.1200,133803.5300,2026-07-29 02:00:00
0.7229,108933.2100,78752.7700,2026-07-29 03:00:00
1.1657,158339.0300,184569.6300,2026-07-29 04:00:00
1.2105,91570.3500,110845.6100,2026-07-29 05:00:00
0.9635,134813.2600,129891.0500,2026-07-29 06:00:00
0.9398,90460.1400,85018.5800,2026-07-29 07:00:00
0.8543,147397.9600,125917.8100,2026-07-29 08:00:00
1.3110,86492.8500,113393.2500,2026-07-29 09:00:00
0.7260,79752.6000,57898.5300,2026-07-29 10:00:00
1.1559,86507.8800,99992.6900,2026-07-29 11:00:00
0.8361,105154.5000,87920.2100,2026-07-29 12:00:00
0.8209,225564.6500,185170.7500,2026-07-29 13:00:00
1.0144,120695.3500,122438.4100,2026-07-29 14:00:00
0.8727,132361.4900,115517.9200,2026-07-29 15:00:00
0.9646,158882.0900,153264.5000,2026-07-29 16:00:00
1.0027,110594.2000,110894.6800,2026-07-29 17:00:00
0.9924,249359.2100,247474.5100,2026-07-29 18:00:00
0.7185,717064.4900,515208.3100,2026-07-29 19:00:00
1.0097,234591.4100,236862.4300,2026-07-29 20:00:00
0.9618,160921.9000,154769.2500,2026-07-29 21:00:00
1.1614,101108.1800,117428.7600,2026-07-29 22:00:00
1.5340,116546.4100,178778.2900,2026-07-29 23:00:00
1.1125,101114.4500,112486.4300,2026-07-30 00:00:00
0.9931,92722.5000,92083.1200,2026-07-30 01:00:00
0.7410,80886.4700,59933.1900,2026-07-30 02:00:00
1.4822,54543.9700,80846.1100,2026-07-30 03:00:00
0.6301,161066.0200,101488.9900,2026-07-30 04:00:00
1.3079,61247.2600,80105.8700,2026-07-30 05:00:00
1.2984,57432.6300,74573.2300,2026-07-30 06:00:00
1.0192,54872.2700,55928.2200,2026-07-30 07:00:00
1.4071,53478.8500,75252.2300,2026-07-30 08:00:00
1.0612,45033.3300,47791.2600,2026-07-30 09:00:00
