sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,time
408561.92000000,35393322.19943786,0.00000000,2026-07-28 20:00:00
409355.54000000,35676579.97698715,0.00000000,2026-07-28 21:00:00
407003.32000000,35307538.01000000,0.00000000,2026-07-28 22:00:00
403235.66000000,33795180.66460000,0.00000000,2026-07-28 23:00:00
401604.11000000,35184536.07710000,0.00000000,2026-07-29 00:00:00
399246.72000000,34810200.49314176,0.00000000,2026-07-29 01:00:00
395013.46000000,33747435.67087401,0.00000000,2026-07-29 02:00:00
393109.32000000,33484188.35794332,0.00000000,2026-07-29 03:00:00
405505.46000000,33702762.58032878,0.00000000,2026-07-29 04:00:00
408271.89000000,34160109.03630000,0.00000000,2026-07-29 05:00:00
403199.94000000,34253432.56260225,0.00000000,2026-07-29 06:00:00
401578.44000000,34664250.94080000,0.00000000,2026-07-29 07:00:00
400499.51000000,34638138.17230232,0.00000000,2026-07-29 08:00:00
402289.24000000,34608458.66728389,0.00000000,2026-07-29 09:00:00
403023.78000000,35673300.27163132,0.00000000,2026-07-29 10:00:00
401484.07000000,35157960.00990000,0.00000000,2026-07-29 11:00:00
404163.55000000,35438315.33132013,0.00000000,2026-07-29 12:00:00
404718.23000000,35200039.88442602,0.00000000,2026-07-29 13:00:00
412804.78000000,35014101.43960000,0.00000000,2026-07-29 14:00:00
414063.59000000,34959388.90370000,0.00000000,2026-07-29 15:00:00
423016.79000000,35159708.30476587,0.00000000,2026-07-29 16:00:00
423223.42000000,35334923.33580000,0.00000000,2026-07-29 17:00:00
423146.76000000,35726280.94680000,0.00000000,2026-07-29 18:00:00
425229.56000000,36903662.65709060,0.00000000,2026-07-29 19:00:00
420339.06000000,34544479.17471466,0.00000000,2026-07-29 20:00:00
436511.57000000,35082434.88090000,0.00000000,2026-07-29 21:00:00
434637.46000000,34815842.13244048,0.00000000,2026-07-29 22:00:00
433077.88000000,35148600.74080000,0.00000000,2026-07-29 23:00:00
430464.70000000,35001188.18475347,0.00000000,2026-07-30 00:00:00
431581.10000000,35468885.74942002,0.00000000,2026-07-30 01:00:00
433996.30000000,36481728.97800000,0.00000000,2026-07-30 02:00:00
431185.54000000,35489786.95694797,0.00000000,2026-07-30 03:00:00
421311.56000000,34225541.40323336,0.00000000,2026-07-30 04:00:00
414519.04000000,33336998.51092383,0.00000000,2026-07-30 05:00:00
415602.98000000,33701245.64820000,0.00000000,2026-07-30 06:00:00
414768.45000000,33497614.49518319,0.00000000,2026-07-30 07:00:00
412744.00000000,33085559.04000000,0.00000000,2026-07-30 08:00:00
426011.00000000,34337260.82387118,0.00000000,2026-07-30 09:00:00
427909.00000000,34654267.59782875,0.00000000,2026-07-30 10:00:00
426315.57000000,35035953.88301524,0.00000000,2026-07-30 11:00:00
421703.35000000,35515856.13700000,0.00000000,2026-07-30 12:00:00
419104.27000000,36076495.56160000,0.00000000,2026-07-30 13:00:00
366074.15000000,33463642.08212009,0.00000000,2026-07-30 14:00:00
316316.48000000,29144351.71991056,0.00000000,2026-07-30 15:00:00
307964.60000000,28409142.11559632,0.00000000,2026-07-30 16:00:00
302774.45000000,28055080.53700000,0.00000000,2026-07-30 17:00:00
298793.52000000,27565686.69003037,0.00000000,2026-07-30 18:00:00
295858.83000000,27050291.89767564,0.00000000,2026-07-30 19:00:00
303181.01000000,27651619.10854945,0.00000000,2026-07-30 20:00:00
288552.93000000,26690376.65920827,0.00000000,2026-07-30 21:00:00
287165.03000000,26818342.15170000,0.00000000,2026-07-30 22:00:00
282719.99000000,26876444.49586732,0.00000000,2026-07-30 23:00:00
280799.29000000,26756023.26634691,0.00000000,2026-07-31 00:00:00
281418.01000000,27252430.75225272,0.00000000,2026-07-31 01:00:00
279182.67000000,26544688.26360000,0.00000000,2026-07-31 02:00:00
282288.42000000,26667811.26339220,0.00000000,2026-07-31 03:00:00
280616.09000000,26546282.11400000,0.00000000,2026-07-31 04:00:00
281929.43000000,26932956.00727631,0.00000000,2026-07-31 05:00:00
283219.36000000,27228709.27040000,0.00000000,2026-07-31 06:00:00
281916.17000000,26713506.83127423,0.00000000,2026-07-31 07:00:00
281753.00000000,26923329.00331109,0.00000000,2026-07-31 08:00:00
280409.77000000,26950182.99470000,0.00000000,2026-07-31 09:00:00
279837.22000000,26849578.49276536,0.00000000,2026-07-31 10:00:00
277996.63000000,26642391.92705969,0.00000000,2026-07-31 11:00:00
276467.92000000,26561624.60994436,0.00000000,2026-07-31 12:00:00
271119.20000000,25730419.55273627,0.00000000,2026-07-31 13:00:00
253837.52000000,23820112.87680000,0.00000000,2026-07-31 14:00:00
261594.61000000,24393697.38250000,0.00000000,2026-07-31 15:00:00
