buySellRatio,sellVol,buyVol,time
1.0683,35607.3000,38039.7200,2026-07-28 19:00:00
0.7878,40515.9100,31918.0000,2026-07-28 20:00:00
0.7673,9882.3400,7582.3200,2026-07-28 21:00:00
0.6536,35146.7400,22973.6600,2026-07-28 22:00:00
1.0373,38327.2200,39755.7000,2026-07-28 23:00:00
0.9934,62187.2600,61778.3300,2026-07-29 00:00:00
0.7042,42089.2500,29639.8900,2026-07-29 01:00:00
1.1774,25415.8000,29924.4000,2026-07-29 02:00:00
0.6407,43015.8600,27561.2100,2026-07-29 03:00:00
0.9224,80665.4400,74408.8300,2026-07-29 04:00:00
0.9545,40043.1200,38221.5600,2026-07-29 05:00:00
1.1885,22407.9100,26632.3000,2026-07-29 06:00:00
1.1327,15082.5400,17083.9600,2026-07-29 07:00:00
0.8136,33003.2200,26852.6200,2026-07-29 08:00:00
1.1384,44896.6500,51111.6700,2026-07-29 09:00:00
0.9029,32194.6600,29068.2400,2026-07-29 10:00:00
1.0456,26655.3000,27869.8700,2026-07-29 11:00:00
0.8867,44263.0900,39248.9000,2026-07-29 12:00:00
1.0594,264454.8900,280156.1200,2026-07-29 13:00:00
0.9482,123272.8900,116882.7800,2026-07-29 14:00:00
1.0842,73666.7500,79868.7700,2026-07-29 15:00:00
0.8032,61344.2500,49271.6000,2026-07-29 16:00:00
0.8668,47544.4100,41213.2300,2026-07-29 17:00:00
1.0265,128528.5800,131929.0800,2026-07-29 18:00:00
0.8031,118565.8600,95220.4800,2026-07-29 19:00:00
0.8428,94400.0300,79559.6600,2026-07-29 20:00:00
0.7305,49281.6100,36001.9600,2026-07-29 21:00:00
1.0376,22781.5900,23638.2100,2026-07-29 22:00:00
1.2432,13071.2200,16250.6000,2026-07-29 23:00:00
0.9715,54667.9700,53108.4000,2026-07-30 00:00:00
0.9740,42701.8100,41593.5600,2026-07-30 01:00:00
0.7790,36160.3500,28169.1600,2026-07-30 02:00:00
0.9131,63224.6300,57731.0000,2026-07-30 03:00:00
1.0680,25430.0100,27159.6400,2026-07-30 04:00:00
1.0592,14007.8900,14837.5800,2026-07-30 05:00:00
0.8229,9991.5000,8221.6200,2026-07-30 06:00:00
0.9687,19789.1600,19170.1000,2026-07-30 07:00:00
0.9433,57769.9800,54492.1000,2026-07-30 08:00:00
1.1143,19334.5400,21543.7300,2026-07-30 09:00:00
1.0452,25561.1700,26715.7600,2026-07-30 10:00:00
1.1393,42594.4800,48529.8100,2026-07-30 11:00:00
1.2607,38091.7300,48023.9800,2026-07-30 12:00:00
1.1323,315036.2100,356703.3600,2026-07-30 13:00:00
0.8625,169011.5500,145765.0700,2026-07-30 14:00:00
0.9449,89674.9000,84732.7100,2026-07-30 15:00:00
1.0510,31919.3900,33547.8200,2026-07-30 16:00:00
0.9330,24504.5000,22861.9000,2026-07-30 17:00:00
0.9553,15907.6000,15197.1500,2026-07-30 18:00:00
1.5055,30202.9400,45470.6900,2026-07-30 19:00:00
0.8706,44692.4600,38907.0600,2026-07-30 20:00:00
0.9809,15426.0600,15132.1200,2026-07-30 21:00:00
1.6468,18067.7500,29753.8100,2026-07-30 22:00:00
1.1172,16235.5300,18138.8800,2026-07-30 23:00:00
1.0927,40417.2700,44161.9800,2026-07-31 00:00:00
0.8448,42251.7400,35692.8700,2026-07-31 01:00:00
0.9811,28284.5600,27749.2000,2026-07-31 02:00:00
1.1166,12443.6000,13894.9700,2026-07-31 03:00:00
1.0981,7811.1000,8577.0600,2026-07-31 04:00:00
1.1401,9066.1800,10335.9400,2026-07-31 05:00:00
0.8684,24786.2300,21525.1300,2026-07-31 06:00:00
