longAccount,longShortRatio,shortAccount,time
0.7474,2.9588,0.2526,2026-07-28 20:00:00
0.7475,2.9604,0.2525,2026-07-28 21:00:00
0.7512,3.0193,0.2488,2026-07-28 22:00:00
0.7483,2.9730,0.2517,2026-07-28 23:00:00
0.7403,2.8506,0.2597,2026-07-29 00:00:00
0.7397,2.8417,0.2603,2026-07-29 01:00:00
0.7465,2.9448,0.2535,2026-07-29 02:00:00
0.7464,2.9432,0.2536,2026-07-29 03:00:00
0.7522,3.0355,0.2478,2026-07-29 04:00:00
0.7456,2.9308,0.2544,2026-07-29 05:00:00
0.7440,2.9063,0.2560,2026-07-29 06:00:00
0.7357,2.7836,0.2643,2026-07-29 07:00:00
0.7378,2.8139,0.2622,2026-07-29 08:00:00
0.7451,2.9231,0.2549,2026-07-29 09:00:00
0.7385,2.8241,0.2615,2026-07-29 10:00:00
0.7367,2.7979,0.2633,2026-07-29 11:00:00
0.7352,2.7764,0.2648,2026-07-29 12:00:00
0.7370,2.8023,0.2630,2026-07-29 13:00:00
0.7498,2.9968,0.2502,2026-07-29 14:00:00
0.7484,2.9746,0.2516,2026-07-29 15:00:00
0.7471,2.9541,0.2529,2026-07-29 16:00:00
0.7555,3.0900,0.2445,2026-07-29 17:00:00
0.7634,3.2265,0.2366,2026-07-29 18:00:00
0.7640,3.2373,0.2360,2026-07-29 19:00:00
0.8038,4.0968,0.1962,2026-07-29 20:00:00
0.8013,4.0327,0.1987,2026-07-29 21:00:00
0.7970,3.9261,0.2030,2026-07-29 22:00:00
0.7973,3.9334,0.2027,2026-07-29 23:00:00
0.8004,4.0100,0.1996,2026-07-30 00:00:00
0.7989,3.9727,0.2011,2026-07-30 01:00:00
0.7961,3.9044,0.2039,2026-07-30 02:00:00
0.7948,3.8733,0.2052,2026-07-30 03:00:00
0.8054,4.1387,0.1946,2026-07-30 04:00:00
0.8092,4.2411,0.1908,2026-07-30 05:00:00
0.8061,4.1573,0.1939,2026-07-30 06:00:00
0.8068,4.1760,0.1932,2026-07-30 07:00:00
0.8111,4.2938,0.1889,2026-07-30 08:00:00
0.8040,4.1020,0.1960,2026-07-30 09:00:00
0.8013,4.0327,0.1987,2026-07-30 10:00:00
0.7978,3.9456,0.2022,2026-07-30 11:00:00
0.7904,3.7710,0.2096,2026-07-30 12:00:00
0.7839,3.6275,0.2161,2026-07-30 13:00:00
0.7634,3.2265,0.2366,2026-07-30 14:00:00
