longAccount,longShortRatio,shortAccount,time
0.7850,3.6502,0.2150,2026-07-28 20:00:00
0.7811,3.5691,0.2189,2026-07-28 21:00:00
0.7819,3.5854,0.2181,2026-07-28 22:00:00
0.7838,3.6263,0.2162,2026-07-28 23:00:00
0.7845,3.6401,0.2155,2026-07-29 00:00:00
0.7868,3.6911,0.2132,2026-07-29 01:00:00
0.7913,3.7927,0.2087,2026-07-29 02:00:00
0.7930,3.8300,0.2070,2026-07-29 03:00:00
0.7833,3.6138,0.2167,2026-07-29 04:00:00
0.7844,3.6391,0.2156,2026-07-29 05:00:00
0.7944,3.8641,0.2056,2026-07-29 06:00:00
0.7997,3.9933,0.2003,2026-07-29 07:00:00
0.7993,3.9833,0.2007,2026-07-29 08:00:00
0.7948,3.8735,0.2052,2026-07-29 09:00:00
0.7933,3.8385,0.2067,2026-07-29 10:00:00
0.7952,3.8824,0.2048,2026-07-29 11:00:00
0.7941,3.8576,0.2059,2026-07-29 12:00:00
0.7966,3.9155,0.2034,2026-07-29 13:00:00
0.8006,4.0157,0.1994,2026-07-29 14:00:00
0.8029,4.0737,0.1971,2026-07-29 15:00:00
0.7921,3.8104,0.2079,2026-07-29 16:00:00
0.7965,3.9145,0.2035,2026-07-29 17:00:00
0.7979,3.9473,0.2021,2026-07-29 18:00:00
0.7948,3.8723,0.2052,2026-07-29 19:00:00
0.7995,3.9872,0.2005,2026-07-29 20:00:00
0.7895,3.7498,0.2105,2026-07-29 21:00:00
0.7911,3.7864,0.2089,2026-07-29 22:00:00
0.7931,3.8334,0.2069,2026-07-29 23:00:00
0.7925,3.8196,0.2075,2026-07-30 00:00:00
0.7939,3.8515,0.2061,2026-07-30 01:00:00
0.7923,3.8146,0.2077,2026-07-30 02:00:00
0.7926,3.8218,0.2074,2026-07-30 03:00:00
0.7923,3.8135,0.2077,2026-07-30 04:00:00
0.7955,3.8889,0.2045,2026-07-30 05:00:00
0.7935,3.8419,0.2065,2026-07-30 06:00:00
0.7949,3.8765,0.2051,2026-07-30 07:00:00
0.7911,3.7873,0.2089,2026-07-30 08:00:00
0.7851,3.6523,0.2149,2026-07-30 09:00:00
0.7841,3.6316,0.2159,2026-07-30 10:00:00
