open_time,open,high,low,close
2026-07-28 20:00:00,1.16546069,1.18640000,1.14890000,1.15460000
2026-07-28 21:00:00,1.15460000,1.18560000,1.15348520,1.18019696
2026-07-28 22:00:00,1.18019696,1.19990000,1.18010000,1.18851873
2026-07-28 23:00:00,1.18853333,1.21600000,1.18450000,1.20240000
2026-07-29 00:00:00,1.20220000,1.23340000,1.19270000,1.23250000
2026-07-29 01:00:00,1.23290000,1.24422343,1.21852667,1.23797284
2026-07-29 02:00:00,1.23791402,1.28290000,1.23712010,1.27272892
2026-07-29 03:00:00,1.27198186,1.28863176,1.24426843,1.24720000
2026-07-29 04:00:00,1.24750000,1.26903519,1.23100061,1.26240000
2026-07-29 05:00:00,1.26240000,1.26750000,1.24604980,1.25176735
2026-07-29 06:00:00,1.25176735,1.25510000,1.19900000,1.23080000
2026-07-29 07:00:00,1.23080000,1.24748324,1.22311353,1.23410000
2026-07-29 08:00:00,1.23420000,1.24740000,1.22656529,1.23890000
2026-07-29 09:00:00,1.23850000,1.24280000,1.22778186,1.23969853
2026-07-29 10:00:00,1.23969853,1.27740000,1.22589098,1.25560824
2026-07-29 11:00:00,1.25560824,1.26510000,1.23610000,1.26394490
2026-07-29 12:00:00,1.26394490,1.27337833,1.24884716,1.25417078
2026-07-29 13:00:00,1.25370020,1.25860000,1.24230000,1.25140000
2026-07-29 14:00:00,1.25140000,1.27090000,1.25021647,1.25975735
2026-07-29 15:00:00,1.25975735,1.28270000,1.25902333,1.28015804
2026-07-29 16:00:00,1.28020000,1.36470000,1.27835824,1.35796559
2026-07-29 17:00:00,1.35794020,1.37050000,1.31770000,1.35130000
2026-07-29 18:00:00,1.35150000,1.36960000,1.32520480,1.34305196
2026-07-29 19:00:00,1.34310314,1.35930000,1.33535010,1.33980000
2026-07-29 20:00:00,1.33961980,1.34250000,1.30360000,1.30533569
2026-07-29 21:00:00,1.30533569,1.31670000,1.29048402,1.29490000
2026-07-29 22:00:00,1.29490000,1.29950000,1.26840000,1.27190000
2026-07-29 23:00:00,1.27199902,1.28130000,1.25300000,1.25380000
2026-07-30 00:00:00,1.25380000,1.29020000,1.24099314,1.24888275
2026-07-30 01:00:00,1.24920000,1.26310441,1.21363873,1.21527549
2026-07-30 02:00:00,1.21500000,1.22460000,1.21149961,1.21580000
2026-07-30 03:00:00,1.21590000,1.21849461,1.18038480,1.18044363
2026-07-30 04:00:00,1.18032010,1.22474255,1.18022275,1.20450000
2026-07-30 05:00:00,1.20490000,1.22300000,1.20040000,1.22067108
2026-07-30 06:00:00,1.22060000,1.22240000,1.20370000,1.21450000
2026-07-30 07:00:00,1.21500000,1.21853946,1.18320196,1.19936235
2026-07-30 08:00:00,1.19953882,1.20440000,1.15626480,1.16789382
2026-07-30 09:00:00,1.16810000,1.16853363,1.14650471,1.15221275
2026-07-30 10:00:00,1.15221275,1.16790000,1.10124627,1.10149817
2026-07-30 11:00:00,1.10161582,1.10710000,1.02170000,1.03602529
2026-07-30 12:00:00,1.03530000,1.10150000,0.98580706,1.08570000
2026-07-30 13:00:00,1.08538814,1.10889853,1.04500000,1.09561645
2026-07-30 14:00:00,1.09627515,1.12781146,1.09124970,1.11274196
2026-07-30 15:00:00,1.11280078,1.13690000,1.10640000,1.12890000
2026-07-30 16:00:00,1.12890000,1.14710000,1.11805804,1.12080000
2026-07-30 17:00:00,1.12080000,1.12320000,1.07686471,1.07910000
2026-07-30 18:00:00,1.07920118,1.08340000,1.05673794,1.05895951
2026-07-30 19:00:00,1.05892422,1.10160029,1.05529941,1.07860000
2026-07-30 20:00:00,1.07862414,1.09370000,1.06160000,1.06220000
2026-07-30 21:00:00,1.06250000,1.10740000,1.06061833,1.10150000
2026-07-30 22:00:00,1.10150000,1.12514686,1.09786980,1.12010000
2026-07-30 23:00:00,1.12010000,1.13020000,1.10691039,1.10915529
2026-07-31 00:00:00,1.10915529,1.13992030,1.08286569,1.11115108
2026-07-31 01:00:00,1.11130000,1.13700000,1.10180000,1.11780392
2026-07-31 02:00:00,1.11780392,1.14280000,1.11540657,1.14050000
2026-07-31 03:00:00,1.14050000,1.14640000,1.12104363,1.12194431
2026-07-31 04:00:00,1.12194431,1.13839320,1.11210000,1.12472147
2026-07-31 05:00:00,1.12472147,1.13400000,1.11436696,1.12430000
2026-07-31 06:00:00,1.12430000,1.16948019,1.12056010,1.14396902
2026-07-31 07:00:00,1.14420000,1.15833490,1.12643578,1.13256794
2026-07-31 08:00:00,1.13238088,1.13872265,1.11910000,1.13791255
2026-07-31 09:00:00,1.13791255,1.14683451,1.12578186,1.13170000
2026-07-31 10:00:00,1.13170000,1.14260000,1.10983216,1.11140000
2026-07-31 11:00:00,1.11180000,1.12180000,1.09140000,1.10075255
2026-07-31 12:00:00,1.10075255,1.10270000,1.06354147,1.06622049
2026-07-31 13:00:00,1.06630000,1.10725186,1.06308196,1.09335431
2026-07-31 14:00:00,1.09333824,1.11165147,1.08176382,1.09700000
2026-07-31 15:00:00,1.09705196,1.09890000,1.08420000,1.08630000
2026-07-31 16:00:00,1.08640000,1.13200000,1.08532784,1.12027115
2026-07-31 17:00:00,1.12244078,1.12730000,1.10250000,1.11200775
2026-07-31 18:00:00,1.11200775,1.11330000,1.09434098,1.09465765
2026-07-31 19:00:00,1.09465765,1.09465765,1.08090000,1.08250451
2026-07-31 20:00:00,1.08248874,1.08450000,1.05367873,1.06070000
2026-07-31 21:00:00,1.06070902,1.06490549,1.04989584,1.05393333
2026-07-31 22:00:00,1.05393333,1.06000000,1.05062383,1.05396088
2026-07-31 23:00:00,1.05396088,1.07270000,1.05197853,1.06327294
2026-08-01 00:00:00,1.06340000,1.08920000,1.06120000,1.07350000
2026-08-01 01:00:00,1.07350000,1.08830000,1.07230000,1.08040000
2026-08-01 02:00:00,1.08040000,1.08446755,1.07003157,1.07637647
2026-08-01 03:00:00,1.07620000,1.11122423,1.07500000,1.10960108
2026-08-01 04:00:00,1.10978520,1.11889067,1.09290000,1.09785824
2026-08-01 05:00:00,1.09830000,1.10169657,1.08590000,1.09530000
2026-08-01 06:00:00,1.09530000,1.11205345,1.09100000,1.09920588
2026-08-01 07:00:00,1.09920588,1.10690000,1.09468196,1.09950000
2026-08-01 08:00:00,1.09950000,1.10490216,1.08628980,1.08991873
2026-08-01 09:00:00,1.08991363,1.10170000,1.08650000,1.09260000
2026-08-01 10:00:00,1.09260000,1.09490000,1.07411961,1.07860000
2026-08-01 11:00:00,1.07860000,1.11430000,1.07270000,1.09850000
2026-08-01 12:00:00,1.09850000,1.12442882,1.09680000,1.10510000
2026-08-01 13:00:00,1.10510000,1.11707275,1.10038490,1.11380000
2026-08-01 14:00:00,1.11380000,1.16610000,1.11310000,1.16195426
2026-08-01 15:00:00,1.16140000,1.16589461,1.08610061,1.13902373
2026-08-01 16:00:00,1.13902373,1.16530000,1.13503902,1.14817412
2026-08-01 17:00:00,1.14817412,1.23550569,1.12280000,1.22620000
2026-08-01 18:00:00,1.22640000,1.24270000,1.20580000,1.20770000
2026-08-01 19:00:00,1.20680000,1.23080000,1.20170000,1.21038627
2026-08-01 20:00:00,1.21028627,1.21390000,1.18710000,1.18850000
2026-08-01 21:00:00,1.18850000,1.20287382,1.18120314,1.19520000
2026-08-01 22:00:00,1.19520000,1.19940000,1.17588961,1.18664951
2026-08-01 23:00:00,1.18682598,1.20250578,1.18160000,1.20070059
2026-08-02 00:00:00,1.20070059,1.21560000,1.19833039,1.20210000
2026-08-02 01:00:00,1.20210000,1.22144078,1.20012814,1.20770000
2026-08-02 02:00:00,1.20770000,1.21806951,1.19180000,1.19843412
2026-08-02 03:00:00,1.19843412,1.20260000,1.18650196,1.18650196
2026-08-02 04:00:00,1.18661961,1.18661961,1.16930000,1.17350000
2026-08-02 05:00:00,1.17370000,1.18030000,1.15776716,1.16530000
2026-08-02 06:00:00,1.16522843,1.17142746,1.15672294,1.16360480
2026-08-02 07:00:00,1.16360000,1.18080000,1.15594961,1.16480000
2026-08-02 08:00:00,1.16480000,1.17340461,1.15948490,1.16970775
2026-08-02 09:00:00,1.16970775,1.20700000,1.14410000,1.19670000
2026-08-02 10:00:00,1.19632324,1.21163137,1.18597333,1.19540000
2026-08-02 11:00:00,1.19530775,1.21810000,1.19252098,1.21550000
2026-08-02 12:00:00,1.21531450,1.21626961,1.14768500,1.15720000
2026-08-02 13:00:00,1.15740000,1.15780000,1.08532186,1.08730000
2026-08-02 14:00:00,1.08840000,1.09780000,1.06190000,1.07200000
2026-08-02 15:00:00,1.07180000,1.11427137,1.05250000,1.10781137
