longAccount,longShortRatio,shortAccount,time
0.5332,1.1422,0.4668,2026-07-28 20:00:00
0.5277,1.1173,0.4723,2026-07-28 21:00:00
0.5311,1.1327,0.4689,2026-07-28 22:00:00
0.5350,1.1505,0.4650,2026-07-28 23:00:00
0.5365,1.1575,0.4635,2026-07-29 00:00:00
0.5419,1.1829,0.4581,2026-07-29 01:00:00
0.5461,1.2031,0.4539,2026-07-29 02:00:00
0.5479,1.2119,0.4521,2026-07-29 03:00:00
0.5436,1.1911,0.4564,2026-07-29 04:00:00
0.5415,1.1810,0.4585,2026-07-29 05:00:00
0.5367,1.1584,0.4633,2026-07-29 06:00:00
0.5346,1.1487,0.4654,2026-07-29 07:00:00
0.5260,1.1097,0.4740,2026-07-29 08:00:00
0.5221,1.0925,0.4779,2026-07-29 09:00:00
0.5222,1.0929,0.4778,2026-07-29 10:00:00
0.5247,1.1039,0.4753,2026-07-29 11:00:00
0.5266,1.1124,0.4734,2026-07-29 12:00:00
0.5267,1.1128,0.4733,2026-07-29 13:00:00
0.5241,1.1013,0.4759,2026-07-29 14:00:00
0.5197,1.0820,0.4803,2026-07-29 15:00:00
0.5205,1.0855,0.4795,2026-07-29 16:00:00
0.5134,1.0551,0.4866,2026-07-29 17:00:00
0.5172,1.0713,0.4828,2026-07-29 18:00:00
0.5135,1.0555,0.4865,2026-07-29 19:00:00
0.5117,1.0479,0.4883,2026-07-29 20:00:00
0.5109,1.0446,0.4891,2026-07-29 21:00:00
0.5069,1.0280,0.4931,2026-07-29 22:00:00
0.5078,1.0317,0.4922,2026-07-29 23:00:00
0.5057,1.0231,0.4943,2026-07-30 00:00:00
0.5063,1.0255,0.4937,2026-07-30 01:00:00
0.5092,1.0375,0.4908,2026-07-30 02:00:00
0.5139,1.0572,0.4861,2026-07-30 03:00:00
0.5179,1.0743,0.4821,2026-07-30 04:00:00
0.5211,1.0881,0.4789,2026-07-30 05:00:00
0.5219,1.0916,0.4781,2026-07-30 06:00:00
0.5240,1.1008,0.4760,2026-07-30 07:00:00
0.5231,1.0969,0.4769,2026-07-30 08:00:00
0.5223,1.0934,0.4777,2026-07-30 09:00:00
0.5217,1.0907,0.4783,2026-07-30 10:00:00
0.5289,1.1227,0.4711,2026-07-30 11:00:00
0.5354,1.1524,0.4646,2026-07-30 12:00:00
0.5248,1.1044,0.4752,2026-07-30 13:00:00
0.5219,1.0916,0.4781,2026-07-30 14:00:00
0.5231,1.0969,0.4769,2026-07-30 15:00:00
0.5152,1.0627,0.4848,2026-07-30 16:00:00
0.5137,1.0563,0.4863,2026-07-30 17:00:00
0.5004,1.0016,0.4996,2026-07-30 18:00:00
0.4994,0.9976,0.5006,2026-07-30 19:00:00
0.4989,0.9956,0.5011,2026-07-30 20:00:00
0.4989,0.9956,0.5011,2026-07-30 21:00:00
0.4957,0.9829,0.5043,2026-07-30 22:00:00
0.4960,0.9841,0.5040,2026-07-30 23:00:00
0.4957,0.9829,0.5043,2026-07-31 00:00:00
0.4908,0.9639,0.5092,2026-07-31 01:00:00
0.4896,0.9592,0.5104,2026-07-31 02:00:00
0.4892,0.9577,0.5108,2026-07-31 03:00:00
0.4887,0.9558,0.5113,2026-07-31 04:00:00
0.4921,0.9689,0.5079,2026-07-31 05:00:00
0.4903,0.9619,0.5097,2026-07-31 06:00:00
0.4927,0.9712,0.5073,2026-07-31 07:00:00
0.4921,0.9689,0.5079,2026-07-31 08:00:00
