sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,time
4988346.44000000,70721066.59167415,0.00000000,2026-07-28 20:00:00
4908052.35000000,72050208.49800000,0.00000000,2026-07-28 21:00:00
4839332.86000000,72783566.21440000,0.00000000,2026-07-28 22:00:00
6065356.32000000,81397081.81440000,0.00000000,2026-07-28 23:00:00
6214464.76000000,94024851.81880000,0.00000000,2026-07-29 00:00:00
6109623.03000000,91094479.37730000,0.00000000,2026-07-29 01:00:00
8393576.42000000,107521713.94020000,0.00000000,2026-07-29 02:00:00
11312222.48000000,133371103.03920000,0.00000000,2026-07-29 03:00:00
12497391.55000000,143398427.31909642,0.00000000,2026-07-29 04:00:00
14301295.65000000,161958183.60380253,0.00000000,2026-07-29 05:00:00
13151159.95000000,157419384.60150000,0.00000000,2026-07-29 06:00:00
12778300.60000000,160367672.53000000,0.00000000,2026-07-29 07:00:00
12314965.92000000,156747181.98570680,0.00000000,2026-07-29 08:00:00
12330149.37000000,155113279.07460000,0.00000000,2026-07-29 09:00:00
12085953.36000000,161347477.35600000,0.00000000,2026-07-29 10:00:00
11965514.41000000,153693015.65360743,0.00000000,2026-07-29 11:00:00
11971293.31000000,161711039.81373280,0.00000000,2026-07-29 12:00:00
11894762.86000000,155629612.77703667,0.00000000,2026-07-29 13:00:00
11476539.46000000,153441332.58020000,0.00000000,2026-07-29 14:00:00
12418389.69000000,155478238.91880000,0.00000000,2026-07-29 15:00:00
12338213.28000000,153240608.93760000,0.00000000,2026-07-29 16:00:00
12714427.31000000,159360486.85250852,0.00000000,2026-07-29 17:00:00
12284023.73000000,160109628.10036862,0.00000000,2026-07-29 18:00:00
11558418.43000000,169434885.23933700,0.00000000,2026-07-29 19:00:00
12221327.00000000,148091714.58271825,0.00000000,2026-07-29 20:00:00
11960483.15000000,140535677.01250000,0.00000000,2026-07-29 21:00:00
12089692.48000000,141563016.83543160,0.00000000,2026-07-29 22:00:00
11992490.74000000,147214214.27204064,0.00000000,2026-07-29 23:00:00
12039669.79000000,148486542.74774602,0.00000000,2026-07-30 00:00:00
12636233.08000000,157301321.71854820,0.00000000,2026-07-30 01:00:00
12098516.56000000,166215763.02760142,0.00000000,2026-07-30 02:00:00
12849260.23000000,159202334.24970000,0.00000000,2026-07-30 03:00:00
12974482.23000000,158476027.33394632,0.00000000,2026-07-30 04:00:00
13381865.92000000,158945149.85388630,0.00000000,2026-07-30 05:00:00
13563812.86000000,163850859.34880000,0.00000000,2026-07-30 06:00:00
13754143.95000000,161473649.97300000,0.00000000,2026-07-30 07:00:00
13877785.77000000,161676204.22050000,0.00000000,2026-07-30 08:00:00
13869209.33000000,165320975.21360000,0.00000000,2026-07-30 09:00:00
13868217.26000000,167687165.82044712,0.00000000,2026-07-30 10:00:00
13682425.83000000,171445147.89273226,0.00000000,2026-07-30 11:00:00
13689207.78000000,178380417.17527792,0.00000000,2026-07-30 12:00:00
13312853.05000000,181440661.87844387,0.00000000,2026-07-30 13:00:00
11468497.36000000,170719961.21451584,0.00000000,2026-07-30 14:00:00
9708458.71000000,145680294.93938443,0.00000000,2026-07-30 15:00:00
9880727.87000000,153546511.09980000,0.00000000,2026-07-30 16:00:00
9001772.67000000,141601697.52005620,0.00000000,2026-07-30 17:00:00
