buySellRatio,sellVol,buyVol,time
0.9806,1414718.8700,1387248.3000,2026-07-28 19:00:00
1.1276,734407.9000,828086.5800,2026-07-28 20:00:00
0.9548,381406.0200,364174.3700,2026-07-28 21:00:00
0.5328,3676225.7100,1958793.5800,2026-07-28 22:00:00
0.9399,2712960.4200,2549897.5400,2026-07-28 23:00:00
0.9938,4147345.0100,4121451.6500,2026-07-29 00:00:00
0.7422,8548633.4800,6344917.6800,2026-07-29 01:00:00
0.6169,11119325.6900,6859001.0300,2026-07-29 02:00:00
0.7980,5701931.7400,4550064.3200,2026-07-29 03:00:00
0.8550,9032507.2800,7723062.6600,2026-07-29 04:00:00
1.0520,6896824.9000,7255434.6000,2026-07-29 05:00:00
0.9959,4120900.3400,4103826.0900,2026-07-29 06:00:00
1.1054,1387388.5600,1533683.9000,2026-07-29 07:00:00
0.9353,1976231.1300,1848449.5600,2026-07-29 08:00:00
1.2303,2719694.2700,3345912.9300,2026-07-29 09:00:00
1.0009,1762297.6800,1763872.1000,2026-07-29 10:00:00
1.1141,1915045.2200,2133518.6900,2026-07-29 11:00:00
1.0965,2528853.6200,2772786.4800,2026-07-29 12:00:00
1.1217,6047415.6500,6783408.6700,2026-07-29 13:00:00
0.7983,8401852.5800,6706793.8200,2026-07-29 14:00:00
0.8707,4230127.2000,3683336.9300,2026-07-29 15:00:00
0.8131,4307059.3300,3502103.7200,2026-07-29 16:00:00
1.0971,2583879.5800,2834860.5300,2026-07-29 17:00:00
1.1749,6521439.1200,7662156.9800,2026-07-29 18:00:00
0.7964,6769299.7200,5390869.6200,2026-07-29 19:00:00
1.0535,3235599.4800,3408657.2600,2026-07-29 20:00:00
0.8831,1462519.4000,1291598.0800,2026-07-29 21:00:00
1.1702,1462686.5200,1711646.1100,2026-07-29 22:00:00
0.9899,1639943.6500,1623302.6800,2026-07-29 23:00:00
0.9866,6423260.3300,6337290.5600,2026-07-30 00:00:00
1.0807,5233659.6100,5656174.3200,2026-07-30 01:00:00
0.8107,5790640.6100,4694550.4800,2026-07-30 02:00:00
0.9595,4474732.7700,4293367.0600,2026-07-30 03:00:00
0.8541,3287067.8200,2807420.2300,2026-07-30 04:00:00
0.9688,2804699.4800,2717269.5500,2026-07-30 05:00:00
0.7040,1725840.9800,1214952.6700,2026-07-30 06:00:00
0.9012,1116663.5400,1006317.9200,2026-07-30 07:00:00
0.9719,1685498.2800,1638214.4800,2026-07-30 08:00:00
1.0132,1279159.2200,1296082.5900,2026-07-30 09:00:00
1.1547,1741264.4800,2010677.3800,2026-07-30 10:00:00
1.1720,1751314.3800,2052510.2700,2026-07-30 11:00:00
1.2255,2287484.9500,2803262.9800,2026-07-30 12:00:00
1.7578,5492696.7600,9655214.2900,2026-07-30 13:00:00
1.2842,5350228.5800,6870819.6300,2026-07-30 14:00:00
1.2411,2882072.3500,3576919.8700,2026-07-30 15:00:00
1.3725,2469791.3000,3389677.3800,2026-07-30 16:00:00
1.0909,1470095.1100,1603698.6900,2026-07-30 17:00:00
0.8149,1125823.4000,917421.6100,2026-07-30 18:00:00
1.4005,1472110.7900,2061749.5900,2026-07-30 19:00:00
1.2902,1507195.0900,1944622.0000,2026-07-30 20:00:00
