buySellRatio,sellVol,buyVol,time
1.3289,66124.9200,87873.9500,2026-07-28 19:00:00
1.0572,110389.5500,116708.7600,2026-07-28 20:00:00
1.7060,114634.9300,195563.3200,2026-07-28 21:00:00
1.1281,193590.3000,218390.0800,2026-07-28 22:00:00
1.4483,126103.0300,182639.4400,2026-07-28 23:00:00
1.0696,278911.7000,298336.2100,2026-07-29 00:00:00
0.6235,245457.6400,153038.1200,2026-07-29 01:00:00
0.8545,180830.3300,154525.9600,2026-07-29 02:00:00
0.8814,186175.0100,164090.2500,2026-07-29 03:00:00
0.8181,302122.1500,247153.6500,2026-07-29 04:00:00
0.8538,169134.7100,144413.3300,2026-07-29 05:00:00
1.2424,105088.5300,130559.1700,2026-07-29 06:00:00
1.2177,74845.9100,91137.9900,2026-07-29 07:00:00
0.7970,160415.7300,127854.6600,2026-07-29 08:00:00
1.0523,125551.1700,132115.4100,2026-07-29 09:00:00
0.8336,165007.4600,137548.3200,2026-07-29 10:00:00
1.0025,84046.0800,84260.0700,2026-07-29 11:00:00
0.7523,165052.1100,124174.6900,2026-07-29 12:00:00
0.8998,228370.3700,205496.6800,2026-07-29 13:00:00
0.8805,261541.4300,230294.9500,2026-07-29 14:00:00
0.9299,304090.4000,282764.6800,2026-07-29 15:00:00
0.9094,401339.7300,364987.0000,2026-07-29 16:00:00
1.0805,196937.5800,212786.2300,2026-07-29 17:00:00
1.2199,520680.8900,635174.6500,2026-07-29 18:00:00
0.8474,415111.5700,351750.9300,2026-07-29 19:00:00
0.9771,333533.5400,325901.1900,2026-07-29 20:00:00
0.7518,240367.2000,180717.8900,2026-07-29 21:00:00
1.0450,144364.8400,150861.8500,2026-07-29 22:00:00
1.0274,101638.0200,104424.6300,2026-07-29 23:00:00
0.8856,165489.0300,146552.3000,2026-07-30 00:00:00
0.8591,176515.5600,151641.9300,2026-07-30 01:00:00
0.6434,129027.4800,83017.2400,2026-07-30 02:00:00
1.2593,74374.0400,93660.3500,2026-07-30 03:00:00
0.9997,72306.7200,72282.6300,2026-07-30 04:00:00
0.8403,125743.8900,105660.2100,2026-07-30 05:00:00
1.2891,67216.0800,86648.2400,2026-07-30 06:00:00
1.4538,81201.3000,118050.4300,2026-07-30 07:00:00
0.9884,134943.3700,133379.6400,2026-07-30 08:00:00
1.0615,343668.9300,364815.5700,2026-07-30 09:00:00
0.8427,107326.3700,90447.8700,2026-07-30 10:00:00
1.3431,310736.5000,417349.2700,2026-07-30 11:00:00
1.1534,279821.3300,322753.3700,2026-07-30 12:00:00
1.1913,350738.1700,417827.5100,2026-07-30 13:00:00
0.8609,303605.5300,261387.3500,2026-07-30 14:00:00
0.8060,149149.7400,120211.0400,2026-07-30 15:00:00
0.8690,92366.9700,80263.1200,2026-07-30 16:00:00
1.0939,83761.3200,91625.3400,2026-07-30 17:00:00
1.5410,113749.2400,175285.4200,2026-07-30 18:00:00
1.4567,78520.2700,114383.0300,2026-07-30 19:00:00
0.9961,152155.0700,151557.0000,2026-07-30 20:00:00
1.0303,69048.3900,71141.6200,2026-07-30 21:00:00
1.1314,97914.3400,110776.4300,2026-07-30 22:00:00
0.8237,173599.6800,142993.5000,2026-07-30 23:00:00
0.8991,146346.0500,131585.2800,2026-07-31 00:00:00
1.0409,278255.8800,289633.6900,2026-07-31 01:00:00
0.7986,231687.4800,185030.8100,2026-07-31 02:00:00
1.1321,222138.8800,251484.9200,2026-07-31 03:00:00
