sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,time
206528.14000000,36085735.25793729,0.00000000,2026-07-28 20:00:00
206560.39000000,36220767.93114032,0.00000000,2026-07-28 21:00:00
205873.35000000,36258414.40200000,0.00000000,2026-07-28 22:00:00
206155.60000000,35155578.82998454,0.00000000,2026-07-28 23:00:00
206508.56000000,36622994.27421662,0.00000000,2026-07-29 00:00:00
204252.90000000,36075147.19800000,0.00000000,2026-07-29 01:00:00
209155.77000000,36117120.73070851,0.00000000,2026-07-29 02:00:00
208046.95000000,35736224.60150000,0.00000000,2026-07-29 03:00:00
205182.87000000,34583486.37703002,0.00000000,2026-07-29 04:00:00
209628.19000000,35456512.05660000,0.00000000,2026-07-29 05:00:00
208769.21000000,35728762.59940000,0.00000000,2026-07-29 06:00:00
208985.96000000,36173379.81640000,0.00000000,2026-07-29 07:00:00
211606.47000000,36547114.13371176,0.00000000,2026-07-29 08:00:00
212462.32000000,36630024.33773881,0.00000000,2026-07-29 09:00:00
206047.05000000,36305490.21000000,0.00000000,2026-07-29 10:00:00
206189.55000000,35821078.72733168,0.00000000,2026-07-29 11:00:00
205971.04000000,35948594.98212537,0.00000000,2026-07-29 12:00:00
205977.64000000,35714462.99960000,0.00000000,2026-07-29 13:00:00
203495.10000000,35352430.37650157,0.00000000,2026-07-29 14:00:00
212987.22000000,35867425.38275655,0.00000000,2026-07-29 15:00:00
215741.92000000,35854285.45550510,0.00000000,2026-07-29 16:00:00
215505.51000000,35760231.49753675,0.00000000,2026-07-29 17:00:00
213856.35000000,35977053.76050000,0.00000000,2026-07-29 18:00:00
210124.44000000,36989962.98181029,0.00000000,2026-07-29 19:00:00
209303.79000000,34284493.32735378,0.00000000,2026-07-29 20:00:00
211201.33000000,33920373.19906561,0.00000000,2026-07-29 21:00:00
212467.98000000,34104243.68348210,0.00000000,2026-07-29 22:00:00
212934.24000000,34557097.80960000,0.00000000,2026-07-29 23:00:00
211401.28000000,34561995.26720000,0.00000000,2026-07-30 00:00:00
209976.57000000,34662224.82752864,0.00000000,2026-07-30 01:00:00
212077.15000000,35649373.64265367,0.00000000,2026-07-30 02:00:00
212062.59000000,34848245.41470000,0.00000000,2026-07-30 03:00:00
210243.98000000,34572520.07120000,0.00000000,2026-07-30 04:00:00
209507.81000000,33919590.47182491,0.00000000,2026-07-30 05:00:00
209276.01000000,34225439.55089199,0.00000000,2026-07-30 06:00:00
209438.49000000,33996055.69680000,0.00000000,2026-07-30 07:00:00
210015.72000000,33900737.52240000,0.00000000,2026-07-30 08:00:00
209061.81000000,34113490.11433224,0.00000000,2026-07-30 09:00:00
210853.40000000,34630562.41600000,0.00000000,2026-07-30 10:00:00
209461.89000000,35064830.24865240,0.00000000,2026-07-30 11:00:00
205686.91000000,34896063.58208978,0.00000000,2026-07-30 12:00:00
206696.58000000,36183401.52102774,0.00000000,2026-07-30 13:00:00
209043.45000000,37790874.89100000,0.00000000,2026-07-30 14:00:00
193999.28000000,35121629.65120000,0.00000000,2026-07-30 15:00:00
185933.12000000,33862139.81440000,0.00000000,2026-07-30 16:00:00
180061.93000000,32684841.53360000,0.00000000,2026-07-30 17:00:00
178206.52000000,32334331.06147951,0.00000000,2026-07-30 18:00:00
177114.81000000,31966534.72970687,0.00000000,2026-07-30 19:00:00
174756.25000000,32033935.84948500,0.00000000,2026-07-30 20:00:00
171725.14000000,32442313.44880000,0.00000000,2026-07-30 21:00:00
172684.78000000,33461358.86623850,0.00000000,2026-07-30 22:00:00
171492.93000000,33349230.84724027,0.00000000,2026-07-30 23:00:00
169662.62000000,33186839.58809684,0.00000000,2026-07-31 00:00:00
168165.77000000,33276642.56760000,0.00000000,2026-07-31 01:00:00
168237.89000000,32703909.71826298,0.00000000,2026-07-31 02:00:00
166148.00000000,32069643.51496596,0.00000000,2026-07-31 03:00:00
165457.67000000,31900238.77600000,0.00000000,2026-07-31 04:00:00
165086.33000000,32297443.19378177,0.00000000,2026-07-31 05:00:00
165477.58000000,32709383.42648193,0.00000000,2026-07-31 06:00:00
164779.84000000,32065101.22172862,0.00000000,2026-07-31 07:00:00
164817.59000000,32411317.37897971,0.00000000,2026-07-31 08:00:00
163553.18000000,32501833.59370996,0.00000000,2026-07-31 09:00:00
162589.30000000,32017084.95600000,0.00000000,2026-07-31 10:00:00
162356.63000000,32065434.42500000,0.00000000,2026-07-31 11:00:00
162170.00000000,31860839.03855910,0.00000000,2026-07-31 12:00:00
160452.32000000,31013828.93280000,0.00000000,2026-07-31 13:00:00
155232.66000000,30004661.98386386,0.00000000,2026-07-31 14:00:00
153122.87000000,29563432.51090000,0.00000000,2026-07-31 15:00:00
152037.03000000,29102010.17506657,0.00000000,2026-07-31 16:00:00
151375.32000000,29081703.61290719,0.00000000,2026-07-31 17:00:00
149508.34000000,28941824.45720000,0.00000000,2026-07-31 18:00:00
148832.38000000,28772275.70160000,0.00000000,2026-07-31 19:00:00
143661.21000000,26997486.06718844,0.00000000,2026-07-31 20:00:00
