longAccount,longShortRatio,shortAccount,time
0.7654,3.2620,0.2346,2026-07-28 17:00:00
0.7653,3.2608,0.2347,2026-07-28 18:00:00
0.7670,3.2919,0.2330,2026-07-28 19:00:00
0.7555,3.0900,0.2445,2026-07-28 20:00:00
0.7532,3.0517,0.2468,2026-07-28 21:00:00
0.7531,3.0497,0.2469,2026-07-28 22:00:00
0.7450,2.9211,0.2550,2026-07-28 23:00:00
0.7422,2.8786,0.2578,2026-07-29 00:00:00
0.7415,2.8692,0.2585,2026-07-29 01:00:00
0.7429,2.8894,0.2571,2026-07-29 02:00:00
0.7424,2.8820,0.2576,2026-07-29 03:00:00
0.7426,2.8851,0.2574,2026-07-29 04:00:00
0.7557,3.0939,0.2443,2026-07-29 05:00:00
0.7559,3.0960,0.2441,2026-07-29 06:00:00
0.7559,3.0971,0.2441,2026-07-29 07:00:00
0.7589,3.1481,0.2411,2026-07-29 08:00:00
0.7568,3.1123,0.2432,2026-07-29 09:00:00
0.7492,2.9871,0.2508,2026-07-29 10:00:00
0.7453,2.9264,0.2547,2026-07-29 11:00:00
0.7479,2.9662,0.2521,2026-07-29 12:00:00
0.7499,2.9991,0.2501,2026-07-29 13:00:00
0.7511,3.0183,0.2489,2026-07-29 14:00:00
0.7502,3.0039,0.2498,2026-07-29 15:00:00
0.7470,2.9531,0.2530,2026-07-29 16:00:00
0.7462,2.9401,0.2538,2026-07-29 17:00:00
0.7314,2.7223,0.2686,2026-07-29 18:00:00
0.7367,2.7976,0.2633,2026-07-29 19:00:00
0.7183,2.5500,0.2817,2026-07-29 20:00:00
0.7065,2.4068,0.2935,2026-07-29 21:00:00
0.7023,2.3595,0.2977,2026-07-29 22:00:00
0.6854,2.1787,0.3146,2026-07-29 23:00:00
0.6977,2.3078,0.3023,2026-07-30 00:00:00
0.6821,2.1456,0.3179,2026-07-30 01:00:00
0.6834,2.1581,0.3166,2026-07-30 02:00:00
0.6839,2.1634,0.3161,2026-07-30 03:00:00
0.6871,2.1957,0.3129,2026-07-30 04:00:00
0.6832,2.1562,0.3168,2026-07-30 05:00:00
0.6795,2.1199,0.3205,2026-07-30 06:00:00
0.6790,2.1155,0.3210,2026-07-30 07:00:00
0.6792,2.1172,0.3208,2026-07-30 08:00:00
0.6672,2.0048,0.3328,2026-07-30 09:00:00
0.6585,1.9283,0.3415,2026-07-30 10:00:00
0.6491,1.8501,0.3509,2026-07-30 11:00:00
0.6395,1.7743,0.3605,2026-07-30 12:00:00
0.6365,1.7513,0.3635,2026-07-30 13:00:00
0.6124,1.5800,0.3876,2026-07-30 14:00:00
0.5621,1.2839,0.4379,2026-07-30 15:00:00
