longAccount,longShortRatio,shortAccount,time
0.6225,1.6490,0.3775,2026-07-28 20:00:00
0.6208,1.6371,0.3792,2026-07-28 21:00:00
0.6202,1.6330,0.3798,2026-07-28 22:00:00
0.6152,1.5988,0.3848,2026-07-28 23:00:00
0.6188,1.6233,0.3812,2026-07-29 00:00:00
0.6214,1.6413,0.3786,2026-07-29 01:00:00
0.6206,1.6357,0.3794,2026-07-29 02:00:00
0.6186,1.6219,0.3814,2026-07-29 03:00:00
0.6198,1.6302,0.3802,2026-07-29 04:00:00
0.6128,1.5826,0.3872,2026-07-29 05:00:00
0.6110,1.5707,0.3890,2026-07-29 06:00:00
0.6143,1.5927,0.3857,2026-07-29 07:00:00
0.6113,1.5727,0.3887,2026-07-29 08:00:00
0.6106,1.5681,0.3894,2026-07-29 09:00:00
0.6054,1.5342,0.3946,2026-07-29 10:00:00
0.6071,1.5452,0.3929,2026-07-29 11:00:00
0.6098,1.5628,0.3902,2026-07-29 12:00:00
0.6254,1.6695,0.3746,2026-07-29 13:00:00
0.6143,1.5927,0.3857,2026-07-29 14:00:00
0.6214,1.6413,0.3786,2026-07-29 15:00:00
0.6048,1.5304,0.3952,2026-07-29 16:00:00
0.6023,1.5145,0.3977,2026-07-29 17:00:00
0.5958,1.4740,0.4042,2026-07-29 18:00:00
0.6024,1.5151,0.3976,2026-07-29 19:00:00
0.6271,1.6817,0.3729,2026-07-29 20:00:00
0.6205,1.6350,0.3795,2026-07-29 21:00:00
0.6016,1.5100,0.3984,2026-07-29 22:00:00
0.6109,1.5700,0.3891,2026-07-29 23:00:00
0.6069,1.5439,0.3931,2026-07-30 00:00:00
0.6125,1.5806,0.3875,2026-07-30 01:00:00
0.6107,1.5687,0.3893,2026-07-30 02:00:00
0.6106,1.5681,0.3894,2026-07-30 03:00:00
0.6100,1.5641,0.3900,2026-07-30 04:00:00
0.6133,1.5860,0.3867,2026-07-30 05:00:00
0.6099,1.5634,0.3901,2026-07-30 06:00:00
0.6111,1.5714,0.3889,2026-07-30 07:00:00
0.6072,1.5458,0.3928,2026-07-30 08:00:00
0.6066,1.5419,0.3934,2026-07-30 09:00:00
0.5995,1.4969,0.4005,2026-07-30 10:00:00
0.6043,1.5272,0.3957,2026-07-30 11:00:00
0.6006,1.5038,0.3994,2026-07-30 12:00:00
0.6065,1.5413,0.3935,2026-07-30 13:00:00
0.6030,1.5189,0.3970,2026-07-30 14:00:00
0.6119,1.5767,0.3881,2026-07-30 15:00:00
0.6075,1.5478,0.3925,2026-07-30 16:00:00
0.6041,1.5259,0.3959,2026-07-30 17:00:00
0.6029,1.5183,0.3971,2026-07-30 18:00:00
0.6091,1.5582,0.3909,2026-07-30 19:00:00
0.6055,1.5349,0.3945,2026-07-30 20:00:00
0.6079,1.5504,0.3921,2026-07-30 21:00:00
0.6120,1.5773,0.3880,2026-07-30 22:00:00
0.6112,1.5720,0.3888,2026-07-30 23:00:00
0.6054,1.5342,0.3946,2026-07-31 00:00:00
0.6037,1.5233,0.3963,2026-07-31 01:00:00
0.6006,1.5038,0.3994,2026-07-31 02:00:00
0.6131,1.5846,0.3869,2026-07-31 03:00:00
0.5962,1.4765,0.4038,2026-07-31 04:00:00
0.5945,1.4661,0.4055,2026-07-31 05:00:00
0.5988,1.4925,0.4012,2026-07-31 06:00:00
0.6003,1.5019,0.3997,2026-07-31 07:00:00
0.6022,1.5138,0.3978,2026-07-31 08:00:00
0.6077,1.5491,0.3923,2026-07-31 09:00:00
0.6027,1.5170,0.3973,2026-07-31 10:00:00
0.5929,1.4564,0.4071,2026-07-31 11:00:00
0.5882,1.4284,0.4118,2026-07-31 12:00:00
0.5951,1.4697,0.4049,2026-07-31 13:00:00
0.6102,1.5654,0.3898,2026-07-31 14:00:00
0.6357,1.7450,0.3643,2026-07-31 15:00:00
0.6321,1.7181,0.3679,2026-07-31 16:00:00
0.6246,1.6638,0.3754,2026-07-31 17:00:00
0.6288,1.6940,0.3712,2026-07-31 18:00:00
0.6262,1.6752,0.3738,2026-07-31 19:00:00
0.6260,1.6738,0.3740,2026-07-31 20:00:00
0.6261,1.6745,0.3739,2026-07-31 21:00:00
0.6255,1.6702,0.3745,2026-07-31 22:00:00
0.6327,1.7226,0.3673,2026-07-31 23:00:00
0.6261,1.6745,0.3739,2026-08-01 00:00:00
0.6237,1.6575,0.3763,2026-08-01 01:00:00
0.6291,1.6961,0.3709,2026-08-01 02:00:00
0.6286,1.6925,0.3714,2026-08-01 03:00:00
0.6232,1.6539,0.3768,2026-08-01 04:00:00
0.6217,1.6434,0.3783,2026-08-01 05:00:00
0.6247,1.6645,0.3753,2026-08-01 06:00:00
0.6138,1.5893,0.3862,2026-08-01 07:00:00
0.6212,1.6399,0.3788,2026-08-01 08:00:00
0.6178,1.6164,0.3822,2026-08-01 09:00:00
0.6180,1.6178,0.3820,2026-08-01 10:00:00
0.6158,1.6028,0.3842,2026-08-01 11:00:00
0.6204,1.6344,0.3796,2026-08-01 12:00:00
0.6233,1.6546,0.3767,2026-08-01 13:00:00
0.6237,1.6575,0.3763,2026-08-01 14:00:00
0.6281,1.6889,0.3719,2026-08-01 15:00:00
0.6212,1.6399,0.3788,2026-08-01 16:00:00
0.6245,1.6631,0.3755,2026-08-01 17:00:00
0.6261,1.6745,0.3739,2026-08-01 18:00:00
0.6300,1.7027,0.3700,2026-08-01 19:00:00
0.6380,1.7624,0.3620,2026-08-01 20:00:00
0.6386,1.7670,0.3614,2026-08-01 21:00:00
0.6400,1.7778,0.3600,2026-08-01 22:00:00
0.6392,1.7716,0.3608,2026-08-01 23:00:00
0.6408,1.7840,0.3592,2026-08-02 00:00:00
0.6394,1.7732,0.3606,2026-08-02 01:00:00
0.6362,1.7488,0.3638,2026-08-02 02:00:00
0.6386,1.7670,0.3614,2026-08-02 03:00:00
0.6384,1.7655,0.3616,2026-08-02 04:00:00
0.6389,1.7693,0.3611,2026-08-02 05:00:00
0.6385,1.7663,0.3615,2026-08-02 06:00:00
0.6396,1.7747,0.3604,2026-08-02 07:00:00
0.6417,1.7910,0.3583,2026-08-02 08:00:00
0.6450,1.8169,0.3550,2026-08-02 09:00:00
0.6467,1.8305,0.3533,2026-08-02 10:00:00
0.6462,1.8265,0.3538,2026-08-02 11:00:00
0.6483,1.8433,0.3517,2026-08-02 12:00:00
0.6484,1.8441,0.3516,2026-08-02 13:00:00
0.6490,1.8490,0.3510,2026-08-02 14:00:00
0.6497,1.8547,0.3503,2026-08-02 15:00:00
0.6520,1.8736,0.3480,2026-08-02 16:00:00
0.6449,1.8161,0.3551,2026-08-02 17:00:00
0.6470,1.8329,0.3530,2026-08-02 18:00:00
0.6440,1.8090,0.3560,2026-08-02 19:00:00
0.6449,1.8161,0.3551,2026-08-02 20:00:00
0.6400,1.7778,0.3600,2026-08-02 21:00:00
0.6416,1.7902,0.3584,2026-08-02 22:00:00
0.6444,1.8121,0.3556,2026-08-02 23:00:00
0.6417,1.7910,0.3583,2026-08-03 00:00:00
0.6504,1.8604,0.3496,2026-08-03 01:00:00
0.6480,1.8409,0.3520,2026-08-03 02:00:00
0.6438,1.8074,0.3562,2026-08-03 03:00:00
0.6464,1.8281,0.3536,2026-08-03 04:00:00
0.6448,1.8153,0.3552,2026-08-03 05:00:00
0.6496,1.8539,0.3504,2026-08-03 06:00:00
0.6495,1.8531,0.3505,2026-08-03 07:00:00
0.6545,1.8944,0.3455,2026-08-03 08:00:00
0.6539,1.8893,0.3461,2026-08-03 09:00:00
0.6466,1.8297,0.3534,2026-08-03 10:00:00
0.6500,1.8571,0.3500,2026-08-03 11:00:00
0.6627,1.9647,0.3373,2026-08-03 12:00:00
0.6481,1.8417,0.3519,2026-08-03 13:00:00
0.6438,1.8074,0.3562,2026-08-03 14:00:00
0.6260,1.6738,0.3740,2026-08-03 15:00:00
0.6301,1.7034,0.3699,2026-08-03 16:00:00
0.6304,1.7056,0.3696,2026-08-03 17:00:00
0.6310,1.7100,0.3690,2026-08-03 18:00:00
0.6252,1.6681,0.3748,2026-08-03 19:00:00
0.6229,1.6518,0.3771,2026-08-03 20:00:00
0.6425,1.7972,0.3575,2026-08-03 21:00:00
0.6397,1.7755,0.3603,2026-08-03 22:00:00
0.6479,1.8401,0.3521,2026-08-03 23:00:00
0.6365,1.7510,0.3635,2026-08-04 00:00:00
0.6348,1.7382,0.3652,2026-08-04 01:00:00
0.6656,1.9904,0.3344,2026-08-04 02:00:00
0.6562,1.9087,0.3438,2026-08-04 03:00:00
0.6574,1.9189,0.3426,2026-08-04 04:00:00
0.6581,1.9248,0.3419,2026-08-04 05:00:00
0.6619,1.9577,0.3381,2026-08-04 06:00:00
0.6594,1.9360,0.3406,2026-08-04 07:00:00
0.6576,1.9206,0.3424,2026-08-04 08:00:00
0.6628,1.9656,0.3372,2026-08-04 09:00:00
0.6593,1.9351,0.3407,2026-08-04 10:00:00
0.6536,1.8868,0.3464,2026-08-04 11:00:00
0.6639,1.9753,0.3361,2026-08-04 12:00:00
0.6694,2.0248,0.3306,2026-08-04 13:00:00
0.6516,1.8703,0.3484,2026-08-04 14:00:00
0.6533,1.8843,0.3467,2026-08-04 15:00:00
0.6489,1.8482,0.3511,2026-08-04 16:00:00
0.6416,1.7902,0.3584,2026-08-04 17:00:00
0.6426,1.7980,0.3574,2026-08-04 18:00:00
0.6369,1.7541,0.3631,2026-08-04 19:00:00
0.6223,1.6476,0.3777,2026-08-04 20:00:00
0.6218,1.6441,0.3782,2026-08-04 21:00:00
0.6222,1.6469,0.3778,2026-08-04 22:00:00
0.6202,1.6330,0.3798,2026-08-04 23:00:00
0.6276,1.6853,0.3724,2026-08-05 00:00:00
0.6307,1.7078,0.3693,2026-08-05 01:00:00
0.6146,1.5947,0.3854,2026-08-05 02:00:00
0.6117,1.5753,0.3883,2026-08-05 03:00:00
0.6186,1.6219,0.3814,2026-08-05 04:00:00
0.6230,1.6525,0.3770,2026-08-05 05:00:00
0.6215,1.6420,0.3785,2026-08-05 06:00:00
0.6182,1.6192,0.3818,2026-08-05 07:00:00
0.6217,1.6434,0.3783,2026-08-05 08:00:00
0.6162,1.6055,0.3838,2026-08-05 09:00:00
0.6110,1.5707,0.3890,2026-08-05 10:00:00
0.6147,1.5954,0.3853,2026-08-05 11:00:00
0.6137,1.5887,0.3863,2026-08-05 12:00:00
0.6217,1.6434,0.3783,2026-08-05 13:00:00
0.6260,1.6738,0.3740,2026-08-05 14:00:00
0.6389,1.7693,0.3611,2026-08-05 15:00:00
0.6497,1.8547,0.3503,2026-08-05 16:00:00
0.6322,1.7189,0.3678,2026-08-05 17:00:00
0.6276,1.6853,0.3724,2026-08-05 18:00:00
0.6231,1.6532,0.3769,2026-08-05 19:00:00
0.6167,1.6089,0.3833,2026-08-05 20:00:00
0.6245,1.6631,0.3755,2026-08-05 21:00:00
0.6206,1.6357,0.3794,2026-08-05 22:00:00
0.6224,1.6483,0.3776,2026-08-05 23:00:00
0.6170,1.6110,0.3830,2026-08-06 00:00:00
0.6152,1.5988,0.3848,2026-08-06 01:00:00
0.6201,1.6323,0.3799,2026-08-06 02:00:00
0.6221,1.6462,0.3779,2026-08-06 03:00:00
0.6224,1.6483,0.3776,2026-08-06 04:00:00
0.6189,1.6240,0.3811,2026-08-06 05:00:00
0.6232,1.6539,0.3768,2026-08-06 06:00:00
0.6220,1.6455,0.3780,2026-08-06 07:00:00
0.6209,1.6378,0.3791,2026-08-06 08:00:00
0.6202,1.6330,0.3798,2026-08-06 09:00:00
0.6182,1.6192,0.3818,2026-08-06 10:00:00
0.6163,1.6062,0.3837,2026-08-06 11:00:00
0.6185,1.6212,0.3815,2026-08-06 12:00:00
0.6269,1.6802,0.3731,2026-08-06 13:00:00
0.6241,1.6603,0.3759,2026-08-06 14:00:00
0.6217,1.6434,0.3783,2026-08-06 15:00:00
0.6303,1.7049,0.3697,2026-08-06 16:00:00
0.6282,1.6896,0.3718,2026-08-06 17:00:00
0.6309,1.7093,0.3691,2026-08-06 18:00:00
0.6410,1.7855,0.3590,2026-08-06 19:00:00
0.6299,1.7020,0.3701,2026-08-06 20:00:00
0.6264,1.6767,0.3736,2026-08-06 21:00:00
0.6332,1.7263,0.3668,2026-08-06 22:00:00
0.6397,1.7755,0.3603,2026-08-06 23:00:00
0.6374,1.7579,0.3626,2026-08-07 00:00:00
0.6356,1.7442,0.3644,2026-08-07 01:00:00
0.6249,1.6660,0.3751,2026-08-07 02:00:00
0.6286,1.6925,0.3714,2026-08-07 03:00:00
0.6291,1.6961,0.3709,2026-08-07 04:00:00
0.6360,1.7473,0.3640,2026-08-07 05:00:00
0.6351,1.7405,0.3649,2026-08-07 06:00:00
0.6344,1.7352,0.3656,2026-08-07 07:00:00
0.6379,1.7617,0.3621,2026-08-07 08:00:00
0.6365,1.7510,0.3635,2026-08-07 09:00:00
0.6257,1.6717,0.3743,2026-08-07 10:00:00
0.6245,1.6631,0.3755,2026-08-07 11:00:00
0.6303,1.7049,0.3697,2026-08-07 12:00:00
0.6200,1.6316,0.3800,2026-08-07 13:00:00
0.6076,1.5484,0.3924,2026-08-07 14:00:00
0.6082,1.5523,0.3918,2026-08-07 15:00:00
0.6070,1.5445,0.3930,2026-08-07 16:00:00
0.6133,1.5860,0.3867,2026-08-07 17:00:00
0.6261,1.6745,0.3739,2026-08-07 18:00:00
0.6275,1.6846,0.3725,2026-08-07 19:00:00
0.6229,1.6518,0.3771,2026-08-07 20:00:00
0.6236,1.6567,0.3764,2026-08-07 21:00:00
0.6263,1.6759,0.3737,2026-08-07 22:00:00
0.6320,1.7174,0.3680,2026-08-07 23:00:00
0.6295,1.6991,0.3705,2026-08-08 00:00:00
0.6333,1.7270,0.3667,2026-08-08 01:00:00
0.6326,1.7218,0.3674,2026-08-08 02:00:00
0.6257,1.6717,0.3743,2026-08-08 03:00:00
0.6271,1.6817,0.3729,2026-08-08 04:00:00
0.6284,1.6911,0.3716,2026-08-08 05:00:00
0.6291,1.6961,0.3709,2026-08-08 06:00:00
0.6278,1.6867,0.3722,2026-08-08 07:00:00
0.6267,1.6788,0.3733,2026-08-08 08:00:00
0.6259,1.6731,0.3741,2026-08-08 09:00:00
0.6211,1.6392,0.3789,2026-08-08 10:00:00
