longAccount,longShortRatio,shortAccount,time
0.7648,3.2517,0.2352,2026-07-28 20:00:00
0.7714,3.3745,0.2286,2026-07-28 21:00:00
0.7677,3.3048,0.2323,2026-07-28 22:00:00
0.7709,3.3649,0.2291,2026-07-28 23:00:00
0.7663,3.2790,0.2337,2026-07-29 00:00:00
0.7621,3.2034,0.2379,2026-07-29 01:00:00
0.7673,3.2974,0.2327,2026-07-29 02:00:00
0.7726,3.3975,0.2274,2026-07-29 03:00:00
0.7753,3.4504,0.2247,2026-07-29 04:00:00
0.8106,4.2798,0.1894,2026-07-29 05:00:00
0.8069,4.1787,0.1931,2026-07-29 06:00:00
0.8053,4.1361,0.1947,2026-07-29 07:00:00
0.8018,4.0454,0.1982,2026-07-29 08:00:00
0.7981,3.9529,0.2019,2026-07-29 09:00:00
0.7822,3.5914,0.2178,2026-07-29 10:00:00
0.7775,3.4944,0.2225,2026-07-29 11:00:00
0.7787,3.5188,0.2213,2026-07-29 12:00:00
0.7778,3.5005,0.2222,2026-07-29 13:00:00
0.7762,3.4683,0.2238,2026-07-29 14:00:00
0.7993,3.9826,0.2007,2026-07-29 15:00:00
0.8102,4.2687,0.1898,2026-07-29 16:00:00
0.8263,4.7571,0.1737,2026-07-29 17:00:00
0.8342,5.0314,0.1658,2026-07-29 18:00:00
0.8351,5.0643,0.1649,2026-07-29 19:00:00
0.8271,4.7837,0.1729,2026-07-29 20:00:00
0.8220,4.6180,0.1780,2026-07-29 21:00:00
0.8268,4.7737,0.1732,2026-07-29 22:00:00
0.8280,4.8140,0.1720,2026-07-29 23:00:00
0.8304,4.8962,0.1696,2026-07-30 00:00:00
0.8326,4.9737,0.1674,2026-07-30 01:00:00
0.8175,4.4795,0.1825,2026-07-30 02:00:00
0.8188,4.5188,0.1812,2026-07-30 03:00:00
0.8215,4.6022,0.1785,2026-07-30 04:00:00
0.8211,4.5897,0.1789,2026-07-30 05:00:00
0.8226,4.6370,0.1774,2026-07-30 06:00:00
0.8221,4.6211,0.1779,2026-07-30 07:00:00
0.8243,4.6915,0.1757,2026-07-30 08:00:00
0.8157,4.4259,0.1843,2026-07-30 09:00:00
0.8192,4.5310,0.1808,2026-07-30 10:00:00
0.8163,4.4437,0.1837,2026-07-30 11:00:00
0.8049,4.1256,0.1951,2026-07-30 12:00:00
0.7848,3.6468,0.2152,2026-07-30 13:00:00
0.7500,3.0000,0.2500,2026-07-30 14:00:00
0.6658,1.9922,0.3342,2026-07-30 15:00:00
0.6475,1.8369,0.3525,2026-07-30 16:00:00
0.6197,1.6295,0.3803,2026-07-30 17:00:00
0.6060,1.5381,0.3940,2026-07-30 18:00:00
0.5952,1.4704,0.4048,2026-07-30 19:00:00
0.6019,1.5119,0.3981,2026-07-30 20:00:00
0.5903,1.4408,0.4097,2026-07-30 21:00:00
0.5728,1.3408,0.4272,2026-07-30 22:00:00
0.5683,1.3164,0.4317,2026-07-30 23:00:00
0.5559,1.2517,0.4441,2026-07-31 00:00:00
0.5442,1.1939,0.4558,2026-07-31 01:00:00
0.5317,1.1354,0.4683,2026-07-31 02:00:00
0.5323,1.1381,0.4677,2026-07-31 03:00:00
0.5276,1.1169,0.4724,2026-07-31 04:00:00
0.5319,1.1363,0.4681,2026-07-31 05:00:00
0.5299,1.1272,0.4701,2026-07-31 06:00:00
0.5192,1.0799,0.4808,2026-07-31 07:00:00
0.5137,1.0563,0.4863,2026-07-31 08:00:00
0.5136,1.0559,0.4864,2026-07-31 09:00:00
0.4991,0.9964,0.5009,2026-07-31 10:00:00
0.4972,0.9889,0.5028,2026-07-31 11:00:00
0.4960,0.9841,0.5040,2026-07-31 12:00:00
0.4922,0.9693,0.5078,2026-07-31 13:00:00
0.5070,1.0284,0.4930,2026-07-31 14:00:00
0.5794,1.3776,0.4206,2026-07-31 15:00:00
0.6019,1.5119,0.3981,2026-07-31 16:00:00
0.6186,1.6219,0.3814,2026-07-31 17:00:00
0.6214,1.6413,0.3786,2026-07-31 18:00:00
0.6208,1.6371,0.3792,2026-07-31 19:00:00
0.6240,1.6596,0.3760,2026-07-31 20:00:00
0.6268,1.6795,0.3732,2026-07-31 21:00:00
0.6312,1.7115,0.3688,2026-07-31 22:00:00
0.6362,1.7488,0.3638,2026-07-31 23:00:00
0.6338,1.7307,0.3662,2026-08-01 00:00:00
0.6371,1.7556,0.3629,2026-08-01 01:00:00
0.6416,1.7902,0.3584,2026-08-01 02:00:00
0.6476,1.8377,0.3524,2026-08-01 03:00:00
0.6503,1.8596,0.3497,2026-08-01 04:00:00
0.6507,1.8629,0.3493,2026-08-01 05:00:00
0.6539,1.8893,0.3461,2026-08-01 06:00:00
0.6521,1.8744,0.3479,2026-08-01 07:00:00
0.6556,1.9036,0.3444,2026-08-01 08:00:00
0.6543,1.8927,0.3457,2026-08-01 09:00:00
0.6636,1.9727,0.3364,2026-08-01 10:00:00
0.6632,1.9691,0.3368,2026-08-01 11:00:00
0.6672,2.0048,0.3328,2026-08-01 12:00:00
0.6675,2.0075,0.3325,2026-08-01 13:00:00
0.6679,2.0111,0.3321,2026-08-01 14:00:00
0.6683,2.0148,0.3317,2026-08-01 15:00:00
0.6760,2.0864,0.3240,2026-08-01 16:00:00
0.6795,2.1201,0.3205,2026-08-01 17:00:00
0.6650,1.9851,0.3350,2026-08-01 18:00:00
0.6557,1.9044,0.3443,2026-08-01 19:00:00
0.6587,1.9300,0.3413,2026-08-01 20:00:00
0.6596,1.9377,0.3404,2026-08-01 21:00:00
0.6664,1.9976,0.3336,2026-08-01 22:00:00
0.6632,1.9691,0.3368,2026-08-01 23:00:00
0.6598,1.9394,0.3402,2026-08-02 00:00:00
0.6621,1.9595,0.3379,2026-08-02 01:00:00
0.6620,1.9586,0.3380,2026-08-02 02:00:00
0.6329,1.7241,0.3671,2026-08-02 03:00:00
0.6394,1.7732,0.3606,2026-08-02 04:00:00
0.6407,1.7832,0.3593,2026-08-02 05:00:00
0.6399,1.7770,0.3601,2026-08-02 06:00:00
0.6385,1.7663,0.3615,2026-08-02 07:00:00
0.6279,1.6874,0.3721,2026-08-02 08:00:00
0.6245,1.6631,0.3755,2026-08-02 09:00:00
0.6226,1.6497,0.3774,2026-08-02 10:00:00
0.6223,1.6476,0.3777,2026-08-02 11:00:00
0.6155,1.6008,0.3845,2026-08-02 12:00:00
0.6240,1.6596,0.3760,2026-08-02 13:00:00
0.6207,1.6364,0.3793,2026-08-02 14:00:00
0.6201,1.6323,0.3799,2026-08-02 15:00:00
0.6199,1.6309,0.3801,2026-08-02 16:00:00
0.6226,1.6497,0.3774,2026-08-02 17:00:00
0.6176,1.6151,0.3824,2026-08-02 18:00:00
0.6174,1.6137,0.3826,2026-08-02 19:00:00
0.6170,1.6110,0.3830,2026-08-02 20:00:00
0.6142,1.5920,0.3858,2026-08-02 21:00:00
0.6136,1.5880,0.3864,2026-08-02 22:00:00
0.6123,1.5793,0.3877,2026-08-02 23:00:00
0.6162,1.6055,0.3838,2026-08-03 00:00:00
0.6139,1.5900,0.3861,2026-08-03 01:00:00
0.6124,1.5800,0.3876,2026-08-03 02:00:00
0.6117,1.5753,0.3883,2026-08-03 03:00:00
0.6088,1.5562,0.3912,2026-08-03 04:00:00
0.6259,1.6731,0.3741,2026-08-03 05:00:00
0.6256,1.6709,0.3744,2026-08-03 06:00:00
0.6142,1.5920,0.3858,2026-08-03 07:00:00
0.5987,1.4919,0.4013,2026-08-03 08:00:00
0.6261,1.6745,0.3739,2026-08-03 09:00:00
0.6297,1.7005,0.3703,2026-08-03 10:00:00
0.6567,1.9129,0.3433,2026-08-03 11:00:00
0.6615,1.9542,0.3385,2026-08-03 12:00:00
0.6809,2.1338,0.3191,2026-08-03 13:00:00
0.7110,2.4602,0.2890,2026-08-03 14:00:00
0.7034,2.3715,0.2966,2026-08-03 15:00:00
0.6958,2.2873,0.3042,2026-08-03 16:00:00
0.6871,2.1959,0.3129,2026-08-03 17:00:00
0.6868,2.1928,0.3132,2026-08-03 18:00:00
0.6833,2.1576,0.3167,2026-08-03 19:00:00
0.6818,2.1427,0.3182,2026-08-03 20:00:00
0.6854,2.1786,0.3146,2026-08-03 21:00:00
0.6808,2.1328,0.3192,2026-08-03 22:00:00
0.6802,2.1270,0.3198,2026-08-03 23:00:00
0.6769,2.0950,0.3231,2026-08-04 00:00:00
0.6327,1.7226,0.3673,2026-08-04 01:00:00
0.6439,1.8082,0.3561,2026-08-04 02:00:00
0.6284,1.6911,0.3716,2026-08-04 03:00:00
0.6233,1.6546,0.3767,2026-08-04 04:00:00
0.6251,1.6674,0.3749,2026-08-04 05:00:00
0.6337,1.7300,0.3663,2026-08-04 06:00:00
0.6104,1.5667,0.3896,2026-08-04 07:00:00
0.6028,1.5176,0.3972,2026-08-04 08:00:00
0.5989,1.4931,0.4011,2026-08-04 09:00:00
0.6109,1.5700,0.3891,2026-08-04 10:00:00
0.6109,1.5700,0.3891,2026-08-04 11:00:00
0.6018,1.5113,0.3982,2026-08-04 12:00:00
0.5894,1.4355,0.4106,2026-08-04 13:00:00
0.5637,1.2920,0.4363,2026-08-04 14:00:00
0.5504,1.2242,0.4496,2026-08-04 15:00:00
0.4623,0.8598,0.5377,2026-08-04 16:00:00
0.4636,0.8643,0.5364,2026-08-04 17:00:00
0.4570,0.8416,0.5430,2026-08-04 18:00:00
0.4540,0.8315,0.5460,2026-08-04 19:00:00
0.4508,0.8208,0.5492,2026-08-04 20:00:00
0.4464,0.8064,0.5536,2026-08-04 21:00:00
0.4460,0.8051,0.5540,2026-08-04 22:00:00
0.4507,0.8205,0.5493,2026-08-04 23:00:00
0.4455,0.8034,0.5545,2026-08-05 00:00:00
0.4376,0.7781,0.5624,2026-08-05 01:00:00
0.4389,0.7822,0.5611,2026-08-05 02:00:00
0.4392,0.7832,0.5608,2026-08-05 03:00:00
0.4361,0.7734,0.5639,2026-08-05 04:00:00
0.4298,0.7538,0.5702,2026-08-05 05:00:00
0.4381,0.7797,0.5619,2026-08-05 06:00:00
0.4385,0.7809,0.5615,2026-08-05 07:00:00
0.4333,0.7646,0.5667,2026-08-05 08:00:00
0.4439,0.7982,0.5561,2026-08-05 09:00:00
0.4482,0.8123,0.5518,2026-08-05 10:00:00
0.4454,0.8031,0.5546,2026-08-05 11:00:00
0.4539,0.8312,0.5461,2026-08-05 12:00:00
0.4626,0.8608,0.5374,2026-08-05 13:00:00
0.4272,0.7458,0.5728,2026-08-05 14:00:00
0.3901,0.6396,0.6099,2026-08-05 15:00:00
0.3669,0.5795,0.6331,2026-08-05 16:00:00
0.3641,0.5726,0.6359,2026-08-05 17:00:00
0.3679,0.5820,0.6321,2026-08-05 18:00:00
0.3652,0.5753,0.6348,2026-08-05 19:00:00
0.3649,0.5746,0.6351,2026-08-05 20:00:00
0.3953,0.6537,0.6047,2026-08-05 21:00:00
0.3674,0.5808,0.6326,2026-08-05 22:00:00
0.3761,0.6028,0.6239,2026-08-05 23:00:00
0.3839,0.6231,0.6161,2026-08-06 00:00:00
0.3931,0.6477,0.6069,2026-08-06 01:00:00
0.4392,0.7832,0.5608,2026-08-06 02:00:00
0.4478,0.8109,0.5522,2026-08-06 03:00:00
0.4518,0.8242,0.5482,2026-08-06 04:00:00
0.4559,0.8379,0.5441,2026-08-06 05:00:00
0.4594,0.8498,0.5406,2026-08-06 06:00:00
0.4716,0.8925,0.5284,2026-08-06 07:00:00
0.4737,0.9001,0.5263,2026-08-06 08:00:00
0.3993,0.6647,0.6007,2026-08-06 09:00:00
0.4013,0.6703,0.5987,2026-08-06 10:00:00
0.4165,0.7138,0.5835,2026-08-06 11:00:00
0.4252,0.7397,0.5748,2026-08-06 12:00:00
0.4223,0.7310,0.5777,2026-08-06 13:00:00
0.5250,1.1053,0.4750,2026-08-06 14:00:00
0.4072,0.6869,0.5928,2026-08-06 15:00:00
0.4152,0.7100,0.5848,2026-08-06 16:00:00
0.4249,0.7388,0.5751,2026-08-06 17:00:00
0.4303,0.7553,0.5697,2026-08-06 18:00:00
0.3958,0.6551,0.6042,2026-08-06 19:00:00
0.3940,0.6502,0.6060,2026-08-06 20:00:00
0.3975,0.6598,0.6025,2026-08-06 21:00:00
0.4013,0.6703,0.5987,2026-08-06 22:00:00
0.4035,0.6764,0.5965,2026-08-06 23:00:00
0.4074,0.6875,0.5926,2026-08-07 00:00:00
0.4063,0.6844,0.5937,2026-08-07 01:00:00
0.4105,0.6964,0.5895,2026-08-07 02:00:00
0.4171,0.7156,0.5829,2026-08-07 03:00:00
0.4161,0.7126,0.5839,2026-08-07 04:00:00
0.4145,0.7079,0.5855,2026-08-07 05:00:00
0.4207,0.7262,0.5793,2026-08-07 06:00:00
0.4320,0.7606,0.5680,2026-08-07 07:00:00
0.4669,0.8758,0.5331,2026-08-07 08:00:00
0.4649,0.8688,0.5351,2026-08-07 09:00:00
0.4641,0.8660,0.5359,2026-08-07 10:00:00
0.4706,0.8889,0.5294,2026-08-07 11:00:00
0.4677,0.8786,0.5323,2026-08-07 12:00:00
0.4696,0.8854,0.5304,2026-08-07 13:00:00
0.5047,1.0190,0.4953,2026-08-07 14:00:00
0.6318,1.7159,0.3682,2026-08-07 15:00:00
0.6301,1.7034,0.3699,2026-08-07 16:00:00
0.6244,1.6624,0.3756,2026-08-07 17:00:00
0.6257,1.6717,0.3743,2026-08-07 18:00:00
0.6190,1.6247,0.3810,2026-08-07 19:00:00
0.6189,1.6240,0.3811,2026-08-07 20:00:00
0.6195,1.6281,0.3805,2026-08-07 21:00:00
0.6218,1.6441,0.3782,2026-08-07 22:00:00
0.6221,1.6462,0.3779,2026-08-07 23:00:00
0.6175,1.6144,0.3825,2026-08-08 00:00:00
0.6182,1.6192,0.3818,2026-08-08 01:00:00
0.6250,1.6667,0.3750,2026-08-08 02:00:00
0.6234,1.6553,0.3766,2026-08-08 03:00:00
0.6284,1.6911,0.3716,2026-08-08 04:00:00
0.6280,1.6882,0.3720,2026-08-08 05:00:00
0.6244,1.6624,0.3756,2026-08-08 06:00:00
0.6284,1.6911,0.3716,2026-08-08 07:00:00
0.6268,1.6795,0.3732,2026-08-08 08:00:00
0.6239,1.6589,0.3761,2026-08-08 09:00:00
0.6244,1.6624,0.3756,2026-08-08 10:00:00
0.6255,1.6702,0.3745,2026-08-08 11:00:00
0.6284,1.6911,0.3716,2026-08-08 12:00:00
0.6286,1.6925,0.3714,2026-08-08 13:00:00
0.6272,1.6824,0.3728,2026-08-08 14:00:00
0.6251,1.6674,0.3749,2026-08-08 15:00:00
0.6284,1.6911,0.3716,2026-08-08 16:00:00
0.6285,1.6918,0.3715,2026-08-08 17:00:00
0.6303,1.7049,0.3697,2026-08-08 18:00:00
0.6297,1.7005,0.3703,2026-08-08 19:00:00
0.6308,1.7086,0.3692,2026-08-08 20:00:00
0.6306,1.7071,0.3694,2026-08-08 21:00:00
0.6313,1.7122,0.3687,2026-08-08 22:00:00
0.6277,1.6860,0.3723,2026-08-08 23:00:00
0.6262,1.6752,0.3738,2026-08-09 00:00:00
0.6240,1.6596,0.3760,2026-08-09 01:00:00
0.6200,1.6316,0.3800,2026-08-09 02:00:00
0.6165,1.6076,0.3835,2026-08-09 03:00:00
0.6196,1.6288,0.3804,2026-08-09 04:00:00
0.6216,1.6427,0.3784,2026-08-09 05:00:00
0.6166,1.6082,0.3834,2026-08-09 06:00:00
0.6190,1.6247,0.3810,2026-08-09 07:00:00
0.6234,1.6553,0.3766,2026-08-09 08:00:00
0.6230,1.6525,0.3770,2026-08-09 09:00:00
0.6244,1.6624,0.3756,2026-08-09 10:00:00
0.6215,1.6420,0.3785,2026-08-09 11:00:00
0.6214,1.6413,0.3786,2026-08-09 12:00:00
0.6265,1.6774,0.3735,2026-08-09 13:00:00
0.6258,1.6724,0.3742,2026-08-09 14:00:00
0.6215,1.6420,0.3785,2026-08-09 15:00:00
0.6262,1.6752,0.3738,2026-08-09 16:00:00
0.6293,1.6976,0.3707,2026-08-09 17:00:00
0.6275,1.6846,0.3725,2026-08-09 18:00:00
0.6325,1.7211,0.3675,2026-08-09 19:00:00
0.6329,1.7241,0.3671,2026-08-09 20:00:00
0.6315,1.7137,0.3685,2026-08-09 21:00:00
0.6342,1.7337,0.3658,2026-08-09 22:00:00
0.6325,1.7211,0.3675,2026-08-09 23:00:00
0.6262,1.6752,0.3738,2026-08-10 00:00:00
0.6262,1.6752,0.3738,2026-08-10 01:00:00
0.6224,1.6483,0.3776,2026-08-10 02:00:00
0.6256,1.6709,0.3744,2026-08-10 03:00:00
0.6259,1.6731,0.3741,2026-08-10 04:00:00
0.6315,1.7137,0.3685,2026-08-10 05:00:00
0.5704,1.3277,0.4296,2026-08-10 06:00:00
0.5686,1.3180,0.4314,2026-08-10 07:00:00
0.5674,1.3116,0.4326,2026-08-10 08:00:00
0.5699,1.3250,0.4301,2026-08-10 09:00:00
0.5732,1.3430,0.4268,2026-08-10 10:00:00
0.5744,1.3496,0.4256,2026-08-10 11:00:00
0.5823,1.3941,0.4177,2026-08-10 12:00:00
0.6425,1.7972,0.3575,2026-08-10 13:00:00
0.6346,1.7367,0.3654,2026-08-10 14:00:00
0.5829,1.3975,0.4171,2026-08-10 15:00:00
0.5758,1.3574,0.4242,2026-08-10 16:00:00
0.5550,1.2472,0.4450,2026-08-10 17:00:00
0.5508,1.2262,0.4492,2026-08-10 18:00:00
0.5529,1.2366,0.4471,2026-08-10 19:00:00
0.5635,1.2910,0.4365,2026-08-10 20:00:00
0.5752,1.3540,0.4248,2026-08-10 21:00:00
0.5618,1.2821,0.4382,2026-08-10 22:00:00
0.5591,1.2681,0.4409,2026-08-10 23:00:00
0.5638,1.2925,0.4362,2026-08-11 00:00:00
0.5651,1.2994,0.4349,2026-08-11 01:00:00
0.5626,1.2862,0.4374,2026-08-11 02:00:00
0.5571,1.2578,0.4429,2026-08-11 03:00:00
0.5558,1.2512,0.4442,2026-08-11 04:00:00
0.5542,1.2432,0.4458,2026-08-11 05:00:00
0.5544,1.2442,0.4456,2026-08-11 06:00:00
0.5556,1.2502,0.4444,2026-08-11 07:00:00
0.5576,1.2604,0.4424,2026-08-11 08:00:00
0.5694,1.3223,0.4306,2026-08-11 09:00:00
0.5709,1.3305,0.4291,2026-08-11 10:00:00
0.5728,1.3408,0.4272,2026-08-11 11:00:00
0.5768,1.3629,0.4232,2026-08-11 12:00:00
0.5651,1.2994,0.4349,2026-08-11 13:00:00
0.6029,1.5183,0.3971,2026-08-11 14:00:00
0.6147,1.5954,0.3853,2026-08-11 15:00:00
0.6005,1.5031,0.3995,2026-08-11 16:00:00
0.6028,1.5176,0.3972,2026-08-11 17:00:00
0.6049,1.5310,0.3951,2026-08-11 18:00:00
0.6019,1.5119,0.3981,2026-08-11 19:00:00
0.5689,1.3196,0.4311,2026-08-11 20:00:00
0.5629,1.2878,0.4371,2026-08-11 21:00:00
