sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,time
123839.93000000,3042756.94395042,0.00000000,2026-07-28 20:00:00
119467.28000000,2986682.00000000,0.00000000,2026-07-28 21:00:00
113151.61000000,2854815.12030000,0.00000000,2026-07-28 22:00:00
122692.19000000,2676621.13423578,0.00000000,2026-07-28 23:00:00
114397.99000000,2887079.32942281,0.00000000,2026-07-29 00:00:00
116283.15000000,2921032.72800000,0.00000000,2026-07-29 01:00:00
130320.84000000,2976503.21291152,0.00000000,2026-07-29 02:00:00
130010.65000000,2985044.52400000,0.00000000,2026-07-29 03:00:00
129587.75000000,2862765.05850479,0.00000000,2026-07-29 04:00:00
125098.93000000,2807245.20664231,0.00000000,2026-07-29 05:00:00
137882.00000000,3206226.80998672,0.00000000,2026-07-29 06:00:00
134130.61000000,3196332.43630000,0.00000000,2026-07-29 07:00:00
172927.86000000,4130356.77682565,0.00000000,2026-07-29 08:00:00
185527.74000000,4430402.43120000,0.00000000,2026-07-29 09:00:00
160389.69000000,4076824.23219914,0.00000000,2026-07-29 10:00:00
183838.52000000,4435147.02642559,0.00000000,2026-07-29 11:00:00
176525.82000000,4415435.95781966,0.00000000,2026-07-29 12:00:00
174667.18000000,4302052.64340000,0.00000000,2026-07-29 13:00:00
178865.75000000,4194019.49407280,0.00000000,2026-07-29 14:00:00
173884.95000000,3927945.37657515,0.00000000,2026-07-29 15:00:00
203151.37000000,4371869.26568421,0.00000000,2026-07-29 16:00:00
220701.43000000,4789037.60383451,0.00000000,2026-07-29 17:00:00
217492.69000000,4715241.51920000,0.00000000,2026-07-29 18:00:00
249017.53000000,5695030.91110000,0.00000000,2026-07-29 19:00:00
251709.59000000,4975395.60124845,0.00000000,2026-07-29 20:00:00
259565.54000000,4796771.17920000,0.00000000,2026-07-29 21:00:00
244322.66000000,4572606.94388616,0.00000000,2026-07-29 22:00:00
227898.47000000,4373586.00515885,0.00000000,2026-07-29 23:00:00
233962.03000000,4541587.33640592,0.00000000,2026-07-30 00:00:00
231490.19000000,4483747.02071161,0.00000000,2026-07-30 01:00:00
219683.52000000,4529874.18240000,0.00000000,2026-07-30 02:00:00
234911.94000000,4512658.36740000,0.00000000,2026-07-30 03:00:00
249285.82000000,4808506.71627237,0.00000000,2026-07-30 04:00:00
253523.02000000,4747078.53380651,0.00000000,2026-07-30 05:00:00
255654.06000000,4913248.95601656,0.00000000,2026-07-30 06:00:00
261949.49000000,4932376.33454109,0.00000000,2026-07-30 07:00:00
266809.20000000,4970655.39600000,0.00000000,2026-07-30 08:00:00
262594.02000000,4991912.32020000,0.00000000,2026-07-30 09:00:00
280834.35000000,5424578.04475056,0.00000000,2026-07-30 10:00:00
258756.64000000,5176248.81997589,0.00000000,2026-07-30 11:00:00
269170.63000000,5676808.58670000,0.00000000,2026-07-30 12:00:00
257204.09000000,5722791.00250000,0.00000000,2026-07-30 13:00:00
237722.02000000,5891009.84073148,0.00000000,2026-07-30 14:00:00
172097.71000000,4322039.68833541,0.00000000,2026-07-30 15:00:00
184067.88000000,4745269.94640000,0.00000000,2026-07-30 16:00:00
174155.58000000,4535011.30320000,0.00000000,2026-07-30 17:00:00
199456.82000000,5334288.83548383,0.00000000,2026-07-30 18:00:00
188989.50000000,4993970.29371156,0.00000000,2026-07-30 19:00:00
233564.98000000,6287569.26160000,0.00000000,2026-07-30 20:00:00
248250.20000000,6906762.46921602,0.00000000,2026-07-30 21:00:00
251991.87000000,7160296.20383291,0.00000000,2026-07-30 22:00:00
255634.83000000,7375658.24807453,0.00000000,2026-07-30 23:00:00
254553.10000000,7305673.97000000,0.00000000,2026-07-31 00:00:00
220743.88000000,6532077.16937945,0.00000000,2026-07-31 01:00:00
215074.48000000,6155431.61760000,0.00000000,2026-07-31 02:00:00
203223.01000000,5736985.57230000,0.00000000,2026-07-31 03:00:00
204012.64000000,5759276.82720000,0.00000000,2026-07-31 04:00:00
204915.00000000,5922043.50000000,0.00000000,2026-07-31 05:00:00
205053.46000000,6044976.00080000,0.00000000,2026-07-31 06:00:00
194328.40000000,5485632.97481024,0.00000000,2026-07-31 07:00:00
202266.18000000,5805117.42658685,0.00000000,2026-07-31 08:00:00
182606.64000000,5248114.83360000,0.00000000,2026-07-31 09:00:00
190038.42000000,5412294.20160000,0.00000000,2026-07-31 10:00:00
193898.97000000,5621131.14030000,0.00000000,2026-07-31 11:00:00
203483.67000000,5986489.57140000,0.00000000,2026-07-31 12:00:00
201857.95000000,5795341.74450000,0.00000000,2026-07-31 13:00:00
201869.76000000,5295043.80480000,0.00000000,2026-07-31 14:00:00
195768.93000000,4914231.70190236,0.00000000,2026-07-31 15:00:00
252819.92000000,6055037.08400000,0.00000000,2026-07-31 16:00:00
211088.10000000,5182116.40251447,0.00000000,2026-07-31 17:00:00
211823.92000000,5325253.34880000,0.00000000,2026-07-31 18:00:00
198020.33000000,4856418.64861570,0.00000000,2026-07-31 19:00:00
191659.31000000,4546158.83320000,0.00000000,2026-07-31 20:00:00
189417.25000000,4443541.96883999,0.00000000,2026-07-31 21:00:00
191802.15000000,4474088.56824317,0.00000000,2026-07-31 22:00:00
205360.70000000,4775302.03385333,0.00000000,2026-07-31 23:00:00
222364.54000000,5132173.58320000,0.00000000,2026-08-01 00:00:00
222945.76000000,5179030.00480000,0.00000000,2026-08-01 01:00:00
217833.45000000,5084034.35296876,0.00000000,2026-08-01 02:00:00
215464.94000000,5041069.13755609,0.00000000,2026-08-01 03:00:00
215225.47000000,5020066.99551424,0.00000000,2026-08-01 04:00:00
214453.74000000,5009683.36158476,0.00000000,2026-08-01 05:00:00
212980.55000000,4970966.03700000,0.00000000,2026-08-01 06:00:00
