buySellRatio,sellVol,buyVol,time
0.9590,57093.0700,54752.8600,2026-07-28 19:00:00
0.7463,49463.4200,36912.6100,2026-07-28 20:00:00
0.9747,7102.8500,6923.0700,2026-07-28 21:00:00
0.6447,55654.8900,35881.4700,2026-07-28 22:00:00
1.2015,31896.4600,38323.7700,2026-07-28 23:00:00
0.9972,50268.8200,50127.1200,2026-07-29 00:00:00
0.8375,23527.3900,19705.0800,2026-07-29 01:00:00
1.0302,19058.2900,19634.5300,2026-07-29 02:00:00
0.8533,22621.2900,19303.5200,2026-07-29 03:00:00
0.8675,77821.8300,67512.4400,2026-07-29 04:00:00
1.2890,22995.6300,29642.3000,2026-07-29 05:00:00
0.7537,24194.2300,18234.2500,2026-07-29 06:00:00
1.0929,21285.0400,23262.9400,2026-07-29 07:00:00
1.0135,35703.9500,36184.8200,2026-07-29 08:00:00
0.9524,52236.1400,49749.1200,2026-07-29 09:00:00
0.9380,30713.6000,28809.1200,2026-07-29 10:00:00
0.9027,27699.0300,25002.6500,2026-07-29 11:00:00
0.9081,33489.9000,30410.6900,2026-07-29 12:00:00
1.0111,140955.3000,142518.1800,2026-07-29 13:00:00
1.0256,119214.5300,122266.8800,2026-07-29 14:00:00
0.9108,83691.7100,76223.7200,2026-07-29 15:00:00
1.0183,71231.3400,72535.7100,2026-07-29 16:00:00
0.9638,54017.8600,52064.0300,2026-07-29 17:00:00
1.0190,132142.4600,134650.3700,2026-07-29 18:00:00
0.8750,130432.1400,114128.0300,2026-07-29 19:00:00
0.9530,98459.6100,93832.4800,2026-07-29 20:00:00
0.9062,38450.1600,34843.6700,2026-07-29 21:00:00
0.9577,23762.1700,22756.7000,2026-07-29 22:00:00
0.9206,17800.3500,16387.0600,2026-07-29 23:00:00
1.0615,53051.7500,56315.7300,2026-07-30 00:00:00
1.0755,44027.1500,47350.4100,2026-07-30 01:00:00
1.0847,34744.3300,37687.4400,2026-07-30 02:00:00
0.8961,34892.8300,31268.0000,2026-07-30 03:00:00
0.9389,24215.7900,22735.0800,2026-07-30 04:00:00
0.8331,22841.8300,19030.4900,2026-07-30 05:00:00
0.8865,11886.8000,10537.9100,2026-07-30 06:00:00
0.9286,18878.7500,17531.0500,2026-07-30 07:00:00
0.8002,48856.3800,39093.1400,2026-07-30 08:00:00
0.8149,24186.2600,19709.9800,2026-07-30 09:00:00
1.1348,31920.2700,36224.3200,2026-07-30 10:00:00
1.0157,25554.6800,25955.5500,2026-07-30 11:00:00
1.0785,47070.3600,50763.5100,2026-07-30 12:00:00
1.1376,144813.9600,164740.3000,2026-07-30 13:00:00
1.0793,100809.0900,108799.0700,2026-07-30 14:00:00
1.0517,51591.9300,54257.0300,2026-07-30 15:00:00
0.9318,35721.5200,33287.0400,2026-07-30 16:00:00
1.1777,15346.3900,18072.9400,2026-07-30 17:00:00
1.1494,11739.8400,13494.2400,2026-07-30 18:00:00
0.8708,22191.2200,19325.2000,2026-07-30 19:00:00
0.8957,132442.8300,118633.8800,2026-07-30 20:00:00
1.0015,65201.6300,65296.3900,2026-07-30 21:00:00
0.9712,31692.8200,30779.4300,2026-07-30 22:00:00
1.1492,20277.7400,23303.8000,2026-07-30 23:00:00
0.9598,76584.8200,73503.4800,2026-07-31 00:00:00
0.9156,35002.9900,32050.0000,2026-07-31 01:00:00
1.0001,43527.4100,43531.6000,2026-07-31 02:00:00
1.0010,21445.2400,21467.7500,2026-07-31 03:00:00
1.0216,16675.7100,17035.8900,2026-07-31 04:00:00
0.8164,21378.9200,17454.5900,2026-07-31 05:00:00
1.0018,41127.0800,41200.9400,2026-07-31 06:00:00
0.9806,24535.0000,24059.3200,2026-07-31 07:00:00
0.9664,51334.3300,49607.6700,2026-07-31 08:00:00
0.9091,36329.8300,33027.1700,2026-07-31 09:00:00
1.0201,13245.9600,13512.0900,2026-07-31 10:00:00
0.9074,30112.4600,27324.9600,2026-07-31 11:00:00
0.9737,35586.4400,34652.1400,2026-07-31 12:00:00
1.0311,171465.5000,176806.5700,2026-07-31 13:00:00
1.0141,123112.5000,124847.9400,2026-07-31 14:00:00
1.0842,53313.6900,57804.2400,2026-07-31 15:00:00
1.1322,26483.9000,29984.9100,2026-07-31 16:00:00
1.1278,18793.4200,21195.0700,2026-07-31 17:00:00
0.9885,13882.7000,13722.6000,2026-07-31 18:00:00
0.8972,21989.9200,19729.5400,2026-07-31 19:00:00
0.9508,13293.2100,12638.6700,2026-07-31 20:00:00
0.9922,4644.0400,4607.9500,2026-07-31 21:00:00
0.8277,6294.9000,5210.1100,2026-07-31 22:00:00
0.7736,4254.6400,3291.5200,2026-07-31 23:00:00
1.0638,6030.3300,6415.2300,2026-08-01 00:00:00
1.4032,1795.4700,2519.4800,2026-08-01 01:00:00
1.8675,1651.2700,3083.6800,2026-08-01 02:00:00
1.4195,707.2500,1003.9100,2026-08-01 03:00:00
0.6163,609.0700,375.4000,2026-08-01 04:00:00
0.8265,3322.5300,2746.0000,2026-08-01 05:00:00
1.1287,2340.9200,2642.2300,2026-08-01 06:00:00
1.9069,1144.6300,2182.6700,2026-08-01 07:00:00
