longAccount,longShortRatio,shortAccount,time
0.6530,1.8818,0.3470,2026-07-28 20:00:00
0.6756,2.0826,0.3244,2026-07-28 21:00:00
0.6621,1.9595,0.3379,2026-07-28 22:00:00
0.6683,2.0148,0.3317,2026-07-28 23:00:00
0.6710,2.0395,0.3290,2026-07-29 00:00:00
0.6565,1.9112,0.3435,2026-07-29 01:00:00
0.6812,2.1368,0.3188,2026-07-29 02:00:00
0.6614,1.9533,0.3386,2026-07-29 03:00:00
0.6610,1.9499,0.3390,2026-07-29 04:00:00
0.6476,1.8377,0.3524,2026-07-29 05:00:00
0.6718,2.0469,0.3282,2026-07-29 06:00:00
0.6418,1.7917,0.3582,2026-07-29 07:00:00
0.6494,1.8523,0.3506,2026-07-29 08:00:00
0.6562,1.9087,0.3438,2026-07-29 09:00:00
0.6599,1.9403,0.3401,2026-07-29 10:00:00
0.6512,1.8670,0.3488,2026-07-29 11:00:00
0.6682,2.0139,0.3318,2026-07-29 12:00:00
0.6722,2.0506,0.3278,2026-07-29 13:00:00
0.6821,2.1456,0.3179,2026-07-29 14:00:00
0.6913,2.2394,0.3087,2026-07-29 15:00:00
0.6821,2.1456,0.3179,2026-07-29 16:00:00
0.6700,2.0303,0.3300,2026-07-29 17:00:00
0.6484,1.8441,0.3516,2026-07-29 18:00:00
0.6687,2.0184,0.3313,2026-07-29 19:00:00
0.6741,2.0684,0.3259,2026-07-29 20:00:00
0.6844,2.1686,0.3156,2026-07-29 21:00:00
0.6611,1.9507,0.3389,2026-07-29 22:00:00
0.6398,1.7762,0.3602,2026-07-29 23:00:00
0.6428,1.7996,0.3572,2026-07-30 00:00:00
0.6667,2.0003,0.3333,2026-07-30 01:00:00
0.6715,2.0441,0.3285,2026-07-30 02:00:00
0.6738,2.0656,0.3262,2026-07-30 03:00:00
0.6656,1.9904,0.3344,2026-07-30 04:00:00
0.6723,2.0516,0.3277,2026-07-30 05:00:00
0.6450,1.8169,0.3550,2026-07-30 06:00:00
0.6521,1.8744,0.3479,2026-07-30 07:00:00
0.6407,1.7832,0.3593,2026-07-30 08:00:00
0.6363,1.7495,0.3637,2026-07-30 09:00:00
0.6405,1.7816,0.3595,2026-07-30 10:00:00
0.6546,1.8952,0.3454,2026-07-30 11:00:00
0.6208,1.6371,0.3792,2026-07-30 12:00:00
0.6245,1.6631,0.3755,2026-07-30 13:00:00
0.5698,1.3245,0.4302,2026-07-30 14:00:00
0.5337,1.1445,0.4663,2026-07-30 15:00:00
0.5134,1.0551,0.4866,2026-07-30 16:00:00
0.5070,1.0284,0.4930,2026-07-30 17:00:00
0.5139,1.0572,0.4861,2026-07-30 18:00:00
0.5072,1.0292,0.4928,2026-07-30 19:00:00
0.5141,1.0580,0.4859,2026-07-30 20:00:00
0.5312,1.1331,0.4688,2026-07-30 21:00:00
0.5143,1.0589,0.4857,2026-07-30 22:00:00
0.5084,1.0342,0.4916,2026-07-30 23:00:00
0.5208,1.0868,0.4792,2026-07-31 00:00:00
0.5160,1.0661,0.4840,2026-07-31 01:00:00
0.5132,1.0542,0.4868,2026-07-31 02:00:00
0.5161,1.0665,0.4839,2026-07-31 03:00:00
