sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,time
45487329.00000000,74630958.34380975,1302009445.00000000,2026-07-28 20:00:00
45768086.00000000,75541075.39867616,1302009445.00000000,2026-07-28 21:00:00
45691811.00000000,75556880.16903102,1302009445.00000000,2026-07-28 22:00:00
45618559.00000000,74947006.11719637,1302009445.00000000,2026-07-28 23:00:00
45678431.00000000,75506446.44300000,1302009445.00000000,2026-07-29 00:00:00
45533746.00000000,75673862.06278320,1302009445.00000000,2026-07-29 01:00:00
45946507.00000000,74877871.49789965,1302009445.00000000,2026-07-29 02:00:00
46035922.00000000,75012366.24648874,1302090756.00000000,2026-07-29 03:00:00
46077009.00000000,74045753.46300000,1302090756.00000000,2026-07-29 04:00:00
45960032.00000000,74639091.96800000,1302090756.00000000,2026-07-29 05:00:00
46001008.00000000,74044519.70522560,1302090756.00000000,2026-07-29 06:00:00
45991066.00000000,74183589.45800000,1302090756.00000000,2026-07-29 07:00:00
46083032.00000000,74055432.42400000,1302090756.00000000,2026-07-29 08:00:00
46592706.00000000,74151834.05862708,1302090756.00000000,2026-07-29 09:00:00
47070850.00000000,75078005.75000000,1302090756.00000000,2026-07-29 10:00:00
47097255.00000000,74251045.96890855,1302090756.00000000,2026-07-29 11:00:00
47183010.00000000,74998814.13177090,1302090756.00000000,2026-07-29 12:00:00
47291269.00000000,74909370.09600000,1302090756.00000000,2026-07-29 13:00:00
47143803.00000000,75065637.74515638,1302090756.00000000,2026-07-29 14:00:00
46894508.00000000,74140217.14800000,1302090756.00000000,2026-07-29 15:00:00
46933991.00000000,74155705.78000000,1302090756.00000000,2026-07-29 16:00:00
47096086.00000000,74741488.48200000,1302090756.00000000,2026-07-29 17:00:00
47084574.00000000,75412948.62053676,1302090756.00000000,2026-07-29 18:00:00
46682884.00000000,76118246.65546660,1302090756.00000000,2026-07-29 19:00:00
46575009.00000000,74473384.43248938,1302090756.00000000,2026-07-29 20:00:00
46821127.00000000,73995898.41572850,1302090756.00000000,2026-07-29 21:00:00
46791760.00000000,74539273.68000000,1302090756.00000000,2026-07-29 22:00:00
46467005.00000000,74644253.44083305,1302090756.00000000,2026-07-29 23:00:00
46434964.00000000,75271076.64400000,1302090756.00000000,2026-07-30 00:00:00
46338305.00000000,74540694.99596785,1302090756.00000000,2026-07-30 01:00:00
46323315.00000000,74877911.98680826,1302090756.00000000,2026-07-30 02:00:00
46292932.00000000,75108751.72566807,1302198446.00000000,2026-07-30 03:00:00
46302845.00000000,75358510.41922045,1302198446.00000000,2026-07-30 04:00:00
46286406.00000000,74983977.72000000,1302198446.00000000,2026-07-30 05:00:00
46114264.00000000,75442935.90400000,1302198446.00000000,2026-07-30 06:00:00
45976728.00000000,74942066.64000000,1302198446.00000000,2026-07-30 07:00:00
45911387.00000000,74697826.64900000,1302198446.00000000,2026-07-30 08:00:00
45583374.00000000,74092001.95696776,1302198446.00000000,2026-07-30 09:00:00
45369153.00000000,75358163.13300000,1302198446.00000000,2026-07-30 10:00:00
45360862.00000000,75121367.39263046,1302198446.00000000,2026-07-30 11:00:00
45467989.00000000,75294989.78400000,1302198446.00000000,2026-07-30 12:00:00
45484649.00000000,74867732.25400000,1302198446.00000000,2026-07-30 13:00:00
45614223.00000000,75556925.22910158,1302198446.00000000,2026-07-30 14:00:00
45209654.00000000,74483560.50498300,1302198446.00000000,2026-07-30 15:00:00
45180374.00000000,75256687.82923828,1302198446.00000000,2026-07-30 16:00:00
45054961.00000000,75422004.71400000,1302198446.00000000,2026-07-30 17:00:00
44905522.00000000,75041905.20954080,1302198446.00000000,2026-07-30 18:00:00
44760137.00000000,75062749.74900000,1302198446.00000000,2026-07-30 19:00:00
44471128.00000000,75113670.13077928,1302198446.00000000,2026-07-30 20:00:00
44326424.00000000,74778677.28800000,1302198446.00000000,2026-07-30 21:00:00
44294266.00000000,74724426.74200000,1302198446.00000000,2026-07-30 22:00:00
44100610.00000000,74261620.91635090,1302198446.00000000,2026-07-30 23:00:00
44081875.00000000,73925304.37500000,1302198446.00000000,2026-07-31 00:00:00
44107971.00000000,73602371.33929440,1302198446.00000000,2026-07-31 01:00:00
43989643.00000000,73418714.16700000,1302198446.00000000,2026-07-31 02:00:00
44817535.00000000,73666727.48831340,1302278217.00000000,2026-07-31 03:00:00
44836515.00000000,73995447.53512440,1302278217.00000000,2026-07-31 04:00:00
44887982.00000000,73672351.97847944,1302278217.00000000,2026-07-31 05:00:00
44971446.00000000,74472714.57600000,1302278217.00000000,2026-07-31 06:00:00
45053521.00000000,74625803.82659957,1302278217.00000000,2026-07-31 07:00:00
44977231.00000000,74474454.10509208,1302278217.00000000,2026-07-31 08:00:00
44985266.00000000,74204416.26741391,1302278217.00000000,2026-07-31 09:00:00
45066212.00000000,73911632.80394484,1302278217.00000000,2026-07-31 10:00:00
45085061.00000000,74164925.34500000,1302278217.00000000,2026-07-31 11:00:00
44986498.00000000,73912816.21400000,1302278217.00000000,2026-07-31 12:00:00
44783735.00000000,74385783.83500000,1302278217.00000000,2026-07-31 13:00:00
44274937.00000000,73806319.97900000,1302278217.00000000,2026-07-31 14:00:00
43227097.00000000,71807743.46454903,1302278217.00000000,2026-07-31 15:00:00
43855552.00000000,72975638.52800000,1302278217.00000000,2026-07-31 16:00:00
43717788.00000000,73945337.70900600,1302278217.00000000,2026-07-31 17:00:00
42981469.00000000,73154460.23800000,1302278217.00000000,2026-07-31 18:00:00
42850634.00000000,72871830.60252766,1302278217.00000000,2026-07-31 19:00:00
42779415.00000000,72244214.92731555,1302278217.00000000,2026-07-31 20:00:00
42709144.00000000,71495107.05600000,1302278217.00000000,2026-07-31 21:00:00
42620256.00000000,70920105.98400000,1302278217.00000000,2026-07-31 22:00:00
42759351.00000000,70868134.83701862,1302278217.00000000,2026-07-31 23:00:00
42665810.00000000,71008946.08487790,1302278217.00000000,2026-08-01 00:00:00
42634807.00000000,70816414.42700000,1302278217.00000000,2026-08-01 01:00:00
42617396.00000000,71725077.46800000,1302278217.00000000,2026-08-01 02:00:00
42834823.00000000,71610917.41125362,1302359684.00000000,2026-08-01 03:00:00
42866491.00000000,71715639.44300000,1302359684.00000000,2026-08-01 04:00:00
42824578.00000000,71731168.15000000,1302359684.00000000,2026-08-01 05:00:00
42827852.00000000,71551730.00063440,1302359684.00000000,2026-08-01 06:00:00
42721262.00000000,71193381.93010025,1302359684.00000000,2026-08-01 07:00:00
42776421.00000000,71138105.24946624,1302359684.00000000,2026-08-01 08:00:00
42677998.00000000,70656559.10761316,1302359684.00000000,2026-08-01 09:00:00
42711293.00000000,70393659.54364800,1302359684.00000000,2026-08-01 10:00:00
42748833.00000000,70792067.44800000,1302359684.00000000,2026-08-01 11:00:00
42945972.00000000,71354856.16239937,1302359684.00000000,2026-08-01 12:00:00
42873354.00000000,71634638.27261952,1302359684.00000000,2026-08-01 13:00:00
42847296.00000000,71514271.67628673,1302359684.00000000,2026-08-01 14:00:00
42767483.00000000,71464464.09300000,1302359684.00000000,2026-08-01 15:00:00
42794473.00000000,71381180.96400000,1302359684.00000000,2026-08-01 16:00:00
42807583.00000000,71916739.44000000,1302359684.00000000,2026-08-01 17:00:00
42614266.00000000,70707858.93072183,1302359684.00000000,2026-08-01 18:00:00
42546262.00000000,70566099.27355604,1302359684.00000000,2026-08-01 19:00:00
42622225.00000000,70667649.05000000,1302359684.00000000,2026-08-01 20:00:00
42587304.00000000,70627967.60303208,1302359684.00000000,2026-08-01 21:00:00
42706932.00000000,71448697.23600000,1302359684.00000000,2026-08-01 22:00:00
42680814.00000000,71253157.99726476,1302359684.00000000,2026-08-01 23:00:00
42614547.00000000,71315241.13311080,1302359684.00000000,2026-08-02 00:00:00
42452831.00000000,71894362.60039622,1302359684.00000000,2026-08-02 01:00:00
43302075.00000000,73793379.20434650,1302359684.00000000,2026-08-02 02:00:00
43324863.00000000,73746422.42526612,1302440933.00000000,2026-08-02 03:00:00
43255861.00000000,73881010.58800000,1302440933.00000000,2026-08-02 04:00:00
42864443.00000000,73388599.06893143,1302440933.00000000,2026-08-02 05:00:00
42733478.00000000,73363046.63434570,1302440933.00000000,2026-08-02 06:00:00
42738592.00000000,73805043.30901729,1302440933.00000000,2026-08-02 07:00:00
42754394.00000000,73394949.97126906,1302440933.00000000,2026-08-02 08:00:00
42649510.00000000,73056900.81114410,1302440933.00000000,2026-08-02 09:00:00
