buySellRatio,sellVol,buyVol,time
1.1173,457567.0000,511229.0000,2026-07-28 19:00:00
1.8835,521816.0000,982821.0000,2026-07-28 20:00:00
1.3013,424678.0000,552650.0000,2026-07-28 21:00:00
0.9211,537147.0000,494745.0000,2026-07-28 22:00:00
0.7176,742718.0000,532973.0000,2026-07-28 23:00:00
0.7803,1175228.0000,916992.0000,2026-07-29 00:00:00
0.4462,2138564.0000,954312.0000,2026-07-29 01:00:00
0.8928,1055124.0000,942005.0000,2026-07-29 02:00:00
0.6277,2715095.0000,1704145.0000,2026-07-29 03:00:00
0.8446,2715711.0000,2293605.0000,2026-07-29 04:00:00
0.9447,786652.0000,743116.0000,2026-07-29 05:00:00
1.0369,658832.0000,683118.0000,2026-07-29 06:00:00
0.8706,1500088.0000,1305933.0000,2026-07-29 07:00:00
0.7105,2782178.0000,1976740.0000,2026-07-29 08:00:00
1.2396,1046303.0000,1297044.0000,2026-07-29 09:00:00
0.7474,1226942.0000,917066.0000,2026-07-29 10:00:00
1.0983,1299057.0000,1426775.0000,2026-07-29 11:00:00
0.8724,979044.0000,854130.0000,2026-07-29 12:00:00
1.0723,1327449.0000,1423486.0000,2026-07-29 13:00:00
0.7871,1633910.0000,1286070.0000,2026-07-29 14:00:00
0.7833,1063469.0000,833053.0000,2026-07-29 15:00:00
0.9570,1067772.0000,1021806.0000,2026-07-29 16:00:00
1.0304,946555.0000,975360.0000,2026-07-29 17:00:00
1.4671,3093660.0000,4538729.0000,2026-07-29 18:00:00
0.6062,2397459.0000,1453255.0000,2026-07-29 19:00:00
0.5907,3232583.0000,1909494.0000,2026-07-29 20:00:00
0.9502,851936.0000,809508.0000,2026-07-29 21:00:00
1.1177,1200996.0000,1342341.0000,2026-07-29 22:00:00
1.1497,869651.0000,999873.0000,2026-07-29 23:00:00
0.7264,1047213.0000,760704.0000,2026-07-30 00:00:00
1.0712,754862.0000,808627.0000,2026-07-30 01:00:00
1.0661,583402.0000,621961.0000,2026-07-30 02:00:00
0.9842,784878.0000,772457.0000,2026-07-30 03:00:00
0.8070,644424.0000,520061.0000,2026-07-30 04:00:00
1.0026,801272.0000,803338.0000,2026-07-30 05:00:00
0.8169,851514.0000,695560.0000,2026-07-30 06:00:00
0.9166,607193.0000,556555.0000,2026-07-30 07:00:00
0.6892,1039865.0000,716701.0000,2026-07-30 08:00:00
0.9494,1930834.0000,1833092.0000,2026-07-30 09:00:00
0.8562,2663818.0000,2280709.0000,2026-07-30 10:00:00
0.7730,1263970.0000,977077.0000,2026-07-30 11:00:00
0.6989,1197638.0000,837028.0000,2026-07-30 12:00:00
1.2011,2119488.0000,2545809.0000,2026-07-30 13:00:00
0.8019,1365934.0000,1095350.0000,2026-07-30 14:00:00
0.9872,821035.0000,810566.0000,2026-07-30 15:00:00
1.1310,1033762.0000,1169172.0000,2026-07-30 16:00:00
0.7817,987193.0000,771730.0000,2026-07-30 17:00:00
0.8663,915203.0000,792816.0000,2026-07-30 18:00:00
0.9957,893740.0000,889935.0000,2026-07-30 19:00:00
1.1826,1157714.0000,1369107.0000,2026-07-30 20:00:00
1.2413,565631.0000,702099.0000,2026-07-30 21:00:00
1.0657,627029.0000,668216.0000,2026-07-30 22:00:00
0.7899,766206.0000,605210.0000,2026-07-30 23:00:00
0.7740,1128965.0000,873838.0000,2026-07-31 00:00:00
1.0056,567968.0000,571141.0000,2026-07-31 01:00:00
