longAccount,longShortRatio,shortAccount,time
0.5475,1.2099,0.4525,2026-07-28 20:00:00
0.5469,1.2070,0.4531,2026-07-28 21:00:00
0.5459,1.2022,0.4541,2026-07-28 22:00:00
0.5442,1.1939,0.4558,2026-07-28 23:00:00
0.5451,1.1983,0.4549,2026-07-29 00:00:00
0.5476,1.2104,0.4524,2026-07-29 01:00:00
0.5512,1.2282,0.4488,2026-07-29 02:00:00
0.5532,1.2381,0.4468,2026-07-29 03:00:00
0.5554,1.2492,0.4446,2026-07-29 04:00:00
0.5471,1.2080,0.4529,2026-07-29 05:00:00
0.5427,1.1867,0.4573,2026-07-29 06:00:00
0.5421,1.1839,0.4579,2026-07-29 07:00:00
0.5427,1.1867,0.4573,2026-07-29 08:00:00
0.5424,1.1853,0.4576,2026-07-29 09:00:00
0.5426,1.1863,0.4574,2026-07-29 10:00:00
0.5493,1.2188,0.4507,2026-07-29 11:00:00
0.5513,1.2287,0.4487,2026-07-29 12:00:00
0.5485,1.2148,0.4515,2026-07-29 13:00:00
0.5479,1.2119,0.4521,2026-07-29 14:00:00
0.5474,1.2095,0.4526,2026-07-29 15:00:00
0.5456,1.2007,0.4544,2026-07-29 16:00:00
0.5430,1.1882,0.4570,2026-07-29 17:00:00
0.5436,1.1911,0.4564,2026-07-29 18:00:00
0.5397,1.1725,0.4603,2026-07-29 19:00:00
0.5406,1.1768,0.4594,2026-07-29 20:00:00
0.5418,1.1825,0.4582,2026-07-29 21:00:00
0.5434,1.1901,0.4566,2026-07-29 22:00:00
0.5422,1.1844,0.4578,2026-07-29 23:00:00
0.5417,1.1820,0.4583,2026-07-30 00:00:00
0.5425,1.1858,0.4575,2026-07-30 01:00:00
0.5447,1.1964,0.4553,2026-07-30 02:00:00
0.5443,1.1944,0.4557,2026-07-30 03:00:00
0.5432,1.1891,0.4568,2026-07-30 04:00:00
0.5411,1.1791,0.4589,2026-07-30 05:00:00
0.5397,1.1725,0.4603,2026-07-30 06:00:00
0.5400,1.1739,0.4600,2026-07-30 07:00:00
0.5404,1.1758,0.4596,2026-07-30 08:00:00
0.5435,1.1906,0.4565,2026-07-30 09:00:00
0.5394,1.1711,0.4606,2026-07-30 10:00:00
0.5374,1.1617,0.4626,2026-07-30 11:00:00
0.5373,1.1612,0.4627,2026-07-30 12:00:00
0.5410,1.1786,0.4590,2026-07-30 13:00:00
0.5391,1.1697,0.4609,2026-07-30 14:00:00
0.5421,1.1839,0.4579,2026-07-30 15:00:00
0.5410,1.1786,0.4590,2026-07-30 16:00:00
0.5423,1.1848,0.4577,2026-07-30 17:00:00
0.5440,1.1930,0.4560,2026-07-30 18:00:00
0.5403,1.1753,0.4597,2026-07-30 19:00:00
0.5402,1.1749,0.4598,2026-07-30 20:00:00
0.5399,1.1734,0.4601,2026-07-30 21:00:00
0.5403,1.1753,0.4597,2026-07-30 22:00:00
0.5412,1.1796,0.4588,2026-07-30 23:00:00
0.5387,1.1678,0.4613,2026-07-31 00:00:00
0.5422,1.1844,0.4578,2026-07-31 01:00:00
0.5481,1.2129,0.4519,2026-07-31 02:00:00
0.5489,1.2168,0.4511,2026-07-31 03:00:00
0.5479,1.2119,0.4521,2026-07-31 04:00:00
0.5475,1.2099,0.4525,2026-07-31 05:00:00
0.5464,1.2046,0.4536,2026-07-31 06:00:00
0.5445,1.1954,0.4555,2026-07-31 07:00:00
0.5440,1.1930,0.4560,2026-07-31 08:00:00
0.5453,1.1993,0.4547,2026-07-31 09:00:00
0.5450,1.1978,0.4550,2026-07-31 10:00:00
0.5457,1.2012,0.4543,2026-07-31 11:00:00
