longAccount,longShortRatio,shortAccount,time
0.7168,2.5311,0.2832,2026-07-28 20:00:00
0.7130,2.4843,0.2870,2026-07-28 21:00:00
0.7174,2.5386,0.2826,2026-07-28 22:00:00
0.6791,2.1162,0.3209,2026-07-28 23:00:00
0.6831,2.1556,0.3169,2026-07-29 00:00:00
0.6817,2.1417,0.3183,2026-07-29 01:00:00
0.6829,2.1536,0.3171,2026-07-29 02:00:00
0.6793,2.1182,0.3207,2026-07-29 03:00:00
0.6797,2.1221,0.3203,2026-07-29 04:00:00
0.6810,2.1348,0.3190,2026-07-29 05:00:00
0.6890,2.2154,0.3110,2026-07-29 06:00:00
0.6673,2.0057,0.3327,2026-07-29 07:00:00
0.6951,2.2798,0.3049,2026-07-29 08:00:00
0.6906,2.2321,0.3094,2026-07-29 09:00:00
0.6829,2.1536,0.3171,2026-07-29 10:00:00
0.6837,2.1616,0.3163,2026-07-29 11:00:00
0.6789,2.1143,0.3211,2026-07-29 12:00:00
0.6782,2.1075,0.3218,2026-07-29 13:00:00
0.7157,2.5174,0.2843,2026-07-29 14:00:00
0.7157,2.5174,0.2843,2026-07-29 15:00:00
0.7180,2.5461,0.2820,2026-07-29 16:00:00
0.7195,2.5651,0.2805,2026-07-29 17:00:00
0.7336,2.7538,0.2664,2026-07-29 18:00:00
0.7352,2.7764,0.2648,2026-07-29 19:00:00
0.6902,2.2279,0.3098,2026-07-29 20:00:00
0.6845,2.1696,0.3155,2026-07-29 21:00:00
0.6901,2.2268,0.3099,2026-07-29 22:00:00
0.6910,2.2362,0.3090,2026-07-29 23:00:00
0.6956,2.2852,0.3044,2026-07-30 00:00:00
0.6913,2.2394,0.3087,2026-07-30 01:00:00
0.6960,2.2895,0.3040,2026-07-30 02:00:00
0.6848,2.1726,0.3152,2026-07-30 03:00:00
0.6835,2.1596,0.3165,2026-07-30 04:00:00
0.6845,2.1696,0.3155,2026-07-30 05:00:00
0.6858,2.1827,0.3142,2026-07-30 06:00:00
0.6865,2.1898,0.3135,2026-07-30 07:00:00
0.6889,2.2144,0.3111,2026-07-30 08:00:00
0.6927,2.2541,0.3073,2026-07-30 09:00:00
0.6927,2.2541,0.3073,2026-07-30 10:00:00
0.6964,2.2938,0.3036,2026-07-30 11:00:00
0.6947,2.2755,0.3053,2026-07-30 12:00:00
0.6943,2.2712,0.3057,2026-07-30 13:00:00
0.6972,2.3025,0.3028,2026-07-30 14:00:00
0.6740,2.0675,0.3260,2026-07-30 15:00:00
0.6819,2.1437,0.3181,2026-07-30 16:00:00
0.7016,2.3512,0.2984,2026-07-30 17:00:00
0.6998,2.3311,0.3002,2026-07-30 18:00:00
0.7004,2.3378,0.2996,2026-07-30 19:00:00
0.6968,2.2982,0.3032,2026-07-30 20:00:00
0.6907,2.2331,0.3093,2026-07-30 21:00:00
0.6756,2.0826,0.3244,2026-07-30 22:00:00
0.6771,2.0969,0.3229,2026-07-30 23:00:00
0.6703,2.0331,0.3297,2026-07-31 00:00:00
0.6649,1.9842,0.3351,2026-07-31 01:00:00
0.6600,1.9412,0.3400,2026-07-31 02:00:00
0.6548,1.8969,0.3452,2026-07-31 03:00:00
0.6521,1.8744,0.3479,2026-07-31 04:00:00
0.6522,1.8752,0.3478,2026-07-31 05:00:00
0.6505,1.8612,0.3495,2026-07-31 06:00:00
0.6511,1.8662,0.3489,2026-07-31 07:00:00
0.6432,1.8027,0.3568,2026-07-31 08:00:00
0.6460,1.8249,0.3540,2026-07-31 09:00:00
0.6454,1.8201,0.3546,2026-07-31 10:00:00
0.6484,1.8441,0.3516,2026-07-31 11:00:00
0.6326,1.7218,0.3674,2026-07-31 12:00:00
0.6270,1.6810,0.3730,2026-07-31 13:00:00
0.6399,1.7770,0.3601,2026-07-31 14:00:00
0.6338,1.7307,0.3662,2026-07-31 15:00:00
0.6341,1.7330,0.3659,2026-07-31 16:00:00
0.6333,1.7270,0.3667,2026-07-31 17:00:00
0.6252,1.6681,0.3748,2026-07-31 18:00:00
0.6270,1.6810,0.3730,2026-07-31 19:00:00
0.5871,1.4219,0.4129,2026-07-31 20:00:00
0.5840,1.4038,0.4160,2026-07-31 21:00:00
0.5839,1.4033,0.4161,2026-07-31 22:00:00
0.5860,1.4155,0.4140,2026-07-31 23:00:00
0.5809,1.3861,0.4191,2026-08-01 00:00:00
0.5825,1.3952,0.4175,2026-08-01 01:00:00
0.5824,1.3946,0.4176,2026-08-01 02:00:00
0.5806,1.3844,0.4194,2026-08-01 03:00:00
0.5791,1.3759,0.4209,2026-08-01 04:00:00
0.5772,1.3652,0.4228,2026-08-01 05:00:00
0.5763,1.3602,0.4237,2026-08-01 06:00:00
0.5791,1.3759,0.4209,2026-08-01 07:00:00
0.5767,1.3624,0.4233,2026-08-01 08:00:00
0.5788,1.3742,0.4212,2026-08-01 09:00:00
0.5749,1.3524,0.4251,2026-08-01 10:00:00
0.5713,1.3326,0.4287,2026-08-01 11:00:00
0.5726,1.3397,0.4274,2026-08-01 12:00:00
0.5729,1.3414,0.4271,2026-08-01 13:00:00
0.5725,1.3392,0.4275,2026-08-01 14:00:00
0.5726,1.3397,0.4274,2026-08-01 15:00:00
0.5753,1.3546,0.4247,2026-08-01 16:00:00
0.5677,1.3132,0.4323,2026-08-01 17:00:00
0.5673,1.3111,0.4327,2026-08-01 18:00:00
0.5617,1.2815,0.4383,2026-08-01 19:00:00
0.5610,1.2779,0.4390,2026-08-01 20:00:00
0.5605,1.2753,0.4395,2026-08-01 21:00:00
0.5649,1.2983,0.4351,2026-08-01 22:00:00
0.5656,1.3020,0.4344,2026-08-01 23:00:00
0.5641,1.2941,0.4359,2026-08-02 00:00:00
0.5648,1.2978,0.4352,2026-08-02 01:00:00
0.5679,1.3143,0.4321,2026-08-02 02:00:00
0.5645,1.2962,0.4355,2026-08-02 03:00:00
0.5631,1.2889,0.4369,2026-08-02 04:00:00
0.5614,1.2800,0.4386,2026-08-02 05:00:00
0.5621,1.2836,0.4379,2026-08-02 06:00:00
0.5625,1.2857,0.4375,2026-08-02 07:00:00
0.5601,1.2732,0.4399,2026-08-02 08:00:00
0.5612,1.2789,0.4388,2026-08-02 09:00:00
0.5606,1.2758,0.4394,2026-08-02 10:00:00
