sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,time
148299.48000000,29243174.46120000,0.00000000,2026-07-28 20:00:00
148048.09000000,29223629.09982767,0.00000000,2026-07-28 21:00:00
147457.98000000,29072115.07507336,0.00000000,2026-07-28 22:00:00
147286.97000000,28834125.74719659,0.00000000,2026-07-28 23:00:00
146650.06000000,29010709.03376477,0.00000000,2026-07-29 00:00:00
146050.90000000,28818763.58800000,0.00000000,2026-07-29 01:00:00
146366.36000000,28603900.27748803,0.00000000,2026-07-29 02:00:00
145954.08000000,28639984.80145751,0.00000000,2026-07-29 03:00:00
145869.86000000,28461302.59757731,0.00000000,2026-07-29 04:00:00
146153.80000000,28528801.19513281,0.00000000,2026-07-29 05:00:00
146925.16000000,28718823.42289866,0.00000000,2026-07-29 06:00:00
147459.54000000,29005291.51800000,0.00000000,2026-07-29 07:00:00
147083.07000000,28918178.75559675,0.00000000,2026-07-29 08:00:00
147232.74000000,28976853.81312430,0.00000000,2026-07-29 09:00:00
147273.76000000,29198967.58163654,0.00000000,2026-07-29 10:00:00
146787.22000000,28920124.24385325,0.00000000,2026-07-29 11:00:00
146353.04000000,28933687.24406445,0.00000000,2026-07-29 12:00:00
146573.66000000,28886736.91280000,0.00000000,2026-07-29 13:00:00
152847.37000000,29598982.88063740,0.00000000,2026-07-29 14:00:00
157063.43000000,30282508.79495214,0.00000000,2026-07-29 15:00:00
155846.72000000,29949561.70435200,0.00000000,2026-07-29 16:00:00
155378.75000000,29881661.14118486,0.00000000,2026-07-29 17:00:00
155862.80000000,30028527.04800000,0.00000000,2026-07-29 18:00:00
158802.05000000,31149054.93188373,0.00000000,2026-07-29 19:00:00
156718.04000000,29844087.81478581,0.00000000,2026-07-29 20:00:00
154030.69000000,29257820.86489264,0.00000000,2026-07-29 21:00:00
154458.54000000,29258195.80170862,0.00000000,2026-07-29 22:00:00
153242.59000000,29307645.33750000,0.00000000,2026-07-29 23:00:00
153103.81000000,29316564.63916311,0.00000000,2026-07-30 00:00:00
154196.61000000,29545563.54943890,0.00000000,2026-07-30 01:00:00
154792.09000000,29867133.76550000,0.00000000,2026-07-30 02:00:00
155700.08000000,29847705.33600000,0.00000000,2026-07-30 03:00:00
155438.24000000,29776090.68382045,0.00000000,2026-07-30 04:00:00
153402.81000000,29285709.46303032,0.00000000,2026-07-30 05:00:00
153689.02000000,29465548.41687008,0.00000000,2026-07-30 06:00:00
154381.14000000,29575296.69608496,0.00000000,2026-07-30 07:00:00
153672.38000000,29377640.87749684,0.00000000,2026-07-30 08:00:00
153915.90000000,29545696.16400000,0.00000000,2026-07-30 09:00:00
153790.32000000,29524891.57926234,0.00000000,2026-07-30 10:00:00
154425.27000000,29752330.11467635,0.00000000,2026-07-30 11:00:00
152639.42000000,29553453.18597168,0.00000000,2026-07-30 12:00:00
152930.32000000,29717569.45989209,0.00000000,2026-07-30 13:00:00
153230.65000000,29996432.04400000,0.00000000,2026-07-30 14:00:00
154066.04000000,30056743.74360000,0.00000000,2026-07-30 15:00:00
157504.78000000,30461436.85235133,0.00000000,2026-07-30 16:00:00
157313.01000000,30477349.63201743,0.00000000,2026-07-30 17:00:00
155077.11000000,30094144.54947145,0.00000000,2026-07-30 18:00:00
153862.99000000,29817108.83210000,0.00000000,2026-07-30 19:00:00
153396.38000000,29937658.30954821,0.00000000,2026-07-30 20:00:00
152715.72000000,29896225.03471891,0.00000000,2026-07-30 21:00:00
153615.00000000,30088974.22796265,0.00000000,2026-07-30 22:00:00
153926.19000000,30221278.11318923,0.00000000,2026-07-30 23:00:00
153312.02000000,30210795.64042205,0.00000000,2026-07-31 00:00:00
150652.05000000,29860742.83050000,0.00000000,2026-07-31 01:00:00
146795.13000000,29021657.76529165,0.00000000,2026-07-31 02:00:00
144496.29000000,28561136.68140000,0.00000000,2026-07-31 03:00:00
143956.27000000,28460154.57900000,0.00000000,2026-07-31 04:00:00
144642.41000000,28717304.08140000,0.00000000,2026-07-31 05:00:00
143515.36000000,28531791.14236565,0.00000000,2026-07-31 06:00:00
142736.92000000,28210789.90128569,0.00000000,2026-07-31 07:00:00
143672.47000000,28533352.54200000,0.00000000,2026-07-31 08:00:00
143014.24000000,28421219.91520000,0.00000000,2026-07-31 09:00:00
144349.78000000,28593637.09255795,0.00000000,2026-07-31 10:00:00
145329.42000000,28773480.30010442,0.00000000,2026-07-31 11:00:00
146273.85000000,28938566.48779944,0.00000000,2026-07-31 12:00:00
147106.00000000,29006361.08000000,0.00000000,2026-07-31 13:00:00
148296.17000000,29347812.04300000,0.00000000,2026-07-31 14:00:00
151315.18000000,30013171.95483403,0.00000000,2026-07-31 15:00:00
150322.95000000,29557251.82507696,0.00000000,2026-07-31 16:00:00
150963.54000000,29961831.00884867,0.00000000,2026-07-31 17:00:00
152412.99000000,30436693.12476742,0.00000000,2026-07-31 18:00:00
150856.87000000,30051239.55397474,0.00000000,2026-07-31 19:00:00
159234.34000000,32014002.10528768,0.00000000,2026-07-31 20:00:00
157625.40000000,31508706.74826897,0.00000000,2026-07-31 21:00:00
156750.35000000,31258519.01914790,0.00000000,2026-07-31 22:00:00
156783.60000000,31252916.86932777,0.00000000,2026-07-31 23:00:00
156735.80000000,31245582.91037856,0.00000000,2026-08-01 00:00:00
156685.32000000,31254020.78040000,0.00000000,2026-08-01 01:00:00
156584.67000000,31236350.96750656,0.00000000,2026-08-01 02:00:00
156487.47000000,31264631.63130000,0.00000000,2026-08-01 03:00:00
156288.98000000,31220286.64480000,0.00000000,2026-08-01 04:00:00
156036.45000000,31182324.16800000,0.00000000,2026-08-01 05:00:00
156231.26000000,31205631.87240000,0.00000000,2026-08-01 06:00:00
156547.19000000,31257777.42730000,0.00000000,2026-08-01 07:00:00
156636.84000000,31315772.76525569,0.00000000,2026-08-01 08:00:00
156704.95000000,31289277.36650000,0.00000000,2026-08-01 09:00:00
156568.26000000,31312548.13427106,0.00000000,2026-08-01 10:00:00
156720.31000000,31360561.13340645,0.00000000,2026-08-01 11:00:00
156795.78000000,31382072.64245372,0.00000000,2026-08-01 12:00:00
157195.99000000,31430736.47154184,0.00000000,2026-08-01 13:00:00
157311.59000000,31437148.14560000,0.00000000,2026-08-01 14:00:00
157350.43000000,31427641.75529983,0.00000000,2026-08-01 15:00:00
157740.55000000,31472962.02498009,0.00000000,2026-08-01 16:00:00
157503.80000000,31426733.21400000,0.00000000,2026-08-01 17:00:00
157498.81000000,31414862.40034349,0.00000000,2026-08-01 18:00:00
157261.58000000,31315498.42540000,0.00000000,2026-08-01 19:00:00
157439.38000000,31322708.33332698,0.00000000,2026-08-01 20:00:00
157388.51000000,31321092.29399015,0.00000000,2026-08-01 21:00:00
157947.19000000,31518361.76450000,0.00000000,2026-08-01 22:00:00
157761.71000000,31441916.79047538,0.00000000,2026-08-01 23:00:00
157755.33000000,31445369.92890000,0.00000000,2026-08-02 00:00:00
157779.75000000,31466015.54250000,0.00000000,2026-08-02 01:00:00
157616.56000000,31419285.07040000,0.00000000,2026-08-02 02:00:00
157445.64000000,31548562.34357837,0.00000000,2026-08-02 03:00:00
157942.03000000,31683171.21800000,0.00000000,2026-08-02 04:00:00
157812.57000000,31661935.91910000,0.00000000,2026-08-02 05:00:00
157822.97000000,31665083.43601583,0.00000000,2026-08-02 06:00:00
157805.15000000,31632665.43796165,0.00000000,2026-08-02 07:00:00
157801.95000000,31659805.22850000,0.00000000,2026-08-02 08:00:00
157813.71000000,31661310.31278092,0.00000000,2026-08-02 09:00:00
157545.65000000,31594601.41081405,0.00000000,2026-08-02 10:00:00
157535.72000000,31576459.71680000,0.00000000,2026-08-02 11:00:00
157330.78000000,31515597.75928589,0.00000000,2026-08-02 12:00:00
157001.30000000,31524291.02700000,0.00000000,2026-08-02 13:00:00
156994.88000000,31533826.28590121,0.00000000,2026-08-02 14:00:00
157476.80000000,31625299.14536283,0.00000000,2026-08-02 15:00:00
157572.32000000,31647619.36394963,0.00000000,2026-08-02 16:00:00
158081.60000000,31764718.22938957,0.00000000,2026-08-02 17:00:00
157701.64000000,31687808.96832531,0.00000000,2026-08-02 18:00:00
157917.59000000,31760385.70080000,0.00000000,2026-08-02 19:00:00
159188.14000000,32129734.18237808,0.00000000,2026-08-02 20:00:00
159694.70000000,32076277.44200000,0.00000000,2026-08-02 21:00:00
186046.18000000,37184335.62950127,0.00000000,2026-08-02 22:00:00
185069.91000000,37028787.59280000,0.00000000,2026-08-02 23:00:00
184875.85000000,37076851.71750000,0.00000000,2026-08-03 00:00:00
181864.59000000,36692999.67840000,0.00000000,2026-08-03 01:00:00
181896.99000000,36769313.39365435,0.00000000,2026-08-03 02:00:00
181702.03000000,36740150.46600000,0.00000000,2026-08-03 03:00:00
181292.35000000,36665420.07440265,0.00000000,2026-08-03 04:00:00
182498.32000000,36981651.62603197,0.00000000,2026-08-03 05:00:00
182958.07000000,37022593.30098229,0.00000000,2026-08-03 06:00:00
182299.42000000,36791598.04450958,0.00000000,2026-08-03 07:00:00
183095.73000000,36935628.01661257,0.00000000,2026-08-03 08:00:00
182059.05000000,36587625.03448281,0.00000000,2026-08-03 09:00:00
184056.80000000,36990942.40680052,0.00000000,2026-08-03 10:00:00
185098.43000000,37122997.95941669,0.00000000,2026-08-03 11:00:00
180215.07000000,35844328.11258963,0.00000000,2026-08-03 12:00:00
179364.11000000,35680524.08213826,0.00000000,2026-08-03 13:00:00
178954.06000000,36242790.31196135,0.00000000,2026-08-03 14:00:00
182556.68000000,37703750.19479087,0.00000000,2026-08-03 15:00:00
184598.83000000,38217410.15242468,0.00000000,2026-08-03 16:00:00
