buySellRatio,sellVol,buyVol,time
1.1482,26069.8500,29933.4500,2026-07-28 19:00:00
1.2271,12633.5500,15502.6000,2026-07-28 20:00:00
0.7762,2366.9000,1837.2200,2026-07-28 21:00:00
0.5771,6668.6900,3848.6000,2026-07-28 22:00:00
1.0510,11130.2300,11697.7600,2026-07-28 23:00:00
0.8052,14152.4500,11395.9100,2026-07-29 00:00:00
0.7041,10695.7600,7531.0300,2026-07-29 01:00:00
1.0405,8406.9100,8747.6600,2026-07-29 02:00:00
0.9183,8162.0500,7495.1800,2026-07-29 03:00:00
1.0658,9018.2400,9611.8400,2026-07-29 04:00:00
0.8474,24181.7500,20491.2300,2026-07-29 05:00:00
1.3260,5583.2600,7403.2100,2026-07-29 06:00:00
1.0043,6993.4400,7023.3000,2026-07-29 07:00:00
0.9898,12221.9200,12097.8500,2026-07-29 08:00:00
1.3243,10397.9500,13769.5600,2026-07-29 09:00:00
0.6967,8898.2100,6199.2200,2026-07-29 10:00:00
1.0599,7208.0300,7639.7500,2026-07-29 11:00:00
0.8737,10293.7200,8993.7400,2026-07-29 12:00:00
0.9725,81834.5600,79586.2300,2026-07-29 13:00:00
0.9284,42475.5800,39434.3400,2026-07-29 14:00:00
1.1750,19140.4100,22490.9000,2026-07-29 15:00:00
0.8174,21243.2000,17363.5600,2026-07-29 16:00:00
1.1720,13324.4200,15616.0200,2026-07-29 17:00:00
1.0317,42988.4100,44351.7300,2026-07-29 18:00:00
0.8273,62872.7000,52015.3700,2026-07-29 19:00:00
0.8771,28745.3000,25212.5300,2026-07-29 20:00:00
0.8303,8199.9500,6808.3600,2026-07-29 21:00:00
1.0949,8862.5500,9703.2900,2026-07-29 22:00:00
0.8881,5041.2500,4477.3100,2026-07-29 23:00:00
0.8434,6118.7200,5160.5000,2026-07-30 00:00:00
0.9830,5487.3100,5394.1700,2026-07-30 01:00:00
0.7849,10499.8900,8241.7300,2026-07-30 02:00:00
0.9543,6972.2000,6653.5300,2026-07-30 03:00:00
1.0099,6260.7500,6322.7300,2026-07-30 04:00:00
1.4125,2758.4000,3896.3300,2026-07-30 05:00:00
0.8789,4028.1300,3540.4300,2026-07-30 06:00:00
0.6989,5889.3200,4116.3100,2026-07-30 07:00:00
1.0910,6552.7800,7149.2800,2026-07-30 08:00:00
0.9597,5928.3900,5689.5400,2026-07-30 09:00:00
0.6044,13313.4600,8046.2500,2026-07-30 10:00:00
1.1441,7184.6500,8219.6300,2026-07-30 11:00:00
0.8527,10691.5200,9116.4200,2026-07-30 12:00:00
1.0679,50588.2800,54023.2400,2026-07-30 13:00:00
0.8222,53667.3000,44123.7200,2026-07-30 14:00:00
0.9912,29869.8500,29607.4300,2026-07-30 15:00:00
0.7268,18364.2100,13347.8400,2026-07-30 16:00:00
1.2870,9111.9200,11726.8000,2026-07-30 17:00:00
0.6817,10775.0000,7344.9500,2026-07-30 18:00:00
1.1603,12592.7300,14611.3100,2026-07-30 19:00:00
0.7681,15124.5800,11616.9900,2026-07-30 20:00:00
0.7898,7345.4400,5801.1600,2026-07-30 21:00:00
0.9119,2689.0100,2452.2200,2026-07-30 22:00:00
1.8270,2429.5000,4438.5800,2026-07-30 23:00:00
1.0817,10248.4200,11086.1300,2026-07-31 00:00:00
0.9912,15155.2200,15022.3700,2026-07-31 01:00:00
0.6003,8794.6000,5279.7100,2026-07-31 02:00:00
1.0155,5430.5400,5514.6800,2026-07-31 03:00:00
0.9143,4050.6100,3703.3400,2026-07-31 04:00:00
0.9788,5063.5300,4956.3700,2026-07-31 05:00:00
0.7911,5620.8700,4446.4100,2026-07-31 06:00:00
1.7039,4100.9100,6987.7100,2026-07-31 07:00:00
0.9759,8394.3500,8191.9700,2026-07-31 08:00:00
0.5750,7949.3800,4570.6800,2026-07-31 09:00:00
0.6683,4484.0000,2996.4800,2026-07-31 10:00:00
1.0889,7054.0000,7681.2900,2026-07-31 11:00:00
0.6319,11511.9000,7274.1200,2026-07-31 12:00:00
1.0910,63048.2200,68786.1300,2026-07-31 13:00:00
1.0640,55101.9900,58630.8400,2026-07-31 14:00:00
0.8722,33139.2200,28903.3700,2026-07-31 15:00:00
0.9053,18469.1900,16719.9400,2026-07-31 16:00:00
1.2028,13094.0100,15749.8900,2026-07-31 17:00:00
1.1399,7112.1900,8107.5200,2026-07-31 18:00:00
1.2210,22131.3600,27022.0100,2026-07-31 19:00:00
0.5626,16315.0300,9178.9300,2026-07-31 20:00:00
1.0942,3455.0800,3780.5100,2026-07-31 21:00:00
0.7080,3062.1900,2167.9400,2026-07-31 22:00:00
1.6521,840.0200,1387.7700,2026-07-31 23:00:00
1.3242,1687.3200,2234.3800,2026-08-01 00:00:00
1.0285,730.3800,751.2300,2026-08-01 01:00:00
0.7420,1193.3100,885.4800,2026-08-01 02:00:00
0.5354,1075.4300,575.7900,2026-08-01 03:00:00
1.7719,484.5000,858.4900,2026-08-01 04:00:00
0.7342,1115.0900,818.6900,2026-08-01 05:00:00
0.3999,1501.4600,600.4700,2026-08-01 06:00:00
1.6048,248.1700,398.2600,2026-08-01 07:00:00
1.2605,6056.7700,7634.8300,2026-08-01 08:00:00
2.0720,436.5900,904.6300,2026-08-01 09:00:00
1.1285,764.3400,862.5500,2026-08-01 10:00:00
0.9137,595.3200,543.9200,2026-08-01 11:00:00
1.5927,1128.8100,1797.9000,2026-08-01 12:00:00
1.0627,569.8300,605.5400,2026-08-01 13:00:00
0.9690,659.9800,639.5300,2026-08-01 14:00:00
0.9238,3415.7900,3155.6700,2026-08-01 15:00:00
0.6224,769.1100,478.6700,2026-08-01 16:00:00
0.8347,419.3700,350.0500,2026-08-01 17:00:00
0.6042,1993.7800,1204.6400,2026-08-01 18:00:00
1.0704,1000.0200,1070.3800,2026-08-01 19:00:00
1.9330,231.1200,446.7600,2026-08-01 20:00:00
0.7284,2827.5400,2059.6700,2026-08-01 21:00:00
1.0445,849.3000,887.0800,2026-08-01 22:00:00
1.1438,127.7400,146.1100,2026-08-01 23:00:00
1.7761,251.7100,447.0700,2026-08-02 00:00:00
0.8337,466.2500,388.7300,2026-08-02 01:00:00
1.4806,1745.4700,2584.3600,2026-08-02 02:00:00
1.1214,1076.0700,1206.7400,2026-08-02 03:00:00
0.8737,695.2100,607.4300,2026-08-02 04:00:00
0.7958,344.4200,274.1000,2026-08-02 05:00:00
0.4914,1011.5600,497.0600,2026-08-02 06:00:00
3.9258,169.5600,665.6600,2026-08-02 07:00:00
0.7819,1004.3600,785.3500,2026-08-02 08:00:00
0.7511,1017.5700,764.2800,2026-08-02 09:00:00
0.2934,1976.9900,580.0200,2026-08-02 10:00:00
1.1262,643.4000,724.6000,2026-08-02 11:00:00
2.2028,761.0100,1676.3200,2026-08-02 12:00:00
1.6929,763.5400,1292.5600,2026-08-02 13:00:00
1.1013,517.3300,569.7400,2026-08-02 14:00:00
1.6038,362.3400,581.1100,2026-08-02 15:00:00
3.1683,455.5500,1443.3000,2026-08-02 16:00:00
1.4717,1036.8700,1525.9200,2026-08-02 17:00:00
0.7449,984.9600,733.6900,2026-08-02 18:00:00
3.8162,687.3400,2623.0100,2026-08-02 19:00:00
0.5212,6513.3000,3394.6700,2026-08-02 20:00:00
0.6719,54472.1400,36597.8800,2026-08-02 21:00:00
1.3016,3342.0100,4349.8000,2026-08-02 22:00:00
1.3099,2270.0500,2973.6400,2026-08-02 23:00:00
1.4068,11562.7600,16266.3400,2026-08-03 00:00:00
1.1208,3590.8100,4024.4700,2026-08-03 01:00:00
1.0864,2863.9000,3111.4700,2026-08-03 02:00:00
1.0828,1954.7500,2116.6200,2026-08-03 03:00:00
1.3626,2839.1400,3868.6400,2026-08-03 04:00:00
0.7056,2920.1700,2060.3400,2026-08-03 05:00:00
0.6005,5066.5100,3042.6600,2026-08-03 06:00:00
1.0477,2665.4900,2792.7300,2026-08-03 07:00:00
1.0845,9036.7300,9800.2600,2026-08-03 08:00:00
1.1806,5695.6500,6724.0100,2026-08-03 09:00:00
1.3182,5083.7500,6701.3800,2026-08-03 10:00:00
0.4471,18239.9400,8154.8900,2026-08-03 11:00:00
0.8333,6897.8000,5748.0500,2026-08-03 12:00:00
1.0373,66599.3300,69082.2800,2026-08-03 13:00:00
1.0326,56986.4100,58846.0000,2026-08-03 14:00:00
0.8677,27629.7600,23974.7600,2026-08-03 15:00:00
0.9275,10615.9000,9846.3500,2026-08-03 16:00:00
1.0932,11598.8600,12679.9600,2026-08-03 17:00:00
0.8406,8470.9500,7120.4700,2026-08-03 18:00:00
0.9774,14436.3400,14110.5100,2026-08-03 19:00:00
1.0348,7615.3500,7879.9900,2026-08-03 20:00:00
1.2348,1544.4800,1907.2000,2026-08-03 21:00:00
1.2173,2020.6400,2459.7900,2026-08-03 22:00:00
0.7088,2080.0800,1474.3000,2026-08-03 23:00:00
0.7563,7040.1800,5324.4400,2026-08-04 00:00:00
1.4770,4179.9400,6173.8800,2026-08-04 01:00:00
0.8391,4603.4800,3862.8300,2026-08-04 02:00:00
1.1536,4676.3500,5394.7300,2026-08-04 03:00:00
1.0709,2008.5600,2150.9300,2026-08-04 04:00:00
1.0124,2779.4300,2813.8900,2026-08-04 05:00:00
0.6676,4282.0800,2858.5400,2026-08-04 06:00:00
1.3732,2842.5000,3903.4100,2026-08-04 07:00:00
0.8034,5809.0400,4667.0600,2026-08-04 08:00:00
1.1084,4240.5800,4700.0800,2026-08-04 09:00:00
0.8304,4948.8000,4109.5200,2026-08-04 10:00:00
1.4269,8852.5400,12631.9000,2026-08-04 11:00:00
0.9522,7439.4100,7083.9700,2026-08-04 12:00:00
0.9693,76157.0900,73817.5100,2026-08-04 13:00:00
1.1249,35320.7900,39731.7700,2026-08-04 14:00:00
1.0529,14515.6400,15283.8800,2026-08-04 15:00:00
0.8829,9523.1500,8408.4400,2026-08-04 16:00:00
0.5593,27631.8500,15454.6100,2026-08-04 17:00:00
0.4493,36759.5900,16515.2500,2026-08-04 18:00:00
0.8036,11819.2000,9498.3000,2026-08-04 19:00:00
0.9916,40846.6900,40504.8500,2026-08-04 20:00:00
1.0055,36916.3100,37119.5800,2026-08-04 21:00:00
1.0105,6459.7300,6527.6300,2026-08-04 22:00:00
0.9549,6696.4200,6394.1300,2026-08-04 23:00:00
0.8737,8892.6600,7769.3100,2026-08-05 00:00:00
0.7911,7111.5500,5626.1700,2026-08-05 01:00:00
1.0168,2830.9300,2878.3900,2026-08-05 02:00:00
0.9328,2999.6400,2798.0900,2026-08-05 03:00:00
1.4364,1959.4200,2814.5800,2026-08-05 04:00:00
1.1652,8627.5100,10053.1900,2026-08-05 05:00:00
0.8420,3991.3400,3360.7500,2026-08-05 06:00:00
0.8799,4805.2800,4228.0100,2026-08-05 07:00:00
0.9641,15990.3400,15416.3800,2026-08-05 08:00:00
1.0952,4426.4000,4847.9600,2026-08-05 09:00:00
1.6153,6016.1300,9717.5700,2026-08-05 10:00:00
0.7597,12235.0300,9294.5000,2026-08-05 11:00:00
0.7305,14267.4100,10422.7700,2026-08-05 12:00:00
1.0677,117930.4700,125919.6100,2026-08-05 13:00:00
0.9290,68287.3400,63438.1100,2026-08-05 14:00:00
0.9292,32538.7600,30233.7500,2026-08-05 15:00:00
0.9415,28216.0600,26564.5100,2026-08-05 16:00:00
1.1351,12351.2800,14020.1700,2026-08-05 17:00:00
1.2271,7477.8400,9176.3400,2026-08-05 18:00:00
0.9784,17516.2800,17138.7700,2026-08-05 19:00:00
