longAccount,longShortRatio,shortAccount,time
0.6060,1.5380,0.3940,2026-07-28 20:00:00
0.6069,1.5439,0.3931,2026-07-28 21:00:00
0.6068,1.5433,0.3932,2026-07-28 22:00:00
0.6103,1.5663,0.3897,2026-07-28 23:00:00
0.6087,1.5559,0.3913,2026-07-29 00:00:00
0.6129,1.5833,0.3871,2026-07-29 01:00:00
0.6134,1.5867,0.3866,2026-07-29 02:00:00
0.6192,1.6264,0.3808,2026-07-29 03:00:00
0.6182,1.6189,0.3818,2026-07-29 04:00:00
0.6161,1.6046,0.3839,2026-07-29 05:00:00
0.6179,1.6174,0.3821,2026-07-29 06:00:00
0.6114,1.5736,0.3886,2026-07-29 07:00:00
0.6163,1.6063,0.3837,2026-07-29 08:00:00
0.6097,1.5624,0.3903,2026-07-29 09:00:00
0.6032,1.5201,0.3968,2026-07-29 10:00:00
0.6064,1.5409,0.3936,2026-07-29 11:00:00
0.6025,1.5155,0.3975,2026-07-29 12:00:00
0.6046,1.5294,0.3954,2026-07-29 13:00:00
0.6137,1.5885,0.3863,2026-07-29 14:00:00
0.6118,1.5757,0.3882,2026-07-29 15:00:00
0.6079,1.5507,0.3921,2026-07-29 16:00:00
0.6274,1.6840,0.3726,2026-07-29 17:00:00
0.6216,1.6426,0.3784,2026-07-29 18:00:00
0.6051,1.5325,0.3949,2026-07-29 19:00:00
0.6106,1.5679,0.3894,2026-07-29 20:00:00
0.6117,1.5754,0.3883,2026-07-29 21:00:00
0.6051,1.5325,0.3949,2026-07-29 22:00:00
0.6051,1.5321,0.3949,2026-07-29 23:00:00
0.6037,1.5231,0.3963,2026-07-30 00:00:00
0.6059,1.5371,0.3941,2026-07-30 01:00:00
0.6044,1.5280,0.3956,2026-07-30 02:00:00
0.5976,1.4851,0.4024,2026-07-30 03:00:00
0.5993,1.4955,0.4007,2026-07-30 04:00:00
0.6013,1.5080,0.3987,2026-07-30 05:00:00
0.5997,1.4981,0.4003,2026-07-30 06:00:00
0.5977,1.4857,0.4023,2026-07-30 07:00:00
0.5977,1.4859,0.4023,2026-07-30 08:00:00
0.5953,1.4710,0.4047,2026-07-30 09:00:00
0.5966,1.4788,0.4034,2026-07-30 10:00:00
0.5886,1.4309,0.4114,2026-07-30 11:00:00
0.5900,1.4392,0.4100,2026-07-30 12:00:00
0.5917,1.4489,0.4083,2026-07-30 13:00:00
0.5797,1.3790,0.4203,2026-07-30 14:00:00
0.5757,1.3570,0.4243,2026-07-30 15:00:00
0.5663,1.3055,0.4337,2026-07-30 16:00:00
0.5672,1.3107,0.4328,2026-07-30 17:00:00
0.5682,1.3161,0.4318,2026-07-30 18:00:00
0.5745,1.3504,0.4255,2026-07-30 19:00:00
0.5720,1.3363,0.4280,2026-07-30 20:00:00
0.5743,1.3490,0.4257,2026-07-30 21:00:00
0.5757,1.3568,0.4243,2026-07-30 22:00:00
0.5744,1.3498,0.4256,2026-07-30 23:00:00
0.5738,1.3462,0.4262,2026-07-31 00:00:00
0.5754,1.3553,0.4246,2026-07-31 01:00:00
0.5852,1.4108,0.4148,2026-07-31 02:00:00
0.5840,1.4038,0.4160,2026-07-31 03:00:00
0.5817,1.3907,0.4183,2026-07-31 04:00:00
0.5763,1.3602,0.4237,2026-07-31 05:00:00
0.5804,1.3831,0.4196,2026-07-31 06:00:00
0.5797,1.3793,0.4203,2026-07-31 07:00:00
0.5787,1.3734,0.4213,2026-07-31 08:00:00
0.5743,1.3493,0.4257,2026-07-31 09:00:00
0.5770,1.3640,0.4230,2026-07-31 10:00:00
0.5715,1.3336,0.4285,2026-07-31 11:00:00
0.5687,1.3184,0.4313,2026-07-31 12:00:00
0.5747,1.3515,0.4253,2026-07-31 13:00:00
0.5503,1.2239,0.4497,2026-07-31 14:00:00
0.5360,1.1554,0.4640,2026-07-31 15:00:00
0.5465,1.2052,0.4535,2026-07-31 16:00:00
0.5399,1.1736,0.4601,2026-07-31 17:00:00
0.5203,1.0846,0.4797,2026-07-31 18:00:00
0.5131,1.0537,0.4869,2026-07-31 19:00:00
0.5013,1.0051,0.4987,2026-07-31 20:00:00
0.5094,1.0382,0.4906,2026-07-31 21:00:00
0.5038,1.0154,0.4962,2026-07-31 22:00:00
0.4993,0.9970,0.5007,2026-07-31 23:00:00
0.4978,0.9912,0.5022,2026-08-01 00:00:00
0.4983,0.9931,0.5017,2026-08-01 01:00:00
0.4983,0.9934,0.5017,2026-08-01 02:00:00
0.4990,0.9960,0.5010,2026-08-01 03:00:00
0.4983,0.9933,0.5017,2026-08-01 04:00:00
0.4978,0.9913,0.5022,2026-08-01 05:00:00
0.4977,0.9908,0.5023,2026-08-01 06:00:00
0.4955,0.9823,0.5045,2026-08-01 07:00:00
0.4955,0.9820,0.5045,2026-08-01 08:00:00
0.4974,0.9895,0.5026,2026-08-01 09:00:00
0.4972,0.9890,0.5028,2026-08-01 10:00:00
0.4969,0.9875,0.5031,2026-08-01 11:00:00
0.4976,0.9906,0.5024,2026-08-01 12:00:00
0.5002,1.0010,0.4998,2026-08-01 13:00:00
0.5001,1.0003,0.4999,2026-08-01 14:00:00
0.5012,1.0049,0.4988,2026-08-01 15:00:00
0.5006,1.0023,0.4994,2026-08-01 16:00:00
0.5007,1.0026,0.4993,2026-08-01 17:00:00
0.5008,1.0030,0.4992,2026-08-01 18:00:00
0.5023,1.0093,0.4977,2026-08-01 19:00:00
0.5039,1.0156,0.4961,2026-08-01 20:00:00
0.5040,1.0162,0.4960,2026-08-01 21:00:00
0.5028,1.0113,0.4972,2026-08-01 22:00:00
0.5028,1.0113,0.4972,2026-08-01 23:00:00
0.5029,1.0116,0.4971,2026-08-02 00:00:00
0.5025,1.0100,0.4975,2026-08-02 01:00:00
0.5020,1.0079,0.4980,2026-08-02 02:00:00
0.5003,1.0012,0.4997,2026-08-02 03:00:00
0.5003,1.0011,0.4997,2026-08-02 04:00:00
0.5009,1.0036,0.4991,2026-08-02 05:00:00
0.5006,1.0023,0.4994,2026-08-02 06:00:00
0.5000,1.0000,0.5000,2026-08-02 07:00:00
0.4999,0.9997,0.5001,2026-08-02 08:00:00
0.4991,0.9963,0.5009,2026-08-02 09:00:00
0.4988,0.9952,0.5012,2026-08-02 10:00:00
0.4991,0.9962,0.5009,2026-08-02 11:00:00
0.4994,0.9976,0.5006,2026-08-02 12:00:00
0.4975,0.9901,0.5025,2026-08-02 13:00:00
0.4983,0.9934,0.5017,2026-08-02 14:00:00
0.4996,0.9985,0.5004,2026-08-02 15:00:00
0.4995,0.9980,0.5005,2026-08-02 16:00:00
0.4971,0.9884,0.5029,2026-08-02 17:00:00
