longAccount,longShortRatio,shortAccount,time
0.6623,1.9612,0.3377,2026-07-28 20:00:00
0.6611,1.9507,0.3389,2026-07-28 21:00:00
0.6605,1.9455,0.3395,2026-07-28 22:00:00
0.6624,1.9621,0.3376,2026-07-28 23:00:00
0.6655,1.9895,0.3345,2026-07-29 00:00:00
0.6659,1.9931,0.3341,2026-07-29 01:00:00
0.6653,1.9878,0.3347,2026-07-29 02:00:00
0.6619,1.9577,0.3381,2026-07-29 03:00:00
0.6680,2.0120,0.3320,2026-07-29 04:00:00
0.6647,1.9824,0.3353,2026-07-29 05:00:00
0.6600,1.9412,0.3400,2026-07-29 06:00:00
0.6606,1.9464,0.3394,2026-07-29 07:00:00
0.6626,1.9638,0.3374,2026-07-29 08:00:00
0.6640,1.9762,0.3360,2026-07-29 09:00:00
0.6668,2.0012,0.3332,2026-07-29 10:00:00
0.6694,2.0248,0.3306,2026-07-29 11:00:00
0.6669,2.0021,0.3331,2026-07-29 12:00:00
0.6699,2.0294,0.3301,2026-07-29 13:00:00
0.6670,2.0030,0.3330,2026-07-29 14:00:00
0.6706,2.0358,0.3294,2026-07-29 15:00:00
0.6662,1.9958,0.3338,2026-07-29 16:00:00
0.6636,1.9727,0.3364,2026-07-29 17:00:00
0.6603,1.9438,0.3397,2026-07-29 18:00:00
0.6372,1.7563,0.3628,2026-07-29 19:00:00
0.6402,1.7793,0.3598,2026-07-29 20:00:00
0.6392,1.7716,0.3608,2026-07-29 21:00:00
0.6371,1.7556,0.3629,2026-07-29 22:00:00
0.6418,1.7917,0.3582,2026-07-29 23:00:00
0.6407,1.7832,0.3593,2026-07-30 00:00:00
0.6417,1.7910,0.3583,2026-07-30 01:00:00
0.6295,1.6991,0.3705,2026-07-30 02:00:00
0.6311,1.7108,0.3689,2026-07-30 03:00:00
0.6365,1.7510,0.3635,2026-07-30 04:00:00
0.6358,1.7457,0.3642,2026-07-30 05:00:00
0.6345,1.7360,0.3655,2026-07-30 06:00:00
0.6357,1.7450,0.3643,2026-07-30 07:00:00
0.6368,1.7533,0.3632,2026-07-30 08:00:00
0.6445,1.8129,0.3555,2026-07-30 09:00:00
0.6465,1.8289,0.3535,2026-07-30 10:00:00
0.6606,1.9464,0.3394,2026-07-30 11:00:00
0.6613,1.9525,0.3387,2026-07-30 12:00:00
0.6611,1.9507,0.3389,2026-07-30 13:00:00
0.6635,1.9718,0.3365,2026-07-30 14:00:00
0.6623,1.9612,0.3377,2026-07-30 15:00:00
0.6628,1.9656,0.3372,2026-07-30 16:00:00
0.6655,1.9895,0.3345,2026-07-30 17:00:00
0.6647,1.9824,0.3353,2026-07-30 18:00:00
0.6666,1.9994,0.3334,2026-07-30 19:00:00
0.6657,1.9913,0.3343,2026-07-30 20:00:00
0.6683,2.0148,0.3317,2026-07-30 21:00:00
0.6673,2.0057,0.3327,2026-07-30 22:00:00
0.6670,2.0030,0.3330,2026-07-30 23:00:00
0.6673,2.0057,0.3327,2026-07-31 00:00:00
0.6661,1.9949,0.3339,2026-07-31 01:00:00
0.6675,2.0075,0.3325,2026-07-31 02:00:00
0.6676,2.0084,0.3324,2026-07-31 03:00:00
0.6655,1.9895,0.3345,2026-07-31 04:00:00
0.6678,2.0102,0.3322,2026-07-31 05:00:00
0.6684,2.0157,0.3316,2026-07-31 06:00:00
0.6657,1.9913,0.3343,2026-07-31 07:00:00
0.6564,1.9104,0.3436,2026-07-31 08:00:00
0.6556,1.9036,0.3444,2026-07-31 09:00:00
0.6522,1.8752,0.3478,2026-07-31 10:00:00
0.6544,1.8935,0.3456,2026-07-31 11:00:00
0.6545,1.8944,0.3455,2026-07-31 12:00:00
0.6520,1.8736,0.3480,2026-07-31 13:00:00
0.6546,1.8952,0.3454,2026-07-31 14:00:00
0.6518,1.8719,0.3482,2026-07-31 15:00:00
0.6498,1.8555,0.3502,2026-07-31 16:00:00
0.6469,1.8321,0.3531,2026-07-31 17:00:00
0.6432,1.8027,0.3568,2026-07-31 18:00:00
0.6386,1.7670,0.3614,2026-07-31 19:00:00
0.6377,1.7601,0.3623,2026-07-31 20:00:00
0.6331,1.7255,0.3669,2026-07-31 21:00:00
0.6336,1.7293,0.3664,2026-07-31 22:00:00
0.6278,1.6867,0.3722,2026-07-31 23:00:00
0.6197,1.6295,0.3803,2026-08-01 00:00:00
0.6162,1.6055,0.3838,2026-08-01 01:00:00
0.6138,1.5893,0.3862,2026-08-01 02:00:00
0.6124,1.5800,0.3876,2026-08-01 03:00:00
0.6114,1.5733,0.3886,2026-08-01 04:00:00
0.6090,1.5575,0.3910,2026-08-01 05:00:00
0.6043,1.5272,0.3957,2026-08-01 06:00:00
0.5981,1.4882,0.4019,2026-08-01 07:00:00
0.5921,1.4516,0.4079,2026-08-01 08:00:00
0.5876,1.4248,0.4124,2026-08-01 09:00:00
0.5815,1.3895,0.4185,2026-08-01 10:00:00
0.5779,1.3691,0.4221,2026-08-01 11:00:00
0.5785,1.3725,0.4215,2026-08-01 12:00:00
0.5771,1.3646,0.4229,2026-08-01 13:00:00
0.5773,1.3657,0.4227,2026-08-01 14:00:00
0.5764,1.3607,0.4236,2026-08-01 15:00:00
0.5750,1.3529,0.4250,2026-08-01 16:00:00
0.5706,1.3288,0.4294,2026-08-01 17:00:00
0.5660,1.3041,0.4340,2026-08-01 18:00:00
0.5675,1.3121,0.4325,2026-08-01 19:00:00
0.5636,1.2915,0.4364,2026-08-01 20:00:00
0.5583,1.2640,0.4417,2026-08-01 21:00:00
0.5586,1.2655,0.4414,2026-08-01 22:00:00
0.5586,1.2655,0.4414,2026-08-01 23:00:00
0.5547,1.2457,0.4453,2026-08-02 00:00:00
0.5518,1.2311,0.4482,2026-08-02 01:00:00
0.5498,1.2212,0.4502,2026-08-02 02:00:00
0.5515,1.2297,0.4485,2026-08-02 03:00:00
0.5557,1.2507,0.4443,2026-08-02 04:00:00
0.5577,1.2609,0.4423,2026-08-02 05:00:00
0.5668,1.3084,0.4332,2026-08-02 06:00:00
0.5612,1.2789,0.4388,2026-08-02 07:00:00
0.5642,1.2946,0.4358,2026-08-02 08:00:00
0.5674,1.3116,0.4326,2026-08-02 09:00:00
0.5659,1.3036,0.4341,2026-08-02 10:00:00
0.5860,1.4155,0.4140,2026-08-02 11:00:00
0.5842,1.4050,0.4158,2026-08-02 12:00:00
0.5818,1.3912,0.4182,2026-08-02 13:00:00
0.5820,1.3923,0.4180,2026-08-02 14:00:00
0.5818,1.3912,0.4182,2026-08-02 15:00:00
0.5797,1.3793,0.4203,2026-08-02 16:00:00
0.5786,1.3730,0.4214,2026-08-02 17:00:00
0.5789,1.3747,0.4211,2026-08-02 18:00:00
0.5798,1.3798,0.4202,2026-08-02 19:00:00
0.5762,1.3596,0.4238,2026-08-02 20:00:00
0.5796,1.3787,0.4204,2026-08-02 21:00:00
0.5824,1.3946,0.4176,2026-08-02 22:00:00
0.5827,1.3964,0.4173,2026-08-02 23:00:00
0.5775,1.3669,0.4225,2026-08-03 00:00:00
0.5774,1.3663,0.4226,2026-08-03 01:00:00
0.5802,1.3821,0.4198,2026-08-03 02:00:00
0.5717,1.3348,0.4283,2026-08-03 03:00:00
0.5658,1.3031,0.4342,2026-08-03 04:00:00
0.5614,1.2800,0.4386,2026-08-03 05:00:00
0.5588,1.2665,0.4412,2026-08-03 06:00:00
0.5548,1.2462,0.4452,2026-08-03 07:00:00
0.5437,1.1915,0.4563,2026-08-03 08:00:00
0.5444,1.1949,0.4556,2026-08-03 09:00:00
0.5448,1.1968,0.4552,2026-08-03 10:00:00
0.5460,1.2026,0.4540,2026-08-03 11:00:00
0.5439,1.1925,0.4561,2026-08-03 12:00:00
0.5412,1.1796,0.4588,2026-08-03 13:00:00
0.5412,1.1796,0.4588,2026-08-03 14:00:00
0.5405,1.1763,0.4595,2026-08-03 15:00:00
0.5415,1.1810,0.4585,2026-08-03 16:00:00
0.5413,1.1801,0.4587,2026-08-03 17:00:00
0.5418,1.1825,0.4582,2026-08-03 18:00:00
0.5423,1.1848,0.4577,2026-08-03 19:00:00
0.5415,1.1810,0.4585,2026-08-03 20:00:00
0.5424,1.1853,0.4576,2026-08-03 21:00:00
0.5401,1.1744,0.4599,2026-08-03 22:00:00
0.5375,1.1622,0.4625,2026-08-03 23:00:00
0.5368,1.1589,0.4632,2026-08-04 00:00:00
0.5377,1.1631,0.4623,2026-08-04 01:00:00
0.5347,1.1492,0.4653,2026-08-04 02:00:00
0.5363,1.1566,0.4637,2026-08-04 03:00:00
0.5408,1.1777,0.4592,2026-08-04 04:00:00
0.5405,1.1763,0.4595,2026-08-04 05:00:00
0.5416,1.1815,0.4584,2026-08-04 06:00:00
0.5397,1.1725,0.4603,2026-08-04 07:00:00
0.5381,1.1650,0.4619,2026-08-04 08:00:00
0.5354,1.1524,0.4646,2026-08-04 09:00:00
0.5320,1.1368,0.4680,2026-08-04 10:00:00
0.5286,1.1213,0.4714,2026-08-04 11:00:00
0.5314,1.1340,0.4686,2026-08-04 12:00:00
0.5327,1.1400,0.4673,2026-08-04 13:00:00
0.5329,1.1409,0.4671,2026-08-04 14:00:00
0.5306,1.1304,0.4694,2026-08-04 15:00:00
0.5329,1.1409,0.4671,2026-08-04 16:00:00
0.5297,1.1263,0.4703,2026-08-04 17:00:00
0.5304,1.1295,0.4696,2026-08-04 18:00:00
0.5308,1.1313,0.4692,2026-08-04 19:00:00
0.5349,1.1501,0.4651,2026-08-04 20:00:00
0.5329,1.1409,0.4671,2026-08-04 21:00:00
