sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,time
95508978.80000000,38747992.69916000,4869330647.00000000,2026-07-28 20:00:00
96857059.30000000,39064663.26235382,4869330647.00000000,2026-07-28 21:00:00
96239753.30000000,39246571.39574000,4869330647.00000000,2026-07-28 22:00:00
96744731.20000000,39133243.77040000,4869330647.00000000,2026-07-28 23:00:00
96670458.20000000,39248206.02920000,4869330647.00000000,2026-07-29 00:00:00
96636705.20000000,38925264.85456000,4869330647.00000000,2026-07-29 01:00:00
95785262.30000000,38026749.13310000,4869330647.00000000,2026-07-29 02:00:00
96234512.60000000,38657403.71142000,4869330647.00000000,2026-07-29 03:00:00
94761682.80000000,37326626.85492000,4869330647.00000000,2026-07-29 04:00:00
95500172.50000000,37945858.04582398,4869330647.00000000,2026-07-29 05:00:00
95485993.40000000,38452916.13853116,4869330647.00000000,2026-07-29 06:00:00
95441425.60000000,38596512.51264000,4869330647.00000000,2026-07-29 07:00:00
95284220.20000000,38523410.22686000,4869330647.00000000,2026-07-29 08:00:00
95550927.10000000,38621684.73382000,4869330647.00000000,2026-07-29 09:00:00
96391980.70000000,39231603.61928649,4869330647.00000000,2026-07-29 10:00:00
96535617.70000000,38826625.43894000,4869330647.00000000,2026-07-29 11:00:00
96927364.30000000,39138304.30779157,4869330647.00000000,2026-07-29 12:00:00
96447638.20000000,38550330.27991489,4869330647.00000000,2026-07-29 13:00:00
96107463.20000000,38555986.51308130,4869330647.00000000,2026-07-29 14:00:00
95245881.60000000,37613485.38299770,4869330647.00000000,2026-07-29 15:00:00
94338077.90000000,37102419.82387381,4869330647.00000000,2026-07-29 16:00:00
93866903.00000000,36946013.02080000,4869330647.00000000,2026-07-29 17:00:00
93259345.40000000,37313275.79325406,4869330647.00000000,2026-07-29 18:00:00
94165636.50000000,38513745.32850000,4869330647.00000000,2026-07-29 19:00:00
94916844.50000000,37776904.11100000,4869330647.00000000,2026-07-29 20:00:00
94039297.20000000,37083943.58140750,4869330647.00000000,2026-07-29 21:00:00
94195823.80000000,38028811.45727857,4869330647.00000000,2026-07-29 22:00:00
