longAccount,longShortRatio,shortAccount,time
0.5785,1.3725,0.4215,2026-07-28 18:00:00
0.5781,1.3702,0.4219,2026-07-28 19:00:00
0.5822,1.3935,0.4178,2026-07-28 20:00:00
0.5855,1.4125,0.4145,2026-07-28 21:00:00
0.5870,1.4213,0.4130,2026-07-28 22:00:00
0.5845,1.4067,0.4155,2026-07-28 23:00:00
0.5850,1.4096,0.4150,2026-07-29 00:00:00
0.5872,1.4225,0.4128,2026-07-29 01:00:00
0.5902,1.4402,0.4098,2026-07-29 02:00:00
0.5933,1.4588,0.4067,2026-07-29 03:00:00
0.5989,1.4931,0.4011,2026-07-29 04:00:00
0.6039,1.5246,0.3961,2026-07-29 05:00:00
0.5983,1.4894,0.4017,2026-07-29 06:00:00
0.5984,1.4900,0.4016,2026-07-29 07:00:00
0.5930,1.4570,0.4070,2026-07-29 08:00:00
0.5950,1.4691,0.4050,2026-07-29 09:00:00
0.5908,1.4438,0.4092,2026-07-29 10:00:00
0.5931,1.4576,0.4069,2026-07-29 11:00:00
0.5916,1.4486,0.4084,2026-07-29 12:00:00
0.5914,1.4474,0.4086,2026-07-29 13:00:00
0.5838,1.4027,0.4162,2026-07-29 14:00:00
0.5848,1.4085,0.4152,2026-07-29 15:00:00
0.5828,1.3969,0.4172,2026-07-29 16:00:00
0.5837,1.4021,0.4163,2026-07-29 17:00:00
0.5856,1.4131,0.4144,2026-07-29 18:00:00
0.5836,1.4015,0.4164,2026-07-29 19:00:00
0.5806,1.3844,0.4194,2026-07-29 20:00:00
0.5802,1.3821,0.4198,2026-07-29 21:00:00
0.5771,1.3646,0.4229,2026-07-29 22:00:00
0.5756,1.3563,0.4244,2026-07-29 23:00:00
0.5722,1.3375,0.4278,2026-07-30 00:00:00
0.5744,1.3496,0.4256,2026-07-30 01:00:00
0.5763,1.3602,0.4237,2026-07-30 02:00:00
0.5742,1.3485,0.4258,2026-07-30 03:00:00
0.5719,1.3359,0.4281,2026-07-30 04:00:00
0.5704,1.3277,0.4296,2026-07-30 05:00:00
0.5722,1.3375,0.4278,2026-07-30 06:00:00
0.5737,1.3458,0.4263,2026-07-30 07:00:00
0.5756,1.3563,0.4244,2026-07-30 08:00:00
0.5769,1.3635,0.4231,2026-07-30 09:00:00
0.5802,1.3821,0.4198,2026-07-30 10:00:00
0.5851,1.4102,0.4149,2026-07-30 11:00:00
0.5824,1.3946,0.4176,2026-07-30 12:00:00
0.5848,1.4085,0.4152,2026-07-30 13:00:00
0.5906,1.4426,0.4094,2026-07-30 14:00:00
0.5932,1.4582,0.4068,2026-07-30 15:00:00
0.5955,1.4722,0.4045,2026-07-30 16:00:00
0.6059,1.5374,0.3941,2026-07-30 17:00:00
0.6183,1.6199,0.3817,2026-07-30 18:00:00
0.6189,1.6240,0.3811,2026-07-30 19:00:00
0.6186,1.6219,0.3814,2026-07-30 20:00:00
0.6194,1.6274,0.3806,2026-07-30 21:00:00
0.6212,1.6399,0.3788,2026-07-30 22:00:00
0.6226,1.6497,0.3774,2026-07-30 23:00:00
0.6229,1.6518,0.3771,2026-07-31 00:00:00
0.6311,1.7108,0.3689,2026-07-31 01:00:00
0.6316,1.7144,0.3684,2026-07-31 02:00:00
0.6355,1.7435,0.3645,2026-07-31 03:00:00
0.6354,1.7427,0.3646,2026-07-31 04:00:00
0.6362,1.7488,0.3638,2026-07-31 05:00:00
0.6383,1.7647,0.3617,2026-07-31 06:00:00
0.6396,1.7747,0.3604,2026-07-31 07:00:00
0.6397,1.7755,0.3603,2026-07-31 08:00:00
0.6404,1.7809,0.3596,2026-07-31 09:00:00
0.6427,1.7988,0.3573,2026-07-31 10:00:00
0.6436,1.8058,0.3564,2026-07-31 11:00:00
0.6420,1.7933,0.3580,2026-07-31 12:00:00
0.6428,1.7996,0.3572,2026-07-31 13:00:00
0.6429,1.8003,0.3571,2026-07-31 14:00:00
0.6435,1.8050,0.3565,2026-07-31 15:00:00
0.6430,1.8011,0.3570,2026-07-31 16:00:00
0.6423,1.7956,0.3577,2026-07-31 17:00:00
0.6431,1.8019,0.3569,2026-07-31 18:00:00
0.6446,1.8137,0.3554,2026-07-31 19:00:00
0.6461,1.8257,0.3539,2026-07-31 20:00:00
0.6445,1.8129,0.3555,2026-07-31 21:00:00
0.6482,1.8425,0.3518,2026-07-31 22:00:00
0.6488,1.8474,0.3512,2026-07-31 23:00:00
0.6462,1.8265,0.3538,2026-08-01 00:00:00
0.6492,1.8506,0.3508,2026-08-01 01:00:00
0.6435,1.8050,0.3565,2026-08-01 02:00:00
0.6427,1.7988,0.3573,2026-08-01 03:00:00
0.6456,1.8217,0.3544,2026-08-01 04:00:00
0.6444,1.8121,0.3556,2026-08-01 05:00:00
0.6470,1.8329,0.3530,2026-08-01 06:00:00
0.6476,1.8377,0.3524,2026-08-01 07:00:00
0.6469,1.8321,0.3531,2026-08-01 08:00:00
0.6483,1.8433,0.3517,2026-08-01 09:00:00
0.6491,1.8498,0.3509,2026-08-01 10:00:00
0.6492,1.8506,0.3508,2026-08-01 11:00:00
0.6481,1.8417,0.3519,2026-08-01 12:00:00
0.6493,1.8514,0.3507,2026-08-01 13:00:00
0.6510,1.8653,0.3490,2026-08-01 14:00:00
0.6517,1.8711,0.3483,2026-08-01 15:00:00
0.6523,1.8760,0.3477,2026-08-01 16:00:00
0.6549,1.8977,0.3451,2026-08-01 17:00:00
0.6525,1.8777,0.3475,2026-08-01 18:00:00
0.6518,1.8719,0.3482,2026-08-01 19:00:00
0.6509,1.8645,0.3491,2026-08-01 20:00:00
0.6524,1.8769,0.3476,2026-08-01 21:00:00
0.6516,1.8703,0.3484,2026-08-01 22:00:00
0.6515,1.8694,0.3485,2026-08-01 23:00:00
0.6466,1.8297,0.3534,2026-08-02 00:00:00
0.6464,1.8281,0.3536,2026-08-02 01:00:00
0.6473,1.8353,0.3527,2026-08-02 02:00:00
0.6507,1.8629,0.3493,2026-08-02 03:00:00
0.6522,1.8752,0.3478,2026-08-02 04:00:00
0.6526,1.8785,0.3474,2026-08-02 05:00:00
0.6516,1.8703,0.3484,2026-08-02 06:00:00
0.6543,1.8927,0.3457,2026-08-02 07:00:00
0.6530,1.8818,0.3470,2026-08-02 08:00:00
0.6513,1.8678,0.3487,2026-08-02 09:00:00
0.6531,1.8827,0.3469,2026-08-02 10:00:00
0.6556,1.9036,0.3444,2026-08-02 11:00:00
0.6585,1.9283,0.3415,2026-08-02 12:00:00
0.6574,1.9189,0.3426,2026-08-02 14:00:00
0.6560,1.9070,0.3440,2026-08-02 15:00:00
0.6556,1.9036,0.3444,2026-08-02 16:00:00
0.6570,1.9155,0.3430,2026-08-02 17:00:00
0.6581,1.9248,0.3419,2026-08-02 18:00:00
0.6574,1.9189,0.3426,2026-08-02 19:00:00
0.6592,1.9343,0.3408,2026-08-02 20:00:00
0.6600,1.9412,0.3400,2026-08-02 21:00:00
0.6637,1.9735,0.3363,2026-08-02 22:00:00
0.6664,1.9976,0.3336,2026-08-02 23:00:00
0.6646,1.9815,0.3354,2026-08-03 00:00:00
0.6660,1.9940,0.3340,2026-08-03 01:00:00
0.6600,1.9412,0.3400,2026-08-03 02:00:00
0.6593,1.9351,0.3407,2026-08-03 03:00:00
0.6602,1.9429,0.3398,2026-08-03 04:00:00
0.6645,1.9806,0.3355,2026-08-03 05:00:00
0.6662,1.9958,0.3338,2026-08-03 06:00:00
0.6644,1.9797,0.3356,2026-08-03 07:00:00
0.6661,1.9949,0.3339,2026-08-03 08:00:00
0.6695,2.0257,0.3305,2026-08-03 09:00:00
0.6701,2.0312,0.3299,2026-08-03 10:00:00
0.6675,2.0075,0.3325,2026-08-03 11:00:00
0.6669,2.0021,0.3331,2026-08-03 12:00:00
0.6671,2.0039,0.3329,2026-08-03 13:00:00
0.6685,2.0166,0.3315,2026-08-03 14:00:00
0.6667,2.0003,0.3333,2026-08-03 15:00:00
0.6662,1.9958,0.3338,2026-08-03 16:00:00
0.6679,2.0111,0.3321,2026-08-03 17:00:00
0.6671,2.0039,0.3329,2026-08-03 18:00:00
0.6690,2.0211,0.3310,2026-08-03 19:00:00
0.6694,2.0248,0.3306,2026-08-03 20:00:00
0.6695,2.0257,0.3305,2026-08-03 21:00:00
0.6709,2.0386,0.3291,2026-08-03 22:00:00
0.6709,2.0386,0.3291,2026-08-04 00:00:00
0.6749,2.0760,0.3251,2026-08-04 01:00:00
0.6734,2.0618,0.3266,2026-08-04 02:00:00
0.6722,2.0506,0.3278,2026-08-04 03:00:00
0.6753,2.0798,0.3247,2026-08-04 04:00:00
0.6761,2.0874,0.3239,2026-08-04 05:00:00
0.6760,2.0864,0.3240,2026-08-04 06:00:00
0.6760,2.0864,0.3240,2026-08-04 07:00:00
0.6759,2.0855,0.3241,2026-08-04 08:00:00
0.6758,2.0845,0.3242,2026-08-04 09:00:00
0.6751,2.0779,0.3249,2026-08-04 10:00:00
0.6773,2.0989,0.3227,2026-08-04 11:00:00
0.6776,2.1017,0.3224,2026-08-04 12:00:00
0.6787,2.1124,0.3213,2026-08-04 13:00:00
0.6798,2.1230,0.3202,2026-08-04 14:00:00
0.6790,2.1153,0.3210,2026-08-04 15:00:00
