longAccount,longShortRatio,shortAccount,time
0.5275,1.1166,0.4725,2026-07-28 17:00:00
0.5274,1.1161,0.4726,2026-07-28 18:00:00
0.5274,1.1160,0.4726,2026-07-28 19:00:00
0.5279,1.1182,0.4721,2026-07-28 20:00:00
0.5278,1.1179,0.4722,2026-07-28 21:00:00
0.5247,1.1039,0.4753,2026-07-28 22:00:00
0.5224,1.0937,0.4776,2026-07-28 23:00:00
0.5240,1.1009,0.4760,2026-07-29 00:00:00
0.5233,1.0976,0.4767,2026-07-29 01:00:00
0.5256,1.1077,0.4744,2026-07-29 02:00:00
0.5253,1.1065,0.4747,2026-07-29 03:00:00
0.5280,1.1185,0.4720,2026-07-29 04:00:00
0.5253,1.1068,0.4747,2026-07-29 05:00:00
0.5288,1.1223,0.4712,2026-07-29 06:00:00
0.5295,1.1256,0.4705,2026-07-29 07:00:00
0.5271,1.1148,0.4729,2026-07-29 08:00:00
0.5259,1.1093,0.4741,2026-07-29 09:00:00
0.5253,1.1066,0.4747,2026-07-29 10:00:00
0.5237,1.0997,0.4763,2026-07-29 11:00:00
0.5230,1.0965,0.4770,2026-07-29 12:00:00
0.5200,1.0834,0.4800,2026-07-29 13:00:00
0.5198,1.0826,0.4802,2026-07-29 14:00:00
0.5196,1.0815,0.4804,2026-07-29 15:00:00
0.5177,1.0732,0.4823,2026-07-29 16:00:00
0.5180,1.0748,0.4820,2026-07-29 17:00:00
0.5181,1.0751,0.4819,2026-07-29 18:00:00
0.5183,1.0761,0.4817,2026-07-29 19:00:00
0.5169,1.0699,0.4831,2026-07-29 20:00:00
0.5202,1.0844,0.4798,2026-07-29 21:00:00
0.5208,1.0870,0.4792,2026-07-29 22:00:00
0.5222,1.0929,0.4778,2026-07-29 23:00:00
0.5240,1.1011,0.4760,2026-07-30 00:00:00
0.5231,1.0970,0.4769,2026-07-30 01:00:00
0.5261,1.1100,0.4739,2026-07-30 02:00:00
0.5261,1.1100,0.4739,2026-07-30 03:00:00
0.5245,1.1031,0.4755,2026-07-30 04:00:00
0.5244,1.1026,0.4756,2026-07-30 05:00:00
0.5236,1.0990,0.4764,2026-07-30 06:00:00
0.5259,1.1093,0.4741,2026-07-30 07:00:00
0.5262,1.1108,0.4738,2026-07-30 08:00:00
0.5263,1.1110,0.4737,2026-07-30 09:00:00
0.5263,1.1109,0.4737,2026-07-30 10:00:00
0.5269,1.1135,0.4731,2026-07-30 11:00:00
0.5243,1.1021,0.4757,2026-07-30 12:00:00
0.5265,1.1118,0.4735,2026-07-30 13:00:00
0.5283,1.1199,0.4717,2026-07-30 14:00:00
0.5292,1.1242,0.4708,2026-07-30 15:00:00
0.5306,1.1302,0.4694,2026-07-30 16:00:00
0.5322,1.1375,0.4678,2026-07-30 17:00:00
0.5330,1.1411,0.4670,2026-07-30 18:00:00
0.5351,1.1509,0.4649,2026-07-30 19:00:00
0.5369,1.1592,0.4631,2026-07-30 20:00:00
0.5373,1.1612,0.4627,2026-07-30 21:00:00
0.5373,1.1611,0.4627,2026-07-30 22:00:00
0.5380,1.1645,0.4620,2026-07-30 23:00:00
0.5385,1.1667,0.4615,2026-07-31 00:00:00
0.5367,1.1585,0.4633,2026-07-31 01:00:00
0.5437,1.1916,0.4563,2026-07-31 02:00:00
0.5446,1.1960,0.4554,2026-07-31 03:00:00
0.5453,1.1992,0.4547,2026-07-31 04:00:00
0.5450,1.1979,0.4550,2026-07-31 05:00:00
0.5455,1.2004,0.4545,2026-07-31 06:00:00
0.5465,1.2053,0.4535,2026-07-31 07:00:00
0.5455,1.2004,0.4545,2026-07-31 08:00:00
0.5464,1.2048,0.4536,2026-07-31 09:00:00
0.5477,1.2108,0.4523,2026-07-31 10:00:00
0.5463,1.2040,0.4537,2026-07-31 11:00:00
0.5469,1.2071,0.4531,2026-07-31 12:00:00
0.5477,1.2111,0.4523,2026-07-31 13:00:00
0.5489,1.2168,0.4511,2026-07-31 14:00:00
0.5498,1.2211,0.4502,2026-07-31 15:00:00
0.5482,1.2134,0.4518,2026-07-31 16:00:00
0.5469,1.2070,0.4531,2026-07-31 17:00:00
0.5467,1.2061,0.4533,2026-07-31 18:00:00
0.5466,1.2057,0.4534,2026-07-31 19:00:00
0.5461,1.2033,0.4539,2026-07-31 20:00:00
0.5457,1.2010,0.4543,2026-07-31 21:00:00
0.5452,1.1989,0.4548,2026-07-31 22:00:00
0.5447,1.1965,0.4553,2026-07-31 23:00:00
0.5496,1.2200,0.4504,2026-08-01 00:00:00
0.5404,1.1760,0.4596,2026-08-01 01:00:00
0.5433,1.1899,0.4567,2026-08-01 02:00:00
0.5449,1.1975,0.4551,2026-08-01 03:00:00
0.5453,1.1992,0.4547,2026-08-01 04:00:00
0.5453,1.1994,0.4547,2026-08-01 05:00:00
0.5440,1.1930,0.4560,2026-08-01 06:00:00
0.5454,1.1997,0.4546,2026-08-01 07:00:00
0.5456,1.2008,0.4544,2026-08-01 08:00:00
0.5442,1.1939,0.4558,2026-08-01 09:00:00
0.5443,1.1942,0.4557,2026-08-01 10:00:00
0.5457,1.2013,0.4543,2026-08-01 11:00:00
0.5466,1.2057,0.4534,2026-08-01 12:00:00
0.5482,1.2136,0.4518,2026-08-01 13:00:00
0.5475,1.2099,0.4525,2026-08-01 14:00:00
0.5478,1.2116,0.4522,2026-08-01 15:00:00
0.5474,1.2094,0.4526,2026-08-01 16:00:00
0.5478,1.2116,0.4522,2026-08-01 17:00:00
0.5492,1.2184,0.4508,2026-08-01 18:00:00
0.5460,1.2027,0.4540,2026-08-01 19:00:00
0.5457,1.2010,0.4543,2026-08-01 20:00:00
0.5449,1.1975,0.4551,2026-08-01 21:00:00
0.5442,1.1938,0.4558,2026-08-01 22:00:00
0.5443,1.1944,0.4557,2026-08-01 23:00:00
0.5452,1.1987,0.4548,2026-08-02 00:00:00
0.5458,1.2017,0.4542,2026-08-02 01:00:00
0.5509,1.2267,0.4491,2026-08-02 02:00:00
0.5471,1.2081,0.4529,2026-08-02 03:00:00
0.5462,1.2037,0.4538,2026-08-02 04:00:00
0.5423,1.1850,0.4577,2026-08-02 05:00:00
0.5415,1.1809,0.4585,2026-08-02 06:00:00
0.5343,1.1472,0.4657,2026-08-02 07:00:00
0.5340,1.1458,0.4660,2026-08-02 08:00:00
0.5337,1.1445,0.4663,2026-08-02 09:00:00
0.5338,1.1451,0.4662,2026-08-02 10:00:00
0.5336,1.1443,0.4664,2026-08-02 11:00:00
0.5329,1.1410,0.4671,2026-08-02 12:00:00
0.5346,1.1487,0.4654,2026-08-02 14:00:00
0.5367,1.1584,0.4633,2026-08-02 16:00:00
0.5361,1.1558,0.4639,2026-08-02 17:00:00
0.5357,1.1536,0.4643,2026-08-02 18:00:00
0.5346,1.1486,0.4654,2026-08-02 19:00:00
0.5340,1.1459,0.4660,2026-08-02 20:00:00
0.5344,1.1479,0.4656,2026-08-02 21:00:00
0.5342,1.1469,0.4658,2026-08-02 22:00:00
0.5338,1.1452,0.4662,2026-08-02 23:00:00
0.5340,1.1460,0.4660,2026-08-03 00:00:00
0.5357,1.1537,0.4643,2026-08-03 01:00:00
0.5350,1.1508,0.4650,2026-08-03 02:00:00
0.5333,1.1427,0.4667,2026-08-03 03:00:00
0.5348,1.1495,0.4652,2026-08-03 04:00:00
0.5340,1.1459,0.4660,2026-08-03 05:00:00
0.5347,1.1491,0.4653,2026-08-03 06:00:00
