longAccount,longShortRatio,shortAccount,time
0.6465,1.8289,0.3535,2026-07-28 20:00:00
0.6497,1.8547,0.3503,2026-07-28 21:00:00
0.6259,1.6731,0.3741,2026-07-28 22:00:00
0.6253,1.6688,0.3747,2026-07-28 23:00:00
0.6271,1.6817,0.3729,2026-07-29 00:00:00
0.6301,1.7034,0.3699,2026-07-29 01:00:00
0.6327,1.7226,0.3673,2026-07-29 02:00:00
0.6333,1.7270,0.3667,2026-07-29 03:00:00
0.6364,1.7503,0.3636,2026-07-29 04:00:00
0.6323,1.7196,0.3677,2026-07-29 05:00:00
0.6310,1.7100,0.3690,2026-07-29 06:00:00
0.6295,1.6991,0.3705,2026-07-29 07:00:00
0.6301,1.7034,0.3699,2026-07-29 08:00:00
0.6326,1.7218,0.3674,2026-07-29 09:00:00
0.6374,1.7579,0.3626,2026-07-29 10:00:00
0.6342,1.7337,0.3658,2026-07-29 11:00:00
0.6348,1.7382,0.3652,2026-07-29 12:00:00
0.6336,1.7293,0.3664,2026-07-29 13:00:00
0.6285,1.6918,0.3715,2026-07-29 14:00:00
0.6305,1.7064,0.3695,2026-07-29 15:00:00
0.6354,1.7427,0.3646,2026-07-29 16:00:00
0.6301,1.7034,0.3699,2026-07-29 17:00:00
0.6288,1.6940,0.3712,2026-07-29 18:00:00
0.6300,1.7027,0.3700,2026-07-29 19:00:00
0.6319,1.7167,0.3681,2026-07-29 20:00:00
0.6329,1.7241,0.3671,2026-07-29 21:00:00
0.6341,1.7330,0.3659,2026-07-29 22:00:00
0.6355,1.7435,0.3645,2026-07-29 23:00:00
0.6335,1.7285,0.3665,2026-07-30 00:00:00
0.6352,1.7412,0.3648,2026-07-30 01:00:00
0.6346,1.7367,0.3654,2026-07-30 02:00:00
0.6390,1.7701,0.3610,2026-07-30 03:00:00
0.6385,1.7663,0.3615,2026-07-30 04:00:00
0.6409,1.7847,0.3591,2026-07-30 05:00:00
0.6429,1.8003,0.3571,2026-07-30 06:00:00
0.6465,1.8289,0.3535,2026-07-30 07:00:00
0.6503,1.8596,0.3497,2026-07-30 08:00:00
0.6547,1.8960,0.3453,2026-07-30 09:00:00
0.6535,1.8860,0.3465,2026-07-30 10:00:00
0.6536,1.8868,0.3464,2026-07-30 11:00:00
0.6560,1.9070,0.3440,2026-07-30 12:00:00
0.6593,1.9351,0.3407,2026-07-30 13:00:00
0.6598,1.9394,0.3402,2026-07-30 14:00:00
0.6608,1.9481,0.3392,2026-07-30 15:00:00
0.6667,2.0003,0.3333,2026-07-30 16:00:00
0.6691,2.0221,0.3309,2026-07-30 17:00:00
0.6666,1.9994,0.3334,2026-07-30 18:00:00
0.6673,2.0057,0.3327,2026-07-30 19:00:00
0.6664,1.9976,0.3336,2026-07-30 20:00:00
0.6670,2.0030,0.3330,2026-07-30 21:00:00
0.6676,2.0084,0.3324,2026-07-30 22:00:00
0.6680,2.0120,0.3320,2026-07-30 23:00:00
0.6685,2.0166,0.3315,2026-07-31 00:00:00
0.6699,2.0294,0.3301,2026-07-31 01:00:00
0.6665,1.9985,0.3335,2026-07-31 02:00:00
0.6690,2.0211,0.3310,2026-07-31 03:00:00
0.6687,2.0184,0.3313,2026-07-31 04:00:00
0.6687,2.0184,0.3313,2026-07-31 05:00:00
0.6690,2.0211,0.3310,2026-07-31 06:00:00
0.6692,2.0230,0.3308,2026-07-31 07:00:00
0.6685,2.0166,0.3315,2026-07-31 08:00:00
0.6695,2.0257,0.3305,2026-07-31 09:00:00
0.6699,2.0294,0.3301,2026-07-31 10:00:00
0.6720,2.0488,0.3280,2026-07-31 11:00:00
0.6745,2.0722,0.3255,2026-07-31 12:00:00
0.6713,2.0423,0.3287,2026-07-31 13:00:00
0.6719,2.0479,0.3281,2026-07-31 14:00:00
0.6753,2.0798,0.3247,2026-07-31 15:00:00
0.6732,2.0600,0.3268,2026-07-31 16:00:00
0.6772,2.0979,0.3228,2026-07-31 17:00:00
0.6800,2.1250,0.3200,2026-07-31 18:00:00
0.6792,2.1172,0.3208,2026-07-31 19:00:00
0.6816,2.1407,0.3184,2026-07-31 20:00:00
0.6798,2.1230,0.3202,2026-07-31 21:00:00
0.6810,2.1348,0.3190,2026-07-31 22:00:00
0.6816,2.1407,0.3184,2026-07-31 23:00:00
0.6820,2.1447,0.3180,2026-08-01 00:00:00
0.6815,2.1397,0.3185,2026-08-01 01:00:00
0.6869,2.1939,0.3131,2026-08-01 02:00:00
0.6893,2.2185,0.3107,2026-08-01 03:00:00
0.6893,2.2185,0.3107,2026-08-01 04:00:00
0.6918,2.2446,0.3082,2026-08-01 05:00:00
0.6936,2.2637,0.3064,2026-08-01 06:00:00
0.6940,2.2680,0.3060,2026-08-01 07:00:00
0.6954,2.2830,0.3046,2026-08-01 08:00:00
0.6980,2.3113,0.3020,2026-08-01 09:00:00
0.6998,2.3311,0.3002,2026-08-01 10:00:00
0.6976,2.3069,0.3024,2026-08-01 11:00:00
0.6977,2.3080,0.3023,2026-08-01 12:00:00
0.7007,2.3411,0.2993,2026-08-01 13:00:00
0.7015,2.3501,0.2985,2026-08-01 14:00:00
0.7023,2.3591,0.2977,2026-08-01 15:00:00
0.7021,2.3568,0.2979,2026-08-01 16:00:00
0.7019,2.3546,0.2981,2026-08-01 17:00:00
0.7024,2.3602,0.2976,2026-08-01 18:00:00
0.7034,2.3715,0.2966,2026-08-01 19:00:00
0.7023,2.3591,0.2977,2026-08-01 20:00:00
